English,Arabic,Description
Dealing,معاملات أو تعاملات او تداولات,معاملات أو تعاملات او تداولات
Dealing in Securities,التعامل في الأوراق المالية,هو تعامل الشخص على الورقة المالية لحسابه الخاص أو بالنيابة عن غيره عن طريق بيعها، أو شرائها، أو تقديم عرض بيع أو شراء أو استحواذ بشأنها، أو إصدارها، أو طرحها للاكتتاب، أو الاكتتاب فيها، أو التنازل عن حق الاكتتاب فيها، أو الترويج لها، أو تسويقها، أو التعهد بتغطية الاكتتاب فيها، أو حفظها، أو إدراجها، أو إيداعها، أو تسويتها، أو تمويل التعامل بها، أو إقراضها، أو البيع على المكشوف لها، أو رهنها، أو التنازل عنها، أو أي عملية أخرى تعتبرها الهيئة تعاملً في الأوراق المالية.
Dealing securities,أوراق مالية للتداول,أوراق مالية متداولة في سوق الأوراق المالية تشترى ويحتفظ بها لغرض إعادة بيعها على المدى القصير
Debt (Short term and Long term),الديون (قصيرة الأجل وطويلة الأجل),"الديون قصيرة الأجل هو حساب يظهر في الجزء المتعلق بالخصوم المتداولة من الميزانية العمومية للشركة ويتكون هذا الحساب من أي دين تتكبده الشركة يكون مستحق خلال سنة واحدة. وتتكون الديون في حساب الخصوم عادةً من قروض مصرفية قصيرة الأجل.
تتكون الديون طويلة الأجل من القروض والإلتزامات المالية التي تستمر لأكثر من سنة واحدة وتتضمن أي إلتزامات تمويل أو تأجير مستحقة بعد فترة 12 شهراً."
Debt Instruments,أدوات الدين,أدوات استثمار متوسطة وطويلة الأجل كالسندات والصكوك القابلة وغير القابلة للتحويل ذات عائد ثابت أو متغير وسندات الخزانة وأذونات الخزينة أو أي أدوات دين أخرى توافق عليها الهيئة
Debt securities,هي المعنى الشائع لأوراق الدين المالية التي عادة ما تصدر بغرض توفير سيولة (قرض),تشمل: السندات / شهادات الإيداع / الأوراق المالية
Debt to equity ratio,نسبة الدين إلى الحقوق الملكية,مقياس يستخدم في التحليل المالي للدلالة على الحماية المتوفرة للدائنين، فكلما ارتفعت النسبة دلّ ذلك على ارتفاع المخاطرة نتيجة ارتفاع حجم الأقساط والفوائد الواجبة السداد
Debtor,مدين,الشخص أو المنشأة التي عليها إلتزام قانوني بدفع مبلغ لجهة أخرى هي الدائن
Deed,صك، وثيقة، حجة، سند,سند مكتوب وموقع حسب الأصول، مختوم ومسلم إلى الطرف الآخر الذي أنشئ لمصلحته، يتم بموجبه غالباً تحويل ملكية عقار من شخص إلى آخر
Deed of trust,سند ضمان,أداة تستخدم في بعض الدول بدلاً من الرهن حيث يتم إيداع سند ملكية عقار لدى أمين أو أكثر لضمان سداد المبلغ المستحق أوتنفيذ شروط أخرى
Default,عدم الوفاء,عدم الوفاء بتنفيذ عقود المشتقات والتسويات النقدية أو التسويات المادية، أو عدم الوفاء بالالتزام أمام بورصة أخرى أو بقواعد دور المقاصة (حالة الإعسار)
Deferred cost,تكلفة مؤجلة,نفقات تم تكبدها ولها منفعة مستقبلية لفترة تزيد عن سنة، وبالتالي يتم رسملتها وقيدها في حساب أصل
Deferred stock,سهم مؤجل الأرباح,نوع من الأسهم يؤجل دفع الأرباح عليه إلى حين دفع الأرباح الخاصة لفئة أخرى من الأسهم أو الوفاء بالتزام معين على الشركة
Deficiency (Takāful),النقص (التكافل),الحالة التي تكون فيها مطلوبات الصندوق تفوق موجوداته، وبالتالي يعد الصندوق في وضع مدين.
Deficit,عجز، نقص,"(1) بشكل عام تعني النقصان عن الحد المطلوب 
(2) زيادة الصاريف عن الإيرادات 
(3) زيادة الخصوم عن الأصول 
(4) في المحاسبة تعني خسائر مدورة 
(5) نقص في الأموال المؤتمن عليها"
Deficit (Takāful),العجز (التكافل),الحالة التي تكون فيها المطالبات والنفقات تفوق الاشتراكات المحصلة لنفس الفترة المالية.
Delivery,تسليم، نقل,"(1) بشكل عام تعني وضع شيء في حيازة شخص معين أو نطاق سيطرته، أي تسليم فعلي أو ضمني Constructive delivery 
(2) في القانون التجاري تعني نقل حيازة الأوراق المالية أو أدوات ومستندات الملكية طوعأ 
(3) تسليم البضاعة، ويحدث ذلك عندما يقوم البائع بكل ما في وسعه لوضع البضاعة تحت تصرف المشتري"
Demutualization,تحويل أي كيان أو مؤسسة مشتركة إلى شركة ذات مسؤولية محدودة,تحويل أي كيان أو مؤسسة مشتركة إلى شركة ذات مسؤولية محدودة
Depreciation,"(1) استهلاك 
(2) هبوط قيمة العملة 
(3) انخفاض المنفعة الاقتصادية","(1) توزيع التكلفة الخاضعة للاستهلاك لأصل على مدى حياته الانتاجية بطريقة منتظمة
(2) هبوط قيمة العملة 
(3) انخفاض المنفعة الاقتصادية للأصول نتيجة الاستخدام ومرور الزمن والتقادم التكنولوجي"
Depreciation method,طريقة الاستهلاك,يمكن اتباع عدة طرق في اسهلاك الأصول الثابتة مثل طريقة القسط الثابت وطريقة القسط المتناقص وطرق أخرى عديدة
Derivative financial instruments,مشتقات مالية,"أدوات مالية مثل الخيارات المالية ""Financial Options"" العمليات الآجلة والمستقبلية ""Futures and forwards"" ومبادلات سعر الفائدة ""Interest rate swaps"" ومبادلات العملة ""Currency swaps"" التي تخلق حقوقاً وإلتزامات لها أثر تحويل واحد أو أكثر من المخاطر المالية الملازمة للأداة الرئيسية بين أطراف الأداة، ولا ينجم عن الأداة المشتقة تحويل الأداة الرئيسية عند بدأ العقد كما لا يحدث هذا التحويل بالضرورة عند استحقاق العقد"
Derivative instruments / derivative securities,مشتقات مالية,أوراق مالية مبنية على أوراق المالية أخرى مثل خيارات يتعامل بها بناء على أسهم أو عقود آجلة على سندات وهكذا
Derivatives,المشتقات,أدوات مالية مشتقة
Derivatives Markets,أسواق المشتقات المالية,وهى تلك الأسواق التي تعمل على توفير أدوات استثمارية مشتقة من أصول أو أوراق محالية ذات قيم سعرية. وتستخدم المشتقات المالية عموما في عمليات التحوط محن مخاطر الاستثمار ومخاطر تقلب أسعار الفائدة وأسعار صرف العملات، وأيضأ في عمليات التورق (دمج مجموعة من الديون التعاقدية وبيعها كأصل واحد). وعادةً ما تخضع هذه الأسواق إلى تنظيم ورقابة وإشراف مشترك بين هيئات أسواق المال والبنوك المركزية
Descending Triangle,شكل المثلث الهابط,من الأشكال السعرية الكلاسيكية وهو شكل سلبي بصفة عامة ويعتبر شكل مكمل للاتجاه إذا جاء بعد إتجاه هابط ولكنه يقوم بتغيير الإتجاه إذا جاء بعد إتجاه صاعد. وما يحدث في هذا النموذج أن المشتري يكون ثابت عند مستوى معين (مستوى دعم ثابت أفقي) أما البائع يقوى تدريجياً بتكوين قمة أقل من قمة. ويكتمل الشكل باختراق الحد السفلي (أو مستوى الدعم الأفقي) لأسفل.
Dilution,الزيادة في عدد الأسهم المصدرة من الشركة,بما يعنى تقليل عائد السهم وبالتالي نسبة استفادة المستثمرين الحاليين
Diminishing Mushārakah (Mushārakah Mutanāqiṣah),المشاركة المتناقصة,"شكل من أشكال الشراكة يقدم فيه أحد الشريكين وعداً بشراء نصيب الشريك الآخر لمدة من الزمن إلى أن تنتقل الملكية بالكامل للطرف المشتري. وتبدأ المعاملة بتكوين شراكة، وبعدها يحدث بيع وشراء الأسهم بالقيمة السوقية أو بالسعر المتفق عليه في وقت الدخول في عقد الشراء. ويكون ""البيع والشراء"" مستقلاً عن عقد الشراكة ولا ينبغي أن يُنص عليه في عقد الشراكة، لأن الشريك المشتري مسموح له فقط بالوعد بالشراء. ومن غير المسموح به أيضاً الدخول في عقد كشرط لإتمام عقد آخر."
Disciplinary action,اجراء تأديبي,اجراءات تأديبية تتخذ ضد موظف نتيجة انحرافه عن السلوك المقرر أو تتخذ ضد شخص مهني نتيجة مخالفته لقواعد السلوك المهني
Disciplinary actions,أجراءات تأديبية / جزائية،,هي ضمن منظومة القرارات والجزاءات التي عادة ما تصدرها هيئة الرقابية على أسواق المال للمخالفين لقواعد ونظم التداول والاستثمار في الأوراق المالية سواء كانت شركات وساطة، او مستثمرين أو أفراد من المرخص لهم بالعمل مثل المحللين والمستشارين الماليين.
Disclosure,الإفصاح,هو توفير وإتاحة الوصول إلى كافة المعلومات التي تهم مستثمري أسواق المال في التوقيت والدقة المطلوبين سواء كانت تلك المعلومات تتعلق بالإفصاح عن المصالح آو بيانات مالية أو بيانات ومعلومات جوهرية أو قرارات ذات تأثير على حركة وسعر الأوراق المالية المتداولة
Disclosure principle,مبدأ الإفصاح,مبدأ في المحاسبة يؤكد الإفصاح عن الحقائق الهامة الخاصة بالبيانات المالية إلى مستخدمي هذه البيانات
"Disclosures, financial statements",إفصاحات البيانات المالية,المعلومات الإيضاحية المقدمة مع البيانات المالية سواء في شكل إيضاحات أو جداول مرفقة أو في صلب البيانات المالية نفسها، وتعد جزءاً لا يتجزأ من تلك البيانات
Discount rate,معدل الخصم,(1) سعر الفائدة على القروض الذي يفرضه البنك المركزي على البنوك الأخرى (2) سعر الفائدة المستخدم في خصم التدفقات النقدية المستقبلية إلى القيمة الحالية(3) سعر الفائدة الذي يفرضه البنك عند خصم الأوراق التجارية
Discounted cash flow (DCF),التدفق النقدي المخصوم,قيمة التدفقات النقدية المستقبلية في تاريخ محدد وتحتسب القيمة بطريقة صافى القيمة الحالية Net present value أو معدل العائد الداخلي، وتستخدم في تقييم البدائل الاستثمارية
Discretionary account,حساب خياري,حساب مع سمسار يمنحه الحرية في البيع أوالشراء دون الموافقة أو المعرفة المسبقة للعميل. بعض العملاء يضعون حدودامعينة مثل الاستثمار في أسهم من الدرجة الأولى فقط
Displaced Commercial Risk,المخاطر التجارية المنقولة,تبرع المؤسسة التي تعمل بصفتها مضارباً بجزء من حصتها من الأرباح لصالح أصحاب حسابات الاستثمار من أجل دعم دفع الأرباح المستحقة لهم.
Distribution,مرحلة التصريف,هي آخر مرحلة في مراحل الإتجاه الصاعد الذي ذكرتها نظرية داو. تتسم هذه المرحلة أن الأسعار بها تكون مرتفعة و مبالغ فيها، أحجام تداول تكون مرتفعة للغاية. سيكولوجية الجمهور تكون في قمة التفاؤل، ترتفع الأسهم الصغيرة و المتوسطة دون الأسهم القائدة وتكون القوة الشرائية ضعيفة وبالتالي الإقتراض من البنوك وشركات الوساطة يكون بنسب مبالغ فيها.
Divergence,الإنحراف,هو عدم تأكيد أي من مؤشرات التحليل الفني أو أحجام التداول لحركة السعر فتنحرف عن حركة السعر ولا تأكدها، بمعنى أنه خلال الإتجاه الصاعد ترتفع الأسعار وتحقق قمم أعلى وتقوم المؤشرات بتحقيق قمم أقل ويسمى ذلك إنحراف سلبي. وخلال الإتجاه الهابط تنخفض الأسعار وتحقق قيعان أقل وتحقق المؤشرات قيعان أعلى ويسمى ذلك إنحراف إيجابي.
Dividend,ربح السهم,توزبع جزء من أرباح الشركة الحالية أو المتراكمة على ساهمي الشركة المساهمة بنسبة الأسهم المملوكة لهم. توزع الأرباح عادة في شكل نقد إلا أنها قد توزع في شكل أسهم أو ممتلكات
Dividend yield,عائد التوزيع,هو العلاقة ما بين التوزيع عن كل سهم وسعر السهم (وفق معادلة حسابية معروفة)
Dividends in arrears,أرباح أسهم متأخرة السداد,هي الأرباح التراكمة على الأسهم الممتازة التراكمية والتي يجب دفعها إلى حملة الأسهم عند الإعلان عن توزيع الأرباح. لا تمثل هذه الأرباح المتأخرة إلتزاماً قانونيا على الشركة إلا بعد الإعلان عنها فقط
Dividends in kind,أرباح أسهم عينية,يتم دفعها باستخدام أصول بدلا من النقد
"Dividends, stock",توزيعات أرباح على شكل أسهم,توزيعات أرباح تدفع على شكل أسهم بدلا من النقد، وتقوم الشركة بذلك بهدف الحافظة على النقد، وتعلن الأرباح عادة على شكل نسبة من الأسهم المملوكة حالياً
Double Bottom,شكل القاعين,هو شكل من الأشكال الكلاسيكية العاكسة للإتجاه، ويأتي هذا الشكل بعد إتجاه هابط، ويتكون الشكل بأن تتحقق حركة هبوط قوية مصحوبة بأحجام تداول كبيرة (كاستمرار للاتجاه الهابط السابق)، ثم تتبعها حركة إرتفاع مصحوبة بأحجام تداول أقل. ثم تنخض الأسعار من القمة السابقة وتصل إلى نفس القاع السابق تقريباً مصحوبة بأحجام تداول ضعيفة لتدل على ضعف القوة البيعية. ثم تتبعها حركة إرتفاع بأحجام تداول كبيرة وملحوظة وتخترق القمة السابقة لأعلى.
Double Top,شكل القمتين,هو شكل من الأشكال الكلاسيكية العاكسة للإتجاه، ويأتي بعد إتجاه صاعد، ويتكون الشكل بأن تتحقق حركة صعود قوية مصحوب بأحجام تداول كبيرة (كاستمرار للاتجاه الصاعد السابق)، ثم تتبعها حركة إنخفاض مصحوبة بأحجام تداول أقل. ثم ترتفع الأسعار من القاع السابق وتصل إلى نفس القمة السابقة تقريباً مصحوبة بأحجام تداول كبيرة و لكن أقل من الإرتفاع السابق لتدل على ضعف القوة الشرائية. ثم تتبعها حركة إنخفاض بأحجام تداول كبيرة وتخترق القاع السابق لأسفل.
Dow Theory,نظرية داو,هي أصل كل دراسات التحليل الفني. حيث قام «تشارلز داو» بكتابة المباديء الأساسية للنظرية في صورة أفكار في مجلة الوول ستريت «Wall street Journal» و لم تكن نظرية في ذلك الوقت بعد. عام 1922 قام «ويليام هاميلتون» بتجميع وتنظيم وصياغة مباديء داو التي كتبها على مدار 27 عام و أنشأ ما نطلق عليه اليوم «نظرية داو».
Downtrend,إتجاه هابط,سلسلة من قمم و قيعان أقل من السابقة لها. تدل على ضعف القوة الشرائية بعدم الوصول للقمم السابقة وتدل على قوة القوة البيعية التي تستطيع أن تحقق قيعان أقل جديدة.
Downtrend line,خط إتجاه هابط,خط الإتجاه هو أداة من أدوات التحليل الفني يُظهر لنا زاوية أو معدل تسارع الإتجاه، وخط الإتجاه الهابط يتم رسمه على القمم خلال الإتجاه الهابط فقط.
Dual capacity,الأهلية المزدوجة,قيام الشركة كطرف رئيسي حال التداول أو قيامها بالتداول نيابة عن عملائها (أهلية الشركة وصلاحياتها)
Due diligence,فحص نافى للجهالة,فحص نافى للجهالة
Dump,الإغراق السلعي,بيع سلعة بأقل من سعرها في سوق المنشأ - تعارفت الأسواق والاقتصاديات على هذه الظاهرة في الآونة الأخيرة وبصفة خاصة في مواد البناء كما في حديد التسليح وغيرها
Dumping,الإغراق السلعي,هو بيع السلعة في الأسواق الخارجية بأقل من سعرها في بلد المصدر
Earnings per share,ربحية السهم,هي أرباح الشركة المتاحة لحاملي الأسهم العادية، وهى بمثابة مؤشر على ربحية الشركة وتحتسب بقسمة صافي الأرباح السنوية على عدد الأسهم القائمة.
Earnings yield,عائد الأرباح,معدل ربحية السهم
Earnings-price ratio,معدل ربحية السهم,مقياس العلاقة بين حصة الأسهم من الأرباح إلى السعر السوقي للسهم، وتسمى أيضا عاثد الأرباح earnings yield، وتستخدم هذه النسبة عند المفاضلة بين فرص الاستثمار المختلفة. هذا المعدل هو عكس المعدل المعروف بنسبة السعر إلى الأرباح price-earnings ratio
EBITDA margin,هامش الربح قبل الفوائد والضرائب والإهلاك والاستهلاك,هو وحدة لقياس أرباح المنشأة قبل الفوائد والضرائب والإهلاك والاستهلاك كنسبة من إجمالي الإيرادات .
Economic and Financial Investment,الاستثمار بمفهومه الإقتصادي والمالي,يعرف الاستثمار من وجهة النظر الاقتصادية بالاستثمار الحقيقي والذي يعني الانفاق الرأسمالي الذي تقوم به المنشأة الإنتاجية / الاقتصادية على شراء الأصول، مثل الآلات والمعدات والمباني، وذلك لاستخدامها في إنتاج سلع وخدمات جديدة أو التوسع في الأنشطة الإنتاجية القائمة. فى حين يعرّف الاستثمار المالي بأنه عملية توظيف الأصول النقدية، بما في ذلك الأصول العينية، لشراء أوراق مالية محثل الأسهم والسندات أو الإيداع لدى المؤسسات المصرفية بهدف الحصول على عائد مالي يتمثل بالفائدة المدفوعة على الودائع والسندات أو الأرباح الموزعة لحاملي الأسهم بما في ذلك المكاسب الرأسمالية.
Effective Control,السيطرة الفعلية,كل وضع أو اتفاق أو ملكية لأسهم أو حصص أياً كانت نسبتها تؤدي إلى التحكم في تعيين أغلبية أعضاء مجلس الإدارة أو في القرارات الصادرة منه أو من الجمعيات العامة للشركة المعنية
Efficient market,سوق كفء,هو السوق الذي يتمتع بحساسية الاستجابة للأحداث، تصريح سياسي، تغيير رئيس شركة، اتهام يوجه لمجلس إدارة شركة، وغيره، طبعا مع توفر عناصر الشفافية والإفصاح والنزاهة
Elliott Wave,موجات إليوت,هي نظرية بدأت عام 1938، عندما وجد رالف نيلسون إيليوت Ralph Nelson Elliott أن هناك علاقة بين أنواع الإتجاهات التي وصفتها نظرية داو. ووصف أن السوق يتحرك في موجات، هذه الموجات لها شكلين (Modes)، موجات دافعية (Motive) تتكون من خمس موجات وموجات تصحيحية (Corrective) تتكون من ثلاث موجات. وهدفه الأصلي هو تفسير الحركة السابقة وليس توقع السوق.
Employee stock ownership programs,برامج تملك العاملين للاسهم,برامج تملك العاملين للاسهم
Enforcement,التنفيذ,إنفاذ القوانين والنظم المتعلقة بالتداول والإصدار ومتابعة مطابقتها
Enforcement Inspectors,مفتشي التنفيذ,وفقاً لسلطة الخدمات المالية - لندن فإن مفتشي التنفيذ هم من العاملين بأقسام الرقابة بالسلطة، يحق لهم دخول المؤسسات والشركات التي تخضع لرقابة السلطة دون إذن أو إشعار مسبق، ولهم حق مساءلة أي من العاملين أو تصوير أي من المستندات
Enhanced disclosure,إفصاح موسع,إفصاح موسع
Enterprise Value,قيمة المنشأة,هو مقياس للقيمة الإجمالية للشركة (للمنشأة)، وغالباً ما تُستخدم كبديل أشمل لتحديد القيمة السوقية للأسهم. وتحتسب قيمة المنشأة على أنها القيمة السوقية للأسهم بالإضافة إلى الديون وحصة الأقلية والأسهم الممتازة، مطروحاً منها مجموع النقدية واستثمارات الأوراق المالية.
Equilibrium Price,سعر السهم التوازني (التوافقي),هو السعر الذي يتوافق عليه البائع والشاري لتنفيذ الصفقة
Equitable price,سعر متكافئ,سعر متكافئ
Equity,"(1) الفرق بين الموجودات والمطلوبات 
(2) أي حق في موجودات أو حق ملكية أو مطلوب 
(3) إنصاف، عدالة وإنصاف","(1) ويدعى كذلك القيمة الصافية net worth. في المشروع الفردي يدعى حق المالك، أما في الشركات المساهمة فهو حقوق المساهمين 
(2) وقد يكون حامل الحق دائناً أو مساهماً أو مالكاً 
(3) إنصاف، عدالة وإنصاف"
Equity,حقوق الملكية (حقوق المساهمين),هي إجمالي أصول الشركة مطروحا منها إجمالي الخصوم، وهي واحدة من المقاييس المالية الأكثر شيوعاً التي يستخدمها المحللون لتحديد الحالة المالية للشركة. تمثل حقوق الملكية القيمة الصافية للشركة أو المبلغ الذي سيتم إعادته للمساهمين إذا تم تصفية جميع أصول الشركة وسداد جميع ديونها.
Equity index swap,عملية  مقايضة بين طرفين,عملية  مقايضة بين طرفين فيما يتعلق بالتدفق النقدي لمؤشرين من مؤشرات الأسهم أو أكثر وذلك نظير نسبة مئوية يتم الاتفاق عليها، يتم التسوية نقداً (هذه العملية ضمن المعاملات المتعارف عليها في بورصة لندن)
Equity instrument,أداة حق الملكية,هي أي عقد يثبت الحق المتبقي في أصول المنشأة بعد طرح كافة إلتزاماتها
Equity method (for investments),طريقة حقوق الملكية,وسيلة محاسبية ستخدمها المستثمر الذي يملك بين 20% إلى 50% من أسهم الشركة العادية التي تملك حق التصويت، ويمكن أيضا أن تستخدم بدلا من طريقة الكلفة عندما تكون نسبة ملكية المستثمر أقل من 20% لكنه يملك تأثيرا بالغاًعلى الشركة. إضافة إلى ذلك، تُستخدم هذه الطريقة بدلاً من التوحيد حتى ولو تم امتلاك أكثر من 50% عند وجود أحد المعوقات لعملية الدمج
Equity option,عقود الخيارات المرتبطة بالأسهم,هو أحد عقود الخيارات المرتبطة بالأسهم والني يتم تداولها بين البائع والمشتري من خلال دار المقاصة
Equity repo,مقايضة بين عقود الخيارات,عملية يتم الاتفاق فيها بين الطرفين على أن يقوم أحدهما ببيع حصته من الأوراق المالية للآخر على أن يتم تخصيص جزء إلزامي من هذه العملية لإعادة شراء أوراق مالية مساوية في وقت لاحق يتم تحديد سعره وتاريخه مسبقاً (هذه أحد عمليات عقود الخيارات الآجلة المتعاوف عليها)
Equity turnover,دوران الملكية,نسبة تشير إلى العلاقة بين المبيعات وحقوق المالكين
Escrow,سند معلق,عقد أو سند يودع في حيازة طرف ثالث ولا يسلم للستفيد إلا عند استيفاء شروط معينة
Escrow Bond,سند ضمانة,سند دين مودع كأمانة
Escrow funds,أموال موضوع كويديعة قانونية,أموال موضوع كويديعة قانونية لحين حدوث أمر معين
Euromarkets,سوق رأسمالي عالمي لبيع وشراء الأوراق المالية,حتى وقت قريب كان السوق يختص بعمليات الدين فقط أي بشراء وبيع السندات المالية أكثر من الأسهم. إن الكلمة Euro هي مصطلح تاريخي يشير إلى إصدار ورقة مالية بعملة غير عملة البلد الذي يقيم به المصدر. وأهم سمة من سمات هذه الأوراق أنها تباع عالميا أكثر مما تباع داخل حدود بلد معين. كما أن هذه الأوراق يمكن بيعها على نحو واسع خارج بلد إقامة المستثمر (المشتري)، وهي تصدر لحاملها أي بدون الحاجة لتسجيل أسماء المستثمرين فيها وملكيتها تثبت عندما يبرزها حاملها، كذلك تدفع الفائدة لحامل القسيمة بعد نزعها عن السند، وهذا النوع من الاستثمار يصلح لأولئك المستثمرين الذين لا يرغبون في الإعلان عن استثماراتهم
Exchange factor,معامل المبادلة أو تكافؤ المقايضة,معامل المبادلة أو تكافؤ المقايضة
Exchange traded,العقود المتداولة نظامياً لدى بورصات السلع,وهي عكس العقود غير النظامية أو ما يسمى خارج المقصورة OTC
Exchange traded derivatives (ETD),المشتقات أو عقود الخيارات النظامية,هي المشتقات أو عقود الخيارات النظامية التي يتم تداولها في بورصات السلع
Exchange traded funds (ETF),صناديق  المؤشرات المتداولة,هي صناديق  المؤشرات المتداولة التي يتم تداولها في البورصات بموجب أسعار محددة هي في الواقع نوع من أنواع الصناديق ذات الدلالة بمؤشرات تداول مثلها مثل سائر الأسهم
Exhaustion Gap,الفجوة المنهكة,هي فجوة سعرية تظهر في نهاية الإتجاه. يصاحبها أحجام تداول كبيرة إلى متوسطة. وتُغطى خلال يومين إلى أسبوع حيث أن السوق في هذه الحالة يكون أُنهك و لا يستطيع الإستمرار في الصعود على رغم التفاؤل الشديد في حالة الحركة الصعودية أو لا يستطيع الإستمرار في الهبوط على الرغم من التشاؤم الشديد.
Exhaustion method,طريقة الاستنفاد أو النفاد,هي إحدى طرق الاستهلاك للأصول الثابتة المستخدمة في المحاسبة على أساس مبدأ الاستحقاق، وتستخدم في استهلاك الحقول النفطية والغازية
Exit Value,قيمة الخروج,صافي القيمة المحققة من موجود بعينه، أي سعره في السوق بتاريخ المركز المالي ناقصاً نفقات البيع، أو في حالة المطلوبات، المبلغ الذي يمكن استخدامه لتسويتها أو تحويلها في ذلك التاريخ بعد إضافة تكلفة القيام بذلك.
Expense,"(1) مصروف 
(2) كلفة تشغيل 
(3) نفقة","(1) نقص في المنفعة الاقتصادية خلال الفترة المحاسبية على شكل تدفقات صادرة أونفاذ أصول أو زيادة في الالتزامات التي ينتج عنها نقص في حقوق الملكية عدا تلك المتعلقة بالتوزيعات للمشاركين في الملكية
(2) كلفة تشغيل 
(3) نفقة"
"Expenses, fixed",مصاريف ثابتة,المصاريف التي تبقى ثابتة أو تقريبا ثابتة سنة بعد أخرى مهما اختلف حجم الطاقة في المنشأة أي مهما تغير مستوى الإنتاج أو المبيعات فيها
"Expenses, general",مصاريف عامة,"كلفة إدارة المنشأة أو جميع النفقات عدا تلك المتعلقة بكلفة البضاعة المنتجة أو المباعة والمبالغ المنفقة لزيادة قيمة الموجودات. ومن التعابير المرادفة لهذا التعبير هي: ,overhead expenses, operating expenses overheads, working expenses"
Extensible business reporting language (XBRL),لغة التقارير المالية المرنة,"لغة التقارير المالية المرنة التي تقدم دلالات افصاح عن الشركات المساهمة العامة وبطريقة موحدة بحيث تقدم افصاحا متكاملا ومصنفا حسب متطلبات الجهات الرقابية والمعايير الدولية للافصاح الكامل، وفي الوقت نفسه، تساير متطلبات اعداد التقارير المالية الدولية IFRSK ،وقد عقدت هيئة الأوراق المالية والسلع المؤتمر الأول على مستوى منطقة MENA في طلع عام 2012 بالتعاون مع منظمة XBRL ، وتم الافصاح التجريبي من خلال عدد من أكبر الشركات
المدرجة، والذي سيصبح إلزاميا على جميع الشركات مع طلع العام القادم"
Factoring,تخصيم,عملية البيع الإجمالي دون حق الرجوع لحسابات العملاء المدينة في منشأة إلى جهة أخرى (مشتري الدين the factor)، وهذا يعني أن المشتري يتحمل كافة مخاطر الديون عند تحصيلها. بعض المصارف والبيوتات المالية تشتري الديون ويتم الشراء بخصم عادة من نسبة الدين لكل حساب، ويقوم العملاء بالتسديد مباشرة إلى المشتري (بعد إشعارهم بذلك من قبل المنشأة البائعة)
Facultative,اتفاقية إعادة التكافل الاختياري,اتفاقية إعادة تكافل خاصة بعقد واحد (أو جزء من العقد) الذي اكتتبت فيه شركة التكافل.
Fair,(1) عادل (2) مشروع (3) معرض، سوق,(1) ماهو صحيح أو حق أو عدل أو معقول كقولنا: سعر عادل وقيمة عادلة وقرار عادل مقنع، مقبول، جيد، حسن، خال من الأخطاء (2) مشروع (3) معرض أو سوق عام يقام في أوقات محددة أو في أيام العطل العامة لغرض المتاجرة أو المقايضة أو لعرض البضائع
Fair price,سعر عادل,السعر العادل يتحدد فى ضوء أصول الشركة و الأرباح الموزعة على المسامين بالإضافة الى معدلات  النمو المستقبلية و كفاءة إدارة الشركة  (ما يجب أن تكون عليه قيمة السهم )
Fair rate of return,معدل عائد عادل,يعني في (الاستثمار) مستوى من الربح يسمح منشأة أن تحصل عليه بعد تحديده من قبل الجهات الرسمية المسؤولة عن تنظيم العمل في حقل النشاط العني، وهذه الجهات الرسمية تضح معدلات عادلة للعائد مبنية على رغبة المنشأة في خدمة عملاتها ودفع مقسوم أرباح مناسب إلى حملة الأسهم والفرائد إلى حملة السندات والاحتفاظ باحتياطيات للتوسع
Fair trade price (Fair trade agreement),سعر البيع الثابت,يحدده منتج البضاعة أو بائعو الجملة مع بائعي التجزئة منعاً للمنافسة بينهم. اتفاق يعقد بين المنتج وتاجر التجزئة بأن لا يبيع الأخير منتجات الأول بما يقل عن السعر المتفق عليه
Fair value,القيمة العادلة للأصل,القيمة العادلة للأصل ولسيت القيمة الدفترية - ظهر فى الآونة اتجاه قوى نحو تبنى القيمة العادلة فى المعاملات بعض النظر عن القيمة الدفترية أو السوقية أى القيمة الحقيقية للأصل دون زيادة أو نقصان
Fatwā,الفتاوى,آراء فقهية صادرة من قبل هيئة الرقابة الشرعية تتعلق بالمسائل الشرعية وفق منهجية مناسبة.
Fiduciary,وصي، أمين، مؤتمن,وصي (على وصاية أو إدارة مؤسسة) بحوزته أموال على سبيل الوصاية تعود لشخص مستفيد، ويكون الوصي مسؤولاًعن اسشمار هذه الأموال بطريقة صحيحة لمصلحة المستفيد
Fiduciary,وكيل استثمار,وكيل استثمار - هو بمثابة فرد أو مؤسسة لديها أصول لطرف آخر لها عليها صلاحيات اتخاذ القرار وبخاصة فيما يتعلق بالمسائل المالية نيابة عن هذا الطرف
fiduciary duty law,قاعدة عناية الرجل الحريص او واجب الامانة,قاعدة عناية الرجل الحريص او واجب الامانة
Fiduciary Risk,المخاطر الاستئمانية,المخاطر الناشئة من إخفاق المؤسسة في تأدية مهامها وفق معايير صريحة وضمنية قابلة للتطبيق على مسؤولياتها الاستئمانية.
