%.1f (35mm film),%.1f (film 35mm),%.1f (35mm-Film),%I.1f (فيلم 35مم)
Transformation on unloaded image.,Transformation impossible sur une image non chargée.,Transformation auf nicht geladenem Bild.,التحويل عند رفع صورة.
Transparency color,Couleur de transparence,Transparenzfarbe,لون الشّفافيّة
Transparency indicator,Indicateur de transparence,Transparenzanzeiger,مبيّن الشّفافيّة
Transparent Parts,Parties transparentes,Transparente Bereiche,الأجزاء الشّفافة
Trash images without asking,Mettre les images à la corbeille sans confirmation,Bilder ohne nachfragen löschen,أرسل الصور إلى المهملات دون سؤال
Type,Type,Typ,النوع
Type:,,,النوع:
Unknown,Inconnu,Unbekannt,مجهول
Use a custom background color,Définir une couleur d’arrière-plan personnalisée,Benutzerdefinierte Hintergrundfarbe verwenden,استخدم لون خلفية مخصص
Value,Valeur,Wert,القيمة
Vertical,Vertical,Vertikal,رأسيا
Viewing a slideshow,Visionnage d’un diaporama en cours,Als Diaschau anzeigen,يعرض شرائح
West,Ouest,West,غرب
Whether the file chooser should show the user’s pictures folder if no images are loaded.,Indique si le sélecteur de fichiers doit afficher le dossier des images de l’utilisateur si aucune image n’est chargée.,"Legt fest, ob die Dateiauswahl den Bilderordner des Benutzers anzeigen soll, wenn keine Bilder geladen sind.",ما إذا كان مخير الملفات سيعرض مجلد صور المستخدم إذا لم تُحمّل أي صور.
Whether the image gallery pane should be resizable.,Indique si le volet de la galerie d’images peut être redimensionné.,"Legt fest, ob die Größe der Bildersammlungsleiste angepasst werden kann.",ما إذا كان شريط معرض الصور قابلا للتحجيم.
Whether the image should be extrapolated on zoom-in. This leads to blurry quality and is somewhat slower than non-extrapolated images.,Indique si l’image doit être extrapolée lors du zoom avant. Cela donne un rendu d’image flou et est plus lent que les images non extrapolées.,"Legt fest, ob das Bild beim Vergrößern interpoliert wird. Dies führt zu einer leicht verschwommenen Bildqualität und ist etwas langsamer als eine nicht interpolierte Darstellung.",فيما إذا يفترض استيفاء الصّورة عند تقريبها أم لا. يؤدي هذا لجودة أفضل لكنه أبطأ من الصّور غير المستوفاة.
Whether the image should be interpolated on zoom-out. This leads to better quality but is somewhat slower than non-interpolated images.,Indique si l’image doit être interpolée lors du zoom arrière. Cela donne une meilleure qualité de rendu mais est plus lent que les images non interpolées.,"Legt fest, ob das Bild beim Verkleinern interpoliert wird. Dies führt zu einer besseren Bildqualität, ist jedoch etwas langsamer als eine nicht interpolierte Darstellung.",فيما إذا يفترض استيفاء الصّورة عند تبعيدها أم لا. يؤدي هذا لجودة أفضل لكنه أبطأ من الصّور غير المستوفاة.
Whether the image should be rotated automatically based on EXIF orientation.,Indique si une image doit être pivotée automatiquement en se basant sur les informations d’orientation EXIF.,"Legt fest, ob das Bild automatisch auf Grund der EXIF-Information gedreht wird.",ما إذا كان يجب لف الصورة تلقائيًا بناء على توجه EXIF.
Whether the metadata list in the properties dialog should have its own page.,,,ما إذا كانت قائمة البيانات الفوقية المفصّلة في صفحة منفصلة.
Whether the scroll wheel should be used for zooming.,Indique si la molette de la souris doit être utilisée pour zoomer.,"Legt fest, ob das Mausrad zum Vergrößern verwendet wird.",ما إذا سيتم استعمال عجلة الفأرة للتقريب أم لا.
Whether the sequence of images should be shown in an endless loop.,Indique si une suite d’images doit être affichée en boucle.,"Legt fest, ob die Bilder in einer Endlosschleife angezeigt werden.",فيما إذا يفترض عرض متتالية الصّور في حلقة لا نهائية.
Width:,,,العرض:
XMP Exif,XMP Exif,XMP-Exif,XMP Exif
XMP IPTC,XMP IPTC,XMP-IPTC,XMP IPTC
XMP Other,XMP autre,XMP-Sonstiges,‏XMP أخرى
XMP Rights Management,XMP gestion des droits,XMP-Rechteverwaltung,إدارة حقوق XMP
You do not have the permissions necessary to save the file.,Vous n’avez pas les permissions nécessaires pour enregistrer le fichier.,Sie haben nicht die notwendigen Schreibrechte zum Speichern der Datei.,لا تملك التصاريح الكافية لحفظ الملف.
Zoom,Zoom,Ansichtsgröße,التقريب
Zoom Out,Zoom arrière,Verkleinern,بعّد
Zoom in,Zoom avant,Vergrößern,قرّب
Zoom multiplier,Multiplicateur du zoom,Vergrößerungsfaktor,مضاعِف التقريب
Zoom out,Zoom arrière,Verkleinern,بعّد
[FILE…],[FICHIER…],[DATEI …],[ملف…]
About Image Viewer,,,عن عارض الصّور
Automatic orientation,Orientation automatique,Automatische Drehung des Bildes,توجه تلقائي
Best Fit,Taille idéale,Einpassen,أفضل ملاءمة
Best fit,Taille idéale,Einpassen,أفضل ملاءمة
Bottom:,Bas :,Unten:,أسفل:
Cancel,Annuler,Abbrechen,ألغِ
Copy,Copier,Kopieren,انسخ
Delete,Supprimer,Löschen,احذف
Destination folder:,Dossier de destination :,Zielordner:,المجلد المقصد:
Filename format:,Format du nom de fichier :,Dateinamen-Format:,صيغة اسم الملف:
First Image,Première image,Erstes Bild,الصّورة الأولى
Height:,Hauteur :,Höhe:,الارتفاع:
Help,Aide,Hilfe,مساعدة
Image Gallery,Galerie d’images,Bildersammlung,معرض الصور
Keyboard Shortcuts,Raccourcis clavier,Tastenkürzel,اختصارات لوحة المفاتيح
Last Image,Dernière image,Letztes Bild,الصّورة الأخيرة
Leave Fullscreen,Quitter le plein écran,Vollbild verlassen,غادر ملء الشاشة
Left:,Gauche :,Links:,يسار:
Loop sequence,Suite en boucle,Endlosschleife,متتالية حلقيّة
Next Image,Image suivante,Nächstes Bild,الصّورة التّالية
Normal Size,Taille normale,Normale Größe,حجم عادي
Open,Ouvrir,Öffnen,افتح
Open Background Preferences,Ouvrir les préférences d’arrière-plan,Hintergrundeinstellungen öffnen,افتح تفضيلات الخلفية
Open…,Ouvrir…,Öffnen …,افتح…
Previous Image,Image précédente,Vorheriges Bild,الصّورة السّابقة
Print…,Imprimer…,Drucken …,اطبع…
Reload,Recharger,Neu laden,أعد التحميل
Replace spaces with underscores,Remplacer les espaces par des soulignés,Leerzeichen durch Unterstriche ersetzen,استبدل الفراغات بشرطة تحتية
Right:,Droite :,Rechts:,يمين:
Rotate Clockwise,Rotation horaire,Im Uhrzeigersinn drehen,استدر مع عقارب الساعة
Save,Enregistrer,Speichern,احفظ
Scaling:,Mise à l’échelle :,Skalierung:,التحجيم:
Start counter at:,Compter à partir de :,Zähler starten bei:,ابدأ العدّاد عند:
Time between images:,Délai entre les images :,Zeit zwischen den Bildern:,المدة بين الصور:
Top:,Haut :,Oben:,أعلى:
Unit:,Unité :,Einheit:,الوحدة:
Width:,Largeur :,Breite:,العرض:
Yes,Oui,Ja,نعم
Zoom In,Zoom avant,Vergrößern,قرّب
as is,inchangé,wie bisher,كما هي
