0 Channels,0 canal,0 Kanäle,0 قنوات
Angle Menu,Menu angle,Kameramenü,قائمة الزوايا
Aspect Ratio,Rapport d’affichage,Ansichtsverhältnis,نسبة العرض
Audio output type:,,,نوع خرج الصوت:
Brightness:,,,السطوع:
Cancel,Annuler,Abbrechen,ألغِ
Chapter Menu,Menu chapitre,Kapitelmenü,قائمة الفصول
Close,Fermer,Schließen,أغلق
Create Video Disc…,,,أنشئ قرص فيديو…
DVD Menu,Menu DVD,DVD-Menü,قائمة دي‌ڤي‌دي
Download Movie Subtitles…,Télécharger les sous-titres du film…,Film-Untertitel herunterladen …,نزّل ترجمات الفِلم…
Eject,Éjecter,Auswerfen,أخرِج
Encoding:,,,الترميز:
Find in %s,Le chercher dans %s,In %s suchen,ابحث في %s
Font:,,,الخط:
Help,Aide,Hilfe,مساعدة
Hue:,,,الفارق بين الألوان:
Keyboard Shortcuts,Raccourcis clavier,Tastenkürzel,اختصارات لوحة المفاتيح
Languages,,,اللغات
Load subtitle files when movie is loaded,Charger les fichiers de sous-titrage au chargement du film,"Untertitel laden, sobald ein Video geladen wird",حمّل ملفات الترجمة عند تحميل الفِلم
Open,Ouvrir,Öffnen,افتح
Play with Subtitle,Lire avec les sous-titres,Untertitel anzeigen,شغّل مع الترجمة
Properties,Propriétés,Eigenschaften,خصائص
Python Console,Console Python,Python-Konsole,معراض بيثون
Repeat,En boucle,Endlosschleife,أعِد
Rotate ↷,Tourner ↷,Drehen ↷,أدر ↷
Save,Enregistrer,Speichern,احفظ
Select Text Subtitles…,Sélection des sous-titres…,Text-Untertitel auswählen …,اختر ملف ترجمة…
Skip To,,,تخطّ إلى
Skip To…,,,تخطّ إلى…
Skip to:,,,تخطَّ إلى:
Title Menu,Menu titre,Titelmenü,قائمة العنوان
org.gnome.Totem,,,org.gnome.Totem
rpdb2 password,Mot de passe rpdb2,rpdb2-Passwort,كلمة مرور rpdb2
× 0.75,"× 0,75",0.75-fach,× ٠٫٧٥
× 1.1,"× 1,1",1.1-fach,× ١٫١
× 1.25,"× 1,25",1.25-fach,× ١٫٢٥
× 1.5,"× 1,5",1.5-fach,× ١٫٥
× 1.75,"× 1,75",1.75-fach,× ١٫٧٥
