
%s (%s roaming),%s (itinérance %s),%s (%s-Roaming),‏%s (تجوال %s)
%s (roaming),%s (itinérance),%s (Roaming),‏%s (تجوال)
%s connection,Connexion à %s,Verbindung mit %s,إتّصالات VPN
%u (%u MHz),%u (%u MHz),%u (%u MHz),%u (%u م.هرتز)
%u Mb/s,%u Mb/s,%u Mb/s,%u م.بايت\ث
(none),(aucun),(keine),(لا شيء)
No valid active connections found!,Aucune connexion valide active trouvée !,Keine aktiven Netzwerkverbindungen gefunden!,لا توجد اتصالات نشطة سليمة!
None,Aucune,Keine,بدون
Notification area applet for managing your network devices and connections.,Une zone de notification pour gérer vos périphériques réseaux et vos connexions.,"Ein Applet für das Benachrichtigungsfeld, mit dem Sie Ihre Netzwerkgeräte und Netzwerkverbindungen verwalten können.",بريمج منطقة التبليغ لإدارة الأجهزة الشبكية والاتصالات.
Number,Nombre,Nummer,الرقم:
PAP,PAP,PAP,PAP
PIN code is needed for the mobile broadband device,Le code PIN est nécessaire pour la connexion mobile,Für das mobile Breitbandgerät ist ein PIN-Code erforderlich,رمز PIN مطلوب لجهاز شبكة الهاتف المحمول
PIN code required,Code PIN requis,PIN-Code erforderlich,رمز PIN مطلوب
PIN code:,Code PIN :,PIN-Code:,رمز PIN:
PPP Settings,Paramètres PPP,PPP-Einstellungen,إعدادات PPP
PPP interface,Interface PPP,PPP-Schnittstelle,الواجهة
PUK code:,Code PUK :,PUK-Code:,رمز PUK:
Parent interface,Interface parente,Übergeordnete Schnittstelle,الواجهة:
Parent device,Périphérique parent,Übergeordnetes Gerät,إيثرنت (%s)
Password,Mot de passe,Passwort,كلمة السر:
Password Authentication Protocol,Password Authentication Protocol,Passwort-Legitimierungsprotokoll,برتوكول الاستيثاق بكلمة السر
Password:,Mot de passe :,Passwort:,كلمة السر:
Port priority,Priorité du port,Port-Priorität,الأمن:
Preshared key,Clé prépartagée,Gemeinsamer Schlüssel,المفتاح المشروك
Preparing Wi-Fi network connection “%s”…,Préparation de la connexion réseau Wi-Fi « %s »…,Funknetzwerkverbindung »%s« wird vorbereitet …,يجهز الاتصال الشبكي '%s'...
Preparing ethernet network connection “%s”…,Préparation de la connexion au réseau Ethernet « %s »…,Ethernet-Netzverbindung »%s« wird vorbereitet …,يجهز اتصال الشبكة السلكية '%s'...
Preparing mobile broadband connection “%s”…,Préparation de la connexion mobile « %s »…,Mobile Breitbandverbindung »%s« wird vorbereitet …,يجهز اتصال شبكة الهاتف المحمول '%s'...
Preparing network connection “%s”…,Préparation de la connexion réseau « %s »…,Netzwerkverbindung »%s« wird vorbereitet …,يجهز الاتصال الشبكي '%s'...
Primary DNS,DNS Principal,Primärer DNS,‏DNS الأوّلي:
Private key,Cléprivée,Geheimer Schlüssel,المفتاح السري:
Raw Configuration,Configuration brute,Rohkonfiguration,خطأ إعداد VPN
Re-enter new PIN code:,Ressaisissez le nouveau code PIN :,Geben Sie den neuen PIN-Code erneut ein:,أعد إدخال رمز PIN الجديد:
Relabel,Ré-étiqueter,Neu markieren,العنوان
Requesting a VPN address for “%s”…,Obtention d’une adresse VPN pour « %s »…,Anforderung einer VPN-Adresse für »%s« …,يطلب عنوان شبكي VPN ل‍ '%s'...
Requesting a Wi-Fi network address for “%s”…,Obtention d’une adresse réseau Wi-Fi pour « %s »…,Funknetzwerkadresse für »%s« wird angefordert …,يطلب عنوان شبكي ل‍ '%s'...
Requesting a network address for “%s”…,Obtention d’une adresse réseau pour « %s »…,Netzwerkadresse für »%s« wird angefordert …,يطلب عنوان شبكي ل‍ '%s'...
Requesting an ethernet network address for “%s”…,Obtention d’une adresse de réseau Ethernet pour « %s »…,Netzwerkadresse für Ethernet-Netz »%s« wird angefordert …,يطلب عنوان شبكي سلكي ل‍ '%s'...
Require IPv4 addressing for this connection to complete,Requiert un adressage IPv4 pour que cette connexion fonctionne,IPv4-Adressierung zur Fertigstellung dieser Verbindung erforderlich,اطلب اتصالاً بعنوان ipv4 لكي يتم هذا الاتصال
Require IPv6 addressing for this connection to complete,Requiert un adressage IPv6 pour que cette connexion fonctionne,IPv6-Adressierung zur Fertigstellung dieser Verbindung erforderlich,اطلب اتصالاً بعنوان ipv4 لكي يتم هذا الاتصال
Roaming network,Réseau itinérant,Roaming-Netzwerk,شبكة تجوال
Roaming network (%s),Réseau itinérant (%s),Roaming-Netzwerk (%s),شبكة تجوال (%s)
SIM PIN Unlock Required,Déverrouillage SIM PIN requis,Entsperren der SIM-Karte mittels PIN-Code erforderlich,بحاجة لفتح PIN بطاقة الهاتف
SIM PIN unlock required,Déverrouillage SIM PIN requis,Entsperren der SIM-Karte mittels PIN-Code erforderlich,بحاجة لفتح PIN بطاقة الهاتف
SIM PUK Unlock Required,Déverrouillage SIM PUK requis,Entsperren der SIM-Karte mittels PUK-Code erforderlich,بحاجة لفتح PUK بطاقة الهاتف
SIM PUK unlock required,Déverrouillage SIM PUK requis,Entsperren der SIM-Karte mittels PUK-Code erforderlich,بحاجة لفتح PUK بطاقة الهاتف
Search domains,Domaines de recherche,Suchdomänen,نطاقات البحث:
Security,Sécurité,Sicherheit,الأمن:
Save any changes made to this connection.,Enregistrer toute modification apportée à cette connexion.,Alle Änderungen an dieser Verbindung speichern.,احفظ كلّ التغييرات التي تم عملها لهذا الاتصال .
Secondary DNS,DNS Secondaire,Sekundärer DNS,‏DNS الثّانوي:
Security,Sécurité,Sicherheit,الأمن:
Select Mobile Broadband Provider Type,Sélection du type de fournisseur de connexion mobile,Typ des mobilen Breitbandanbieters auswählen,اختر مزود خدمة اتصالات المحمول
Select a connection to delete,Choisissez une connexion à supprimer,Wählen Sie eine Verbindung zum Löschen,الاتصال السلكي %d
Select a connection to edit,Choisissez une connexion à modifier,Wählen Sie eine Verbindung zum Bearbeiten,الاتصال السلكي %d
Select file to import,Sélectionnez le fichier à importer,Datei zum Import auswählen,اختر ملفا لاستيراده
"Select the technology your mobile broadband provider uses. If you are unsure, ask your provider.","Sélectionnez la technologie utilisée par votre fournisseur de connexion mobile. En cas de doute, interrogez votre fournisseur.",Wählen Sie die von Ihrem mobilen Breitbandanbieter verwendete Technologie. Im Zweifelsfall fragen Sie bei Ihrem Dienstanbieter nach.,"اختر نوع اتصال المحمول الذي يقدمه مزودك. اذا لم تكن متأكدا, اسأل مزود الخدمة.الخدمة."
"Select the type of VPN you wish to use for the new connection. If the type of VPN connection you wish to create does not appear in the list, you may not have the correct VPN plugin installed.","Sélectionnez le type de VPN que vous souhaitez utiliser pour cette nouvelle connexion. Si le type de connexion VPN n’apparaît pas dans la liste, il est possible que vous n’ayez pas le bon greffon VPN installé.","Wählen Sie den VPN-Typ, den Sie für die neue Verbindung verwenden möchten. Wenn der Typ der VPN-Verbindung, die Sie erstellen möchten, nicht in der Liste erscheint, haben Sie möglicherweise nicht das richtige VPN-Plugin installiert.",اختر نوع اتصال VPN المراد استخدامه للأتصال الجديد.اذا لم يضهر نوع اتصال VPN الذي ترغب في تكوينة في القائمة، فقد يعني هذا أنّ ملحق VPN الذي تحتاجه غير مثبّت.
"Select the type of connection you wish to create.

If you are creating a VPN, and the VPN connection you wish to create does not appear in the list, you may not have the correct VPN plugin installed.","Sélectionnez le type de connexion que vous souhaitez créer.

Si vous créez un VPN et qu’il n’apparaît pas dans la liste, il se peut que vous n’ayez pas le bon greffon VPN installé.","Wählen Sie den Typ, den Sie für die neue Verbindung verwenden möchten. Falls Sie ein VPN erstellen möchten und die gewünschte VPN-Verbindung nicht in der Liste erscheint, haben Sie möglicherweise nicht das richtige VPN-Plugin installiert.",اختر نوع اتصال VPN المراد استخدامه للأتصال الجديد.اذا لم يضهر نوع اتصال VPN الذي ترغب في تكوينة في القائمة، فقد يعني هذا أنّ ملحق VPN الذي تحتاجه غير مثبّت.
Send interval,Intervalle d’émission,Sendeintervall,الواجهة:
Sending unlock code…,Envoi du code de déverrouillage…,Code zum Entsperren wird gesendet …,يرسل رمز الفتح...
Shared to other computers,Partagé avec d’autres ordinateurs,Gemeinsam mit anderen Rechnern,مشارك مع أجهزة أخرى
Show password,Afficher le mot de passe,Passwort anzeigen,أظهر كلمة السر
Show passwords,Afficher les mots de passe,Passwörter anzeigen,أظهر كلمات السر
Show preshared key,Afficher clé pré-partagée,Gemeinsame Schlüssel anzeigen,أظهر المفتاح
Show PIN code,Afficher le code PIN,PIN-Code anzeigen,أظهر رمز PIN
Show PIN/PUK codes,Afficher les codes PIN/PUK,PIN/PUK-Codes anzeigen,أظهر رمز PIN/PUK
Speed,Vitesse,Geschwindigkeit,السرعة
Starting VPN connection “%s”…,Démarrage de la connexion VPN « %s »…,VPN-Verbindung »%s« wird gestartet …,يبدأ اتصال VPN‏ '%s'...
Subnet Mask,Masque de sous-réseau,Subnetz-Maske,قناع الشبكة الفرعية
TCP,TCP,TCP,GTC
Team connection %d,Connexion en équipe %d,Team-Verbindung %d,الاتصال السلكي %d
Tertiary DNS,DNS Tertiaire,Tertiärer DNS,‏DNS الثالثي:
The NetworkManager Applet could not find some required resources (the .ui file was not found).,L’applet NetworkManager n’a pas pu trouver les ressources requises (le fichier .ui n’a pas été trouvé).,Das Netzwerk-Manager-Applet konnte benötigte Ressourcen nicht finden (Die .ui-Datei wurde nicht gefunden).,لم يستطع بريمج مدير الشبكة إيجاد بعض المصادر المطلوبة (the .ui file was not found).
The NetworkManager Developers,Les développeurs de NetworkManager,Die NetworkManager-Entwickler,بريمج مدير الشبكة
"The VPN connection “%s” could not be exported to %s.

Error: %s.","La connexion VPN « %s » ne peut pas être exportée vers %s.

Erreur : %s.","Die VPN-Verbindung »%s« konnte nicht nach %s exportiert werden.

Fehler: %s.",اتصال VPN %s لا يمكن تصديره الى %s. الخطأ:%s.
The VPN connection “%s” disconnected because the network connection was interrupted.,La connexion VPN « %s » a été déconnectée car la connexion réseau a été interrompue.,"Die VPN-Verbindung »%s« wurde getrennt, weil die Netzwerkverbindung getrennt wurde.",فُصِل اتصال VPN ‏'%s' لأن الاتصال الشبكي قُوطِعَ.
The VPN connection “%s” failed because of invalid VPN secrets.,La connexion VPN « %s » a échoué en raison de secrets VPN non valides.,"Die VPN-Verbindung »%s« konnte nicht hergestellt werden, weil VPN-Geheimnisse ungültig sind.",فشل اتصال VPN ‏'%s' بسبب أسرار VPN غير سليمة.
The VPN connection “%s” failed because the VPN service did not start in time.,La connexion VPN « %s » a échoué car le service VPN n’a pas démarré à temps.,"Die VPN-Verbindung »%s« konnte nicht hergestellt werden, weil der VPN-Dienst nicht in der vorgesehenen Zeit gestartet wurde.",فشل اتصال VPN ‏'%s' لأن خدمة VPN لم تبدأ في الوقت المحدد.
The VPN connection “%s” failed because the VPN service failed to start.,La connexion VPN « %s » a échoué car le démarrage du service VPN a échoué.,"Die VPN-Verbindung »%s« konnte nicht hergestellt werden, weil der Start des VPN-Dienstes fehlgeschlagen ist.",فشل اتصال VPN ‏'%s' لأن خدمة VPN فشلت في البدء.
"The VPN connection “%s” failed because the VPN service failed to start.

%s","La connexion VPN « %s » a échoué car le démarrage du service VPN a échoué.

%s","Die VPN-Verbindung »%s« konnte nicht hergestellt werden, weil das Starten des VPN-Dienstes fehlgeschlagen ist.

%s","فشل اتصال VPN ‏'%s' لأن خدمة VPN فشلت في البدء.

%s"
The VPN connection “%s” failed because the VPN service returned invalid configuration.,La connexion VPN « %s » a échoué car le service VPN a renvoyé une configuration invalide.,"Die VPN-Verbindung »%s« konnte nicht hergestellt werden, weil der VPN-Server keine geeignete Netzwerkkonfiguration lieferte.",فشل اتصال VPN ‏'%s' لأن خدمة أعادت إعدادا غير سليم.
The VPN connection “%s” failed because the VPN service stopped unexpectedly.,La connexion VPN « %s » a échoué car le service VPN a été arrêté de manière inattendue.,"Die VPN-Verbindung »%s« konnte nicht hergestellt werden, weil der VPN-Dienst unerwartet beendet wurde.",فشل اتصال VPN ‏'%s' لأن خدمة VPN توفقت فجأة.
The VPN connection “%s” failed because the connection attempt timed out.,La connexion VPN « %s » a échoué car le délai de connexion est dépassé.,"Die VPN-Verbindung »%s« konnte nicht hergestellt werden, weil die Netzwerkverbindung eine Zeitüberschreitung verursacht hat.",فشل اتصال VPN ‏'%s' لانتهاء مهلة محاولة الاتصال.
The VPN connection “%s” failed because the network connection was interrupted.,La connexion VPN « %s » a échoué car la connexion réseau a été interrompue.,"Die VPN-Verbindung »%s« konnte nicht hergestellt werden, weil die Netzwerkverbindung getrennt wurde.",فشل اتصال VPN ‏'%s' لأن الاتصال الشبكي قُوطِعَ.
The VPN connection “%s” failed because there were no valid VPN secrets.,La connexion VPN « %s » a échoué car il n’y avait pas de secret VPN valide.,"Die VPN-Verbindung »%s« konnte nicht hergestellt werden, weil keine gültigen VPN-Geheimnisse vorliegen.",فشل اتصال VPN ‏'%s' لعدم وجود أسرار VPN سليمة.
"The VPN connection “%s” failed to start.

%s","Le démarrage de la connexion VPN « %s » a échoué.

%s","Das Starten der VPN-Verbindung »%s« ist fehlgeschlagen.

%s","فشل اتصال VPN ‏'%s' في البدء.

%s"
The VPN connection “%s” failed.,La connexion VPN « %s » a échoué.,Die VPN-Verbindung »%s« konnte nicht hergestellt werden.,فشل اتصال VPN ‏'%s'.
The VPN plugin failed to import the VPN connection correctly:,Le greffon VPN n’a pas réussi à importer correctement la connexion VPN :,Das VPN-Plugin konnte die VPN-Verbindung nicht richtig importieren:,"فشل ملحق اتصال VPN في استيراد اتصال VPN بشكل صحيح

الخطأ:لم يحدد نوع خدمة VPN"
The connection editor could not find some required resources (the .ui file was not found).,L’éditeur de connexion n’a pas pu trouver les ressources requises (le fichier .ui n’a pas été trouvé).,Der Verbindungseditor konnte benötigte Ressourcen nicht finden (Die .ui-Datei wurde nicht gefunden).,بعض الموارد اللازمة غائبة (ملف glade)!
The connection editor dialog could not be initialized due to an unknown error.,La fenêtre d’édition de connexion n’a pas pu être initialisée en raison d’une erreur inconnue.,Der Verbindungseditor kann wegen eines unbekannten Fehlers nicht initialisiert werden.,تعذّر تشغيل واجهة محرر الاتصال بسبب خطأ مجهول.
The mobile broadband device “%s” requires a SIM PIN code before it can be used.,La connexion mobile « %s » a besoin d’un code SIM PIN pour pouvoir être utilisé.,Das mobile Breitband-Gerät »%s« erfordert vor Verwendung eine SIM-PIN-Nummer.,يحتاج جهاز الاتصال بشبكة المحمول '%s' لرمز PIN للشريحة قبل استخدامه.
The mobile broadband device “%s” requires a SIM PUK code before it can be used.,La connexion mobile « %s » a besoin d’un code SIM PUK pour pouvoir être utilisé.,Das mobile Breitband-Gerät »%s« erfordert vor Verwendung einen SIM-PUK-Code.,يحتاج جهاز الاتصال بشبكة المحمول '%s' لرمز PUK للشريحة قبل استخدامه.
The network connection has been disconnected.,La connexion réseau a été déconnectée.,Die Netzwerkverbindung wurde getrennt.,انقطع اتصال الشبكة.
This program is a component of NetworkManager (https://networkmanager.dev).,Ce programme fait partie de NetworkManager (https://networkmanager.dev).,Dieses Programm ist eine Komponente von NetworkManager (https://networkmanager.dev).,هذا البرنامج احد مكونات مدير الشبكة (https://wiki.gnome.org/Projects/NetworkManager/).
Unknown,Inconnue,Unbekannt,مجهول
Unknown error,Erreur inconnue,Unbekannter Fehler,مجهول
Unknown error creating connection editor dialog.,Erreur inconnue lors de la création de la fenêtre d’édition de connexion.,Unbekannter Fehler beim Erstellen des Dialoges zur Bearbeitung der Verbindung.,خطأ عرض معلومات الاتصال:
Unrecognized connection type,Type de connexion non reconnu,Unerkannter Verbindungstyp,نوع اتصال المحمول غير مدعوم.
Unsupported mobile broadband connection type.,Type de connexion mobile non pris en charge.,Typ der mobilen Breitbandverbindung wird nicht unterstützt.,نوع اتصال المحمول غير مدعوم.
Usage:,Utilisation :,Aufruf:,الاستخدام:
Use the network menu to connect to a Wi-Fi network,Utilisez le menu réseau pour vous connecter à un réseau Wi-Fi,"Verwenden Sie das Netzwerkmenü, um sich mit einem Funknetzwerk zu verbinden",استخدم قائمة الشبكة للاتصال بشبكة لاسلكية
User authentication required for VPN connection “%s”…,Authentification nécessaire pour la connexion VPN « %s »…,Benutzerlegitimierung für VPN-Verbindung »%s« ist erforderlich …,الاستيثاق من المستخدم مطلوب لاتصال VPN‏ '%s'...
User authentication required for Wi-Fi network “%s”…,Authentification nécessaire pour le réseau Wi-Fi « %s »…,Benutzerlegitimierung für Funknetzwerk »%s« ist erforderlich …,الاستيثاق من المستخدم مطلوب للاتصال بالشبكة اللاسلكية '%s'...
User authentication required for ethernet network connection “%s”…,Authentification nécessaire pour la connexion au réseau Ethernet « %s »…,Benutzerlegitimierung für Ethernet-Netzverbindung »%s« ist erforderlich …,الاستيثاق من المستخدم مطلوب للاتصال بالشبكة السلكية '%s'...
User authentication required for mobile broadband connection “%s”…,Authentification personnelle nécessaire pour la connexion mobile « %s »…,Benutzerlegitimierung für mobile Breitbandverbindung »%s« ist erforderlich …,الاستيثاق من المستخدم مطلوب للاتصال بشبكة الهاتف المحمول '%s'...
User authentication required for network connection “%s”…,Authentification nécessaire pour la connexion réseau « %s »…,Benutzerlegitimierung für Netzwerkverbindung »%s« ist erforderlich …,الاستيثاق من المستخدم مطلوب للاتصال بالشبكة '%s'...
VLAN connection %d,Connexion VLAN %d,VLAN-Verbindung %d,اتصال VPN‏ %d
VLAN interface name,Nom de l’interface VLAN,Name der VLAN-Schnittstelle,الواجهة:
VPN,VPN,VPN,VPN
VPN Connection Failed,La connexion VPN a échoué,VPN-Verbindung fehlgeschlagen,فشل اتصال VPN
VPN Gateway,Passerelle pour le VPN,VPN-Gateway,البوّابة
VPN Login Message,Message d’identification VPN,VPN-Anmeldemitteilung,رسالة التسجيل في VPN
VPN Type,Type de VPN,VPN-Typ,النوع:
VPN Username,Nom d’utilisateur pour le VPN,VPN-Benutzername,اسم المستخدم:
VPN connection %d,Connexion VPN %d,VPN-Verbindung %d,اتصال VPN‏ %d
VPN connection active,Connexion VPN active,VPN-Verbindung ist aktiv,الاتصال الشبكي VPN‏ '%s' يعمل
WEP,WEP,WEP,WEP
WEP 128-bit Passphrase,WEP 128-bit à phrase secrète,WEP 128-Bit-Passphrase,عبارة سر WEP 128-bit
WEP 40/128-bit Key (Hex or ASCII),Clé WEP 40/128-bit (Hex ou ASCII),WEP 40/128-Bit-Schlüssel (Hexadezimal oder ASCII),مفتاح WEP 40/128-bit
WPA/WPA2,WPA/WPA2,WPA/WPA2,WPA/WPA2
WPA/WPA2 Enterprise,WPA et WPA2 entreprise,WPA/WPA2 Enterprise,‏WPA و WPA2 للشركات
WPA/WPA2/WPA3,WPA/WPA2,WPA/WPA2/WPA3,WPA/WPA2
WPA/WPA2/WPA3 Personal,WPA et WPA2 personnel,WPA/WPA2/WPA3 Personal,‏WPA و WPA2 شخصي
WPA3 Personal,WPA3 personnel,WPA3 Personal,‏WPA و WPA2 شخصي
Wake on LAN,Wake on LAN,Aufwecken über LAN,كلمة سر المفتاح السري:
Wi-Fi Network (%s),Réseau Wi-Fi (%s),Funknetzwerk (%s),شبكة سلكية (%s)
Wi-Fi Networks (%s),Réseaux Wi-Fi (%s),Funknetzwerke (%s),شبكات سلكية (%s)
Wi-Fi Networks Available,Réseaux Wi-Fi disponibles,Funknetzwerke sind verfügbar,الشبكات اللاسلكية المتاحة
Wi-Fi Security,Sécurité Wi-Fi,Sicherheit des Funknetzwerks,أمن اللاسلكي
Wi-Fi connection %d,Connexion Wi-Fi %d,Funknetzwerkverbindung %d,الاتصال السلكي %d
Wi-Fi device,Périphérique Wi-Fi,WLAN-Gerät,أي جهاز
Wi-Fi is disabled,le Wi-Fi est désactivé,Funknetzwerk ist deaktiviert,شبكة WiMAX معطلة
Wi-Fi is disabled by hardware switch,le Wi-Fi est désactivé par un commutateur matériel,Funknetzwerk wurde durch Schalter deaktiviert,شبكة WiMAX مغلقة بمفتاح في العتاد
Wi-Fi network connection “%s” active,Connexion au réseau Wi-Fi « %s » active,Funknetzwerkverbindung »%s« ist aktiv,الاتصال الشبكي السلكي '%s' يعمل
Wi-Fi network connection “%s” active: %s (%d%%),Connexion au réseau Wi-Fi « %s » active : %s (%d %%),Funknetzwerkverbindung mit »%s« ist aktiv: %s (%d%%),الاتصال الشبكي اللاسلكي '%s' يعمل: %s‏ (%d%%)
WireGuard,WireGuard,WireGuard,سلكي
WireGuard connection %d,Connexion WireGuard %d,WireGuard-Verbindung %d,الاتصال اللاسلكي %d
Wrong PIN code; please contact your provider.,Code PIN erroné ; contactez votre fournisseur.,Falscher PIN-Code. Bitte kontaktieren Sie Ihren Dienstanbieter.,رمز PIN خطأ، راجع مزود الخدمة.
Wrong PUK code; please contact your provider.,Code PUK erroné ; contactez votre fournisseur.,Falscher PUK-Code. Bitte kontaktieren Sie Ihren Dienstanbieter.,رمز PUK خطأ، راجع مزود الخدمة.
You are now connected to the Mobile Broadband network.,Vous êtes maintenant connecté au réseau mobile.,Sie sind nun mit dem mobilen Breitbandnetzwerk verbunden.,أنت متصل الآن بشبكة الهاتف المحمول.
You are now connected to the Wi-Fi network “%s”.,Vous êtes maintenant connecté au réseau Wi-Fi « %s ».,Sie sind nun mit dem Funknetzwerk »%s« verbunden.,أنت متصل الآن بالشبكة اللاسلكية '%s'.
You are now connected to the ethernet network.,Vous êtes maintenant connecté au réseau Ethernet.,Sie sind nun mit dem Ethernet-Netzwerk verbunden.,أنت متصل الآن بالشبكة السلكية.
You are now connected to the mobile broadband network.,Vous êtes maintenant connecté au réseau mobile.,Sie sind nun mit dem mobilen Breitbandnetzwerk verbunden.,أنت متصل الآن بشبكة الهاتف المحمول.
You are now connected to “%s”.,Vous êtes maintenant connecté à « %s ».,Sie sind nun mit »%s« verbunden.,أنت متصل الآن ب‍ '%s'.
You are now registered on a roaming network.,Vous êtes maintenant enregistré sur un réseau itinérant.,Sie sind nun in einem Roaming-Netzwerk angemeldet.,أنت الآن مسجل بشبكة التجوال.
You are now registered on the home network.,Vous êtes maintenant enregistré sur le réseau domestique.,Sie sind nun im Heimnetzwerk angemeldet.,أنت الآن مسجل بشبكة الوطن.
APN,APN,APN (Zugangspunkt),APN:
About,À propos,Info,عن
Add a VPN connection…,Ajouter une connexion VPN…,Eine VPN-Verbindung hinzufügen …,اتّصالات VPN
Apply,Appliquer,Übernehmen,طبّق
Available networks,Réseaux disponibles,Verfügbare Netzwerke,متاح لكل المستخدمين
Broadcast,Broadcast,Broadcast,عنوان البثّ:
Configure VPN…,Configurer le VPN…,VPN konfigurieren …,اضبط VPN...
Connect to Hidden Wi-Fi Network…,Se connecter à un réseau Wi-Fi invisible…,Mit einem verborgenen Funknetzwerk verbinden …,اتصل بشبكة لاسلكية مخفية
Delete,Supprimer,Löschen,احذف
Device,Périphérique,Gerät,الخدمة:
Device name,Nom du périphérique,Gerätename,الخدمة:
Dial-Up Network,Réseau par ligne commutée,Einwahlverbindung,شبكة لاسلكية
EAP,EAP,EAP,EAP
Edit,Modifier,Bearbeiten,حرّر
Export…,Exporter…,Exportieren …,صدّر
Hardware Address,Adresse matérielle,Hardware-Adresse,عنوان العتاد:
Hardware address policy,Règle d’adresse matérielle,Richtlinie der Hardware-Adresse,عنوان العتاد:
Ignore,Ignorer,Ignorieren,متروك
Interface name,Nom de l’interface,Name der Schnittstelle,الواجهة:
LACP port priority,Priorité de port LACP,LACP-Port-Priorität,الأمن:
MSCHAP,MSCHAP,MSCHAP,MSCHAP
Metered connection,Connexions limitées,Kostenpflichtige Verbindung,الاتصال:
Method,Méthode,Methode,الطريقة:
Network name,Nom du réseau,Netzwerkname,اسم الشبكة:
New Connection,Nouvelle connexion,Neue Verbindung,اتّصالات VPN
PAP,PAP,PAP,PAP
Parent device,Périphérique parent,Übergeordnetes Gerät,إيثرنت (%s)
Parent interface,Interface parente,Übergeordnete Schnittstelle,الواجهة:
Password,Mot de passe,Passwort,كلمة السر:
Personal Area Network,Réseau de zone personnel,Privates Netzwerk,الولوج إلى الشبكة
Port,Port,Port,المنفذ:
Port priority,Priorité du port,Port-Priorität,الأمن:
Primary,Principal,Primär,‏DNS الأوّلي:
Priority,Priorité,Priorität,الأمن:
Relabel,Ré-étiqueter,Neu markieren,العنوان
Replace,Remplacer,Ersetzen,استبدل
Require 128-bit encryption,Nécessite un chiffrement 128 bits,128-Bit-Verschlüsselung anfordern,تطلب تعمية 128-بتة
Routes…,Routes…,Routen …,الطُرق…
SCI port,Port SCI,SCI-Port,استورد
Save,Enregistrer,Speichern,احفظ
Service,Service,Dienst,الخدمة:
Show private key,Montrer clé privée,Geheimen Schlüssel zeigen,المفتاح السري:
Speed,Vitesse,Geschwindigkeit,السرعة:
System priority,Priorité du système,Systempriorität,الأمن:
Teamed connections,Connexions en équipe,Team-Verbindungen,الاتصال:
Unlock,Déverrouiller,Entsperren,افتح
Use point-to-point encryption (MPPE),Utiliser le chiffrement Point-to-Point (MPPE),Punkt-zu-Punkt-Verschlüsselung (MPPE) verwenden,استخدم تعمية النقطة إلى النقطة (MPPE)
Use this connection only for resources on its network,Utiliser cette connexion uniquement pour les ressources de son réseau,Diese Verbindung nur für Ressourcen dieses Netzwerks verwenden,احفظ هذا الاتصال لكل المستخدمين على هذا الجهاز.
Username,Nom d’utilisateur,Benutzername,اسم المستخدم:
VPN Connections,Connexions VPN,VPN-Verbindungen,اتّصالات VPN
Wake on LAN password,Mot de passe Wake on LAN,Passwort für Aufwecken über LAN,كلمة سر المفتاح السري:
ad-hoc,ad-hoc,Ad-hoc,لا مركزية
automatic,automatique,Automatisch,تلقائي
bytes,octets,Bytes,بايتات
cloned MAC,Adresse MAC clonée,Geklonte MAC-Adresse,عنوان MAC:
default,par défaut,Vorgabe,المبدئي
device,périphérique,Gerät,أي جهاز
device not managed,périphérique non géré,Gerät wird nicht verwaltet,الجهاز ليس مُدارا
device not ready,périphérique non prêt,Gerät ist nicht betriebsbereit,الجهاز ليس جاهزا
device not ready (firmware missing),périphérique non prêt (micrologiciel manquant),Gerät ist nicht betriebsbereit (Firmware fehlt),الجهاز ليس جاهزا (البرمجية المضمنة مفقودة)
disconnected,déconnecté,nicht verbunden,غير متَّصل
ignored,ignoré,Ignoriert,متروك
invalid Bluetooth device (%s),périphérique Bluetooth invalide (%s),Ungültiges Bluetooth-Gerät (%s),لم يتم العثور على جهاز بلوتوث
invalid hardware address,adresse matérielle non valide,ungültige Hardware-Adresse,عنوان العتاد:
missing parent interface,interface parente manquante,Übergeordnete Schnittstelle fehlt,الواجهة:
never,jamais,nie,أبدًا
none,aucune,keine,لا شيء
not enabled,non activé,nicht aktiviert,غير مُفعّل
not registered,non enregistré,nicht angemeldet,غير مُسجّل
now,maintenant,jetzt,الآن
primary,principal,Primär,‏DNS الأوّلي:
registration denied,enregistrement refusé,Registrierung abgelehnt,منع التسجيل
roaming,itinérance,Roaming,تجوال
searching,recherche,Suche läuft,يبحث
unknown failure,échec inconnu,"Fehlgeschlagen, Grund unbekannt",فشل اضافة اتصال
