
"%s: Invalid variable name, can not start with a digit","%s : nom de variable invalide, ne peut commencer par un chiffre","%s: Ungültiger Variablenname, darf nicht mit einer Ziffer beginnen",%s: اسم متغير غير صالح. يجب ألا يبدأ برقم
"%s: Invalid variable name, can only contain digits, letters and underscores","%s : nom de variable invalide, ne peut contenir que des chiffres, des lettres et tirets du bas","%s: Ungültiger Variablenname, darf nur Ziffern, Buchstaben und Unterstriche enthalten",%s: اسم متغير غير صالح. يجب أن يحوي أرقام وأحرف وتسطير سفلي فقط
"kilometer,kilometers,km,kms","kilomètre,kilomètres,kilometre,kilometres,km,kms","Kilometer,Kilometer,km,km","كيلومتر,كيلومترات,كم,كم"
"kilometers per hour,kmph,kmh,kph","kilomètre par heure,kilomètres par heure,kilomètre heure,kilomètres heure,kilometre par heure,kilometres par heure,kilometre heure,kilometres heure,kmph,kmh,km/h","Kilometer pro Stunde,kmph,kmh",كيلومتر في الساعة، كم/ساعة، كم/ساعة، كم/ساعة
"kt,kn,nd,knot,knots","kt,kn,nd,nds,nœud,noeud,nœuds,noeuds","kt,kn,nd,Knoten,Knoten","عقدة,عقدة,عقدة,عقدة,عقد"
"kwh,kWh,kilowatt-hour,kilowatthour","kwh,kWh,kilowatt-heure,kilowattheure","kwh,kWh,Kilowatt-Stunde,Kilowattstunde","كيلووات-ساعة,كيلووات-ساعة,كيلووات-ساعة"
"lightyear,lightyears,ly","année-lumière,années-lumière,année lumière,années lumière,annee lumiere,annees lumiere,al","Lichtjahr,Lichtjahre,Lj","سنة ضوئية,سنين ضوئية,سنة ضوئية"
"litre,litres,liter,liters,L","litre,litres,L","Liter,Liter,Liter,Liter,l","لتر,لترات,لتر,لترات,ل"
"mebibit,mebibits,Mib","mébibit,mébibits,mebibit,mebibits,Mib","Mebibit,Mebibits,Mib","ميبيبت,ميبيبت,ميبيبت"
"mebibyte,mebibytes,MiB","mébioctet,mébioctets,mebioctet,mebioctets,Mio","Mebibyte,Mebibytes,MiB","ميبيبايت,ميبيبايت,ميبيبايت"
"megabit,megabits,Mb","mégabit,mégabits,megabit,megabits,Mb","Megabit,Megabit,Mb","ميغابت,ميغابت,ميغابت"
"megabyte,megabytes,MB","mégaoctet,mégaoctets,megaoctet,megaoctets,Mo","Megabyte,Megabytes,MB","ميغابايت,ميغابايت,ميغابايت"
"megahertz,MHz","megahertz,MHz","Megahertz,MHz","ميغاهرتز,ميغاهرتز"
"meter,meters,m","mètre,metre,mètres,metres,m","Meter,Meter,m","متر,أمتار,م"
"meters per second,mps","mètres par seconde,metres par seconde,mètres seconde,metres seconde,mps,m/s","Meter pro Sekunde,mps",متر في الثانية، م/ث
"micrometer,micrometers,um","micromètre,micromètres,micrometre,micrometres,μm","Mikrometer,Mikrometer,um","ميكرومتر,ميكرومترات,ميكرو متر"
"microsecond,microseconds,us,μs","microseconde,microsecondes,us,μs","Mikrosekunde,µs","ميكرو ثانية,ميكرو ثانية,ميكرو ثانية,ميكرو ثانية"
"mile,miles,mi","mille,milles,mi","Meile,Meilen,mi","ميل,أميال,ميل"
"milesph,miles per hour,mi/h,miph,mph","millesph,milles par heure,milles heure,mi/h,miph,mih","milesph,Meilen pro Stunde,mi/h,mph","ميل في الساعة,ميل في الساعة,ميل في الساعة,ميل في الساعة,ميل في الساعة"
"millilitre,millilitres,milliliter,milliliters,mL,cm³","millilitre,millilitres,mL,cm³","Milliliter,Milliliter,Milliliter,Milliliter,ml,cm³","مليلتر,مليلترات,مليلتر،مليلترات,مل,سم³"
"millimeter,millimeters,mm","millimètre,millimètres,millimetre,millimetres,mm","Millimeter,Millimeter,mm","ميليمتر,ميليمترات,مم"
"millisecond,milliseconds,ms","milliseconde,millisecondes,ms","Millisekunde,Millisekunden,ms","ميلي ثانية,ميلي ثانية,ميلي ثانية"
"minute,minutes","minute,minutes","Minute,Minuten","دقيقة,دقائق"
mm²,mm²,mm²,مم²
"mm³,μL,uL","mm³,μL,uL","mm³,μL,uL","مم³,ميكرولتر,ميكرولتر"
"month,months",mois,"Monat,Monate","شهر,شهور"
m²,m²,m²,م²
m³,m³,m³,م³
"nanometer,nanometers,nm","nanomètre,nanomètres,nanometre,nanometres,nm","Nanometer,Nanometer,nm","نانومتر، نانومترات,نانومتر"
"nanosecond,nanoseconds,ns","nanoseconde,nanosecondes,ns",,"نانو ثانية,نانو ثواني,نانو ثواني"
"nibble,nibbles","quartet,quartets","Nibble,Nibbles",نايبل،نايبل
nmi,"M,NM,nmi",sm,ميل بحري
"ounce,ounces,oz","once,onces,oz","Unze,Unzen,oz","أوقية,أوقية,أوقية"
"parsec,parsecs,pc","parsec,parsecs,pc","Parsec,Parsecs,pc","فرسخ فلكي,فراسخ فلكية,فرسخ فلكي"
"pebibit,pebibits,Pib","pébibit,pébibits,pebibit,pebibits,Pib","Pebibit,Pebibits,Pib","بيبيبت,بيبيبت,بيبيبت"
"pebibyte,pebibytes,PiB","pébioctet,pébioctets,pebioctet,pebioctets,Pio","Pebibyte,Pebibytes,PiB","بيبيبايت,بيبيبايت,بيبيبايت"
"petabit,petabits,Pb","pétabit,pétabits,petabit,petabits,Pb","Petabit,Petabit,Pb","بيتابت,بيتابت,بيتابت"
"petabyte,petabytes,PB","pétaoctet,pétaoctets,petaoctet,petaoctets,Po","Petabyte,Petabyte,PB","بيتابايت,بيتابايت,بيتابايت"
"pint,pints,pt","pinte,pintes,pt","Pint,Pinte,pt","نصف لتر,أنصاف لتر,نصف لتر"
"point,pt,points,pts","point,pt,points,pts","Punkt,Pt,Punkte,Pte","نقطة,نقطة,نقاط,نقاط"
"pound,pounds,lb,lbs","livre,livres","Pfund,Pfund,lb,lbs","رطل,أرطال,رطل,رطل"
"quart,quarts,qt","quart,quarts,qt","Quart,Quarten,qt","كوارت,كوارتات,كوارت"
"radian,radians,rad","radian,radians,rad","Radiant,Radiant,rad",راديان،راديان،راد
"second,seconds,s","seconde,secondes,s","Sekunde,Sekunden,s","ثانية,ثواني,ث"
"stone,st,stones","stone,st,stones","Stone,st,Stones","حجر,حجر,أحجار"
"tebibit,tebibits,Tib","tébibit,tébibits,tebibit,tebibits,Tib","Tebibit,Tebibits,Tib","تيبيبت,تيبيبت,تيبيبت"
"tebibyte,tebibytes,TiB","tébioctet,tébioctets,tebioctet,tebioctets,Tio","Tebibyte,Tebibytes,TiB","تيبيبايت,تيبيبايت,تيبيبايت"
"terabit,terabits,Tb","térabit,térabits,terabit,terabits,Tb","Terabit,Terabit,Tb","تيرابت,تيرابت,تيرابت"
"terabyte,terabytes,TB","téraoctet,téraoctets,teraoctet,teraoctets,To","Terabyte,Terabytes,TB","تيرابايت,تيرابايت,تيرابايت"
"terahertz,THz","terahertz,THz","Terahertz,THz","تيراهرتز,تيراهرتز"
to,vers,zu,إلى
