
%'d / %'d,%'d / %'d,%'d / %'d,%'d / %'d
%'dnd link to %s,,,الوصلة %I'd إلى %s
%'drd link to %s,,,الوصلة %I'd إلى %s
%'dst link to %s,,,الوصلة %I'd إلى %s
%'dth link to %s,,,الوصلة %I'd إلى %s
%-e %b,,,%-e %B
%-e %b %H:%M,,,%-e %B %H:%M
%-e %b %Y,%-e %b %Y,%-e. %b %Y,%-e %B %Y
%-e %b %Y %H:%M,,,%-e %B %Y %H:%M
%-e %b %Y %l:%M %p,,,%-e %B %Y %l:%M %p
%-e %b %l:%M %p,,,%-e %B %l:%M %p
%H:%M,,,%OH:%OM
%a,,,%A
%a %H:%M,,,%A %H:%M
%a %l:%M %p,,,%A %l:%M %p
%c,,,%-e %B %Y %-l:%M %p
%d MB,,,%d م.ب
%f N / %f W (%.0f m),,,%f ش / %f ج (%.0f م)
%l:%M %p,,,%l:%M %p
"%s %s, %s %s",,,%s %s، %s %s
%s (%'dnd copy)%s,,,%s (نسخة %I'd)%s
%s (%'drd copy)%s,,,%s (نسخة %I'd)%s
%s (%'dst copy)%s,,,%s (نسخة %I'd)%s
%s (%'dth copy)%s,,,%s (نسخة %I'd)%s
%s (%s),%s (%s),%s (%s),%s (%s)
%s (another copy)%s,,,%s (نسخة أخرى)%s
%s (copy)%s,,,%s (نسخة)%s
%s / %s,%s / %s,%s / %s,%s / %s
%s Properties,,,خصائص %s
%s Visible Columns,,,‏%s أعمدة مرئية
%s document,,,مستند ‏%s
%s more space is required to copy to the destination.,%s d’espace supplémentaire est requis pour copier vers la destination.,"%s zusätzlicher Platz ist nötig, um zum Zielort zu kopieren.",النسخ إلى الوجهة المطلوبة يحتاج مساحة إضافية %s.
Format,Format,Format,هيّء
Forward,En avant,Vor,إلى الأمام
Free space:,,,المساحة الخالية:
Full Text,,,كل النّص
GEOMETRY,,,الأبعاد
General,Général,Allgemein,عام
Go back,,,ارجع للخلف
Go down,,,اذهب للأسفل
Go forward,,,اذهب إلى الأمام
Go to home folder,,,اذهب إلى مجلد المنزل
Go to next tab,,,اذهب إلى اللسان التالي
Go to previous tab,,,اذهب إلى اللسان السابق
Go up,,,اذهب للأعلى
Grid view,,,منظور الشبكة
Group,Groupe,Gruppe,المجموعة
Group:,,,المجموعة:
Height,Hauteur,Höhe,الارتفاع
Home,Dossier personnel,Persönlicher Ordner,المنزل
ISO Speed Rating,Vitesse ISO,ISO-Empfindlichkeit,ترتيب ISO للسرعة
Icon View,,,منظور الأيقونات
Icon View Captions,,,عناوين منظور الأيقونات
"If set to true, newly opened windows will have the location bar visible.",,,إذا ضبط كصحيح، فسيظهر شريط الموقع في النوافذ التي ستفتح جديدا.
"If set to true, newly opened windows will have the side pane visible.",,,إذا ضبط كصحيح، فسيظهر الشريط الجانبي في النوافذ التي ستفتح جديدا.
"If set to true, then Nautilus browser windows will always use a textual input entry for the location toolbar, instead of the pathbar.",,,إذا ضبط كصحيح، فستستخدم دائما نوافذ متصفح نوتلس عنصر دَخِْل نصي لشريط أدوات الموقع بدلا من شريط المسار.
"If set to true, then Nautilus will ask for confirmation when you attempt to delete files, or empty the Trash.",,,إذا ضبط كصحيح، فسيسأل نوتلس عن التأكيد عند محاولتك وضع ملفات في المهملات.
"If set to true, then Nautilus will show a delete permanently context menu item to bypass the Trash.",,,إذا ضبط كصحيح، فسيسأل نوتلس عن التأكيد عند محاولتك وضع ملفات في المهملات.
"If set to true, then Nautilus will show context menu items to create links from the copied or selected files.",,,إذا ضبط كصحيح، فسيسأل نوتلس عن التأكيد عند محاولتك وضع ملفات في المهملات.
"If set to “after-current-tab”, then new tabs are inserted after the current tab. If set to “end”, then new tabs are appended to the end of the tab list.",,,إذا ضبط إلى ”after-current-tab“ فستدرج الألسنة الجديدة بعد اللسان الحالي. إذا ضبط إلى ”end“ فستلحق الألسنة الجديدة بآخر قائمة الألسنة.
"If this is set to true, when performing a drag and drop operation the hovered folder will open automatically after a timeout.","Si défini à vrai, lors d’un glisser-déposer le dossier survolé s’ouvre automatiquement après un délai.","Legt fest, ob der Ordner unter dem Mauszeiger beim Ziehen-und-Ablegen nach einer Weile geöffnet werden soll.",إذا ضبط كصحيح، ستوضع أيقونة تصل بالمجلد المنزلي فوق سطح المكتب.
"If true, files in new windows will be sorted in reverse order. I.e., if sorted by name, then instead of sorting the files from “a” to “z”, they will be sorted from “z” to “a”; if sorted by size, instead of being incrementally they will be sorted decrementally.","Si vrai (coché), les fichiers dans les nouvelles fenêtres sont triés dans l’ordre inverse. C’est-à-dire, s’ils sont triés par nom, ils sont classés de « z » à « a » au lieu d’être classés de « a » à « z ». S’ils sont triés par taille, ils sont classés par ordre de taille décroissante au lieu de l’être par ordre de taille croissante.","Legt fest, ob Dateien in neu geöffneten Fenstern in umgekehrter Reihenfolge sortiert werden sollen. Falls sie dem Namen nach sortiert werden, so werden die Dateien nicht von »a« nach »z«, sondern von »z« nach »a« angezeigt; falls sie der Größe nach sortiert werden, werden sie auf- statt absteigend angezeigt.","إذا ضبط كصحيح، سترتب الملفات في النوافذ الجديدة بالإتجاه المعاكس. مثلا، عند الترتيب حسب الاسم سترتب الملفات من ""ي"" إلى ""ا"" عوض أن ترتّب من ""ا"" إلى ""ي"". إذا رتبت بحسب الحجم فسترتب تنازليتا عوضا عن أن ترتب تصاعديا."
"If you delete an item, it will be permanently lost.",,,إذا حذفت عنصر، سيضيع نهائيا.
"If you don’t trust this location or aren’t sure, press Cancel.","Si vous ne faites pas confiance à cet emplacement ou n’êtes pas sûr, cliquez sur Annuler.","Wenn Sie diesem Ort nicht vertrauen oder unsicher sind, so klicken Sie bitte auf »Abbrechen«.",إذا كنت لا تثق في هذا المكان أو لست متأكدا مما تفعله فانقر على ألغِ.
Illustration,Figure,Illustration,رسم توضيحي
Image,Image,Bild,الصورة
Image Type,Type d’image,Bildtyp,نوع الصورة
Images over this size (in megabytes) won’t be thumbnailed. The purpose of this setting is to avoid thumbnailing large images that may take a long time to load or use lots of memory.,Les images plus grandes que cette taille (en méga-octets) ne sont pas mises en vignette. L’objectif de ce paramètre est d’éviter la mise en vignette d’images trop grandes qui seraient trop longues à charger ou utiliseraient trop de mémoire.,"Von Bildern, die größer sind als dieser Wert (in Megabyte), wird kein Miniatur-Vorschaubild angelegt. Der Zweck dieses Schlüssels besteht darin, das Anlegen von Miniatur-Vorschaubildern großer Bilder zu verhindern, weil dies lange Ladezeiten oder hohen Speicherverbrauch zur Folge hätte.",لن تستعرض صور ذات حجم أكبر من هذا الحجم (بالبايت). هدف هذا الإعداد تجنب استعراض الصور الكبيرة التي قد تستغرق وقتا طويلا لتحميلها أو قد تستهلك الكثير من الذاكرة.
In order to regain the free space on this volume the trash must be emptied. All trashed items on the volume will be permanently lost.,,,لتستعيد المساحة الخالية على هذا الجزء يجب إفراغ المهملات. كل الملفات في المهملات ستُفقد للأبد.
Invert selection,,,اعكس الاختيار
Keywords,Mots-clés,Stichwörter,كلمات مميزة
Large,,,كبير
Last Created,Dernier créé,Zuletzt erstellt,آخر إنشاء
Last Modified,Dernier modifié,Zuletzt geändert,آخر تعديل
Last Modified,Dernière modification,Letzte Änderung,آخر تعديل
Last Trashed,Date de dernier rebut,Zuletzt in den Papierkorb verschoben,آخر حذف
Last modified,Date de dernière modification,Zuletzt geändert,آخر تعديل
Last used,Date de dernière utilisation,Zuletzt verwendet,آخر استخدام
Last modified:,Dernière modification :,Änderungsdatum:,آخر تعديل:
Link,Lien,Verknüpfung,وصلة
Link (broken),Lien (brisé),Verknüpfung (fehlerhaft),وصلة (معطوبة)
Link Creation,,,إنشاء الوصلة
Link target:,,,وِجهة الوصلة:
Link to %s,Lien vers %s,Verknüpfung mit %s,وصلة إلى %s
List Columns,,,أعمدة القوائم
List View,Vue en liste,Listenansicht,منظور القائمة
List files only,,,سرد الملفات فقط
List of possible captions on icons,Liste des légendes possibles sur les icônes,Liste zulässiger Symbolbeschriftungen,قائمة للعناوين الممكنة للأيقونات
List view,,,منظور القائمة
Loading…,Chargement…,Ladevorgang …,يُحمّل…
Local Files Only,,,الملفات المحلية فقط
Location,,,المكان
Location bar with home location,,,شريط المكان مع المنزل
Location bar with root location,,,شريط المكان مع الجذر
Markup,Balisage,Markup,رقْم
Maximum image size for thumbnailing,Taille d’image maximale pour la mise en vignettes,Maximale Bildgröße für Miniatur-Vorschaubilder,حجم الصور الأقصى عند الاستعراض
Me,,,أنا
Merge,,,ادمج
Merge Folder,Fusionner le dossier,Ordner zusammenführen,ادمج المجلد
Merge All,Tout fusionner,Alle zusammenführen,ادمج الكل
Merge folder “%s”?,Fusionner le dossier « %s » ?,Ordner »%s« zusammenführen?,أأدمج المجلد ”%s“؟
Merge with,,,ادمج مع
Merging will ask for confirmation before replacing any files in the folder that conflict with the files being copied.,La fusion demandera une confirmation avant remplacement de tout fichier du dossier entrant en conflit avec les fichiers en cours de copie.,"Falls Sie die Ordner zusammenführen möchten und Dateien gleichen Namens bereits existieren, so werden Sie um Bestätigung gefragt, bevor Dateien im Ordner ersetzt werden.",الدمج سيسأل التأكيد قبل استبدال أي ملفات في المجلد تتعارض مع الملفات الجاري نسخها.
Metadata,Métadonnées,Metadaten,البيانات الفوقية
Metering Mode,Mode de mesure,Messverfahren,نمط القياس
Move to Trash,Mettre à la corbeille,In den Papierkorb verschieben,انقل إلى المهملات
Modified,Dernière modification,Geändert,آخر تعديل
Modified — Time,,,آخر تعديل — الوقت
Modified:,,,عُدِّل:
Move Tab Left,Déplacer l’onglet vers la gauche,Reiter nach links verschieben,انقل اللسان يسارا
Move Tab Right,Déplacer l’onglet vers la droite,Reiter nach rechts verschieben,انقل اللسان يمينا
Move tab left,,,انقل اللسان يسارا
Move tab right,,,انقل اللسان يمينا
Move to trash,,,انقل إلى المهملات
Move to…,Déplacer vers…,Verschieben nach …,انقل إلى…
Move “%s” back to trash,Remettre « %s » à la corbeille,»%s« zurück in den Papierkorb verschieben,أعد ”%s“ إلى المهملات
Move “%s” back to “%s”,Restaurer « %s » vers « %s »,»%s« zurück nach »%s« verschieben,أعد ”%s“ إلى ”%s“
Move “%s” to trash,Mettre « %s » à la corbeille,»%s« in den Papierkorb verschieben,انقل ”%s“ إلى المُهملات
Move “%s” to “%s”,Déplacer « %s » vers « %s »,»%s« nach »%s« verschieben,انقل ”%s“ إلى ”%s“
Moved “%s” to “%s”,« %s » déplacé vers « %s »,»%s« wurde nach »%s« verschoben,نقل ”%s“ إلى ”%s“
Moving Files,Déplacement des fichiers,Dateien werden verschoben,نقل الملفات
Moving “%s” to “%s”,Déplacement de « %s » vers « %s »,»%s« wird nach »%s« verschoben,ينقل ”%s“ إلى ”%s“
Music,Musique,Musik,موسيقى
Never,,,أبدًا
Name,Nom,Name,الاسم
Name cannot be empty.,Le nom ne peut pas être vide.,Name darf nicht leer sein.,لا يمكن ترك الاسم فارغًا.
Name cannot contain “/”.,Le nom ne peut pas contenir « / ».,Der Name darf kein »/« enthalten.,لا يمكن أن يحتوي الاسم على ”/“.
Nautilus,,,نوتلس
Nautilus 3.6 deprecated this directory and tried migrating this configuration to ~/.local/share/nautilus,,,أبطل نوتيلس 3.6 هذا المجلد، وحاول نقل الإعدادات إلى ‪~/.local/share/nautilus‬
"Nautilus supports all the basic functions of a file manager and more. It can search and manage your files and folders, both locally and on a network, read and write data to and from removable media, run scripts, and launch applications. It has three views: Icon Grid, Icon List, and Tree List. Its functions can be extended with plugins and scripts.",,,يدعم نوتلس كل الوظائف الأساسية لمدير سطح المكتب بالإضافة إلى خصائص أخرى. يمكنك البحث في ملفاتك و مجلداتك و إدارتها، محليًا أو عبر الشبكة، و قراءة و كتابة البيانات من و إلى الوسائط المنفصلة، و تشغيل البرامج. لنوتلس ثلاث منظورات: شبكة الأيقونات، و قائمة الأيقونات، و القائمة الشجرية. يمكنك توسيع خصائصه باستخدام الملحقات.
"Nautilus, also known as Files, is the default file manager of the GNOME desktop. It provides a simple and integrated way of managing your files and browsing your file system.",,,نوتلس، أو الملفات، هو مدير الملفات المبدئي لسطح مكتب جنوم. يوفر طريقة سهلة و متكاملة مع سطح المكتب لتصفح نظام الملفات.
Navigation,Navigation,Navigation,الإبحار
Never,,,أبدًا
Network File System,Système de fichiers réseau (NFS),Network File System (NFS),نظام ملفات الشبكة
Networks,,,الشبكات
Never,Jamais,Nie,أبدًا
New Folder,Nouveau dossier,Neuer Ordner,مجلّد جديد
New Window,Nouvelle fenêtre,Neues Fenster,نافذة جديدة
New Document,Nouveau document,Neues Dokument,مستند جديد
New Folder,,,مجلد جديد
New Folder…,Nouveau dossier…,Neuer Ordner …,مجلد جديد…
New Window,Nouvelle fenêtre,Neues Fenster,نافذة جديدة
New tab,Nouvel onglet,Neuer Reiter,لسان جديد
New window,,,نافذة جديدة
No Results Found,Aucun résultat trouvé,Keine Ergebnisse gefunden,لا توجد نتائج
No network locations found,,,لم توجد أماكن شبكة
No recent servers found,,,لم يُعثر على خواديم حديثة
No results found,,,لا توجد نتائج
None,Aucun,Keiner,لا شيء
Not allowed to set group,Vous n’êtes pas autorisé à définir le groupe,Setzen der Gruppe nicht erlaubt,غير مسموح بتعيين مجموعة
Not allowed to set owner,Vous n’êtes pas autorisé à définir le propriétaire,Setzen des Besitzers nicht erlaubt,غير مسموح بتعيين المالك
Not allowed to set permissions,Vous n’êtes pas autorisé à définir les permissions,Setzen der Zugriffsrechte nicht erlaubt,غير مسموح بضبط التصاريح
Not enough free space to extract %s,,,لا مساحة كافية لاستخراج %s
On This Computer,,,على هذا الحاسوب
Only for files smaller than:,,,فقط للملفات الأصغر من:
Only create windows for explicitly specified URIs.,,,أنشئ نوافذ فقط للعناوين المحددة صراحة.
Only searching the current folder,,,يبحث في المجلد الحالي فقط
Oops! Something went wrong.,Oups ! Quelque chose s’est mal passé.,Ups! Etwas ist schief gegangen.,آسف! حدثت مشكلة ما.
Oops! There was a problem running this software.,Oups ! Il y a eu un problème lors de l’exécution de ce logiciel.,Ups! Es gab ein Problem beim Ausführen dieser Software.,آسف! حدثت مشكلة أثناء تشغيل البرنامج.
Open,Ouvrir,Öffnen,افتح
Open %s,Ouvrir %s,%s öffnen,افتح %s
Open Action,,,إجراء الفتح
Open In New Tab,,,افتح في لسان جديد
Open In New Window,,,افتح في نافذة جديدة
Open With,,,افتح باستخدام
Open With %s,Ouvrir avec %s,Mit %s öffnen,افتح باستخدام %s
Open With Other Application,,,افتح بتطبيق آخر
Open all files of type “%s” with,,,افتح كل الملفات من نوع ”%s“ باستخدام
Open file and close window,,,افتح الملف و أغلق النافذة
Open in Disks,,,افتح في برنامج الأقراص
Open in New Tab,Ouvrir dans un nouvel onglet,In neuem Reiter öffnen,افتح في لسان جديد
Open in New Window,Ouvrir dans une nouvelle fenêtre,In neuem Fenster öffnen,افتح في نافذة جديدة
Open in new tab,,,افتح في لسان جديد
Open in new window,,,افتح في نافذة جديدة
Open item location (search and recent only),,,افتح مكان العنصر (البحث و الملفات الحديثة فقط)
Open tab,,,افتح لسان
Open with default application,,,افتح بالتطبيق المبدئي
Open with:,Ouvrir avec :,Öffnen mit:,افتح باستخدام:
Opening,Ouverture,Öffnen,الفتح
Opening “%s”.,Ouverture de « %s ».,»%s« wird geöffnet.,يفتح ”%s“.
Original File Name,Nom du fichier original,Ursprünglicher Dateiname,اسم الملف الأصلي
Original Location,Emplacement d’origine,Ursprungsort,المكان الأصلي
Original Name (Ascending),Nom original (croissant),Ursprünglicher Name (aufsteigend),الاسم الأصلي (تصاعديًا)
Original Name (Descending),Nom original (décroissant),Ursprünglicher Name (absteigend),الاسم الأصلي (تنازليًا)
Original file,,,الملف الأصلي
Original file name,Nom du fichier original,Ursprünglicher Dateiname,اسم الملف الأصلي
Original folder,,,المجلد الأصلي
Original folder:,,,المجلد الأصلي:
Original location of file before moved to the Trash,Emplacement d’origine du fichier avant sa mise à la corbeille,Ort der Datei vor dem Löschen,المكان الأصلي للملف قبل نقله إلى المهملات
Other,Autre,Andere,أخرى
Other Locations,,,أماكن أخرى
Other Type…,Autre type…,Anderer Typ …,فئة أخرى…
Others,Autres,Andere,أخرى
Others:,,,أخرى:
Owner,Propriétaire,Besitzer,المالك
Owner:,,,المالك:
PDF / PostScript,PDF / Postscript,PDF / PostScript,PDF / PostScript
Properties,Propriétés,Eigenschaften,الخصائص
Parent folder,Dossier parent,Übergeordneter Ordner,المجلد الحاوي
Parent folder:,,,المجلد الحاوي:
Password-protected archives are not yet supported. This list contains applications that can open the archive.,,,الأرشيفات المحمية بكلمات سر غير مدعومة. تحتوي هذه القائمة على البرامج التي تستطيع فتح هذا الأرشيف.
Paste,Coller,Einfügen,ألصق
Perform a quick set of self-check tests.,,,أجرِ مجموعة سريعة من الفحوص الذاتية.
Permissions,Permissions,Zugriffsrechte,التصاريح
Photo CD,CD photo,Foto-CD,اسطوانة صور فوتوغرافية
Picture,Image,Bild,صورة
Picture CD,,,اسطوانة صور
Please drop just one image to set a custom icon.,Ne déposer qu’une seule image pour définir une icône personnalisée.,"Bitte ziehen Sie immer nur ein Bild, um ein benutzerdefiniertes Symbol festzulegen.",رجاء أفلت صورة واحدة فقط لضبط أيقونة مخصصة.
Please rename the symbolic link or press the skip button.,Veuillez renommer le lien symbolique ou appuyer sur le bouton ignorer.,Bitte benennen Sie die symbolische Verknüpfung um oder klicken Sie auf »Überspringen«.,رجاء غيّر اسم الرابط الرمزي أو اضغط على زر التخطي.
"Possible values are “single” to launch files on a single click, or “double” to launch them on a double click.",Les valeurs possibles sont « single » pour lancer les fichiers d’un seul clic ou « double » pour les lancer d’un double-clic.,Zulässige Werte: »single« (Dateien per Einzelklick starten) sowie »double« (Dateien per Doppelklick starten).,"القيم الممكنة هي ""single"" (مفرد) لبدء الملفات بنقرة واحدة، أو ""double"" (مزدوج) لبدئها بنقر ثنائي."
Preferences,,,التفضيلات
Preferences,,,التفضيلات
Prefix,Préfixe,Präfix,السابقة
Preparing,Préparation,Vorbereiten,يُحضّر
Preparing to extract,Préparation de l’extraction,Entpacken wird vorbereitet,يحضر للاستخراج
Preparing to move to “%s”,Préparation du déplacement vers « %s »,Verschieben nach »%s« wird vorbereitet,يُحضر للنقل إلى ”%s“
Presentation,Présentation,Präsentation,عرض تقديمي
Program,Application,Programm,برنامج
Properties,Propriétés,Eigenschaften,الخصائص
Put files in this folder to use them as templates for new documents.,,,ضع ملفات هذا المجلد لاستخدامهم كقوالب للمستندات الجديدة.
Quit Nautilus.,Quitte Nautilus.,Nautilus beenden.,أنهِ نوتلس.
Reload,Actualiser,Neu laden,أعد التحميل
Rating,Classement,Bewertung,التقييم
Rename,,,غيّر الاسم
Replace,,,استبدل
Read and write,,,قراءة وكتابة
Read-only,,,قراءة فقط
Recency,Âge,Neuheit,الحداثة
Recent Servers,,,الخواديم الحديثة
Redo,Rétablir,Wiederholen,أعِد
Redo last undone action,Refaire la dernière opération annulée,Die zuletzt rückgängig gemachte Aktion wiederholen,أعِد آخر إجراء متراجع عنه
Refresh view,,,أنعش المنظور
Relevance,Pertinence,Relevanz,المطابقة
Relevance rank for search,Niveau de pertinence pour la recherche,Relevanzrang der Suche,درجة مطابقة البحث
Remote location — only searching the current folder,,,مكان بعيد — يبحث في المجلد الحالي فقط
Rename…,Renommer…,Umbenennen …,غيّر الاسم…
Rename,Renommer,Umbenennen,غيّر الاسم
Rename using a template,Renommer en utilisant un modèle,Umbenennen anhand einer Vorlage,غيّر الاسم باستخدام قالب
Rename “%s” as “%s”,Renommer « %s » en « %s »,»%s« in »%s« umbenennen,غيّر اسم ”%s“ إلى ”%s“
Renaming “%s” to “%s”.,Renommage de « %s » en « %s ».,»%s« wird in »%s« umbenannt.,يُغيّر اسم ”%s“ إلى ”%s“.
Replace,Remplacer,Ersetzen,استبدل
Replace With,Remplacer par,Ersetzen durch,استبدل ب‍
Replace All,Tout remplacer,Alle ersetzen,استبدل الكل
Replace file “%s”?,Remplacer le fichier « %s » ?,Datei »%s« ersetzen?,أأستبدل الملف ”%s“؟
Replace folder “%s”?,Remplacer le dossier « %s » ?,Ordner »%s« ersetzen?,أأستبدل المجلد ”%s“؟
Replace the current List Columns settings with the default settings,,,أرجع إعدادات أعمدة القائمة إلى الإعدادات المبدئية
Replace with,,,استبدل
Replacing it will overwrite its content.,Le remplacer écrasera son contenu.,"Falls Sie sie ersetzen, wird ihr Inhalt überschrieben.",استبداله سيستبدل محتواه.
Replacing it will remove all files in the folder.,Le remplacer supprimera tous les fichiers qu’il contient.,Ersetzen wird alle Dateien in diesem Ordner entfernen.,استبداله سيحذف كل الملفات داخل المجلد.
Reset,,,صفّر
Reset to Default,,,استعد المبدئي
Reset zoom,,,صفّر التقريب
Restore group of “%s” to “%s”,Restaurer le groupe de « %s » à « %s »,Gruppe von »%s« auf »%s« wiederherstellen,استعد مجموعة ”%s“ إلى ”%s“
Restore original permissions of items enclosed in “%s”,Restaurer les permissions d’origine des éléments inclus dans « %s »,Ursprüngliche Zugriffsrechte der in »%s« enthaltenen Objekte wiederherstellen,استعد التصاريح الأصلية للعناصر المُضمنة في ”%s“
Restore original permissions of “%s”,Restaurer les permissions d’origine de « %s »,Ursprüngliche Zugriffsrechte von »%s« wiederherstellen,استعد تصاريح ”%s“ الأصلية
Restore owner of “%s” to “%s”,Restaurer le propriétaire de « %s » à « %s »,Eigentümer von »%s« als »%s« wiederherstellen,استعد مالك ”%s“ إلى ”%s“
Restore selected items to their original position,,,أعد العناصر المختارة إلى مواضعها الأصلية
Restore tab,,,استعد اللسان
Restore “%s” from trash,Restaurer « %s » depuis la corbeille,»%s« aus dem Papierkorb wiederherstellen,استعد ”%s“ من المُهملات
Restore “%s” to “%s”,Restaurer « %s » vers « %s »,»%s« als »%s« wiederherstellen,استعد ”%s“ إلى ”%s“
Reverse sort order in new windows,Inverser l’ordre de tri dans les nouvelles fenêtres,Sortierreihenfolge in neu geöffneten Fenstern umkehren,اقلب ترتيب التصنيف في النوافذ الجديدة
Run,Lancer,Ausführen,شغّل
Run Software,Lancer le logiciel,Software ausführen,شغّل البرمجيات
Run in Terminal,,,شغّل في الطرفية
SSH File Transfer Protocol,Protocole de transfert de fichiers SSH (SFTP),SSH File Transfer Protocol (SFTP),بروتوكول نقل الملفات عبر الصدفة المُؤمّنة
Skip All,Tout ignorer,Alle überspringen,تخطى الكل
Samba,Samba,Samba (Windows-Dateifreigabe),سامبا
Search,Recherche,Suchen,ابحث
Search & Preview,,,البحث و المعاينة
Search for “%s”,Recherche de « %s »,Nach »%s« suchen,ابحث عن ”%s“
Search in subfolders:,,,ابحث في المجلّدات الفرعية:
Search on the file content and name,,,ابحث في اسم الملف و محتواه
Search only on the file name,,,ابحث في اسم الملف فقط
Searching for network locations,,,يبحث عن أماكن الشبكة
Searching locations only,,,يبحث في الأماكن فقط
Searching network locations only,,,يبحث عن أماكن الشبكة فقط
Searching…,Recherche…,Suchen läuft …,يبحث…
Season Number,Numéro de saison,Nummer der Staffel,رقم الجزء
Season number,Numéro de saison,Nummer der Staffel,رقم الجزء
Second,,,ثاني
Security context:,,,سياق الأمن:
Select,,,اختر
Select Copy Destination,Sélectionner une destination pour la copie,Kopierziel auswählen,اختر وِجهة النسخ
Select Custom Icon,Sélectionnez une icône personnalisée,Benutzerdefiniertes Symbol wählen,اختر أيقونة مخصصة
Select Dates…,Sélectionner les dates…,Daten wählen …,اختر التواريخ…
Select Extract Destination,Sélectionner une destination pour l’extraction,Ziel für die Entpackung auswählen,اختر وِجهة الاستخراج
Select Items Matching,Sélection d’éléments selon un motif,Nach Muster auswählen,اختر العناصر المطابقة
Select Move Destination,Sélectionner une destination pour le déplacement,Verschiebungsziel auswählen,اختر وِجهة النقل
Select All,Tout sélectionner,Alles auswählen,اختر الكل
Select a date,,,اختر تاريخًا
Select all,,,اختر الكل
Select an application to open “%s” and other files of type “%s”,,,اختر تطبيقا لفتح ”%s“ وباقي الملفات من نوع ”%s“
Select items matching,,,اختر العناصر المطابقة
Select specified URI in parent folder.,Sélectionne l’URI spécifiée dans le dossier parent.,Wählen Sie die vorgegebene Adresse im übergeordneten Ordner.,اختر أي الأعمدة ستكون مرئية في هذا المجلد
Select type,,,اختر نوع
Send file by mail…,,,أرسل الملف بالبريد…
Send files by mail…,,,أرسل الملفات بالبريد…
Send to…,,,أرسل إلى…
Server Addresses,Adresses de serveurs,Serveradressen,عناوين الخوادوم
Server addresses are made up of a protocol prefix and an address. Examples:,Les adresses de serveurs sont constituées d’un préfixe de protocole et d’une adresse. Exemples :,Serveradressen bestehen aus einem Protokollpräfix und einer Adresse. Beispiele:,تتكون عناوين الخواديم من سابقة بروتوكول و عنوان. مثلا:
Set As Wallpaper,,,اجعلها الخلفية
Set as default,,,اجعله المبدئي
Set group of “%s” to “%s”,Définir le groupe de « %s » à « %s »,Gruppe von »%s« als »%s« festlegen,اضبط مجموعة ”%s“ إلى ”%s“
Set owner of “%s” to “%s”,Définir le propriétaire de « %s » à « %s »,Eigentümer von »%s« als »%s« festlegen,اضبط مالك ”%s“ إلى ”%s“
Set permissions of items enclosed in “%s”,Définir les permissions des éléments inclus dans « %s »,Die Zugriffsrechte der in »%s« enthaltenen Objekte bearbeiten,اضبط التصاريح للعناصر المضمنة في ”%s“
Set permissions of “%s”,Définir les permissions de « %s »,Die Zugriffsrechte von »%s« bearbeiten,اضبط تصاريح ”%s“
Setting permissions,Définition des permissions,Zugriffsrechte werden gesetzt,تحديد التصاريح
Shortcuts,Raccourcis,Tastenkürzel,الاختصارات
Show Details,Afficher les détails,Details anzeigen,أظهر التفاصيل
Show Hidden Files,Afficher les fichiers cachés,Verborgene Dateien anzeigen,أظهر الملفات المخفيّة
Show a calendar to select the date,,,اعرض تقويم لاختيار التاريخ
Show a list to select the date,,,اعرض قائمة لاختيار التاريخ
Show action to permanently delete files and folders,,,أظهر إجراء الحذف النهائي للملفات و المجلدات
Show action to create symbolic links,,,أظهر إجراء إنشاء الوصلات الرمزية
Show help,,,اعرض المساعدة
Show item properties,,,اعرض خصائص العنصر
Show location bar in new windows,,,اعرض شريط الموقع في النوافذ الجديدة
Show operations,,,أظهر العمليات
Show side pane in new windows,,,اعرض الشريط الجانبي في النوافذ الجديدة
Show the package installer for unknown MIME types,Afficher le gestionnaire de paquets pour les types MIME inconnus,Den Installationsdialog für unbekannte MIME-Typen anzeigen,اعرض مثبت الحزم لأنواع MIME المجهولة
Show the version of the program.,Affiche la version du programme.,Die Versionsnummer des Programms anzeigen.,اعرض إصدارة البرنامج.
Show thumbnails:,,,أظهر المصغرات:
Show/hide action menu,,,افتح أو أغلق قائمة الإجراءات
Show/hide hidden files,,,أظهر أو أخْف الملفات المخفيّة
Show/hide sidebar,,,أظهر أو أخْف الشريط الجانبي
Shows if file is starred.,Indique si le fichier est marqué comme favori.,"Anzeigen, ob die Datei als Favorit markiert ist.",اعرض ما إذا كان على الملف نجمة
Sidebar,Panneau latéral,Seitenleiste,الشريط الجانبي
Since…,Depuis…,Seit …,منذ…
Size,Taille,Größe,الحجم
Size:,Taille :,Größe:,الحجم:
Slashes are not allowed in filenames,Les barres obliques ne sont pas autorisées dans les noms de fichiers,Schrägstriche sind in Dateinamen nicht erlaubt,لا يُسمح باستخدام الشرطات المائلة في أسماء الملفات
Small,,,صغير
Smaller archives but Linux and Mac only.,Fichiers d’archive plus légers mais compatibilité restreinte à Linux et Mac.,"Kleinere Archive, jedoch nur für Linux und Mac.",ملفات مضغوطة أصغر لكن لينكس و ماك فقط.
Smaller archives but must be installed on Windows and Mac.,"Fichiers d’archive plus légers, mais nécessite une installation sur Windows et Mac.","Kleinere Archive, jedoch muss für Windows und macOs Software installiert werden.",ملفات مضغوطة أصغر لكن يجب تثبيته على وندوز و ماك.
Software,Logiciel,Software,البرمجيات
