
"""Lower"" 0%",« Inférieur » 0 %,»Unter« 0%,أدنى:
Create a list,Crée une liste,Eine Liste zeichnen,انشيء %s
Create a new view of the workbook,Crée une nouvelle vue du classeur,Eine neue Arbeitsbuchansicht erzeugen,أنشيء دفتر عناوين جديد
Create a new workbook,Créer un nouveau classeur,Eine neues Arbeitsbuch anlegen,أنشيء دفتر عناوين جديد
Create a radio button,Créer un bouton radio,Einen Radioknopf zeichnen,أنشئ حساباً
Create a rectangle object,Crée un objet rectangle,Ein Rechteckobjekt erzeugen,انشيء مشروع جديد
Create a scrollbar,Crée une barre de défilement,Einen Rollbalken zeichnen,انشيء %s
Create a slider,Crée un ascenseur,Einen Schieberegler zeichnen,أنشيء مجلّد
Create a spin button,Crée un bouton tournant,Ein Einstellfeld zeichnen,حدّث الزر اللولبي
Create an arrow object,Crée un objet flèche,Ein Pfeilobjekt erzeugen,انشيء مشروع جديد
Create an ellipse object,Crée un objet ellipse,Ein Ellipsenobjekt erzeugen,انشيء مشروع جديد
Created on,Créé le,Erstellt am,إنشاء
Creating a Data Table in %s,Création d'un tableau de données dans %s,Eine Datentabelle in %s wird erzeugt,انشيء قائمة مهام جديدة
Criteria,Critères,Kriterien,معايير:
Cut,Couper,Ausschneiden,قص
Cumulative moving average,Moyenne cumulative glissante,Zunehmender gleitender Mittelwert,نسبة الشحن
Currency,Devise,Währung,الحالي
Current Name,Nom actuel,Derzeitiger Name,الصفحة الحالية
Current Value:,Valeur actuelle :,Momentaner Wert:,القيمة الحالية
Current Values,Valeurs actuelles,Derzeitige Werte,القيمة الحالية
Current date,,,الصفحة الحالية
Current selection only,Sélection actuelle uniquement,Nur die aktuelle Auswahl,المنتقى الحالي
Current time,,,السِمة الحالية
Current date and time,,,السِمة الحالية
Custom,Personnalisé,Benutzerdefiniert,مخصص:
Custom UI tools,Outils de personnalisation de l'interface,Spezielle Benutzeroberflächenwerkzeuge,خصّص أشرطة الأدوات
Custom date format,Format de date personnalisé,Benutzerdefiniertes Datumsformat,خصّص أشرطة الأدوات
Custom footer configuration,Configuration personnalisée du pied de page,Konfiguration der Fußzeilen,إعدادات المكونات
Custom header configuration,Configuration personnalisée de l'en-tête,Konfiguration der Kopfzeilen,ضبط إعداد اللعبة
Custom time format,Format d'heure personnalisé,Benutzerdefiniertes Zeitformat,خصّص أشرطة الأدوات
Cut,Couper,Ausschneiden,قص
Cut Object,Couper l'objet,Objekt ausschneiden,جسم
Cut the selection,Couper la sélection,Die Markierung ausschneiden,قص المنتقى
Cutoff range:,Intervalle de la limite :,Unterbrechungsbereich:,اختر المجال:
DIR,DIR,RICH,DIR
Day,Jour,Tag,اليوم
Distributed,Distribué,Verteilt,الموزّع
Divide,Division,Dividieren,قسمة
Daniel Veillard,Daniel Veillard,Daniel Veillard,دانيال
Data,Données,Daten,قرص بيانات مدمج
Data (from %s),Donnée (depuis %s),Daten (von %s),مكالمة من %s
Data Bases...,Bases de données...,Datenbanken …,قاعدة بيانات
Data Consolidation,Consolidation des données,Datenkonsolidierung,إعداد مستوي
Data Interchange Format (*.dif),Data Interchange Format (*.dif),Data Interchange Format (*.dif),LDAP Data Interchange Format (.ldif)
Data Interchange Format (DIF) module,Module Data Interchange Format (DIF),Data Interchange Format (DIF)-Modul,LDAP Data Interchange Format (.ldif)
Data Slicer,Extraction de données,Demodulator,تقطيع
Data Table,Tableau de données,Datentabelle,قاعدة بيانات
Database,Base de données,Datenbank,قاعدة بيانات
Database Connection,Connexion à une base de données,Datenbankverbindung,استخدم اتصال TCP
Database Functions,Fonctions sur les bases de données,Datenbankfunktionen,دالات التاريخ و الساعة
Database UI services plugin,Greffon pour les interfaces graphiques de base de données,Plugin für Datenbankdienste bzgl. der Benutzeroberfläche,خادم قاعدة بيانات
Date,Date,Datum,التّاريخ:
Date and Time Functions,Fonctions de date et heure,Datums- und Zeitfunktionen,دالات التاريخ و الساعة
Date format selection,Sélection de la mise en forme des dates,Auswahl des Datumsformats,قص المنتقى
Date unit:,Unité de date :,Datumseinheit:,تاريخ الإرسال:
Date/Time,Date/Heure,Datum / Zeit,التّاريخ/الوقت
Debian packaging.,Empaquetage pour Debian.,Debian-Pakete.,المباعدة الافتراضية
Decrease Indent,Réduire l'indentation,Einzug vermindern,اخفض المحاذاة
Decrease Precision,Diminuer la précision,Genauigkeit vermindern,خفّض النسبة
Decrease precision,Diminuer la précision,Genauigkeit vermindern,خفّض النسبة
"Decrease the indent, and align the contents to the left",Diminue l'indentation et aligne le contenu sur la gauche,Die Einrückung verringern und die Inhalte nach links ausrichten,اختر كل محتويات الوثيقة
Decrease the number of decimals displayed,Diminue le nombre de décimales affichées,Die Anzahl der angezeigten Dezimalen vermindern,عدد الخانات العشرية لعرضها
Default,Défaut,Vorgabe,الإفتراضيّات
Default Black and White Printing,Impression en noir et blanc par défaut,Per Vorgabe Schwarz/Weiß drucken,إسم ملف الخلفية الإفتراضي
Default Bottom Margin,Marge inférieure par défaut,Vorgegebener unterer Rand,تحديد طبقة القاع
Default Bottom Outside Margin,Marge extérieure inférieure par défaut,Vorgegebener unterer Außenrand,تحديد طبقة القاع
Default Font Size,Taille de police par défaut,Vorgabeschriftgröße,نوع الخط الإفتراضي
Default Grid Line Printing,Impression des lignes de grille par défaut,Per Vorgabe Gitterlinien drucken,الشبكة الافتراضية
Default Header/Footer Font Size,Taille de police par défaut pour les en-têtes et pieds de page,Größe der Vorgabeschrift für Kopf-/Fußzeilen,خط الترويسة و الهامش
Default Horizontal Centering,Centrage horizontal par défaut,Per Vorgabe horizontal zentrieren,المؤشر الإفتراضي
Default Horizontal Window Size,Taille de fenêtre horizontale par défaut,Vorgegebene Fensterbreite,النّافذة الإفتراضية موسعة
Default Left Margin,Marge à gauche par défaut,Vorgegebener linker Rand,المباعدة الافتراضية
Default Number of Columns in a Sheet,Nombre de colonnes par défaut dans une feuille,Vorgegebene Anzahl von Spalten in einem Blatt,عدد المقاعد
Default Number of Rows in a Sheet,Nombre de lignes par défaut dans une feuille,Vorgegebene Anzahl von Zeilen in einem Blatt,عدد المقاعد
Default Number of Sheets,Nombre de feuilles par défaut,Vorgegebene Blattanzahl,عدد المقاعد
Default Number of columns in a sheet,Nombre de colonnes par défaut dans une feuille,Vorgegebene Spaltenanzahl in einem Blatt,عدد المقاعد
Default Number of rows in a sheet,Nombre de lignes par défaut dans une feuille,Vorgegebene Zeilenanzahl in einem Blatt,عدد المقاعد
Default Print Cells with Only Styles,Imprimer par défaut des cellules avec uniquement les styles,"Per Vorgabe leere, aber formatierte Zellen drucken",أسلوب الرّد الإفتراضي
Default Print Direction,Direction d'impression par défaut,Vorgabedruckrichtung,تطبيق الطرفية الافتراضي
Default Repeated Left Region,Colonnes à répéter sur la partie gauche par défaut,Vorgabe für den zu wiederholenden linken Bereich,المحرك الافتراضي للمشغل
Default Repeated Top Region,Lignes à répéter sur la partie supérieure par défaut,Vorgabe für den zu wiederholenden oberen Bereich,المحرك الافتراضي للمشغل
Default Scale Percentage,Pourcentage par défaut de l'ajustement,Vorgegebener Prozentwert zur Skalierung,المحرك الافتراضي للمشغل
Default Scale Type,Type d'ajustement par défaut,Vorgegebene Skalierungsart,نوع الخط الإفتراضي
Default Scaling Height,Ajustement vertical par défaut,Vorgegebene Skalierungshöhe,إرتفاع النّافذة الإفتراضي
Default Scaling Width,Ajustement horizontal par défaut,Vorgegebene Skalierungsbreite,عرض النّافذة الإفتراضي
Default Title Printing,Titre par défaut,Titel per Vorgabe drucken,الترميز الإفتراضي
Default To Overwriting Files,Remplacement de fichier par défaut,Dateien per Vorgabe überschreiben,لا يمكن الكتابة فوق الملف
Default Top Margin,Marge supérieure par défaut,Vorgegebener oberer Rand,المباعدة الافتراضية
Default Top Outside Margin,Marge extérieure supérieure par défaut,Vorgegebener oberer Außenrand,المباعدة الافتراضية
Default Vertical Centering,Positionnement vertical par défaut,Per Vorgabe vertikal zentrieren,عميل البريد الافتراضي
Default Vertical Window Size,Taille de fenêtre verticale par défaut,Vorgegebene Fensterhöhe,النّافذة الإفتراضية موسعة
Default Zoom Factor,Facteur de zoom par défaut,Vorgegebener Vergrößerungsfaktor,البروتوكول الأفتراضى
Default autosave frequency in seconds,Périodicité des enregistrements automatiques en secondes,Voreingestellte Anzahl an Sekunden zwischen automatischen Speicherungen,اعرض الوقت بالثواني
Default date format,Format de date par défaut,Vorgegebenes Datumsformat,الترميز الإفتراضي
Default file saver is not available.,L'enregistreur de fichier par défaut n'est pas accessible.,Der übliche Dateispeicherer ist nicht verfügbar.,الملف %s ليس ملف wav سليم
Default font name,Nom de la police par défaut,Vorgegebener Schriftname,الخط الإفتراضي
Default header/footer font name,Nom de la police par défaut pour les en-têtes et pieds de page,Name der Vorgabeschrift für Kopf-/Fußzeilen,اللون الافتراضي للخط
Default interpreter,Interpréteur par défaut,Vorgabeinterpreter,المؤشر الإفتراضي
Default time format,Format d'heure par défaut,Vorgegebenes Zeitformat,الترميز الإفتراضي
Define Name,Définir le nom,Namen festlegen,اسم الجهاز
Define Name %s,Définition du nom %s,Namen festlegen %s,حدد المشاهد
Define Names,Définir le(s) nom(s),Namen festlegen,حدد المشاهد
Define the width of each column manually.,Définir la largeur de chaque colonne manuellement.,Die Breite jeder Spalte manuell festlegen.,عرض كل الأيقونة
Defined Name,Nom défini,Definierter Name,اسم الجهاز
Delete,Supprimer,Löschen,حدف
Delete Columns,Supprimer colonnes,Spalten löschen,عمود منتقى
Delete Field,Supprimer le champ,Feld löschen,احذف الكل
Delete Object,Supprimer l'objet,Objekt löschen,حذف الكائن
Delete Rows,Supprimer lignes,Zeilen löschen,إحذف %s
Delete column(s),Suppression de colonne(s),Spalte(n) löschen,حذف اللون
Delete row(s),Suppression de ligne(s),Zeile(n) löschen,إحذف %s
Delete cells,Supprimer les cellules,Zellen löschen,احذف الكل
Delete the column(s) containing the selected cells,Supprime les colonnes contenant les cellules sélectionnées,"Löschen der Spalte(n), welche die markierten Zellen enthalten",عمود نموذج الشجرة المحتوي على قيم إمتداد السطر
Delete the currently selected source area,Supprime la zone source actuellement sélectionnée,Den markierten Quellbereich löschen,احذف مصدر القاموس المنتقى حاليا
Delete the row(s) containing the selected cells,Supprime les lignes contenant les cellules sélectionnées,"Löschen der Reihe(n), welche die markierten Zellen enthalten",يقلّص الصف الذي يحتوي هذه الخلية في ETree
Delete the selected cells' comments,Supprime les commentaires des cellules sélectionnées,Kommentare in den markierten Zellen löschen,مسح المنتقى
Delete the selected cells' comments in the filtered rows,Efface les commentaires des cellules sélectionnées dans les lignes filtrées,Kommentare der gewählten Zellen in den gefilterten Zeilen löschen,مسح المنتقى
Delete the selected cells' hyperlinks,Supprime les hyperliens des cellules sélectionnées,Verknüpfungen in den markierten Zellen löschen,مسح المنتقى
"Delete the selected cells, shifting others into their place",Supprime les cellules sélectionnées en déplaçant les cellules adjacentes,Markierte Zellen entfernen und andere an deren Stelle nachziehen,احذف كل عنصر منتقى، دون نقله إلى المهملات
Delete the selected fields and text,Supprime les champs et textes sélectionnés,Markierte Felder und Text löschen,حذف المراسَلين المنتقَيين
Deleted,Supprimé,Gelöscht,حُذف
Deleting %d sheets,,,جاري حذف الملفات
Deleting column %s,Suppression de la colonne %s,Spalte %s wird gelöscht,جاري حذف الملفات
Deleting columns %s,Suppression des colonnes %s,Spalten %s werden gelöscht,جاري حذف الملفات
Deleting row %s,Suppression de la ligne %s,Zeile %s wird gelöscht,إجتماع - %s
Deleting rows %s,Suppression des lignes %s,Zeilen %s werden gelöscht,إجتماع - %s
Deleting sheet,,,جاري الحذف
Denominator:,Dénominateur :,Nenner:,لون الرسم:
Dependency cells,Cellules des dépendances,Abhängigkeitszellen,إعتماديات
Description,Description,Beschreibung,الوصف
Description of the automatically computed sheet function.,,,وصف المُرفق.
Description:,Description :,Beschreibung:,الوصف:
Descriptive Statistics,Statistiques descriptives,Statistischer Überblick,قائمة الوصف
Descriptive Statistics (%s),Statistiques descriptives (%s),Beschreibende Statistik (%s),إحصائيات المستندات
Deselect all sheets for export.,Dé-sélectionner toutes les feuilles à exporter.,Alle Blätter für einen Export abwählen.,اختر جميع وصلات التاريخ أو النصوص
Desert,Désert,Wüste,ديسرت
Diagonal,Diagonale,Diagonal,ماس
Diagonal Stripe,Hachures diagonales,Diagonale Streifen,نوع الطّلب:
Dir,Dir,RICH,dir
Direction,Direction,Richtung,الاتجاه
Direction:,Direction :,Richtung:,الإتجاه:
Directories,Répertoires,Ordner,توجيهات
Directory,Répertoire,Ordner,دليل
Discard,Ignorer,Verwerfen,اهمل
Discard all,,,اهمل
Discard changes in all files,Ignorer les modifications dans tous les fichiers,Änderungen in allen Dateien verwerfen,اهمل
Discrete,Discrète,Diskret,متقطع
Dismiss search center,Effacer le point de recherche,Den Suchdialog schließen,%s: مصطلحات البحث مفقودة
"Display ""%s"" could not be opened.",Impossible d'ouvrir l'écran « %s ».,Anzeige »%s« konnte nicht geöffnet werden.,لايمكن فتح %s.
Display Column Headers,,,رأس العمود
Display Formulæ,,,عرض X الذي سيستعمل
Display Gnumeric's version,Afficher la version de Gnumeric,Versionsnummer von Gnumeric anzeigen,اعرض الإصدار و اخرج
Display Grid,Afficher la grille,Gitterlinien anzeigen,العرض
Display Outlines,,,أسلوب العرض
Display Outlines Below,,,اعرض مساعدة نوتلس
Display Outlines Right,,,اعرض صندوق حوار قائمة
Display Row Headers,,,اعرض أخطاء صفحات الويب
Display Zeros,Afficher les zéros,Nullen anzeigen,اعرض الجديد
Display Formulæ,Afficher les formules,Formeln anzeigen,فلاتر عرض...
Display Outlines,Afficher les contours de groupes,Umrisse anzeigen,أسلوب العرض
Display above sheets,,,اعرض مخططات ياهو
Display program version,Affiche la version du programme,Programmversion anzeigen,نسخة البرنامج
Display to the left of sheets,,,أظهر أعلى الشاشة
Display to the right of sheets,,,أظهر  أسفل الشاشة
Do auto completion,,,تكملة آلية
Do not log out,,,لا تستخدم الخط
Do not perform this replacement,Ne pas remplacer,Diese Ersetzung nicht durchführen,الصوت لهذا الحدث غير معين.
Do not print,Ne pas imprimer,Nicht ausgeben,لا تستعِد
Do not print with all sheets,Ne pas imprimer avec toutes les feuilles,Nicht mit allen Blättern ausdrucken,طبق التصاريح على الملفات المضمّتة
Do not save,,,لا تحفظ
Do not save any,,,لا تحفظ
Do you really want to paste %s copies?,Voulez-vous vraiment coller %s copies ?,Wollen Sie wirklich %s Kopien einfügen?,أتريد السّماح لهم بفعل ذلك؟
Do you want to activate this plugin together with its dependencies?,Voulez-vous activer ce greffon en même temps que ses dépendances ?,Möchten Sie dieses Plugin und seine Abhängigkeiten aktivieren?,هل تريد إنشاء محفوظة جديدة بهذه الملفّات؟
Do you want to save the workbook %s ?,,,أتريد السّماح لهم بفعل ذلك؟
Document,Document,Dokument,التوثيق
Document Properties...,Propriétés du document...,Dokumenteigenschaften …,خصائص
Documentation,Documentation,Dokumentation,التوثيق
Don't Quit,Ne pas quitter,Nicht beenden,لا تخرج
Don't close,Ne pas fermer,Nicht schließen,لا تحفظ
Don't display warning dialogs when importing,Ne pas afficher de fenêtres d'avertissement lors de l'import,"Keine Warnmeldungs-Dialoge anzeigen, wenn importiert wird",اعرض صندوق حوار الإنذار
Don't quit,,,لا تخرج
Don't show splash screen,Ne pas afficher l'écran d'accueil,Begrüßungsbildschirm nicht anzeigen,أظهر شاشة البدأ
Done,Terminé,Abgeschlossen,لا شيء
Double,Double,Doppelt,ضعف
Double Bottom,Double bas,Unten doppelt,ضعف ناعم
Double Low,Double bas,Doppelt tief unterstrichen,ضعف
Double Low Underline,Souligné double bas,Doppelt unterstreichen,استخدم التسطير
Double Underline,Souligné deux fois,Doppelt unterstreichen,استخدم التسطير
Down,Bas,Runter,أسفل
Drag to move,Glisser pour déplacer,Ziehen zum Bewegen,سجب:تحريك
Duplicate,Dupliquer,Duplizieren,مضاعفة
Dumps the function definitions,,,إذهب إلى التعريف التالي
Duplicate,Dupliquer,Duplizieren,مضاعفة
Duplicate objective row,Ligne cible dupliquée,Zielzeile duplizieren,حذف الكائن
Duplicate rows name %s,Nom de lignes %s dupliqué,Zeilenname %s duplizieren,وقت التحديث (بالدقائق):
Equal,Égal,Gleich,مساو
Execute in:,Exécuter dans :,Ausführen in:,تنفيذ
Expand,Étendre,Erweitern,موسّع
Edit Cell Comment (%s),Modifier le commentaire de cellule (%s),Zellkommentar bearbeiten (%s),تعليقات الشفرة
Edit Comment...,Modifier les commentaires...,Kommentar bearbeiten …,حرّر الأوامر...
Edit Hyperlink,Modifier l'hyperlien,Verknüpfung bearbeiten,وصله
Edit Hyperlink,,,وصله
Edit a function in the current cell,Modifie une fonction dans la cellule active,Eine Funktion in der aktuellen Zelle bearbeiten,ابعث وصلة الصفحة الحالية
Edit document properties,Modifie les propriétés du document,Dokumenteigenschaften bearbeiten,خصائص
Edit the selected cell's comment,Modifie le commentaire de la cellule sélectionnée,Den Kommentar der markierten Zelle bearbeiten,تحرير القالب المحدد
Edit the selected cell's hyperlink,Modifie l'hyperlien de la cellule sélectionnée,Die Verknüpfung der markierten Zelle bearbeiten,تحرير القالب المحدد
Editing style of %s,Style d'édition de %s,Stil in %s wird bearbeitet,يجري تحرير الملف الشخصي %s
Elapsed Time:,Temps écoulé :,Verstrichene Zeit:,الوقت:
Ellipse,Ellipse,Ellipse,قص
Elul,éloul,Elul,مساو
Email Link,Lien courriel,E-Mail-Verknüpfung,قائمة البريد
Email Address:,Adresse électronique :,E-Mail-Adresse:,عنوان البريد الإلكتروني:
Empty,Sans décor,Leer,فارغ
Enable automatic recalculation.,,,لا يمكن لصق الاب المختار
Enables some print debugging behavior,,,مكّن التنقيح
Encoding:,Codage :,Zeichenkodierung:,ترميز:
"Encrypted files require a password
before they can be opened.","Vous devez fournir un mot de passe
pour ouvrir un fichier chiffré.","Ein Passwort wird benötigt
bevor eine verschlüsselte Datei
geöffnet werden kann.","المستند ""%s"" مقفل و يتطلب كلمة السر قبل أن يتم فتحه"
End Time,,,الوقت
Engineering,Ingénierie,Ingenieurswissenschaften,إلغاء التسجيل
Engineering Functions,Fonctions pour l'ingénierie,Ingenieurswissenschaftliche Funktionen,دالات محولة
Enter Moves Selection,Déplacement de la sélection après Entrée,Bewegungsauswahl eingeben,حذف التحديد
Enter as array function,Insérer en temps que fonction matricielle,Eingabe als Datenfeldfunktion,ابحث عن دالّة
Enter formula...,Saisir une formule...,Formel eingeben …,يجري التأكد من التهيئة...
Enter in current cell,Entrer dans la cellule actuelle,In aktuelle Zelle einfügen,أدخل نص جديد:
Enter in selected ranges,Entrer dans les plages sélectionnées,In ausgewählte Bereiche eingeben,لا يوجد صورة محددة:
Enter in selected ranges as array,Entrer dans les plages sélectionnées en tant que tableau,In ausgewählte Bereiche als Array eingeben,لا يوجد صورة محددة:
Enter the format string for each section:,Saisissez les chaînes de mise en forme pour chaque section :,Geben Sie eine Zeichenkette für die Formatierungen für jeden Abschnitt ein:,تحصل على سلسلة المستند القصيرة للمفتاح
Equal,Est égal à,Gleich,مساو
Erase the search entry.,Effacer la case recherche.,Das Suchfeld löschen.,مكان البحث:
Erlang,Erlang,Erlang,إركان
Erlang Functions,Fonctions Erlang,Erlang-Funktionen,دالّات بيرل
Error,Erreur,Fehler,سهم
Error Behaviour,En cas d'erreur,Fehlerverhalten,السّلوك
Error parsing line,Erreur d'analyse de la ligne,Fehler beim Verarbeiten der Zeile,خطأ عند تحليل سطر الأوامر
"Error while activating plugin ""%s"".",Erreurs lors de l'activation du greffon « %s ».,Fehler beim Aktivieren der Plugins »%s«,"خطأ أثناء إنشاء وصلة في ""%s""."
"Error while deactivating plugin ""%s"".",Erreur lors de la désactivation du greffon « %s ».,Fehler beim Deaktivieren des Plugins »%s«.,"خطأ أثناء إنشاء وصلة في ""%s""."
Error while opening Paradox file.,Erreur lors de l'ouverture du fichier Paradox.,Fehler beim Öffnen der Paradox-Datei.,حدث خطأ خلال فتح %s.
Error while opening autoformat template,Erreur lors de l'ouverture du modèle de format automatique,Beim Öffnen der Auto-Formatvorlage ist ein Fehler aufgetreten,خطأ أثناء محاولة قراءة مفتاح gconf %s: %s
"Error while opening file ""%s"" for reading.",Erreur lors de l'ouverture du fichier « %s » en lecture.,"Fehler beim Öffnen der Datei »%s«, um zu lesen.",حدث خطأ خلال فتح %s.
"Error while opening file ""%s"" for writing.",Erreur lors de l'ouverture du fichier « %s » en écriture.,"Fehler beim Öffnen der Datei »%s«, um zu schreiben.",حدث خطأ خلال فتح %s.
Error while opening xbase file.,Erreur lors de l'ouverture du fichier xbase.,Fehler beim Öffnen der xbase-Datei.,حدث خطأ خلال فتح %s.
Error while parsing Psion file.,Erreur lors de l'analyse du fichier Psion.,Fehler beim Interpretieren der Psion-Datei.,خطأ أثناء تحليل '%s' في السطر %d: %s
Error while reading DIF file.,Erreur lors de la lecture du fichier DIF.,Fehler beim Lesen der DIF-Datei.,خطأ عند قراءة الملف:
Error while reading MPS file.,Erreur lors de la lecture du fichier MPS.,Fehler beim Lesen der MPS-Datei.,خطأ عند قراءة الملف:
Error while reading lotus workbook.,Erreur lors de la lecture du classeur Lotus.,Fehler beim Lesen der Lotus Arbeitsbuch-Datei.,خطأ أثناء قرائة الوحدة في المقطع %1
Error while reading psiconv file.,Erreur lors de la lecture du fichier psiconv.,Fehler beim Lesen der psiconv-Datei.,"خطأ أثناء إنشاء وصلة في ""%s""."
Error while saving DIF file.,Erreur lors de l'enregistrement du fichier DIF.,Fehler beim Speichern der DIF-Datei.,خطأ أثناء النقل.
Error while trying to export file as text,Erreur lors de l'exportation du fichier au format texte,"Beim Versuch, die Datei als Text zu exportieren, ist ein Fehler aufgetreten",حدث خطأ خلال تحديد معدل الإطارات.
Error while trying to parse data into sheet,Erreur lors de l'interprétation des données dans la feuille,"Beim Versuch, Daten in das Blatt zu interpretieren, ist ein Fehler aufgetreten",خطأ أثناء محاولة قراءة مفتاح gconf %s: %s
Error while trying to read file,Erreur lors de la lecture du fichier,"Beim Versuch, die Datei zu lesen, ist ein Fehler aufgetreten",خطأ أثناء محاولة قراءة مفتاح gconf %s: %s
Error while trying to write CSV file,Erreur lors de l'écriture du fichier CSV,"Beim Versuch, die CSV-Datei zu schreiben, ist ein Fehler aufgetreten",فشلت الكتابة إلى ملف الصورة: %s
Error: could not open connection to %s,Erreur : impossible d'ouvrir la connexion vers %s,Fehler: Die Verbindung mit %s konnte aufgebaut werden,لم يمكن فتح المكان '%s'
Errors while activating plugins,Erreurs lors de l'activation des greffons,Fehler beim Aktivieren der Plugins,"خطأ أثناء إنشاء وصلة في ""%s""."
Escape,Échappement,Escape,لواندا
Examples:,Exemples :,Beispiele:,عينة
"Execution of module ""%s"" failed.",L'exécution du module « %s » a échoué.,Die Ausführung des Moduls »%s« ist fehlgeschlagen.,فشل تسجيل %s إلى %s
Expand columns,Déployer les colonnes,Spalten expandieren,عمود موسع
Expand rows,Déployer les lignes,Zeilen expandieren,موسّع
Expecting a single range,Plage unique attendue,Einfache Reichweite erwartet,معدل التنقل الأسي:
Exponential,Exponentielle,Exponentiell,أسّي
Exponential Power,Puissance exponentielle,Exponentielles Wachstum,أسّي
Exponential Smoothing,Lissage exponentiel,Exponentielles Glätten,معدل التنقل الأسي:
Exponential Smoothing (%s),Lissage exponentiel (%s),Exponentielle Glättung (%s),معدل التنقل الأسي:
Exponential smoothing...,Lissage exponentiel...,Exponentielle Glättung …,معدل التنقل الأسي:
Export,Exporter,Exportieren,صدِّر
Export as Text,Exporter sous forme texte,Als Text exportieren,صدّر قائمة التشغيل
Expression,Expression,Ausdruck,تعبير
Extend Autofilter to %s,Étendre le filtre automatique à %s,Auto-Filter durch %s erweitern,أضِف للمفضّلة
Extend Auto Filter to %s,Étendre le filtre automatique à %s,Auto-Filter durch %s erweitern,أضِف للمفضّلة
External Link,Lien externe,Externe Verknüpfung,%s خارجي
F,F,F,F
F-Test,Test F,F-Test,اختبار
F-Test (%s),Test F (%s),F-Test (%s),%s (%s)
FILE,FICHIER,DATEI,FILE
Fill,Remplir,Füllen,ملأ
Finish,Terminer,Fertigstellen,انهاء
Forecast,Prévision,Vorhersage,النشرة الجوية
Format,Format,Format,التهيئة
Full Screen,Plein écran,Vollbild,ملء الشاشة
Failed to create file for linear program,Impossible de créer un fichier pour le programme linéaire,Lineare Programmdatei konnte nicht angelegt werden,فشل إنشاء دليل مؤقت
Failed to create file for solution,Echec de création de fichier pour la solution,Datei für die Lösung konnte nicht angelegt werden,فشل إنشاء دليل مؤقت
Failed to create linear program file,Impossible de créer le fichier du programme linéaire,Lineare Programmdatei konnte nicht angelegt werden,فشل إنشاء دليل مؤقت
Failed to create solver,Impossible de créer le solveur,Löser konnte nicht erstellt werden,فشلت كتابة الترويسة
Failed to create temporary file for sending.,,,فشل إنشاء دليل مؤقت
Failed to read DBF header.,Impossible de lire l'en-tête DBF.,Lesen des DBF-Kopfs fehlgeschlagen.,فشلت كتابة الترويسة
Failure parsing name '%s',Impossible d'analyser le nom « %s »,Name »%s« konnte nicht verarbeitet werden,جاري تحليل المعطيات '%s': %s
Feasible,Réalisable,Möglich,فشل
Features,Fonctionnalités,Funktionen,الميزات
Feb,Fév,Feb,ويب
First page number:,Numéro de la première page :,Erste Seitenzahl:,رقم المقطوعة:
Fixed width,Largeur fixe,Feste Breite,ثابت العرض:
Field type %d is not supported.,Le type de champs « %d » n'est pas pris en charge.,Der Dateityp %d wird nicht unterstützt.,نوع الصورة '%s' غير مدعوم
File,Fichier,Datei,ملف
File History List,,,قائمة التاريخ
File Name,Nom du fichier,Dateiname,إسم الملف
File type:,Type de fichier :,Dateityp:,نوع الملف:
"File doesn't contain ""%s"" array.",Le fichier ne contient pas le tableau « %s ».,Datei weist kein »%s«-Datenfeld auf.,لا يحوي الجهاز '%s' وسيطا.
"File doesn't contain ""%s"" dictionary.",Le fichier ne contient pas le dictionnaire « %s ».,Datei weist kein »%s«-Wörterbuch nicht auf.,لا يحوي الجهاز '%s' وسيطا.
Files,Fichiers,Dateien,ملفات
Fill Horizontally,,,قلب أفقي
Fill Series,Remplissage,Datenreihe füllen,املأ الشاشة
Fill to right,,,ارتفاع القصاصة
Filled Object Properties,Propriétés de remplissage de l'objet,Objektfülleigenschaften,خاصيات الجسم
Filter,Filtre,Filter,مرشّح:
Filter in-place,Filtrer sur place,An Ort und Stelle filtern,رشح الملفات المخفاة
Filter data with given criteria,Filtre les données avec les critères indiqués,Daten anhand gegebener Kriterien filtern,أعد رسم الشكل المطلوب
Filtered,Filtré,Gefiltert,مرشّح:
Finance,Financier,Finanzen,فرنسا
Financial Derivatives,Instruments financiers,Finanzfunktionen,مخطط مالي
Financial Functions,Fonctions financières,Finanzfunktionen,وظيفة هيكلية
Financial template with purple borders,Modèle financier avec des bordures de couleur mauve,Finanzvorlage mit violetten Rahmen,فشل إنشاء المسجل: %s
Find Max.,Trouver le maxi.,Max. suchen,ابحث مرة أخرى
Find Min.,Trouver le mini.,Min. suchen,ابحث مرة أخرى
Find text within cell comments,Rechercher le texte dans les commentaires des cellules,In den Kommentaren der Zellen suchen,توسيع الحيز في الخلايا
Find text within expressions,Rechercher le texte dans les expressions,In den Ausdrücken suchen,اعثر على الأزواج المتماثلة
Find text within non-string values,Rechercher le texte dans les valeurs non textuelles,"In Werten, die keine Zeichenketten sind, suchen",فشل تلقي القيمة السلسلية: %s.
Find text within string values,Rechercher le texte dans les valeurs textuelles,In Zeichenketten suchen,فشل تلقي القيمة السلسلية: %s.
First Letter,Première lettre,Erster Buchstabe,القطاع الأول:
First round #:,Numéro de la première séquence :,Erste Runden-Nr.:,الواجهة الأمامية:
Fit,Remplir,Einpassen,ملائمة
Fit Height,Remplir en hauteur,Höhe einpassen,ارتفاع القصاصة
