(Empty),(Vide),(Leer),(فارغة)
Creating Properties window.,Création de la fenêtre Propriétés.,Eigenschaftsfenster wird erzeugt.,إنشاء نافذة الخصائص.
"Creating links in ""%B""",Création des liens dans « %B »,Verknüpfungen werden in »%B« angelegt,"إنشاء روابط في ""%B"""
Creator,Créateur,Ersteller,المنشئ
Cut,Couper,Ausschneiden,قصّ
Current Monitor Layout,Disposition actuelle de l’écran,Aktuelle Bildschirmanordnung,مخطط شاشة العرض الحالي
Current Monitor Preferences,Préférences de ce moniteur,Aktuelle Bildschirmeinstellungen,تفضيلات الشاشة الحالية
Cursor Position,Position du curseur,Zeigerposition,موضع المؤشر
Custom application,Application personnalisée,Benutzerdefinierte Anwendung,تطبيق مخصص
Cut,Couper,Ausschneiden,قصّ
Cut the selected text to the clipboard,Coupe le texte sélectionné et le place dans le presse-papiers,Ausschneiden des markierten Textes in die Zwischenablage,قص النص المحدد إلى الحافظة
Default zoom level:,Niveau de zoom par défaut :,Voreingestellte Vergrößerungsstufe:,مستوى التكبير الافتراضي:
Duplicate,Dupliquer,Verdoppeln,التكرار
Date,Date,Datum,التّاريخ
Date Accessed,Date d'accès,Zugriffsdatum,تاريخ الوصول
Date Created,Date de création,Erstelldatum,تاريخ الإنشاء
Date Digitized,Date de numérisation,Digitalisierungsdatum,تاريخ الترقيم
Date Modified,Date de modification,Änderungsdatum,تاريخ التعديل
Date Taken,Date de la prise,Aufnahmedatum,تاريخ الالتقاط
Date when file was moved to the Trash,Date à laquelle le fichier a été mis à la corbeille,"Datum, an dem die Datei gelöscht wurde",تاريخ نقل الملف إلى سلة المهملات
Decimal,Décimal,Dezimal,عشري
Decimal (long format),Décimal (format long),Dezimal (langes Format),عشري (تنسيق طويل)
Decrease the view size,Diminue l'affichage,Ansicht verkleinern,تقليل حجم العرض
Default zoom level:,Niveau de zoom par défaut :,Voreingestellte Vergrößerungsstufe:,مستوى التكبير الافتراضي:
Delete '%s',Supprimer « %s »,»%s« löschen,حذف '%s'
Delete All,Tout supprimer,Alles Löschen,حذف الكل
Delete all items in the Trash,Supprime tous les éléments de la corbeille,Alle Objekte im Papierkorb löschen,حذف جميع العناصر الموجودة في المهملات
Delete all selected items permanently,Supprime définitivement tous les éléments sélectionnés,Alle gewählten Objekte dauerhaft löschen,حذف جميع العناصر المحددة بشكل دائم
"Delete each selected item, without moving to the Trash","Supprime tous les éléments sélectionnés, sans les mettre à la corbeille","Jedes gewählte Objekt löschen, ohne es in den Papierkorb zu verschieben",حذف كل عنصر محدد، بدون نقله إلى سلة المهملات
Delete link to '%s',Supprimer le lien vers « %s »,Verknüpfung zu »%s« löschen,حذف الرابط إلى '%s'
Delete permanently,Supprimer définitivement,Dauerhaft löschen,احذف نهائيا
Delete the open folder permanently,Supprime définitivement le dossier ouvert,Den geöffneten Ordner dauerhaft löschen,حذف المجلد المفتوح نهائياً
"Delete this folder, without moving to the Trash","Supprime ce dossier, sans le mettre à la corbeille","Diesen Ordner löschen, ohne ihn in den Papierkorb zu verschieben",حذف هذا المجلد، بدون نقله إلى سلة المهملات
Deleting Files,Suppression des fichiers,Dateien werden gelöscht,حذف الملفات
Deleting files,Suppression des fichiers,Dateien werden gelöscht,حذف الملفات
Description,Description,Beschreibung,الوصف
Desktop,Bureau,Schreibtisch,سطح المكتب
Desktop Icons,Icônes du bureau,Schreibtischsymbole,أيقونات سطح المكتب
Desktop Layout,Agencement du bureau,Schreibtischanordnung,مخطط سطح المكتب
Desktop Settings,Paramètres du bureau,Schreibtischeinstellungen,إعدادات سطح المكتب
Detailed Type,Type détaillé,De­tail­lierter Dateityp,النوع التفصيلي
Detailed file type,Type de fichier détaillé,De­tail­lierter Dateityp,نوع الملف التفصيلي
Details:,Détails :,Details:,التفاصيل:
Detect media in the selected drive,Détecte le média dans le lecteur sélectionné,Medium im gewählten Datenträger erkennen,كشف الوسائط في محرك الأقراص المحدد
Devices,Périphériques,Geräte,الأجهزة
Direction,Orientation,Richtung,الاتجاه
Disable all,Tout désactiver,Alle deaktivieren,تعطيل الكل
Disable file operation queueing,Désactiver la file d'attente des opérations sur les fichiers,Dateivorgänge nicht in Warteschlange einreihen,تعطيل عملية قائمة انتظار الملف
Disclaimer,Clause de non-responsabilité,Haftungsausschluss,إخلاء المسؤولية
Disconnect the drive associated with the open folder,Déconnecte le volume associé au dossier ouvert,Das zum geöffneten Ordner gehörende Laufwerk trennen,قطع الإتصال بمحرك الأقراص المقترن بالمجلد المفتوح
Disconnect the selected drive,Déconnecte le volume sélectionné,Gewähltes Laufwerk trennen,قطع الإتصال بمحرك الأقراص المحدد
Dismiss,Ignorer,Verwerfen,رفض
Display,Affichage,Anzeigen,العرض
Display Nemo help,Affiche l'aide pour Nemo,Nemo-Hilfethemen anzeigen,عرض مساعدة Nemo
Display a window that allows editing the bookmarks in this menu,Afficher une fenêtre qui permet de modifier les marque-pages de ce menu,"Ein Fenster anzeigen, dass das Bearbeiten der Lesezeichen in diesem Menü erlaubt",عرض نافذة تسمح بتحرير الإشارات المرجعية في هذه القائمة
Display credits for the creators of Nemo,Affiche la liste des créateurs de Nemo,Danksagungen für die Urheber von Nemo anzeigen,عرض الاعتمادات لمبدعي Nemo
Display icons in the opposite order,Affiche les icônes dans l'ordre inverse,Symbole in umgekehrter Reihenfolge anzeigen,عرض الأيقونات بترتيب معكوس
Display keyboard shortcuts,Afficher les raccourcis clavier,Tastenkombinationen anzeigen,إعرض إختصارات لوحة المفاتيح
Display this location with the compact view.,Affiche cet emplacement avec la vue compacte.,Diesen Ort mit der Kompaktansicht anzeigen,عرض هذا الموقع مع العرض المدمج.
Display this location with the icon view.,Affiche cet emplacement avec la vue en icônes.,Diesen Ort mit der Symbolansicht anzeigen,عرض هذا الموقع مع عرض الأيقونة.
Display this location with the list view.,Affiche cet emplacement avec la vue en liste.,Diesen Ort mit der Listenansicht anzeigen,عرض هذا الموقع مع عرض القائمة.
Do not Empty Trash,Ne pas vider la corbeille,Papierkorb nicht leeren,عدم إفراغ سلة المهملات
Do you want to empty the trash before you unmount?,Souhaitez-vous vider la corbeille avant le démontage ?,Soll der Papierkorb vor dem Aushängen geleert werden?,هل تريد إفراغ سلة المهملات قبل إلغاء تحميلها؟
Do you want to remove any bookmarks with the non-existing location from your list?,Voulez-vous supprimer de votre liste tout marque-page vers l’emplacement inexistant ?,Sollen die Lesezeichen mit dem nicht vorhandenen Ort aus Ihrer Liste entfernt werden?,هل تريد إزالة أي إشارات مرجعية لموقع غير موجود من قائمتك؟
"Do you want to run ""%s"", or display its contents?",Voulez-vous lancer « %s » ou afficher son contenu ?,Wollen Sie »%s« starten oder den Inhalt anzeigen lassen?,"هل تريد تشغيل ""%s""، أو عرض محتوياته؟"
Document,Document,Dokument,المستند
Don't show this message again.,Ne plus afficher ce message,Diesen Hinweis nicht wieder anzeigen.,عدم عرض هذه الرسالة مرة أخرى.
Double-click on a blank area to go to the parent folder,Double-cliquer sur une zone vide pour aller au dossier parent,"Auf einen leeren Bereich doppelklicken, um zum übergeordneten Ordner zu gehen",انقر نقراً مزدوجاً فوق منطقة فارغة للانتقال إلى المجلد الأصلي
Drag and drop is not supported.,Le glisser-déposer n’est pas pris en charge.,Ziehen und Ablegen wird nicht unterstützt.,السحب والإفلات غير مدعوم.
Drag and drop is only supported on local file systems.,Le glisser-déposer n’est pris en charge que sur les systèmes de fichiers locaux.,Ziehen und Ablegen wird ausschließlich auf lokalen Dateisystemen unterstützt.,يتم دعم السحب والإفلات في أنظمة الملفات المحلية فقط.
Duplicate '%s' in '%s',Dupliquer « %s » dans « %s »,»%s« in »%s« verdoppeln,تكرار '%s' في '%s'
Duplicate each selected item,Duplique chaque élément sélectionné,Alle gewählten Objekte verdoppeln,تكرار كل عنصر محدد
"Duplicating ""%B""",Duplication de « %B »,»%B« wird verdoppelt,"تكرار ""%B"""
Duplicating file %'d of %'d,Duplication du fichier %'d sur %'d,Datei %'d von %'d wird verdoppelt,تكرار %'d ملف من %'d
"Duplicating file %'d of %'d (in ""%B"")",Duplication du fichier %'d sur %'d (dans « %B »),Datei %'d von %'d (in »%B«) wird verdoppelt,"تكرار %'d ملف من %'d (في ""%B"")"
Empty Trash,Vider la corbeille,Papierkorb leeren,إفراغ سلة المهملات
Execute,Exécution,Ausführen,التنفيذ
Extra Pane,Panneau supplémentaire,Zusätzliche Leiste,الجزء الإضافي
Edit,Édition,Bearbeiten,تحرير
Edit Bookmarks,Modifier les marque-pages,Lesezeichen bearbeiten,تحرير الإشارات المرجعية
Edit Nemo preferences,Modifie les préférences de Nemo,Nemo-Einstellungen bearbeiten,تحرير تفضيلات Nemo
Edit bookmarks,Éditer les marques-pages,Lesezeichen bearbeiten,عدّل العلامات
Editing,Édition,Bearbeitung,تحرير
Eject the selected volume,Éjecte le volume sélectionné,Den ausgewählten Datenträger auswerfen,إخراج وحدة التخزين المحددة
Eject the volume associated with the open folder,Éjecte le volume associé au dossier ouvert,Den zum geöffneten Ordner gehörenden Datenträger auswerfen,إخراج وحده التخزين المرتبطة بالمجلد المفتوح
Eject the volume associated with this folder,Éjecte le volume associé à ce dossier,Den zu diesem Ordner gehörenden Datenträger auswerfen,إخراج وحدة التخزين المرتبطة بهذا المجلد
Elevated Privileges,Privilèges élevés,Erhöhte Berechtigungen,امتيازات مرتفعة
Empty Trash,Vider la corbeille,Papierkorb leeren,إفراغ سلة المهملات
Empty Trash,Vider la corbeille,Papierkorb leeren,إفراغ سلة المهملات
Empty all items from Trash?,Supprimer tous les éléments de la corbeille ?,Sollen alle Objekte aus dem Papierkorb entfernt werden?,إفراغ كل العناصر من سلة المهملات؟
Emptying Trash,Vidage de la corbeille en cours,Papierkorb wird geleert,إفراغ سلة المهملات
Enable all,Tout activer,Alle aktivieren,تمكين الكل
Enter a custom command...,Saisir une commande personnalisée…,Benutzerdefinierten Befehl eingeben …,أدخل أمراً مخصصاً...
Error removing file: %s,Erreur lors de la suppression du fichier : %s,Fehler beim Entfernen der Datei: %s,خطأ في إزالة الملف: %s
Error starting autorun program: %s,Erreur lors du lancement automatique du programme : %s,Fehler beim Starten eines Autostartprogramms: %s,خطأ في بدء تشغيل برنامج التشغيل التلقائي: %s
"Error while copying ""%B"".",Erreur lors de la copie de « %B ».,Fehler beim Kopieren von »%B«.,"حدث خطأ أثناء نسخ ""%B""."
"Error while copying to ""%B"".",Erreur lors de la copie vers « %B ».,Fehler beim Kopieren nach »%B«.,"حدث خطأ أثناء النسخ إلى ""%B""."
Error while copying.,Erreur lors de la copie.,Fehler beim Kopieren.,حدث خطأ أثناء النسخ.
Error while creating directory %B.,Erreur lors de la création du dossier « %B ».,Fehler beim Erstellen des Ordners »%B«.,حدث خطأ أثناء إنشاء الدليل %B.
Error while creating file %B.,Erreur lors de la création du fichier %B.,Fehler beim Erstellen der Datei »%B«.,حدث خطأ أثناء إنشاء الملف %B.
Error while creating link to %B.,Erreur lors de la création du lien vers %B.,Fehler beim Anlegen einer Verknüpfung mit »%B«.,حدث خطأ أثناء إنشاء رابط إلى %B.
Error while deleting.,Erreur lors de la suppression.,Fehler beim Löschen.,حدث خطأ أثناء الحذف.
"Error while moving ""%B"".",Erreur lors du déplacement de « %B ».,Fehler beim Verschieben von »%B«.,"حدث خطأ أثناء نقل ""%B""."
Error while moving files to trash.,Erreur lors de la mise à la corbeille des fichiers.,Fehler beim Verschieben von Objekten in den Papierkorb.,حدث خطأ أثناء نقل الملفات إلى سلة المهملات.
Error while moving.,Erreur lors du déplacement.,Fehler beim Verschieben.,حدث خطأ أثناء النقل.
"Error: %s
Please select another viewer and try again.","Erreur : %s
Sélectionnez un autre visionneur et essayez à nouveau.","Fehler: %s
Bitte wählen Sie einen anderen Betrachter und versuchen Sie es erneut.","خطأ: %s
يرجى تحديد عارض آخر والمحاولة مرة أخرى."
Examples:,Exemples :,Beispiele:,أمثلة:
Executables,Exécutables,Ausführbare Dateien,الملفات التنفيذية
Execute:,Exécution :,Ausführen:,التنفيذ:
Exposure Program,Mode d'exposition,Belichtungsprogramm,برنامج التعرض
Exposure Time,Temps d'exposition,Belichtungsdauer,وقت التعرض
Extensions,Extensions,Erweiterungen,الملحقات
Extensions changed.  Restart required.,Extensions modifiées. Redémarrage nécessaire.,Erweiterungen geändert. Neustart wird benötigt!,تم تغيير الملحقات. مطلوب إعادة التشغيل.
FTP (with login),FTP (avec identifiant),FTP (mit Anmeldung),FTP (مع تسجيل الدخول)
Failed to load image information,Impossible de charger les informations de l'image,Bildinformationen konnten nicht geladen werden,فشل تحميل معلومات الصورة
Favorite,Favori,Favorit,المفضّل
Favorite files,Fichiers favoris,Favorisierte Dateien,الملفات المفضّلة
Favorites,Favoris,Favoriten,التفضيلات
File Management Preferences,Préférences du gestionnaire de fichiers,Einstellungen zur Verwaltung von Dateien,تفضيلات إدارة الملفات
File Operations,Opérations sur les fichiers,Dateivorgänge,عمليات الملف
File Permissions:,Permissions du fichier :,Zugriffsrechte für Dateien:,أذونات الملف:
File System,Système de fichiers,Dateisystem,نظام الملفات
File access:,Accès au fichier :,Dateizugriff:,الوصول إلى الملف:
File conflict,Conflit de fichier,Dateikonflikt,تعارض الملف
File not found,Fichier introuvable,Datei nicht gefunden,الملف غير موجود
File or folder location,Chemin du fichier ou dossier,Speicherort der Datei oder des Ordners,موقع الملف أو المجلد
Files,Fichiers,Dateien,الملفات
"Files in the folder ""%B"" cannot be copied because you do not have permissions to see them.",Les fichiers du dossier « %B » ne peuvent pas être copiés car vous n'avez pas la permission de les voir.,"Dateien im Ordner »%B« können nicht kopiert werden, da Sie nicht die nötigen Lesezugriffsrechte besitzen.","لا يمكن نسخ الملفات الموجودة في المجلد ""%B"" لأنه ليس لديك أذونات لرؤيتها."
"Files in the folder ""%B"" cannot be deleted because you do not have permissions to see them.",Les fichiers du dossier « %B » ne peuvent pas être supprimés car vous n'avez pas les permissions pour le faire.,"Dateien im Ordner »%B« können nicht gelöscht werden, da Sie nicht die nötigen Lesezugriffsrechte besitzen.","لا يمكن حذف الملفات الموجودة في المجلد ""%B"" لأنه ليس لديك أذونات لرؤيتها."
"Files in the folder ""%B"" cannot be handled because you do not have permissions to see them.",Les fichiers du dossier « %B » ne peuvent pas être traités car vous n'avez pas les permissions pour les voir.,"Auf Dateien im Ordner »%B« kann nicht zugegriffen werden, da Sie nicht die nötigen Lesezugriffsrechte besitzen.","لا يمكن معالجة الملفات الموجودة في المجلد ""%B"" نظرًا لعدم امتلاكك أذونات لرؤيتها."
Filesystem type:,Type de système de fichiers :,Dateisystemtyp:,نوع نظام الملفات:
Fix now,Corriger maintenant,Jetzt reparieren,إصلاح الآن
Flash Fired,Flash,Blitz ausgelöst,الفلاش المطلق
Focal Length,Longueur de focale,Brennweite,البعد البؤري
Folder,Dossier,Ordner,المجلد
Folder Permissions:,Permissions du dossier :,Zugriffsrechte für Ordner:,أذونات المجلد:
Folder access:,Accès au dossier :,Ordnerzugriff:,الوصول إلى المجلد:
Follow link to original file,Aller à l'emplacement du fichier d'origine,Der Verknüpfung zur Originaldatei folgen,تابع الرابط إلى الملف الأصلي
Font,Police de caractères,Schriftart,الخط
Forget association,Défaire l'association,Verknüpfung aufheben,نسيان الأقتران
Forward history,Suivant dans l'historique,Im Verlauf vorwärts bewegen,التاريخ الأمامي
Free space:,Espace libre :,Freier Speicherplatz:,المساحة الحرة:
Free space: %s,Espace disponible : %s,Freier Speicherplatz: %s,المساحة الحرة: %s
GEOMETRY,GÉOMÉTRIE,GEOMETRIE,الهندسة
General,Général,Allgemein,عام
Go back,En arrière,Zurückgehen,ارجع للخلف
Go to Computer,Aller au Poste de travail,Zum Rechner gehen,اذهب إلى الكمبيوتر
Go to home directory,Aller dans votre dossier personnel,Zum persönlichen Ordner gehen,اذهب إلى الدليل الرئيسي
Go to next tab,Aller à l’onglet suivant,Zum nächsten Reiter wechseln,الذهاب إلى التبويب التالي
Go to parent folder,Aller au dossier parent,Zum übergeordneten Ordner gehen,اذهب إلى المجلد الأصل
Go to previous tab,Aller à l’onglet précédent,Zum vorherigen Reiter wechseln,الذهاب إلى التبويب السابق
Go to the location specified by this bookmark,Accéder à l’emplacement indiqué par ce marque-page,Zum durch dieses Lesezeichen angegebenen Ort gehen,انتقل إلى الموقع المحدد بواسطة هذه الإشارة المرجعية
Go to the next visited location,Va à l'emplacement visité suivant,Zum als nächstes besuchten Ort gehen,اذهب إلى الموقع التالي الذي تمت زيارته
Go to the previous visited location,Va à l'emplacement visité précédent,Zum vorher besuchten Ort gehen,اذهب إلى الموقع السابق الذي تمت زيارته
Go to the same location as in the extra pane,Se place au même endroit que dans le panneau supplémentaire,Zum selben Ort wie in der zusätzlichen Leiste gehen,اذهب إلى نفس الموقع كما في الجزء الإضافي
Group,Groupe,Gruppe,المجموعة
Group:,Groupe :,Gruppe:,المجموعة:
Height,Hauteur,Höhe,الارتفاع
Help,Aide,Hilfe,المساعدة
Hide the Sidebar (F9),Masquer le Panneau latéral (F9),Seitenleiste verstecken (F9),إخفاء الشريط الجانبي (F9)
Home,Dossier personnel,Persönlicher Ordner,المجلد الرئيسي
Horizontal,Horizontale,Horizontal,أفقي
How many times the search string appeared in the file,Nombre de résultats de recherche dans le fichier,Wie oft der Suchbegriff in der Datei vorkam,كم عدد المرات التي ظهرت فيها جملة البحث في الملف
ISO Speed Rating,Sensibilité ISO,ISO-Empfindlichkeit,تقييم سرعة ISO
Include a Delete command that bypasses Trash,Inclure une commande Supprimer qui ignore la corbeille,"Einen Löschbefehl bereitstellen, der den Papierkorb umgeht",تضمين أمر حذف لكي يتجاوز سلة المهملات
Icon Size,Taille des icônes,Symbolgröße,حجم اﻷيقونة
Icon View,Vue en icônes,Symbolansicht,عرض اﻷيقونة
Icon view,Vue en icônes,Symbolansicht,طريقة عرض الأيقونة
Icons,Icônes,Symbole,الأيقونات
"If set, wrap lines if the text becomes too wide.","Si activé, retourne à la ligne si le texte devient trop long.","Wenn eingestellt, werden Zeilen bei zu langem Text umgebrochen.",في حالة التعيين، قم بلف الأسطر إذا أصبح النص عريضاً جداً.
"If you delete an item, it will be permanently lost.","Si vous supprimez un élément, il sera définitivement perdu.","Sobald Sie ein Objekt löschen, ist es dauerhaft verloren.",إذا قمت بحذف عنصر، فسيتم فقده بشكل دائم.
"If you want to eject the volume, please use ""Eject"" in the popup menu of the volume.","Si vous voulez éjecter le volume, veuillez utiliser « Éjecter » dans le menu contextuel du volume.","Wenn Sie den Datenträger auswerfen möchten, verwenden Sie bitte »Auswerfen« im Kontextmenü des Datenträgers.","إذا كنت ترغب في إخراج وحدة التخزين، فيرجى استخدام ""إخراج"" في القائمة المنبثقة لوحدة التخزين."
"If you want to unmount the volume, please use ""Unmount Volume"" in the popup menu of the volume.","Si vous voulez démonter le volume, veuillez utiliser « Démonter le volume » dans le menu contextuel du volume.",Zum Aushängen des Datenträgers bitte »Aushängen« im Kontextmenü des Datenträgers verwenden.,"إذا كنت تريد إلغاء تحميل وحدة التخزين، فيرجى استخدام ""إلغاء تحميل وحدة التخزين"" في القائمة المنبثقة لوحدة التخزين."
Ignore per-folder view preferences,Ignorer les préférences de vues des dossiers,Ordnerspezifische Ansichtseinstellungen ignorieren,تجاهل تفضيلات العرض لكل مجلد
Ignored argument - left for compatibility only.,Argument ignoré - laissé par soucis de rétrocompatibilité,Ignorierter Ausdruck – wird nur zur Kompatibilität zugelassen.,تم تجاهل الوسيطة - ترك للتوافق فقط.
Image,Image,Bild,الصورة
Image Type,Type d'image,Bildtyp,نوع الصورة
In order to regain the free space on this volume the trash must be emptied. All trashed items on the volume will be permanently lost.,"Afin de récupérer de l'espace libre sur ce périphérique, la corbeille doit être vidée. Tous les éléments dans la corbeille du volume seront définitivement perdus.","Um den freien Speicherplatz auf diesem Datenträger verfügbar zu machen, muss der Papierkorb geleert werden. Alle im Papierkorb dieses Datenträgers enthaltenen Objekte werden dauerhaft gelöscht.",لاستعادة المساحة الحرة على وحدة التخزين هذة، يجب إفراغ سلة المهملات. سيتم فقد جميع عناصر سلة المهملات الموجودة على وحدة التخزين بشكل دائم.
Increase the view size,Agrandit l'affichage,Ansicht vergrößern,زيادة حجم العرض
Input Methods,Méthodes de saisie,Eingabemethoden,طرق الإدخال
Invert selection,Inverser la sélection,Auswahl umkehren,أعكس التحديد
Jump to new workspace,Aller vers un nouvel espace de travail,Zu neuer Arbeitsfläche wechseln,اذهب إلى مساحة العمل الجديدة
Justification,Justification,Ausrichtung,التسوية
Keep icons lined up on a grid,Garde les icônes alignées sur une grille,Symbole an einem Raster ausrichten,إبقاء الأيقونات مصطفة على الشبكة
Keep icons sorted by detailed type in rows,Garde les icônes classées par catégories détaillées dans les rangées,Symbole nach detailliertem Dateityp in Reihen sortieren,إبقاء الأيقونات مرتبة حسب النوع المفصل في صفوف
Keep icons sorted by modification date in rows,Garde les icônes triées par date de modification,Symbole nach Änderungsdatum in Zeilen sortieren,إبقاء الأيقونات مرتبة حسب تاريخ التعديل في صفوف
Keep icons sorted by name in rows,Garde les icônes triées par nom,Symbole nach Name in Zeilen sortieren,إبقاء الأيقونات مرتبة حسب الاسم في صفوف
Keep icons sorted by size in rows,Garde les icônes triées par taille,Symbole nach Größe in Zeilen sortieren,إبقاء الأيقونات مرتبة حسب الحجم في صفوف
Keep icons sorted by trash time in rows,Garde les icônes triées par date de mise à la corbeille,Symbole nach Löschdatum in Zeilen sortieren,إبقاء الأيقونات مرتبة حسب وقت سلة المهملات في صفوف
Keep icons sorted by type in rows,Garde les icônes triées par type,Symbole nach Typ in Zeilen sortieren,إبقاء الأيقونات مرتبة حسب النوع في صفوف
Keywords,Mots-clés,Stichworte,الكلمات الدالة
Large,Grande,Groß,كبير
Larger,Plus grande,Größer,أكبر
Last changed:,Dernière modification :,Letzte Änderung:,آخر تعديل:
Last modified:,Dernière modification :,Zuletzt geändert:,آخر تعديل:
Layout,Disposition,Ansicht,المخطط
Leave icons wherever they are dropped,Les icônes restent là où elles sont déposées,"Symbole dort lassen, wo sie abgelegt werden",ترك الأيقونات أينما يتم إفلاتها
Line wrap,Retour à la ligne,Zeilenumbruch,التفاف السطر
Link name:,Nom du lien :,Verknüpfungsname:,اسم الرابط:
Link target:,Cible du lien :,Verknüpfungsziel:,الرابط الهدف:
Link to %s,Lien vers %s,Verknüpfung mit %s,رابط إلى %s
List,Liste,Liste,القائمة
List Columns,Colonnes de liste,Listenspalten,أعمدة القائمة
List View,Vue en liste,Listenansicht,عرض القائمة
List bookmarks in the menu,Lister les marque-pages dans le menu,Lesezeichen im Menü auflisten,قائمة الإشارات المرجعية في القائمة
List devices and network locations in the menu,Montrer les périphériques et chemins réseau dans le menu,Geräte und Netzlaufwerke im Menü auflisten,قائمة الأجهزة ومواقع الشبكات في القائمة
List files only,Lister seulement les fichiers,Dateien nur auflisten,قائمة الملفات فقط
List view,Vue en liste,Listenansicht,عرض القائمة
Loading...,Chargement…,Ladevorgang …,جاري التحميل...
Local Files Only,Uniquement les fichiers locaux,nur lokale Dateien,الملفات المحلية فقط
Location,Emplacement,Speicherort,الموقع
Location:,Emplacement :,Ort:,الموقع:
Location: %s,Localisation : %s,Ort: %s,الموقع: %s
Lock the drive associated with the open folder,Verrouille le volume associé au dossier ouvert,Das zum geöffneten Ordner gehörende Laufwerk sperren,تأمين محرك الأقراص المقترن بالمجلد المفتوح
Lock the selected drive,Verrouille le volume sélectionné,Gewähltes Laufwerk sperren,تأمين محرك الأقراص المحدد
MIME Type,Type MIME,MIME-Typ,نوع MIME
Menubar,Barre des menus,Menüleiste,شريط القوائم
Move to,Déplacer vers,Verschieben nach,نقل إلى
Make a permanent connection to this server,Établit une connexion permanente à ce serveur,Eine dauerhafte Verbindung mit diesem Server herstellen,إنشاء اتصال دائم بهذا الخادم
Make executable and run,Rendre exécutable et lancer,Ausführbar machen und starten,جعله قابل للتنفيذ وتشغيل
Make link,Créer un lien,Verknüpfung erstellen,أنشى رابط
Make the selected icon resizable,Permet de redimensionner l'icône sélectionnée,Das gewählte Symbol Größenveränderbar machen,جعل الأيقونة المحددة قابلة لتغيير الحجم
Manage the desktop with the file manager,Gérer le bureau avec le gestionnaire de fichiers,Den Schreibtisch mit der Dateiverwaltung handhaben,إدارة سطح المكتب مع مدير الملفات
Manage workspaces (Expo),Gérer les espaces de travail (Expo),Arbeitsflächenübersicht,إدارة مساحات العمل (Expo)
Mark as Trusted,Marquer comme validé,Als vertrauenswürdig markieren,تعليمه كموثوق
Markup,Balise,Auszeichnung,الترميز
Merge,Fusionner,Zusammenführen,دمج
Merge All,Tout fusionner,Alle zusammenführen,دمج الكل
"Merge folder ""%s""?",Fusionner le dossier « %s » ?,Ordner »%s« zusammenführen?,"دمج المجلد ""%s""؟"
Merging will ask for confirmation before replacing any files in the folder that conflict with the files being copied.,La fusion demandera une confirmation avant remplacement de tout fichier du dossier entrant en conflit avec les fichiers en cours de copie.,"Es wird beim Zusammenführen von Dateien gefragt, bevor Dateien überschrieben werden, welche im Konflikt mit den zu kopierenden Dateien stehen.",الدمج سيطلب التأكيد قبل استبدال أي ملفات في المجلد تتعارض مع الملفات التي يتم نسخها.
Metering Mode,Mode de mesure,Messmethode,وضع القياس
Move to Trash,Mettre à la corbeille,In den Papierkorb verschieben,نقل إلى سلة المهملات
Modified - Time,Date de modification,Geändert – Zeit,وقت - التعديل
Modified date,Date de modification,Änderungsdatum,تاريخ التعديل
Modified:,Dernière modification :,Geändert:,التعديل:
Modified: %s,Modifié : %s,Geändert: %s,التعديل: %s
More info,Plus d’informations,Weitere Informationen,معلومات أكثر
Mount %f to browse its contents,Monter %f pour parcourir son contenu,"%f einhängen, um den Inhalt zu durchsuchen",تحميل %f لتصفح محتوياته
Mount and open %s,Monter et ouvrir %s,%s einhängen und öffnen,تحميل وفتح %s
Mount and open %s (%s),Monter et ouvrir %s (%s),%s (%s) einhängen und öffnen,تحميل وفتح %s (%s)
Mount archive,Monter l'archive,Archive einhängen,تحميل الأرشيف
Mount the selected volume,Monte le volume sélectionné,Den gewählten Datenträger einbinden,تحميل وحدة التخزين المحددة
Mount the volume associated with the open folder,Monte le volume associé au dossier ouvert,Den zum geöffneten Ordner gehörenden Datenträger einhängen,تحميل وحدة التخزين المرتبطة بالمجلد المفتوح
Mount the volume associated with this folder,Monte le volume associé à ce dossier,Den zu diesem Ordner gehörenden Datenträger einhängen,تحميل وحدة التخزين المرتبطة بهذا المجلد
Mounted Drives,Lecteurs montés,Eingehängte Geräte,الأقراص المركبة
Move '%s' back to '%s',Restaurer « %s » vers « %s »,»%s« zurück nach »%s« verschieben,نقل '%s' مرة أخرى إلى '%s'
Move '%s' back to trash,Remettre « %s » dans la corbeille,»%s« zurück in den Papierkorb verschieben,نقل '%s' مرة آخرى إلى سلة المهملات
Move '%s' to '%s',Déplacer « %s » vers « %s »,»%s« nach »%s« verschieben,نقل '%s' إلى '%s'
Move '%s' to trash,Mettre « %s » à la corbeille,»%s« in den Papierkorb verschieben,نقل '%s' إلى سلة المهملات
Move Down,Déplacer vers le bas,Runter Bewegen,نقل ﻷسفل
Move Tab Left,Déplacer l'onglet vers la gauche,Reiter nach links verschieben,نقل علامة التبويب يسار
Move Tab Right,Déplacer l'onglet vers la droite,Reiter nach rechts verschieben,نقل علامة التبويب يمين
Move Up,Déplacer vers le haut,Hoch bewegen,نقل ﻷعلى
Move current tab to left,Déplace l'onglet actuel vers la gauche,Aktuellen Reiter nach links verschieben,نقل علامة التبويب الحالية إلى اليسار
Move current tab to right,Déplace l'onglet actuel vers la droite,Aktuellen Reiter nach rechts verschieben,نقل علامة التبويب الحالية إلى اليمين
Move each selected item to the Trash,Met chaque élément sélectionné à la corbeille,Jedes gewählte Objekt in den Papierkorb verschieben,نقل كل عنصر محدد إلى سلة المهملات
