
%i %s %i %s,%i %s %i %s,%i %s %i %s,%i %s %i %s
%s %s remaining,%s : il reste %s,%s %s verbleibend,المتبقي %s %s
%s %s until charged,%s : %s avant chargement complet,%s %s bis vollständig geladen,%s %s حتى يتم الشحن
%s of UPS backup power remaining,Il reste %s d'autonomie à l'onduleur,%s der USV-Ladung verbleibend,المتبقي من طاقة UPS الاحتياطية %s
'%s' on %s,'%s' sur %s,»%s« auf %s,'%s'على %s
Wireless mouse is low in power,Il reste peu d’autonomie à la souris sans fil,Die drahtlose Maus hat eine sehr geringe Ladung.,بطارية الماوس الغير سلكي منخفض
Wireless mouse is very low in power. This device will soon stop functioning if not charged.,Il reste très peu d’autonomie à la souris sans fil. Elle s’arrêtera bientôt de fonctionner si elle n’est pas rechargée.,"Die drahtlose Maus hat eine sehr geringe Ladung. Dieses Gerät wird bald aufhören zu funktionieren, wenn es nicht aufgeladen wird.","بطارية الماوس الغير سلكية منخفضة جداً, سيتوقف هذا الجهاز قريبًا عن العمل إذا لم يتم شحنها."
"You can free up disk space by emptying the Trash, removing unused programs or files, or moving files to an external disk.","Vous pouvez libérer de l'espace disque en vidant la corbeille, en supprimant des logiciels ou des fichiers inutilisés ou bien en déplaçant des fichiers vers un disque externe.","Sie können Plattenplatz frei machen, indem Sie den Papierkorb leeren, ungenutzte Programme oder Dateien löschen oder Dateien auf einen externen Datenträger verschieben.",يمكنك تحرير مساحة القرص عن طريق إفراغ سلة المهملات، وإزالة البرامج أو الملفات غير المستخدمة، أو نقل الملفات إلى قرص خارجي.
"You can free up disk space by emptying the Trash, removing unused programs or files, or moving files to another disk or partition.","Vous pouvez libérer de l'espace disque en vidant la corbeille, en supprimant des logiciels ou fichiers inutilisés ou en déplaçant des fichiers vers un autre disque ou une autre partition.","Sie können Plattenplatz frei machen, indem Sie den Papierkorb leeren, ungenutzte Programme oder Dateien löschen oder Dateien auf eine andere Festplatte oder eine andere Partition verschieben.",يمكنك تحرير مساحة القرص عن طريق إفراغ سلة المهملات، أو إزالة البرامج أو الملفات غير المستخدمة، أو نقل الملفات إلى قرص أو قسم آخر.
"You can free up disk space by removing unused programs or files, or by moving files to an external disk.",Vous pouvez libérer de l'espace disque en supprimant des logiciels ou des fichiers inutilisés ou bien en déplaçant des fichiers vers un disque externe.,"Sie können Plattenplatz frei machen, indem Sie ungenutzte Programme oder Dateien löschen oder Dateien auf einen externen Datenträger verschieben.",يمكنك تحرير مساحة القرص عن طريق إزالة البرامج أو الملفات غير المستخدمة أو نقل الملفات إلى قرص خارجي.
"You can free up disk space by removing unused programs or files, or by moving files to another disk or partition.",Vous pouvez libérer de l'espace disque en supprimant des logiciels ou des fichiers inutilisés ou bien en déplaçant des fichiers vers un autre disque ou une autre partition.,"Sie können Plattenplatz frei machen, indem Sie ungenutzte Programme oder Dateien löschen oder Dateien auf eine andere Festplatte oder eine andere Partition verschieben.",يمكنك تحرير مساحة القرص عن طريق إزالة البرامج أو الملفات غير المستخدمة أو نقل الملفات إلى قرص أو قسم آخر.
You have just inserted a Photo CD.,Vous venez d'insérer un CD photos.,Sie haben soeben eine Foto-CD eingelegt.,لقد قمت بإدخال قرص CD صورة فوتوغرافية.
You have just inserted a Picture CD.,Vous venez d'insérer un CD images.,Sie haben soeben eine Bilder-CD eingelegt.,لقد قمت بإدخال قرص CD صور.
You have just inserted a Super Video CD.,Vous venez d'insérer un disque SVCD.,Sie haben soeben eine Super-Video-CD eingelegt.,لقد قمت بإدخال قرص CD فيديو سوبر.
You have just inserted a Video CD.,Vous venez d'insérer un CD vidéo.,Sie haben soeben eine Video-CD eingelegt.,لقد قمت بإدخال قرص CD فيديو.
You have just inserted a Video DVD.,Vous venez d'insérer un DVD vidéo.,Sie haben soeben eine Video-DVD eingelegt.,لقد قمت بإدخال قرص DVD فيديو.
You have just inserted a blank Blu-Ray disc.,Vous venez d'insérer un disque Blu-ray vierge.,Sie haben soeben ein leeres Blu-Ray-Medium eingelegt.,لقد قمت بإدخال قرص Blu-ray فارغ.
You have just inserted a blank CD.,Vous venez d'insérer un CD vierge.,Sie haben soeben eine leere CD eingelegt.,لقد قمت بإدخال قرص CD فارغ.
You have just inserted a blank DVD.,Vous venez d'insérer un DVD vierge.,Sie haben soeben eine leere DVD eingelegt.,لقد قمت بإدخال قرص DVD فارغ.
You have just inserted a blank HD DVD.,Vous venez d'insérer un DVD HD vierge.,Sie haben soeben eine leere HD-DVD eingelegt.,لقد قمت بإدخال قرص DVD HD فارغ.
You have just inserted a digital audio player.,Vous venez d'insérer un lecteur audio numérique.,Sie haben gerade ein digitales Tonwiedergabegerät angeschlossen.,لقد قمت بإدخال مشغل صوت رقمي.
You have just inserted a medium with digital photos.,Vous venez d'insérer un support de photos numériques.,Sie haben soeben einen Datenträger mit digitalen Fotos eingelegt.,لقد قمت بإدخال وسيطة مع الصور الرقمية.
You have just inserted a medium with software intended to be automatically started.,Vous venez d'insérer un média avec un logiciel prévu pour être lancé automatiquement.,"Sie haben soeben einen Datenträger mit Programmen eingelegt, welche automatisch ausgeführt werden sollen.",لقد قمت بإدخال وسيطة تحتوي على برنامج مخصص لبدء التشغيل التلقائي
You have just inserted a medium.,Vous venez d'insérer un média.,Sie haben soeben einen Datenträger eingelegt.,لقد قمت بإدخال وسيطة.
You have just inserted an Audio CD.,Vous venez d'insérer un CD audio.,Sie haben soeben eine Audio-CD eingelegt.,لقد قمت بإدخال قرص CD صوتي.
You have just inserted an Audio DVD.,Vous venez d'insérer un DVD audio.,Sie haben soeben eine Audio-DVD eingelegt.,لقد قمت بإدخال قرص DVD صوتي.
Always perform this action,Toujours effectuer cette action,Immer diese Aktion ausführen,تنفيذ هذا الإجراء دائما
Cancel,Annuler,Abbrechen,إلغاء
Eject,Éjecter,Auswerfen,إخراج
Layouts,Agencements,Belegungen,التخطيطات
Ok,Valider,OK,موافق
Unmount,Démonter,Aushängen,إلغاء التحميل
could not watch for incoming card events - %s,impossible de surveiller les événements entrants de carte à puce - %s,Überwachung auf eingehende Karten-Ereignisse ist fehlgeschlagen - %s,لا يمكن مشاهدة أحداث البطاقات الواردة - %s
encountered unexpected error while waiting for smartcard events,erreur inattendue rencontrée lors de l'attente des événements de la carte à puce,Unerwarteter Fehler trat beim Warten auf eingehende Karten-Ereignisse auf,حدث خطأ غير متوقع أثناء انتظار أحداث البطاقة الذكية
no suitable smartcard driver could be found,impossible de trouver un pilote de carte à puce adapté,Es konnte kein passender Smartcard-Treiber gefunden werden,لا يمكن العثور على برنامج تشغيل البطاقة الذكية المناسبة
provides %s battery runtime,fournit %s de temps d'utilisation de la batterie,Stellt %s Akkulaufzeit zur Verfügung,يوفر وقت تشغيل البطارية %s
provides %s laptop runtime,fournit %s de temps d'utilisation de l'ordinateur,Ermöglicht %s Akkulaufzeit,يوفر وقت تشغيل الكمبيوتر المحمول %s
received error or hang up from event source,réception d'une erreur ou source d'événement déconnectée,Fehler empfangen oder Abbruch seitens der Ereignisquelle,تلقي خطأ أو تعليق من مصدر الحدث
smartcard driver '%s' could not be loaded,le pilote de carte à puce « %s » n'a pas pu être chargé,Smartcard-Treiber »%s« konnte nicht geladen werden,تعذر تحميل برنامج تشغيل البطاقة الذكية '%s'
