Arabic Term,Definition (Arabic),Definition (English),English Term
"الثَرْوَةُ الحَيَوانِيَّةُ","للثروة الحيوانية عدة أنواع هي كما يلي: 1. الضأن: عبارة عن الأغنام التي يغطي جسمها الصوف وتتضمن السلالات التالية: (الضأن النجدي، الضأن النعيمي والضأن الحري) إضافة إلى السلالات الأخرى. 2. الماعز: عبارة عن الأغنام التي يغطي جسمها الشعر وتتضمن السلالات التالية: (الماعز المحلي، الماعز الأجنبي والماعز المهجن) . 3. الإبل: تتضمن الإبل السلالات التالية: (الإبل المحلي، الإبل الأجنبي والإبل المهجن) . 4. الأبقار: تتضمن الأبقار السلالات التالية: (الأبقار المحلية، الأبقار الأجنبية والأبقار المهجنة) .","Livestock has several types, which are as follows: 1. Lamb: It is a sheep that have wool covering their bodies and includes the following breeds: (Najdi lamb, Nuaimi lamb and Hari lamb) in addition to other breeds. 2. Goats: It is a sheep whose body is covered with hair and includes the following breeds: (Domestic goats, foreign goats and hybrid goats) . 3. camels: Camels include the following breeds: (Local camels, foreign camels and hybrid camels) . 4. Cows: Cows include the following breeds: (Domestic cows, foreign cows and hybrid cows) .","Livestock"
"الجَوْدَةُ البِيئِيَّةُ","مصطلح مُستخدم في الوسائط البيئية للإشارة إلى حالة من الظروف البيئية، معبرًا عنها من حيث المؤشرات أو المؤشرات المتعلقة بمعايير الجودة البيئية.","Environmental quality is a state of environmental conditions in environmental media, expressed in terms of indicators or indices related to environmental quality standards.","Environmental Quality"
"الجِنْسُ","نوع الأفراد، أي أحد الصنفين، ذكر أو أنثى.","Individuals’ type, either of the two categories, male or female.","Sex"
"الجِنْسِيَّةُ","الحق القانوني للأفراد في الانتماء إلى بلد معين واكتساب جنسيته. وعادة ما يتم تعريفها بالجواز الذي يحمله الشخص بالفعل أو الذي يحق له الحصول عليه.","The individuals’ legal right of belonging to a particular country and acquiring its nationality. It is usually defined by the passport the person already has, or has the right to obtain.","Nationality"
"الحائِزُ","هو فرد أو شخصية اعتبارية (شركة أو هيئة حكومية) يمارس سيطرة إدارية على تشغيل الحيازة الزراعية واستثمارها ويتخذ قرارات رئيسة فيما يتعلق باستخدام الموارد المتاحة، وتقع على عاتق الحائز مسؤوليات فنية واقتصادية خاصة بالحيازة وقد يتولى جميع المسؤوليات مباشرة أو يوكل مسؤوليات الإدارة إلى مدير بأجر، وفي حالة قيام عضوين أو أكثر من أعضاء الأسرة بإدارة نفس الحيازة فإن رب الأسرة هو الذي يعتبر الحائز.","Holder is an individual or legal person (company or governmental body) exercises management control over the agricultural holding and investment. Furthermore, he takes the main decisions related to the use of available resources. He is also technically and economically responsible for the holding and has the right to assume all responsibilities directly or to delegate management responsibilities to a paid manager. If two or more family members manage the same holding, the family head will be the holder.","Holder"
"الحادِثُ المُرُورِيُّ","كل واقعة يكون أحد أطرافها مركبة متحركة واحدة- على الأقل- أو حمولتها , وينتج منه أضرار بشرية أو مادية أو كليهما دون قصد.","Any incident involving at least one moving vehicle or its load, resulting in human or material damages, or both, without intent.","Road Accidents"
"الحافِلَةُ","'سيارة معدة لنقل عدد من الركاب ومستلزماتهم يزيد عددهم على ثمانية، وتنقسم إلى نوعين: 
 حافلة عامة: لنقل الركاب ومستلزماتهم بأجر. 
 حافلة خاصة: لنقل الركاب ومستلزماتهم دون أجر.'","' A vehicle designed to transport a number of passengers and their belongings, with 
a capacity exceeding eight.  It is divided into two types: 
- Public bus: for transporting passengers and their belongings for a fee. 
- Private bus: for transporting passengers and their belongings without 
charge. '","Bus"
"الحاوِياتُ","وحدات شحن كبيرة بأبعاد قياسية يتم من خلالها شحن وتخزين المنتجات والمواد الخام خلال عملية نقل البضائع عن طريق البحر في سفن مختصة.","Cargo units with standard dimensions in which products and raw materials are shipped and stored during the transport of goods by sea in specialized vessels.","Shipping Containers"
"الحاوِياتُ العامَّةُ خارِجَ المَسْكَنِ (حاوِياتُ البَلَدِيَّةِ)","هي الحاويات التي تستخدم في تخزين النفايات، والمواد غير المرغوب فيها بشكل مؤقت خارج المسكن.","The containers that are used to collect waste and trash temporarily outside the dwelling","Public (Municipal) Trash Cans"
"الحَجُّ","هو أحد أركان الإسلام الخمسة ويتم فيه زيارة المشاعر المقدسة خلال زمن مخصوص لأداء مناسك الحج.","One of the five pillars of Islam and is visited the holy sites during a special time to perform Hajj rituals.","Hajj"
"الحَدِيقَةُ","هي جزء من مساحة المنزل وتكون مبنية ومخصصة للزراعة وليست أحواضًا.","A part of the house area that is intended for growing plants and trees and grassy areas, but not the planting pots.","Yard"
"الحَراجُ الزِراعِيُّ","نظام مستدام لإدارة الأرض يتم فيه زراعة أنواع شجر الغابات وغيرها من النباتات الشجرية على نفس الأرض كالمحاصيل الزراعية أو الثروة الحيوانية","Sustainable land management system in which forest species of trees and other wooded plants are purposely grown on the same land as agricultural crops or livestock.","Agro-forestry"
"الحَرْقُ (حَرْقُ النُفاياتِ)","يشير إلى إشعال النار على النفايات للتخلص منها سواء على سطح الأرض أو داخل حفر بعمق معين تحت سطح الأرض.","To dispose of waste through burning, whether on the surface of the ground or inside excavations at a certain depth below the ground.","Waste Incineration"
"الحَضائِرُ","هو المكان المخصص لتربية الحيوانات أو الطيور الداجنة فيه، وقد تكون على شكل مباني مخصصة أخرى.","A place designated for raising animals or domestic birds, and it may be in the form of other designated buildings.","Barns"
"الحَطَبُ","جميع أنواع الحطب المستخدمة والمستغلة كوقود.","all types of firewood used as fuel.","Firewood"
"الحَلِيبُ الخامُّ","هو مادة غذائية سائلة تُفرز من أنثى الحيوانات الحلابة (الضأن والماعز والأبقار والإبل) ، كما أن الحليب هو المكون الأساسي لمنتجات الألبان كاللبن الرائب، زبادي، القشطة، الجبن، الزبدة، حليب مجفف، وغيره.","A liquid nutrient excreted from female dairy animals (lamb, goat, cows, and camels) , and milk is the main component of dairy products such as curd, yogurt, cream, cheese, butter, dried milk, etc.","Raw Milk"
"الحَيُّ","هو جزء من المدينة يشتمل على مجموعة من العناوين الوطنية والشوارع والطرق ويكون له اسم متعارف عليه وتحيط به غالبًا شوارع رئيسة تفصله عن غيره من الأحياء وقد أعطيت الأحياء أرقاما على مستوى المدينة تبدأ بالرقم (001) وتنتهي برقم آخر حي في المدينة وقد تم اعتماد تقسيمات الأحياء طبقًا للتقسيمات المتبعة لدى الأمانات والبلديات.","Part of the city that includes a group of addresses, streets, and roads, and has a commonly recognized name. It is typically surrounded by major streets that separate it from other neighborhoods. Neighborhoods are numbered within the city, starting from (001) and ending with the number of the last neighborhood in the city. The division of neighborhoods is based on the divisions adopted by secretariats and municipal authorities.","Neighborhood"
"الحُضُورُ","المشاركة في الأنشطة مثل الذهاب إلى المتاحف، ودُور السينما، والعروض الحية، وزيارات المواقع الثقافية والمعالم التاريخية والمعارض الفنية، والمواقع الأثرية. . وما إلى ذلك.","Participation in activities such as going to museums, cinema houses, live performances and site visits Cultural, historical monuments, art exhibitions, archaeological sites. . etc.","Attendance"
"الحُمُولَةُ الإِجْمَالِيَّةُ","تشمل الوزن بالطن لكل من التخزين والوقود والركاب والبضائع والطاقم بالنسبة للسفن القادمة والمغادرة .","It includes weight in ton for storage, fuel, passengers, goods and crew for the arriving and departing ships.","Aggregated Cargo"
"الحِسابُ","الحساب هو أداة تسجل معلومات عن جانب من جوانب الحياة الاقتصادية تتصل بما يلي: (أ) الاستعمالات والموارد، أو (ب) التغيرات في الأصول والتغيرات في إلخصوم، و/أو (ج) مجموع الأصول والخصوم في تاريخ معين؛ وتشمل حسابات المعاملات بند توازن يستخدم من أجل معادلة جانبي.","An account is a tool which records, for a given aspect of economic life, (a) the uses and resources or (b) the changes in assets and the changes in liabilities and/or (c) the stock of assets and liabilities existing at a certain time; the transactions accounts include a balance clause that is used for a side equation.","Account"
"الحِسابُ الجارِي","يسجل في الحسابات الجارية إنتاج السلع والخدمات، وتوليد الدخل عن طريق الإنتاج، وما يتبع ذلك من توزيع الدخل وإعادة توزيعه بين الوحدات المؤسسي واستخدام الدخل لأغراض الاستهلاك أو الادخار.","Current accounts record the production of goods and services, the generation of incomes by production, the subsequent distribution and redistribution of incomes among institutional units, and the use of incomes for purposes of consumption or saving.","Current Accounts"
"الحِسابُ الرَأْسُمالِيُّ ESA","في ميزان المدفوعات، يغطي الحساب الرأسمالي التحويلات الرأسمالية واقتناء البنود غير المالية غير المنتجة أو التصرف فيها (كبراءات الاختراع على سبيل المثال) .","The capital account records acquisitions less disposals of non-financial assets by resident units and measures the change in net worth due to saving (final balancing item in the current accounts) and capital transfers.","Capital Account – ESA"
"الحِيازَةُ","هي وحدة اقتصادية للإنتاج الزراعي بشقيه النباتي والحيواني تخضع لإدارة واحدة، وتشمل جميع الحيوانات الموجودة فيها وكل الأراضي المستخدمة كليًا أو جزئيًا لأغراض الإنتاج الزراعي بغض النظر عن الملكية أو الشكل القانوني أو المساحة،  وقد تدار الحيازة بواسطة شخص واحد بمفرده أو ضمن الأسرة،  وقد يشترك فيها شخصان أو أسرتان أو أكثر،  وقد تتولى هذه الإدارة شخصية اعتبارية مثل شركة أو جمعية تعاونية أو وكالة حكومية أو غيرها،  وقد تتكون أرض الحيازة من جزء واحد أو أكثر تقع في مسمى واحد بشرط أن يشترك جميع أجزاء الحيازة في وسائل إنتاج واحدة مثل العمالة أو الآلات والمعدات الزراعية، وقد يكون الاشتراك واضحًا وظاهرًا ليعتبر وحدة اقتصادية واحدة.","An economic unit of the agricultural production of crops and livestock. Coming under one management, the holding covers all animals included in it and all lands used fully or in-part for agricultural production, regardless of the ownership, the legal form or the area. The holding may be managed by one individual or a family and may also be managed by two or more individuals or families jointly. This management may be undertaken by a corporate body such as a company, a cooperative, a government agency or others. The holding land may consist of one or more parts included in one locality provided that all parts of the holding use the same production means; e. g. , labor or agricultural machinery and equipment, evidently and distinctly to the extent that these parts are considered one economic unit.","Holding"
"الخَدَماتُ غَيْرُ السُوقِيَّةِ","قيمة الخدمات الأخرى التي تقدم بسعر لا يغطي عادةً تكلفة إنتاجها (مجانًا أو بسعر رمزي) ويتكون معظمها من إنتاج منتجي الخدمات الحكومية، والهيئات التي لا تهدف إلى الربح وتخدم العائلات، وخدم المنازل في قطاع الأسر المعيشية. بالنسبة للحكومة والمؤسسات غير هادفة للربح، يتم تقييم الإنتاج عن طريق مجموع تكلفة الإنتاج (استهلاك وسيط + تعويضات المشتغلين + إهلاك رأس المال) . ويعتبر هذا الإنتاج استهلاك نهائي لهذه القطاعات.","The value of other services provided at a price that does not normally cover the cost of their production (Free or at a nominal price) and consists mostly of the production of producers of government services, non-profit organizations serving families, and domestic workers in the household sector. For The government and non-profit institutions, production is calculated by the total cost of production (intermediate consumption + compensation of employee + capital depreciation) . This production is considered the final consumption of these sectors.","Non-Market Services"
"الدَخْلُ المُتاحُ لِلأُسْرَةِ المَعِيشِيَّةِ","هو جملة الدخل النقدي والعيني المتجمع من دخول جميع أفراد الأسرة ذكورًا وإناثًا (بغض النظر عن العمر) والذي يتاح للأسرة الإنفاق منه على أوجه الإنفاق المختلفة أو ادخاره, ويمكن للأسرة استخدامه بشكل مباشر بعد خصم التحويلات المدفوعة للأسر. ويتكون الدخل المتاح من عدة مصادر وهي: • الدخل من العمل 1- دخل الموظف: المرتبات والأجور (النقدية والعينية) . 2- الدخل من العمل الحر. • الدخل من غير العمل 1- إيجار الممتلكات. 2- التحويلات المستلمة. • الإيجار التقديري • التحويلات المدفوعة .","Total money and in-kind income gathered from all household members’ incomes either males or females (regardless the age) , from which the household can spend or save. and the family can use it directly after deducting the transfers paid to families. There are many sources of disposable income; • Income from labor 1- Employee income: salaries and wages (cash and in-kind) . 2- Income from self-employment. • Income from non-labor 1- Property Income . 2- Transfers received. • Imputed Rent • Transfers paid to other households.","Household Disposable Income"
"الدَخْلُ المُعَدَّلُ المُتاحُ لِلتَصَرُّفِ بِهِ","بند الموازنة في حساب إعادة توزيع الدخل العيني. يشتق الدخل المتاح للتصرف فيه المعدل من الدخل المتاح للوحدة التنظيمية أو القطاع عن طريق إضافة قيمة التحويلات الاجتماعية العينية التي تتسلمها هذه الوحدة أو القطاع، وطرح قيمة التحويلات الاجتماعية العينية المدفوعة بواسطة الوحدة أو القطاع.","Adjusted disposable income is derived from the disposable income of an institutional unit or sector by adding the value of the social transfers in kind receivable by that unit or sector and by subtracting the value of the social transfers in kind payable by that unit or sector.","Adjusted Disposable Income"
"الدَواجِنُ المَنْزِلِيَّةُ فِي الحِيازاتِ التَقْلِيدِيَّةِ","تشمل جميع الدواجن والطيور في الحيازات غير المتخصصة في إنتاج الدواجن كالدجاج والحمام والبط والسمان والأرانب . . . إلخ. .","All poultry and birds in holdings not specialized in poultry production such as chickens, pigeons, ducks, quails, rabbits . . . etc. )","Domestic poultry in traditional holdings"
"الدَوْراتُ خِلالَ العامِ 'لِلدَواجِنِ'","هي عدد الدورات الإنتاجية التي قامت المزارعة بتربيتها خلال عام المسح، وتمتد فترتها من بداية تربية الصيصان (عمر يوم واحد) حتى نهاية تسويق الدواجن المنتجة لمنافذ البيع.","Number of productive cycles that the farmer raised during the survey year, and its period extends from the beginning of chick breeding (one day old) until the end of marketing the producing poultry to sales outlets.","Cycles Throughout the Year for 'Poultry'"
"الدَوْرِيَّةُ","يُجرى التعداد على فترات منتظمة. وللدورية أهمية كبيرة، خاصة في دراسة وتقييم التغيرات الديمغرافية والاقتصادية والاجتماعية في المجتمع، وتقييم نجاح المشاريع والخطط المختلفة في تنمية الموارد البشرية وتحسين مستويات المعيشة والصحة في المجتمع، بالإضافة إلى تمكين المتخصصين من التنبؤ وتقدير حجم السكان في المستقبل.","The census is conducted at regular intervals. This periodicity is of great importance, especially in studying and assessing the demographic, economic and social changes in the society, evaluating the success of different projects and plans in developing human resources, improving the standards of living and health in society, in addition to enabling specialists to predict and estimate the size of the population in the future.","Periodicity"
"الدَوْلَةُ","هي التبعية القانونية للمؤسسة من حيث انتمائها لاقتصاد المملكة العربية السعودية.","The enterprise's legal affiliation in terms of belonging to Saudi Arabia's economy.","Country"
"الدَوْلَةُ الشَرِيكَةُ","هي الدولة التي لديها تعاملات اقتصادية بالمملكة فيصدر لها ويستورد منها، وبناءً على تلك التعاملات تقدر قيمة الصادرات والواردات وحجم التجارة بين الدولتين والميزان التجاري وأهم السلع المصدرة والمستوردة.","The country that engages in economic transactions with the Kingdom, from which exports are made and imports are received. Based on these transactions, the value of exports and imports, the volume of trade between the two countries, the trade balance, and the most important exported and imported goods are estimated.","Partner Country"
"الدَيْمُومَةُ","ضمان استمرار نقطة البيع في ممارسة النشاط لفترة طويلة.","Ensure that the point of sale continues to be active for a long time.","Permanence"
"الدُوَلُ","هي منشأ السلع لإحصاءات الواردات والوجهة النهائية لإحصاءات الصادرات.","The origin of goods for import statistics and the final destination for export statistics.","Countries"
"الراكِبُ","كل من يوجد في وسيلة النقل أو يكون صاعدًا إليها أو نازلًا منها بخلاف السائق.","Anyone presents in a means of transport, boarding or disembarking from it, other than the driver.","Passenger"
"الراكِبُ فِي الطائِرَةِ","هو الشخص الذي يسافر فيها، لكنه ال يقودها أو يعمل عليها.","A person who travels in an airplane but does not drive it or work on it.","Passenger on Board"
"الرَبْطُ مع المخطط الرئيس للمجتمع السكني","مبنى متصل عبر أنابيب فرعية متصلة بالشبكة المركزية لتوزيع المياه؛ عبر أسلاك مساعدة أو كابل مساعد خاص يربط المبنى بالأسلاك أو الكابل الرئيسي لتوزيع الطاقة؛ وعبر أنابيب صرف خاصة متصلة بشبكة الصرف الصحي العامة.","A building connected via sub-tubes linked to the central network for water distribution; via ancillary wires or a special ancillary cable linking the building to the main wires or cable for power distribution; and via special drainage pipes linked to the public sewage network.","Connection to the Main Community Scheme"
"الرَقْمُ القِياسِيُّ","يعرف الرقم القياسي بأنه رقم نسبي يقيس التغير في ظاهرة واحدة أو أكثر، ويتم الحصول عليه بنسبة قيمة الظاهرة في فترة المقارنة إلى قيمتها في فترة الأساس.","A relative number that measures the change in one or more phenomena. It is obtained by comparing the value of the phenomenon in the comparison period to its value in the base period.","Index number"
"الرَقْمُ القِياسِيُّ لِأَسْعارِ الجُمْلَةِ","أداة إحصائية لقياس نسبة التغير في أسعار السلع المحلية والمستوردة في الأسواق الأولية (أسواق الجملة) ما بين فترتين زمنيتين مختلفتين.","A statistical tool for measuring the percentage change in prices of locally produced and imported goods in primary markets (wholesale markets) between two different time periods.","Wholesale Price Index"
"الرَقْمُ القِياسِيُّ لِأَسْعارِ العَقاراتِ","هو أداة إحصائية لقياس التغير النسبي في أسعار العقارات بين فترتين زمنيتين.","A statistical tool to measure the relative change in real estate prices between two time periods.","Real Estate Price Index"
"الرَقْمُ القِياسِيُّ لِأَسْعارِ المُسْتَهْلِكِ","يعرف الرقم القياسي لأسعار المستهلك بأنه مقياس إحصائي للتغيرات في أسعار سلة سوق ثابتة من السلع والخدمات.","A consumer price index (CPI) is defined as a statistical measure of changes in the prices of a fixed market basket of goods and services.","Consumer Price Index"
"الرَقْمُ القِياسِيُّ لِأَسْعارِ المُنْتِجِينَ","مقياس للتغير في أسعار السلع والخدمات إما عند مغادرتهم لمكان الإنتاج أو عند دخولهم في عملية الإنتاج. مقياس للتغير في الأسعار التي يتلقاها المنتجون المحليون عن الإنتاج أو التغير في الأسعار التي يدفعها المنتجون المحليون مداخلاتهم الوسيطة.","A measure of the change in the prices of goods and services either as they leave their place of production or as they enter the production process. A measure of the change in the prices received by domestic producers for their outputs or of the change in the prices paid by domestic producers for their intermediate inputs.","Producer Price Index"
"الرَقْمُ القِياسِيُّ لِلأَسْعارِ","يعكس الرقم القياسي للأسعار/ مؤشر الأسعار متوسط التغييرات المتناسبة في أسعار مجموعة محددة من السلع والخدمات بين فترتين من الزمن.","A price index reflects an average of the proportionate changes in the prices of a specified set of goods and services between two periods of time.","Price Index"
"الرَقْمُ القِياسِيُّ لِلإِنْتاجِ الصِناعِيِّ","هو مؤشر اقتصادي يعكس التغيرات النسبية في حجم كميات الإنتاج الصناعي اعتمادًا على بيانات مسح الإنتاج الصناعي، الذي يتم تنفيذه على عينة من المنشآت الصناعية التي تعمل في الأنشطة الصناعية المستهدفة والمتمثلة في نشاط التعدين واستغلال المحاجر، ونشاط الصناعة التحويلية، ونشاط إمدادات الكهرباء والغاز، ونشاط إمدادات المياه وأنشطة الصرف الصحي وإدارة النفايات ومعالجتها، ويتم تصنيف بيانات هذا المؤشر التي يتم نشرها على أساس شهري وفقًا للتصنيف الصناعي الدولي للأنشطة الاقتصادية (ISIC 4) .","An economic indicator that reflects the relative changes in the volume of industrial production quantities depending on the data of the Industrial Production Survey, which is carried out on a sample of industrial establishments that are engaged in the targeted industrial activities of mining and quarrying activity, manufacturing industry activity, and electricity and gas supply activity. water supply, sanitation, waste management and remediation activities, and the data of this indicator, which is published on a monthly basis, are classified according to the International Industrial Classification of Economic activities (ISIC 4) .","General Index of Industrial Production"
"الرَقْمُ القِياسِيُّ لِلمُنْتِجِينَ","مؤشر تم إنشاؤه من بيانات الأسعار المقدمة من المنتجين.","An index constructed from price data supplied by producers.","Producer's index"
"الرَواتِبُ وَالأُجُورُ","هي كافة المدفوعات النقدية التي تدفع بصورة دورية من قبل المنشأة للمشتغلين لديها مقابل ساعات العمل العاديـة وما يعطى له من علاوات ثابتة قبل إجراء أي استقطاعات من قبل صاحب العمل فيما يتعلق بالضرائب، والمساهمات من العاملين في الضمان الاجتماعي وأنظمة التقاعد، وأقساط التأمين على الحياة، والرسوم النقابية وغيرها من الالتزامات للموظفين.","All cash payments, which are paid regularly by the establishment to employees in return for their normal work hours as well as fixed premiums before making any cuts by the employer in terms of taxes and contributions by workers in the social insurance, pension systems, life insurance installments, union fees and other obligations of employees.","Salaries and Wages"
"الرُكّابُ القادِمُونَ","جميع الركاب الذين يغادرون الطائرة في المطار المبلغ عنه، بما في ذلك الركاب المتصلون الذين ينزلون ويصعدون على متن الطائرة لمواصلة رحلتهم الجوية في طائرة مختلفة","All passengers departing the airplane at the notified airport, including connecting passengers who disembark and board the aircraft to continue their flight on a different airplane.","Arriving Passengers"
"الرُكّابُ المُغادِرُونَ","راكب يغادر من مطار على متن رحلة جوية ولكنه ال يشمل الراكب الذي يصل إلى المطار ويغادره على نفس الطائرة كجزء من نفس الرحلة","A passenger departing from an airport on a flight but does not include a passenger arriving at and departing from the airport on the same airplane as part of the same flight.","Departing passengers"
"الرِحْلاتُ الداخِلِيَّةُ","تعني حركة الطائرات بين مطارات المملكة العربية السعودية فقط.","The movement of aircraft between the airports of the Kingdom of Saudi Arabia.","Domestic Flights"
"الرِحْلاتُ الدَوْلِيَّةُ","تعني حركة الطائرات بين مطارات المملكة العربية السعودية وكافة دول العالم.","The movement of aircraft between the airports of the Kingdom of Saudi Arabia and all the countries of the world.","International Flights"
"الرِحْلَةُ","المسافة التي تقطعها الطائرة من مطار إلى مطار آخر، ومن دولة إلى دولة أخرى.","The distance traveled by the aircraft from one airport to another airport, and from one country to another.","Flight"
"الرِعايَةُ النَهارِيَّةُ","الرعاية النهارية اليومية للأطفال في سن الحضانة (المرحلة التأهيلية ما قبل التعليم الأساسي) .","Daily day care for children of preschool age (pre-primary education)","Day Care"
"الزِراعَةُ","الأراضي المستخدمة لمزاولة كافة الأنشطة الزراعية. وتشمل مجموع المساحات المشمولة في: إطار الأراضي الحاملة للمحاصيل المؤقتة وتشمل الحبوب (القمح، الأرز، الذرة الصفراء والبيضاء، الشعير، الشيلم، الشوفان والدخن) ، الخضروالبطيخ، محاصيل البذور الزيتية المؤقتة (فول الصويا، الفول السوداني، وبذر الخروع، وبذر الكتان، وبذر الخردل، وبذر النيجر، وبذر اللفت الزيتي، وبذر القرطم، وبذر السمسم وبذر عباد الشمس، وغيرها من البذور الزيتية) ، المحاصيل الجذرية الدرنية العالية المحتوى من النشا أو لإنولين (الجذريات، الدرنيات، البطاطس، والبطاطا الحلوة، المنيهوت، واليام) ، محاصيل التوابل المؤقتة (الفلفل الحار، اليانسون، الشمر) ، المحاصيل البقلية (الفاصولياء، الباقلاء، الحمص، اللوبياء، العدس، البازلاء) ، المحاصيل السكرية (قصب السكر، وشمندر السكر) ، المحاصيل المؤقتة الأخرى غير المصنفة في موضع آخر. الأراضي الحاملة للمروج والمراعي المؤقتة: الأراضي المستزرعة بمحاصيل الأعلاف العشبية المؤقتة بغرض الجز أو الرعي وتقل فترة استخدامها عن خمس سنوات. أراضي الراحة المؤقتة وهي الأراضي التي لا توضع فيها بذور لمدة موسم زراعي واحد أو أكثر. والحد الأقصى لفترة الراحة يقل عن خمس سنوات. الأراضي الحاملة للمحاصيل الدائمة وتشمل الفواكه والجوزيات (اللوز، الكستناء، البندق) ، محاصيل البذور الزيتية الدائمة (جوز الهند، الزيتون) ، محاصيل المشروبات (البن، الشاي، الكاكاو) ، محاصيل التوابل الدائمة (حب الهال، القرفة، القرنفل، الزنجبيل) ، والمحاصيل الدائمة الأخرى غير المصنفة في موضع آخر. الأراضي الحاملة للمروج والمراعي الدائمة وهي الأراضي المستخدمة في زراعة محاصيل الأعلاف العشبية الدائمة (مدة دورة الزراعة خمس سنوات أو أكثر) عن طريق الاستزراع أو طبيعيًا. الأراضي الزراعية الحاملة للغطاء الواقي وهي الأسطح التي تشغلها أماكن السكن في المزارع وما إلى ذلك: أماكن السكن، مباني التشغيل (الحظائر، الإصطبلات والصوامع) ، مباني الإنتاج الحيواني (حظائر البقر، حظائر الأغنام وحظائر الدواجن) كما تشتمل الأراضي التي تم تخطيطها لمزاولة الأنشطة الزراعية.","The land used for all agricultural activities. And includes the total areas covered in: The framework for lands bearing temporary crops includes grains (wheat, rice, yellow and white corn, barley, rye, oats, and millet) , vegetables and melons, temporary oilseed crops (soybeans, peanuts, castor seeds, flax seeds, mustard seeds, Niger seeds, rapeseed, cottonseed, sesame seeds, sunflower seeds, and other oilseeds) , root tuber crops with high starch or lanolin content (roots, tubers, potatoes, sweet potatoes, cassava, yam) , temporary spice crops (chili, anise, fennel) , leguminous crops (beans, broad beans, chickpeas, lobia, lentils, peas) , sugary crops (sugarcane, sugar beets) , and other temporary crops not classified elsewhere. Lands bearing temporary meadows and pastures: Lands cultivated with temporary forage grasses for mowing or grazing, used for less than five years. Temporary rest land is land where seeds are not laid for one or more planting seasons. The maximum period of rest is less than five years. Lands bearing permanent crops, including fruits and nuts (almonds, chestnuts, hazelnuts) , permanent oilseed crops (coconut, olives) , beverage crops (coffee, tea, cocoa) , permanent spice crops (cardamom, cinnamon, cloves, ginger) , and other permanent crops not classified elsewhere. Lands bearing permanent meadows and pastures are lands used for cultivating permanent forage grass crops (with a cultivation cycle of five years or more) either through cultivation or naturally. Agricultural lands with protective cover, are the surfaces occupied by farm housing and similar structures: Residential places, operating buildings (barns, stables, and silos) , animal production buildings (barns of cows, sheep, and poultry) also include lands that have been planned for practicing agricultural activities.","Agricultural"
"الزِراعَةُ الجَماعِيَّةُ","مزرعة أو مجموعة من المزارع المنظمة كوحدة، وتضطلع مجموعة من العمال بإدارتها وتشغيلها بشكل تعاوني بإشراف من الدولة، وهو نموذج شائع في البلدان الشيوعية.","A farm or a group of farms organized as a unit and managed and worked cooperatively by a group of laborers under state supervision, especially in a communist country.","Collective Farming; Corporate Farm; Collective Agriculture; Corporate Agriculture"
"الزِراعَةُ العُضْوِيَّةُ","عبارة عن نظام شامل لإدارة الإنتاج الزراعي يروج ويعزز سلامة النظام البيئي (الإيكولوجي) الزراعي بما في ذلك التنوع البيولوجي، والدورات البيولوجية والنشاط البيولوجي في التربة.","A holistic agricultural production management system which promotes and enhances agroecosystem health, including biodiversity, biological cycles, and soil biological activity.","Organic Agriculture"
"الزِراعَةُ المَحْمِيَّةُ","هي الأرض المغطاة بغطاء واقٍ من الزجاج أو البلاستيك أو أي مادة أخرى وذلك بهدف حماية النباتات من العوامل الخارجية مثل (الضوء، درجة الحرارة، الهواء، الرطوبة النسبية) وتهيئة البيئة المناسبة لنمو العديد من أصناف النباتات على مدار العام، ويستخدم هذا الأسلوب غالبا في زراعة الخضراوات.","It is the land covered with a protective cover made of glass, plastic, or any other material, aiming to shield plants from external factors such as light, temperature, air, and humidity, while creating a suitable environment for the growth of various plant varieties throughout the year. This method is commonly used in vegetable cultivation.","Protected Agriculture"
"الزِراعَةُ المَدْعُومَةُ مِن المُجْتَمَعِ المَحَلِّيِّ","شراكة بين المزارعين والمجتمع المحلي تتيح منافع مشتركة، وتعزز الصلات القائمة بين المزارعين والأرض التي توفر لهم الغذاء.","A partnership between farmers and the local community, providing mutual benefits and reconnecting people to the land where their food is grown.","Community Supported Agriculture; Community-Supported Agriculture"
"الزِراعَةُ المَكْشُوفَةُ","هي الأراضي المزروعة بمختلف المحاصيل الزراعية مباشرة والتي لا يحول بينها وبين العوامل الجوية المختلفة أي حائل.","The lands directly cultivated with various agricultural crops, with no barrier between them and various weather conditions.","Opened Agriculture"
"الزِراعَةُ فَوْقَ الماءِ","زراعة النباتات في المياه بإضافة أسمدة وبحيث يستغنى عن التربة التحتية بصورة كاملة.","Hydroponics is the cultivation of plants in water with added fertilizers, the soil substrate thereby being completely replaced.","Hydroponics"
"السائِحُ","السائح هو الشخص الذي يمضي ليلة واحدة على الأقل خارج بيئته المعتادة.","A tourist is a person who spends at least one night outside his usual environment.","Tourist"
"السَدُّ","هو حاجز أو عائق اصطناعي يحتجز المياه بما في ذلك أي مواد صلبة أو مواد أخرى قد تكون موجودة فيه.","An artificial barrier or obstacle that traps water including any solids or other materials that may be present in it .","Dam"
