English Term,Arabic Term,Arabic Description
Data Classification,تصنيف البيانات,عملية تعيين فئات أو أسماء للبيانات بناًء على محتواها أو حساسيتها أو معايير أخرى؛ لتحسين التنظيم والأمن والامتثال.
Data Cleansing )or Data Cleaning(,تنظيف البيانات,عملية تصحيح الأخطاء والتناقضات وعدم الدقة في مجموعات البيانات. وُيطلق عليها أيًضا تنقية البيانات.    . .
Data Collection,جمع البيانات,عملية جمع البيانات وقياسها، وتشمل الحصول عليها وتسميتها وتحسينها. .
Data Control,تحكم في البيانات,السياسات والإجراءات والأدوات المستخدمة لإدارة البيانات وحمايتها طوال دورة حياتها. .
Data Custodian,أمين البيانات,شخص أو مؤسسة مسؤولة عن توفير البنية التحتية لتقنية المعلومات وحماية البيانات وفًقا لسياسات حوكمة البيانات وممارساتها. .
Data Dredging,تالعب بالبيانات,تحُّيز إحصائي يحدث عند التالعب بالبيانات أو تحليلها بطريقة مفرطة للوصول إلى نتائج ذات دلالة إحصائية مع أنها قد لا تكون كذلك. ُيطلق عليه أيًضا تطُّفل على البيانات أو تصُّيد في البيانات أو قرصنة القيمة الاحتمالية.      . .
Data Drift,انحراف البيانات,تغيير في توزيع البيانات الُمْد َخلة في النموذج، يحدث مع مرور الوقت؛ وقد يؤدي إلى انخفاض أداء النموذج. ُيطلق عليه أيًضا تغُّير البيانات. .    .
Data Engineering,هندسة البيانات,مجال يركز على التصميم والبناء والصيانة للبنية التحتية والأنظمة الالزمة لدعم جمع كميات كبيرة من البيانات ومعالجتها وتخزينها وتحليلها. .
Data Ethics,أخالقيات البيانات,المبادئ والمعايير التي تحكم جمع البيانات ومعالجتها ومشاركتها واستخدامها. .
Data Exhaust,بيانات ثانوية,أي معلومات تنتج بطريقة ثانوية من الأنشطة الرقمية. .
Data Exploration,استكشاف البيانات,انظر تحليل البيانات الاستكشافي. .()
Data Fabric,نسيج البيانات,معمارية لإدارة البيانات وتكاملها، توفر إمكانات متسقة عبر بيئات متعددة. .
Data Feed,تغذية البيانات,طريقة لتزويد المستخدمين ببيانات ُمَحَّدثة من مصادر البيانات. .
Data Fishing,تصُّيد في البيانات,انظر تالعب بالبيانات. .
Data Fusion,دمج البيانات,عملية دمج البيانات من مصادر مختلفة لتوفير معلومات أكثر اتساًقا ودقة. .
Data Governance,حوكمة البيانات,السياسات والعمليات والهياكل التنظيمية التي تحدد حقوق اتخاذ القرار ومسؤوليات دعم إدارة البيانات. .
Data Harmonization,تنسيق البيانات,عملية دمج البيانات المتباينة في صيغة متسقة لتسهيل الوصول إليها وتحليلها. .
Data Hub,ِم ْحَور البيانات,مستودع مركزي لجمع البيانات من مصادر متعددة وتخزينها وإدارتها ومشاركتها. .
Data Hygiene,نظافة البيانات,عملية الحفاظ على بيانات دقيقة كاملة متسقة داخل نظام أو قاعدة بيانات. .
Data Instance,عينة بيانات,تحديد عنصر بيانات من نوع بيانات أو مجموعة بيانات. .
Data Integration,تكامل البيانات,عملية دمج لبيانات من مصادر مختلفة، في عرض موحد وواضح للمستخدمين. .
Data Integrity,صحة البيانات,مقياس ثقة للتحقق من دقة البيانات واكتمالها واتساقها وامتثالها للوائح. .
Data Intelligence,ذكاء البيانات,استخدام تقنيات الذكاء الاصطناعي لتحليل البيانات وتفسيرها. .
Data Labeling,تسمية البيانات,انظر توصيف البيانات. .
Data Lake,بحيرة البيانات,مستودع لتخزين كميات كبيرة من البيانات الأولية بصيغ مختلفة. .
Data Lakehouse,مستودع بحيرة البيانات,معمارية بيانات تجمع بين أفضل ميزات بحيرة البيانات ومستودع البيانات في منصة واحدة. .
Data Leakage,تسُّرب البيانات,حالة في تعُّلم الآلة ُتستخدم فيها معلومات من خارج مجموعة بيانات التدريب لإنشاء النماذج؛ وهو ما يؤدي إلى تقديرات أداء غير دقيقة. .
Data Literacy,إلمام بالبيانات,القدرة على فهم البيانات وتحليلها وتوصيلها بصورة فاعلة، واتخاذ قرارات مستنيرة تعتمد على رؤى مبنية على البيانات. .
Data Loading,تحميل البيانات,عملية استيراد أو نقل أو دمج البيانات من مصادر مختلفة في نظام تخزين واحد، مثل قاعدة بيانات أو مستودع بيانات. .
Data Marketplace,سوق البيانات,منصة إلكترونية عمُلها الرئيس توفير البيانات أو أي خدمات ذات صلة، كما تسمح بشراء وبيع البيانات القابلة للقراءة آلًّيا. .
Data Mart,متجر البيانات,مجموعة فرعية من مستودع البيانات تركز على أنواع معينة من الأعمال أو الموضوعات. .
Data Masking,إخفاء البيانات,عملية تعتيم المعلومات الحساسة عن طريق استبدالها ببيانات وهمية ولكنها واقعية المظهر. ُيطلق عليها أيًضا تشويش البيانات. .    .
Data Migration,ترحيل البيانات,عملية نقل البيانات من نظام إلى آخر. .
Data Mining,تنقيب في البيانات,عملية اكتشاف الأنماط في كمية كبيرة من البيانات، واستخراج المعلومات المفيدة. .
Data Model,نموذج البيانات,مجموعة من الطرق المفاهيمية لوصف البيانات، ودلالاتها، والعلاقات بينها، وقيود الاتساق. .
Data Modelling,نمذجة البيانات,عملية إنشاء تمثيل مفاهيمي للبيانات وعلاقاتها؛ ألجل تخزينها في قاعدة البيانات. .
Data Obfuscation,تشويش البيانات,انظر إخفاء البيانات. .
Data Observability,قابلية مراقبة البيانات,القدرة على مراقبة صحة البيانات وفهمها والحفاظ عليها؛ لضمان دقتها واتساقها وموثوقيتها. .
Data Operations )DataOps(,عمليات البيانات,ممارسة لإدارة البيانات تستخدم منهجية رشيقة وتعاونية؛ لتبسيط دورة الحياة لتحليالت البيانات، وتحسين جودتها. .
Data Owner,مالك البيانات,شخص أو أكثر، مسؤول عن بيانات معينة. .
Data Parallelism,توازي البيانات,أسلوب ُيستخدم لتسريع التدريب أو الاستنتاج عن طريق تكرار النموذج على عدة أجهزة، ثم تقسيم البيانات الُمْدَخلة على هذه الأجهزة. .
Data Pipeline,سير عمل البيانات,سلسلة من العمليات التي تنقل البيانات الخام وتحِّولها من مصادر مختلفة إلى وجهة للتحليل أو الاستخدام. .
Data Point,نقطة بيانات,جزء منفصل من المعلومات المشتقة من مجموعة بيانات أكبر. .
Data Poisoning,تسميم البيانات,هجوم أمني يقوم فيه المهاجم بإدخال بيانات خاطئة أو مضللة في مجموعة بيانات التدريب؛ إلفساد سلوك النموذج أو التأثير عليه. .
Data Processing,معالجة البيانات,مجموعة واسعة من العمليات التي يمكن إجراؤها على البيانات بوسائل يدوية أو مؤتمتة. .
Data Profiling,استخلاص البيانات,عملية فحص البيانات، وإعداد ملخصات وافية عنها. .
Data Proxy,بيانات بديلة,البيانات التي تحل محل البيانات المفقودة أو التي لا يمكن الوصول إليها أو قياسها، وذلك باستخدام بيانات ذات صلة من عمليات أو أنشطة مماثلة. .
Data Quality,جودة البيانات,مقياس لمدى فائدة البيانات وملاءمتها للغرض المقصود، ويشمل الاكتمال والاتساق والدقة. .
Data Redaction,تنقيح البيانات,عملية إزالة المعلومات الحساسة أو تعتيمها بشكل انتقائي من مستند أو مجموعة بيانات؛ لحمايتها من الوصول غير المصَّرح به. .
Data Replication,تكرار البيانات,تكرار البيانات على عدد من أجهزة الحاسب داخل نظام موَّزع؛ لضمان مستوى الاتساق في الوصول إلى المعلومات. .
Data Representation,تمثيل البيانات,الشكل الذي يمثل كيفية تخزين البيانات ومعالجتها ونقلها. .
Data Sampling,أخذ عِّينات البيانات,عملية اختيار مجموعة فرعية من عِّينات البيانات ُتمِّثل مجموعة بيانات أكبر؛ ألجل تحليل الأنماط والاتجاهات. .
Data Science,علم البيانات,مجال يركز على استخراج معلومات مفيدة ورؤى من البيانات عن طريق الاكتشاف أو اختبار الفرضيات. .
Data Scientist,عاِلم بيانات,شخص متخصص في تحليالت البيانات، ولديه مهارات فنية لحل المشكالت المعقدة باستخدام أدوات علم البيانات وأساليبها. .
Data Scrubbing,تنقية البيانات,انظر تنظيف البيانات. .(  )
Data Security Governance,حوكمة أمن البيانات,السياسات والإجراءات والضوابط التي تضمن حماية البيانات. .
Data Seeding,بذر البيانات,عملية إدخال البيانات الأولية في قاعدة البيانات لتسهيل الاختبار أو التطوير. .
Data Shift,تغُّير البيانات,انظر انحراف البيانات. .
Data Snooping,تطُّفل على البيانات,انظر تالعب بالبيانات. .
Data Source,مصدر البيانات,المكان الذي تنشأ منه البيانات، ويمكن استرجاعها للتحليل أو المعالجة. .
Data Steward,مشرف البيانات,دور وظيفي في إدارة البيانات يتضمن تنفيذ سياسات حوكمة البيانات والحفاظ عليها داخل المؤسسة. .
Data Storytelling,سرد قصصي للبيانات,ممارسة توصيل الرؤى المستمدة من البيانات عن طريق السرد والتصوير لجعل المعلومات المعقدة أكثر تأثيًرا وقابلية للفهم.
Data Structure,هياكل البيانات,طريقة لتنظيم البيانات وتخزينها في ذاكرة الحاسب للوصول إليها ومعالجتها بكفاءة. .
Data Subject,صاحب البيانات الشخصية,الفرد الذي تتعلق به البيانات الشخصية. .
Data Variability,تباين البيانات,التغُّيرات في مجموعات البيانات من جانب معدل الإرسال أو الصيغة أو الدلالات أو الجودة. .
Data Variety,تنُّوع البيانات,اختالف أنواع البيانات وصَيغها، مثل: البيانات المهيكلة وشبه المهيكلة وغير المهيكلة. .
Data Velocity,سرعة البيانات,معدل سرعة إنشاء البيانات أو إرسالها أو تخزينها أو تحليلها أو تصويرها. .
Data Veracity,موثوقية البيانات,دقة البيانات واكتمالها. .
Data Visualization,تصوير البيانات,تمثيل رسومي للمعلومات يسلط الضوء على الأنماط والاتجاهات في البيانات، ويساعد القارئ على اكتساب رؤى سريعة. .
Data Volatility,تقُّلب البيانات,خصائص البيانات المتعلقة بمعدل تغيرها بمرور الوقت. .
Data Volume,حجم البيانات,كمية البيانات التي تؤِّثر في موارد المعالجة والتخزين وفي إدارتها أيًضا. .
Data Warehouse,مستودع البيانات,مستودع مركزي لبيانات ُجمعت من مصادر متعددة؛ لدعم تحليل البيانات. .
Data Wrangling,تجهيز البيانات,عملية لتنظيف البيانات وتحويلها وتنظيمها إلى صيغة قابلة لالستخدام في التحليل أو النمذجة. .
Data-Centric Artificial Intelligence,ذكاء اصطناعي مرتكز على البيانات,طريقة تركز على التحسين المنهجي لبيانات التدريب؛ لتعزيز أداء نماذج الذكاء الاصطناعي. .
Data-Driven Decision-Making (DDDM),اتخاذ قرار مبني على البيانات,عملية اتخاذ القرارات بناًء على البيانات بدًال من مجرد الحدس أو المالحظة. وُيطلق عليها أيًضا اتخاذ قرار مستند إلى البيانات.   . .()
Data-Informed Decision-Making )DIDM(,اتخاذ قرار مستند إلى البيانات,انظر اتخاذ قرار مبني على البيانات. .()
Database,قاعدة البيانات,مجموعة من البيانات المن َّظمة وفًقا لهيكل مفاهيمي بغرض دعم التطبيقات في مجال معين. .
Database Administrator (DBA),مدير قاعدة البيانات,شخص ُيدير قواعد البيانات وأنظمتها، وهو مسؤول عن صيانتها. .
Database as a Service (DBaaS),قاعدة البيانات كخدمة,منصة تتيح استخدام وظائف قواعد البيانات على السحابة. .
Database Normalization,تسوية قاعدة البيانات,عملية تصميم البيانات في قاعدة بيانات عن طريق إنشاء علاقات بين الجداول؛ إلزالة التكرار والتبعية غير المتسقة. .
Database Query,استعلام قاعدة البيانات,طلب استرجاع البيانات المخَّزنة في قاعدة البيانات أو معالجتها أو إدارتها. .
Database Schema,مخطط قاعدة البيانات,التصميم العام لقاعدة البيانات. .
Dataframe,إطار البيانات,نوع بيانات ُيستخدم لتمثيل مجموعات البيانات. .
Datalog,داتا لوج,لغة برمجة منطقية تصريحية تتضمن مجموعة محدودة من الحقائق والقواعد، ويمكن استخدامها في قواعد البيانات الاستنباطية. .
Dataset )or Data Set(,مجموعة البيانات,مجموعة من البيانات التي يمكن الوصول إليها بصيغة واحدة أو أكثر. .
Datatype )or Data Type(,نوع البيانات,مجموعة محددة من البيانات التي لها هياكل محددة ومجموعة من العمليات الُمتاحة. .
Decentralized Artificial Intelligence,ذكاء اصطناعي لا مركزي,انظر ذكاء اصطناعي موَّزع. .()
Decision Analysis,تحليل القرار,طريقة معيارية التخاذ الخيارات المثلى في ظل ظروف غير مؤكدة. .
Decision Boundary,حدود القرار,الفاصل بين الأصناف التي تعلمها النموذج في مشكالت التصنيف الثنائي أو المتعدد. .
Decision Support System )DSS(,نظام دعم القرار,نظام معلومات يساعد في تقييم البدائل وحل المشكالت واتخاذ القرارات. .
Decision Theory,نظرية القرار,دراسة الاستدلال الكامن وراء الاختيارات والقرارات في ظل عدم التيقن. .
Decision Threshold,حد القرار,انظر حد التصنيف. .
Decision Tree,شجرة القرار,خوارزمية تعُّلم موَّجه تستخدم رسوًما بيانية شجرية؛ إلجراء عمليات تحليل القرار. .
Decision Tree Learning,تعُّلم شجرة القرار,عملية بناء شجرة قرار من البيانات ألداء مهام التصنيف أو الانحدار. .
Decoder,مفِّكك ترميز,نظام تعُّلم آلة ُيحِّول التمثيل المعاَلج إلى تمثيل خام. .
Deconvolution,تفكيك الترشيح,انظر ترشيح معكوس. .
Deconvolutional Neural Network (DNN),شبكة عصبية ترشيحية عكسية,شبكة عصبية تعمل بطريقة معاكسة لطريقة عمل الشبكة العصبية الترشيحية. .
Deduction,استنباط,انظر استدلال استنباطي. .
Deductive Analytics,تحليالت استنباطية,نوع من تحليالت البيانات، يبدأ بنظرية عامة أو فرضية، ثم يختبرها ببيانات محددة للوصول إلى نتيجة ما. .
Deductive Classifier,ُمصِّنف استنباطي,نوع َتَكُّيف ّي من ُمَحِّركات الاستنتاج ُيستخدم لتحسين دقة التصنيف. .
Deductive Reasoning,استدلال استنباطي,عملية استخلاص الاستنتاجات بناًء على بيانات أو حقائق عامة مقبولة على أنها صحيحة. وُيطلق عليها أيًضا استنباط. .   .
Deep Belief Network,شبكة الاعتقاد العميق,نوع من الشبكات العصبية العميقة التي تتكون من طبقات متعددة من المتغيرات العشوائية الكامنة. .
Deep Blue,ديب بلو,حاسب عمالق فاز على بطل العالم في لعبة الشطرنج جاري كاسباروف عام م. .
Deep Learning,تعُّلم عميق,مجال فرعي من تعُّلم الآلة يستخدم عدة طبقات مخفية في الشبكات العصبية لحل المشكالت المعقدة عن طريق تحديد أهم الخصائص الأساسية للبيانات الُمْدَخلة. .
Deep Model,نموذج عميق,انظر شبكة عصبية عميقة. .()
Deep Neural Network )DNN(,شبكة عصبية عميقة,نوع من الشبكات العصبية الاصطناعية يشتمل على عدة  () طبقات بين طبقتي الُمدخلات والمخرجات. وُيطلق عليه أيًضا نموذج عميق. .    .
Deep Q-Network )DQN(,شبكة كيو العميقة,خوارزمية تجمع بين التعُّلم التعزيزي والشبكات العصبية العميقة لحل المشكالت المعقدة، والتعامل مع البيئات الكثيرة الأبعاد.
Deepfake,تزييف عميق,نوع من الوسائط المصطنعة التي توضع فيها صورة شخص أو صوته بدًال من صورة شخص آخر أو صوته. .
Demographic Data,بيانات ديموغرافية,بيانات اجتماعية واقتصادية حول السكان، مثل: الجنس والعمر والتعليم والدخل والعمل. .
Demographic Parity,تكافؤ ديموغرافي,مقياس للإنصاف يكون استيفاؤه عندما لا تعتمد نتائج تصنيف النموذج على سمة حساسة معينة. .
Denoising,إزالة التشويش,طريقة لإضافة تشويش مصطنع إلى مجموعة البيانات، ثم يحاول النموذج إزالتها. .
Dense Feature,خاصية كثيفة,خاصية معظم قيمها ليست صفرية. .
Dense Layer,طبقة كثيفة,انظر طبقة متصلة كلًّيا. .
Depth,ُعمق,عدد الطبقات التي تتعَّلم الأوزان في شبكة عصبية. .
Depthwise Separable Convolutional Neural,شبكة عصبية ترشيحية قابلة للفصل عمًقا,() معمارية شبكة عصبية ترشيحية يحل فيها الترشيح القابل للفصل عمًقا محل وحدات إنسيبشن. .
Descriptive Analytics,تحليالت وصفية,نوع من تحليالت البيانات، يفحص البيانات التاريخية لفهم ما حدث في الماضي وتلخيصه. .
Deterministic Algorithm,خوارزمية حتمية النتائج,خوارزمية تنتج نفس المخرجات دائًما لُمْدَخل معين. .
Diagnostic Analytics,تحليالت تشخيصية,نوع من تحليالت البيانات، يتعمق في البيانات لتحديد سبب حدوث شيء ما. .
Dialog Management,إدارة الحوار,عملية اختيار الخطوة التالية الأنسب في حوار ما لتحقيق الهدف المنشود. .
Dialogue System,نظام حوار,نظام حاسب يمكنه التحدث مع الإنسان بلغة طبيعية. .
Differential Privacy,خصوصية تباينية,تعريف رياضي للخصوصية في تعُّلم الآلة ُيتيح جمع الإحصاءات حول مجموعة البيانات وتحليلها ومشاركتها بناًء على البيانات الشخصية مع حماية خصوصية الأفراد. .
Diffusion Model,نموذج انتشاري,نموذج توليدي يتعلم كيفية إنشاء بيانات جديدة، عن طريق عكس عملية إضافة التشويش إلى بيانات التدريب. .
Digital Image Processing,معالجة الصور الرقمية,انظر معالجة الصور. .
Digital Signal Processing )DSP(,معالجة الإشارات الرقمية,مجال فرعي من معالجة الإشارات يركز على استخدام أجهزة الحاسب لتحليل الإشارات الرقمية ومعالجتها. .
Dimension Reduction )or Dimensionality Reduction(,تقليص الأبعاد,طريقة لتقليل عدد المتغيرات في ُمَّتجه الخصائص؛ ألجل تبسيط النموذج. .
Direct Preference Optimization (DPO),تحسين التفضيل المباشر,أسلوب لتدريب النماذج على مواءمة سلوكها مع التفضيالت البشرية. .
Direct Prompting,أوامر مباشرة,أسلوب لهندسة الأوامر ُيعطى فيه النموذج تعليمات أو سؤاًال بسي ًطا دون أي أمثلة إضافية. وُيطلق عليه أيًضا أوامر بدون أمثلة.    . .
Directional Stimulus Prompting,أوامر تحفيزية مو َّجهة,أسلوب في هندسة الأوامر ُيضِّمن إشارات محددة لتوجيه استجابات النموذج نحو النتيجة المطلوبة. .
Discrete Feature,خاصية متقطعة,خاصية لها عدد محدود من القيم الممكنة. .
Discriminative Model,نموذج تمييزي,نموذج ُيستخدم في التصنيف والانحدار للتنبؤ بالأسماء، عن طريق تحديد الاحتمال الشرطي للمخرجات بالنظر إلى الخصائص والأوزان. وُيطلق عليه أيًضا نموذج شرطي. . .
Discriminator,ُممِّيز,جزء من شبكة توليدية تنافسية يفحص ما إذا كان المثال الذي أنشأه الُموِّلد حقيقًّيا أم مزيًفا. .
Disparate Impact,تأثير متباين,حالة ُتفيد فيها العملية الخوارزمية التخاذ القرار، أو تضر مجموعات فرعية معينة أكثر من غيرها. .
Disparate Treatment,معالجة متباينة,حالة ُتحَلل فيها السمات الحساسة للأشخاص في العملية الخوارزمية التخاذ القرار بطريقة لا ُتعامل فيها المجموعات الفرعية المختلفة على حد سواء. .
Distributed Artificial Intelligence )DAI(,ذكاء اصطناعي موَّزع,مجال فرعي من الذكاء الاصطناعي يركز على حل المشكالت باستخدام عمليات منسقة ومتزامنة. وُيطلق عليه أيًضا ذكاء  . اصطناعي لا مركزي. .
Distributed Computing,حوسبة موَّزعة,نظام موَّزع يتضمن عدة ُمكِّونات برمجية تعمل كنظام واحد في عدة أجهزة حاسب. .
Distributed Data Processing )DDP(,معالجة البيانات الموَّزعة,شكل من أشكال معالجة البيانات ُتوَّزع فيه العمليات بين شبكة من أجهزة الحاسب. .
Distributed File System (DFS),نظام الملفات الموَّزع,نظام إدارة ملفات ُيتيح تخزين الملفات عبر مجموعة من الأجهزة، مع إعطاء طريقة عرض موحدة للعملاء. .
Distributional Robustness,متانة التوزيع,إطار في تعُّلم الآلة لجعل النماذج أقل حساسية لالختالفات أو التغيرات في توزيع البيانات. .
Divisive Clustering,تجميع انقسامي,نوع من التجميع الهرمي ُتجَّمع فيه جميع الأمثلة أوًال في مجموعة، ثم ُتق َّسم المجموعة بصورة تكرارية إلى شجرة هرمية. .
Domain Adaptation,تكييف المجال,مجال فرعي من مجالات تعُّلم الآلة يهدف إلى تطبيق خوارزمية سبق تدريبها في مجال معين على مجال آخر له ارتباط بالمجال الأول. .
Domain Shift,تغُّير المجال,تغيير في توزيع البيانات بين المجال المصدر (مثل بيانات التدريب) والمجال الهدف (مثل بيانات الاختبار).    (  ) .(  )
Downsampling,تقليل العِّينات,أسلوب ُيستخدم لموازنة البيانات غير المتوازنة الأصناف، عن طريق حذف أمثلة من صنف الأغلبية. وُيطلق عليه أيًضا خفض العِّينات. .   .
Driver Assistance,مساعدة السائق,نظام مصَّمم لدعم السائق في مهام القيادة وتعزيز السالمة والراحة. وُيطلق عليه أيًضا أنظمة مساعدة السائق المتقدمة. .
Driverless Car,سيارة بدون سائق,انظر سيارة ذاتية القيادة. .
Dropout Regularization,ضبط الإسقاط,أسلوب ُيستخدم في تدريب الشبكات العصبية لمنع فرط التخصيص، عن طريق إلغاء تنشيط مجموعة فرعية من الخلايا العصبية بشكل عشوائي أثناء تكرار التدريب. .
Dynamic Model,نموذج ديناميكي,نموذج ُيدَّرب تدريًبا متواص ًال باستخدام بيانات تدخل باستمرار في النموذج. .
Eager Learning,تعُّلم شغوف,طريقة تعُّلم تعالج بيانات التدريب قبل تلقي أي استعلام. .
Early Stopping,توقف مبكر,طريقة ضبط تتضمن إيقاف تدريب النموذج قبل الانتهاء من تقليل خسارة التدريب. .
Earth Mover's Distance (EMD),مسافة نقل التوزيع,مقياس للتشابه بين توزيعين احتماليين. وُيطلق عليه أيًضا مسافة واسرستين. .    .
Echo State Network )ESN(,شبكة حالة الصدى,نوع من حوسبة المكامن ينشئ شبكة تكرارية متصلة عشوائًّيا ويدرب أوزان اتصال مناسبة لإنتاج المخرجات المرغوبة.
Edge Analytics,تحليالت طرفية,عملية جمع البيانات وتحليلها قريًبا من الأجهزة الطرفية، مثل: أجهزة الاستشعار وأجهزة إنترنت الأشياء. .
Edge Artificial Intelligence,ذكاء اصطناعي طرفي,استخدام الذكاء الاصطناعي في الأجهزة الطرفية، مثل: أجهزة الاستشعار وأجهزة إنترنت الأشياء، لمعالجة البيانات واتخاذ القرارات في الوقت الآني. .
Edge Case,حالة نادرة,حالة نادرة أو غير عادية تقع خارج النطاق الطبيعي للبيانات أو سلوك النظام. .
Edge Computing,حوسبة طرفية,طريقة حوسبية ُتنَّفذ فيها عمليات الحوسبة في طرف الشبكة، مثل: أجهزة استشعار إنترنت الأشياء أو الأجهزة المحلية، بدًال من مراكز البيانات. .
Edge Model,نموذج طرفي,نموذج يعمل على الأجهزة الطرفية، مثل أجهزة الاستشعار وأجهزة إنترنت الأشياء، ويتيح معالجة البيانات محلًّيا. .
Eliza Effect,تأثير أليزا,ميل الناس إلى نسب صفات شبيهة بصفات البشر، مثل: الذكاء والفهم والعواطف، إلى أنظمة الذكاء الاصطناعي. .
Embedded Artificial Intelligence,ذكاء اصطناعي مضَّمن,دمج قدرات الذكاء الاصطناعي في الأجهزة أو الأنظمة ذات الموارد الحوسبية المحدودة، مثل أجهزة الاستشعار أو وحدات التحكم الدقيقة أو أجهزة إنترنت الأشياء. .
Embedding,تضمين,عملية تحويل ُمَّتجه كثير الأبعاد إلى فضاء قليل الأبعاد. .
Embedding Space,فضاء التضمين,فضاء ُمَّتجه قليل الأبعاد نسبًّيا ُتعّين عليه خصائص من فضاء ُمَّتجه ذي أبعاد أكثر. .
Embodied Agent,وكيل ُمج َّسد,وكيل يتفاعل مع بيئة عبر جسم مادي أو افتراضي. .
Embodied Artificial Intelligence,ذكاء اصطناعي ُمج َّسد,مجال يركز على دمج قدرات الذكاء الاصطناعي في الروبوتات وتمكينها من التعُّلم عن طريق التفاعل مع البيئة المحيطة. .
Embodied Cognitive Science,علوم إدراكية ُمج َّسدة,مجال يهدف إلى دراسة آليات تطوير العمليات الإدراكية، وتأكيد دور التفاعل مع البيئة. .
Emotion Artificial Intelligence )or Emotional,ذكاء اصطناعي عاطفي,( انظر حوسبة عاطفية. .
Emotion Recognition,تعُّرف على المشاعر,عملية التعُّرف على المشاعر المضَّمنة في نص أو كالم أو صورة. .
Emotion Recognition System,نظام التعُّرف على المشاعر,تقنية تستخدم الذكاء الاصطناعي لتحديد المشاعر البشرية وتفسيرها. .
Empirical Risk Minimization )ERM(,تقليل المخاطر التجريبي,عملية اختيار نموذج يقلل من الخسارة المتوسطة لمجموعة معينة من بيانات التدريب. .
Encoder,ُمرِّمز,نظام تعُّلم آلة ُيحِّول التمثيل الخام إلى تمثيل معاَلج. .
Ensemble,تجميع النماذج,طريقة للجمع بين تنبؤات نماذج متعددة للحصول على أداء تنبؤي أفضل. .
Ensemble Averaging,متوسط التجميع,أسلوب مستخدم في الشبكات العصبية الاصطناعية لإنتاج نموذج متوسط من مجموعة من النماذج المتواضعة الدقة. .
Entity,كيان,شيء مادي أو غير مادي يمكن التعُّرف عليه وتمييزه بوضوح.     (  ) .
Entity Annotation,توصيف الكيانات,عملية تحديد الكيانات واستخراجها ووسمها في النص لمساعدة الآلة على فهم الجمل غير المهيكلة. .
Environment,بيئة,عالم في التعُّلم التعزيزي يشتمل على الوكيل ويسمح له برصد حالة ذلك العالم. .
Environment State,حالة البيئة,قيم الُمعاِملات في التعُّلم التعزيزي التي تصف التكوين الحالي للبيئة الذي يستخدمه الوكيل الختيار فعل. .
Epoch,دورة,عملية تدريب كاملة على مجموعة البيانات بأكملها. .
Epsilon Greedy Policy,سياسة إبسيلون الجشعة,سياسة في التعُّلم التعزيزي تتبع سياسة عشوائية مع احتمال إبسيلون أو سياسة الجشع. .
Equality of Opportunity,تكافؤ الفرص,مقياس إنصاف لفحص ما إذا كان الُمصِّنف يتنبأ باسم مفضل بطريقة متساوية لجميع قيم السمة. .
Equalized Odds,احتمالات متكافئة,مقياس إنصاف لفحص ما إذا كان الُمصِّنف يتنبأ باسم ما بطريقة متساوية لجميع قيم السمة. .
Error Propagation,انتشار الأخطاء,ظاهرة تحدث فيها أخطاء في البيانات أو الُمعاِملات أو الحسابات الوسيطة، ويمكن أن تؤِّثر في المخرجات النهائية للنموذج. .
Error-Driven Learning,تعُّلم مبني على الخطأ,نوع من التعُّلم يستخدم فيه الوكيل معلومات حول الاختالف بين السلوك الحالي والمستهدف لتعديل سلوكه. .
Estimator,ُمقِّدر,معادلة في تعُّلم الآلة ُتستخدم الختيار أفضل نموذج بيانات بناًء على المشاهدات الحقيقية. .
Evaluation Data,بيانات التقييم,انظر بيانات الاختبار. .(    )
Event Stream Processing )ESP(,معالجة تدفق الأحداث,عملية التحليل السريع الآني لتدفقات البيانات المستمرة للأحداث. .
Evolutionary Algorithm (EA),خوارزمية تطورية,خوارزمية مستوحاة من التطور البيولوجي لحل مشكالت التحسين والبحث. .
Evolutionary Computation,حوسبة تطورية,مجال فرعي من الذكاء الاصطناعي يستخدم آليات مستوحاة من التطور البيولوجي لحل مشكالت التحسين والبحث. .
Example,مثال,مثال من مجموعة البيانات يتكون من خاصية واحدة أو أكثر وقد يحوي اسًما أيًضا. وُيطلق عليه أيًضا حالة.   . .
Experience Replay,إعادة تشغيل التجربة,مخزن مؤقت للذاكرة في التعُّلم التعزيزي لتخزين انتقالات الحالة المكتسبة أثناء عملية التعُّلم واستخدامها الحًقا لتدريب النموذج. .
Experimenter's Bias,تحُّيز الُمختِبر,نوع من التحُّيز التأكيدي الذي يواصل فيه المختبر تدريب النموذج إلى أن ُتؤَّكد الفرضية المطروحة سابًقا. .
Expert System,نظام خبير,نظام حاسب يحاكي قدرة الخبير البشري على اتخاذ القرارات في مجال معين بناًء على قاعدة معرفة تتضمن حقائق وقواعد.
Explainability,قابلية التفسير,القدرة على شرح العوامل المهمة التي تؤِّثر في نتائج نظام الذكاء الاصطناعي بعبارات مفهومة للإنسان. وُيطلق عليها أيًضا ذكاء اصطناعي قابل للتفسير أو قابلية الشرح.     . .  ()
Explainable Artificial Intelligence )XAI(,ذكاء اصطناعي قابل للتفسير,انظر قابلية التفسير. .
Exploding Gradient Problem,مشكلة انفجار التدرج,مشكلة تحدث في تدريب الشبكات العصبية عندما تتراكم تدرجات خطأ كبير، وهو ما يؤدي إلى نموذج غير مستقر بسبب التحديثات الكبيرة جًّدا للأوزان. .
