‘Syn’-Tax,نحوي متزامن
Language suicide,انتحار لغوي
Language tip,ميلان اللغة
Latency period,فترة الكمون
Latent content,محتوى كامن
Latent dream - thoughts,أفكار الحلم (الكامنة)
Layer/ class,طبقة
Level,مستوى
Lexical,معجمي/ مفرداتي
Lexical borrowing,اقتارض معجمي
Lexical item (s),وحدة معجمية/ مفردات معجمية
Lexical resource,مصدر معجمي
Lexical rule,قاعدة معجمية
Lexicographer,واضع المعاجم
Lexicological,مفرداتي
Lexicon,معجم
Liberalism,ليبرالية
Libidinal stage,مرحلة لبيدية
Libido,لبيدو
Libido adhesiveness,تشبث اللبيدو
Life instincts,نزوات الحياة
Lineages,سلالات
Linear approach,مقاربة خطية
Linear rule,قاعدة خطية
Lingua franca,لغة تعامل
Linguistic,لغوي، ألسني
Linguistic determinism,حتمية لغوية
Linguistic law,قانون لغوي
Linguistic legislation,تشريع لغوي
Linguistic relativism,نسبية لغوية
Linguistic relevance,تعلق لساني
Linguo-cultural relativity,نسبية لغوية - ثقافية
Lipogram,مستقطع، (نص) مجرد (من حرف معين)
Literal translation,ترجمة حرفية
Literalism,حرفية
Literariness,أدبية
Literary,أدبي
Literary function,وظيفة أدبية
Literary historicism,تاريخانية أدبية
Literary interference,تداخل أدبي
Logical form (LF),صيغة منطقية (صم)
Logical positivism,وضعية منطقية (نظرية) (وضعية محدثة)
Logocentrism,مركزية اللغة
Logophiliac,مهووس بالكلمات
Logopoeia,لعبة الدلالية
Logos,لوغوس(شعارات)
Luminous details,تفاصيل مضيئة
Macro literacy,أبجدة - ماكرو
Macro proposition,قضية كبرى
Macrolevel,مستوى أكبر
Macrostructural level,مستوى البنى الكبرى
Magnets,شخصيات بارزة
Major,أكثري(متعلق بالأكثرية)
Major system,نسق أساسي
Malfeasance,إخلال بالوظيفة
Management,إدارة
Manifest content,محتوى ظاهر
Manifestations,تجليات
Mans double,قرين
Many-to-One correspondence,مقابلة الكثرة بالواحد
Marginal,هامشي
Marked feature,سمة موسومة
Markedness,وسم/ موسومية
Marker,واسم
Market,سوق
Masculinity - feminity,ذكورة - أنوثة
Masochism,مازوشية
Mass,حشد
Mass media exposure,انفتاح على وسائل الإعلام
Massacre,مجزرة
Massive metalepsis,تعمية جمعية
Match,تناسب
Material,مادة
Materialism,مادية
Matricial norms,معايير مصفوفية (معيار إجرائي)
Matrix,مصفوفة
Maximal projection,إسقاط أكبر
Mayhem,تعطيل أو تشوه دائم
M-Command,تحكم - أ
Meaning,معنى
Means-to-an end method,منهجية طريقة توصل إلى غاية
Measuring silence,قياس الصمت
Mechanical translation,ترجمة ﺁلية
Media,وسائل الإعلام
Mediation,وساطة
Medium,وسيلة اتصال
Megatype,نمط أكبر
Melopoeia,خاصية موسيقية
Memory,ذاكرة
Mental factor,عامل ذهني
Mentalistic,ذهني
Mentalistic paradigm,نموذج ذهني
Mercenaries,جنود مرتزقة
Message,مرسلة
Meta - Language,لغة على لغة (كلام على كلام)/لغة واصفة
Metalingual function,وظيفة تقعيد لغوي
Metaliterature,أدب على أدب
Metanalysis,تحديد خاطئ، تحليل تخميني
Metaphor,استعارة
Metapoem,قصيدة وصفية
Metapsychology,ما وراء علم النفس
Metascience,علم مجاوز
Metatext,نص شارح
Metathesis,قلب مكاني، تبادل خاطىء
Metonymic activity,نشاط ذو طبيعة مجازية
Metonymy,كناية
Metrical Translation,ترجمة وزنية
Micro,ميكرو
Microlevel,مستوى أصغر
Microstructural Level,مستوى البنى الصغرى
Midsection,قسم أوسط
Militant,مناضل
Mimetic theory,نظرية محاكاة
Minimal pair,متقابلان أدنيان
Minimal pairs,أزواجدنيا
Minimalist program,البرنامج الأدنوي
Minimality requirement,شرط دنو
Minimax theory,نظرية الحد الأدنى
Minor,أقلي (متعلق بالأقلية)
Minor language,لغة محدودة الانتشار
Minor subsystem,نسق ثانوي فرعي
Minority language,لغة أقلية
Mirror stage,مرحلة المرﺁة
Mixed neurosis,عصاب مزيج
Mnemic symbol,رمز ذاكري
Mnemic trace,أثر ذاكري
Mobility,حراك
Modal,وجه
Modal auxiliary,فعل مساعد صيغي
Modality,وجهة قول، موقفية/ موجه
Modals,أفعال مساعدة جهوية
Model,طراز (نظري)
"Modeling Systems, Primary and
Secondary",منظومات تشكيل، أولي وثانوي
Modern,حديث
Modernistic,حداثي
Modernistic text,نص حداثي
Modes of address,صيغ مخاطبة
Modicum,قليل/ جزء يسير
Modify,يقيد/ يحدد
Modular grammar,نحو تعديلي، نحو معياري
Momentous,هام/ شديد الخطورة
Monistic,أحدية (غير قابلة للانقسام)
Monolingual,أحادي اللغة
Monolinguistic,لساني أحادي
Monolithic,تراص/ تناغم
Mood,حالة مزلجية
Morpheme,مورفيم، مقطع صرفي
Morphemic,مورفيمي/ صرفي
Morphology,صارفة (علم التشكل)/ صرف(علم تشكل الكلمات)
Mother Tongue/ Mother Language,لغة الأم
Mothering,رعاية أموية
Motivation,تحفيز
Motivation and Constraint,محاكاة وتقييد
Movement Rule,قاعدة نقل
Movements,حركات
Multi-accentuality of the Sign,تعدد في تنبير الإشارة
Multicultural,متعدد ثقافيا
Multiculturalism,تعددية ثقافية
Multilingualism,تعدد لغوي
Multiple System,نسق مركب
Multivariate,متعدد التنوع
Mutation,طفرة
Mutation of Systems,طفرة الأنساق
Mute Irony,مفارقة صامتة
Mute Twin,توأمصامت
Myth,خرافة، أسطورة
Naivete-Theoritical,سذاجة نظرية
Naming,تسمية
Narcissism,نرجسية
Narcissistic libido,لبيدو نرجسي
Narcissistic neurosis,عصاب نرجسي
Narcissistic object choice,اختيار الموضوع النرجسي
Narrative,سردي
Narrowcast Codes,شيفرات ضيقة انتشار
Nation,أمة
National dynamics of struggle,قوى محركة للصراع الداخلي
Native language,لغة أصلية/ لغة فطرية
Nativism,مذهب أهل البلد
Nativization,تأصيل
Natural categorization,تصنيف طبيعي
Natural signs,إشارات طبيعية
Nature,طبيعة
Near-adequacy,وفاء تقريبي
Need for punishment,حاجة إلى العقاب
Negation,تنصل/ نفي
Negative polarity,استقطاب نفي
Negative polarity items (NPI),مفردات استقطاب نفي (م س ن)
Negative therapeutic reaction,استجابة علاجية سلبية
Negotiated code and reading,شيفرة وقراءة موضعا مفاوضة
Neologism,تعبيرات مولدة
Neopositivism,وضعية محدثة (نظرية)
Nervana principle,مبدأ النرفانا
Net movement,حركة هادفة أو نهائية
Network,شبكة
Neurasthenia,عياء
Neurons,عصبات (خلايا عصبية)
Neurosis,عصاب
Neutrality,حياد
Neutralizing,تحييد
Nexus,سلسلة أشياء مترابطة
Node,عقدة، نقطة تفرع(في الرسم الشجري للجمل)
Nomenklatura,مجلس السوفيات الأعلى
Nominal democracy,ديمقارطية بالاسم فقط
Nominative,حالة رفع
Nomological,تقنيني
Non-citizens,مقيمون غير مواطنين
Non-dit,مسكوت عنه
Non-elitist approach,مقاربة غير نخبوية
Non-evaluative approach,مقاربة غير تقويمية
Non-identity,عدم مطابقة
Non-linear rule,قاعدة لاخطية
Non-literary,غير أدبي
Non-null subject languages,لغات ذات فاعل غير فارغ
Non-presence,عدم حضور
Non-representability,عدم قابلية التمثيل
Non-translation,لاترجمة
Norm translation,معيار ترجمي
Norm/ standard,معيار
Normal,معياري
Normalization,تطبيع/ تعيير
Norms,معايير/ مبادئ
Noun,اسم
Noun phrase,مركب اسمي
Null case,حالة فارغة
Null equivalence,تكافؤ صفري(كلمة لا مكافئ لها)
Null subject,فاعل فارغ
Null subject language,لغات ذات فاعل فارغ
Object,شيء/ موضوع/ هدف
Object choice,اختيار الموضوع
Object relationship,علاقة الموضوع
Object shift,انتقال مفعول
Object-control,مراقبة مفعول
Objective distance,مسافة موضوعية
Objectivity,موضوعية
Oblique,حالة غير الفاعل
Obsessional neurosis,عصاب وسواسي
Obsolescent language,لغة ﺁيلة إلى الزوال
Oedipus complex,عقدة أوديب
Office holders,موظفو الحكومة
Oligarchy,حكم الأقلية
One-to-One correspondence,مقابلة واحد بواحد
Onomatopoeia,محاكاة الصوت، تسمية محاكية/ جرس موحي
Ontological-temporal,أنطولوجي - زماني
Open and closed texts,نصوص مفتوحة ونصوص مغلقة
Operational norm,معيار الممارسة (للترجمة)
Operator-variable Structures,بنى معامل - متغير
Oppositional code and reading,شيفرة وقراءة تقابليتان
Oppositions/ semantic,تقابلات، دلالتها
Optimal equivalent,مكافئ أفضل
Oral stage,مرحلة فمية
Oral-sadistic stage,مرحلة سادية فمية
Orders of signification,طبقات دلالة
Organ pleasure,لذة الموضوع
Organic verse,نظم ذو بنية عضوية
Organization of the libido,تنظيم اللبيدو
Organ-pleasure,لذة العضو
Orientalism,استشراق
Oriented text-translation,نص مهيأ للترجمة
Original work,عمل أصلي
Original writer,كاتب أصلي
Originary intent,قصد أصيل
Orthography,علم الإملاء
Ostranenie,تعجيب (مصطلح روسي)
Other,ﺁخر
Outposts,مواقع أمامية
Outreach,امتداد
Over - interpretation,تأويل مضاعف
Over coding,زيادة تشفير
Over determination,تحديد زائد أو فائق/ حتم مضاعف
Overt,ظاهر
Oxymoron,إرداف خلفي، مضادة
Pact,ميثاق
Pair of opposites,زوجا المتعارضات
Paired Segments,ثنائيات مكونات جزئية
Panels,جداول
Pansemiotic Features,سمات سيميائية جامعة
Paradigm,بارديغم/ نموذج/ جدول، صنف استبدالي
Paradigmatic,جدولي
Paradigmatic Analysis,تحليل نمطي
Paradigmatic Aspect,اعتبار استبدالي
Paragram,تحريف، تلاعب لفظي
Parameter (s),وسيط/ وسائط
Para-military,شبه عسكري
Paranoia,عظام
Paranoid,شبه عظامي
Paranoid position,وضعية شبه عظامية
Paraphrase,تعبير مواز
Paraphrenia,فصام هذياني
Parapraxis,هفوة
Parasitic Gaps,فجوات طفيلية
Pariahs,منبوذون
Parity,تكافؤ/ تساوي
Parole,كلام شفوي(عند سوسير)
Paronomasia,تورية، جناس
Parser,جهاز تحليل نحوي
Part - object,موضوع جزئي
Partial instinct,نزوة جزئية
Participation,مشاركة
Parvenu,محدث النعمة
Passivization,بناء للمجهول
Past Participle,بناء لغير الفاعل
Pastoralists,رعويون/ أرباب الأبرشيات
Patenting,منح التراخيص
Patient,متلقي
Patrician,شريف أرستقارطي
Patronage,رعاية (متحكمة)
Patronage systems,أنظمة محسوبية
Patterned energy,طاقة منمذجة
Payoff questions,أسئلة مفيدة
Penis envy,شهوة العضو الذكري
Per capita income,دخل الفرد
Perception - consciousness,إدراك- وعي
Perceptual identity - thought identity,وحدة الفكر - وحدة الإدراك
Performance,أداء، إنجاز لغوي
Performance Oriented,ذات توجه إلى الأداء (نظرية)
Performative,إنجازي
Peripheric,ربضي (محيطي)
Periphrastic,تلميحي
Permutation,تبديل الموقع
Perquisites,علاوات
Person,شخص
Pervasive,واسع الانتشار
Perversion,شذوذ
Petrified element,عنصر متحجر
Petty warlords,أمراء حرب صغار
Phallic (women or mother),قضيبية (امرأة/ أو أم )
Phallic stage,مرحلة قضيبية
Phallus,قضيب
Phanopoeia,خاصية منظورة
Phantasy,هوام لاواع
Phatic Function,وظيفة مجاملة
Philology,فقه اللغة
Phobic neurosis,عصاب رهابي
Phoneme,فونيم، صوتلغوي
Phonemic Translation,ترجمة صوتية
Phonestheme,مجموعة دالة
Phonetic (s),صوتي، أصواتي/ علم الأصوات، صوتيات
Phonetic Theory,نظرية صوتية (في الترجمة)
Phonocetrism,مركزية النطق
Phonology,"صواتة (علم الأصوات الكلامية)/ علم وظائف
الأصوات"
Phonotactics,قانون تتابع الأصوات
Phrase,عبارة، شبه جملة، شبجملة
Phrase structural rule,قاعدة بنية العبارة
Phrase structure trees,أشجار بنية العبارة
Phrase-marker,واسم شبجملي (وسم العبارة)
Physicalistic,مادية (فيزيقية)
Pidginization,لغة مبسطة
Place,مكان
Plagiarism,انتحال
Plasticity of the libido,مرونة اللبيدو
Plausibility,مقبولية/ استحسان
Pleasure ego - reality ego,أنا - لذة، أنا - واقع
Pleasure principle,مبدأ اللذة
Pluralism,تعددية
Poetic function,وظيفة شعرية
Poeticity,خاصية شعرية
Polarity,قطبية
Policy,سياسة
Political correctness,تصحيح سياسي
Political rights,حقوق سياسية
Politicized,مسيس
Poll taxes,إدارج في جدول دافعي الضرائب
Pollsters,مستطلعو رأي الجمهور
Polyarchal democracy,ديمقارطية متعددة الرؤساء
Polygenetic,متعدد الجينات
Polyphony,تعدد الأصوات
Polysemy,تعدد الدلالات
Polysynthetic Language,لغات متعددة التركيب
Polysystem Theory,نظرية النسق المتعدد
Popular,شعبي
Popular influence,نفوذ شعبي
Popular Literature,أدب العامة
Popular vote,تصويت الشعب
Populist,شعبي
Pornography,إباحية
Porous frontiers,منافذ الحدود
Portmanteau,مزيج، كلمة أو عبارة منحوتة، لفظة اقترانية
Positioning of the Subject,موقعة الذات
Positive essentialism,ماهوية إيجابية
Post structuralism,ما بعد البنيوية
postcolonial translation,ترجمة ما بعد الاستعمار
Post-colonialism,ما بعد استعمارية
Post-modernism,ما بعد حداثية
Postpositions,حروف جر متأخرة
Post-socialist regimes,أنظمة حكم ما بعد فترة الاشتراكية
Post-structuralism,ما بعد البنيوية
Post-symbolism,ما بعد الرمزية
Postvelar,ما قبل حلقي
Potentates,زعماء/ متنفذون
Potential equivalence,تكافؤ بالقوة
Poverty,فقر
Power,سلطة
Power configuration,تموضع أو تمركز السلطة
Practical criticism,نقد عملي
Practice oriented,ذو توجه إلى الممارسة
Pragmatic equivalence,مكافئ مقاماتي
Pragmatics,مقاميات
Pragmatism,براغماتية
Precedent-setting texts,سوابق نصية
Preconceptions,تصورات مسبقة
Pre-conscient,ما قبل الوعي/ ما قبل الشعور
Pre-conscious,ما قبل الوعي
Predators,معتدون
Predetermined theory,نظرية سابقة التجهيز
Predicate,محمول
Preferred reading,قراءة مفضلة
Prefix,سابقة
Pre-genital,ما قبل تناسلي
Preliminaries,إجراءات تمهيدية
Preliminary norm,معيار تمهيدي(من معايير الترجمة)
Prelocutionary,قبقولي
Premature,لم ينضج بعد/ قاصر
Pre-oedipal,ما قبل أوديبي
Pre-Ontological,ما قبل الوجود (ما قبل الأنطولوجيا)
Pre-Ontological Inquiry,مبحث ما قبل الوجود
Pre-Original,ما قبل الأصل
Prescriptive,تقريري
Present participle,اسم فاعل
Presidential elections,انتخابات رئيس الجمهورية
Pressure (instinct),اندفاع/ ضغط (النزوة)
Prestige,رفعة المقام
Pretense,ادعاء
Primacy of the signifier,أولوية دال
Primal phantasies,هوامات أصلية/ أولية
Primal repression,كبت أصلي/ أولي
Primal scene,مشهد بدائي/ مشهد أصلي/ أ ولي
Primary,أولي
Primary and secondary gain from illness,كسب أولي وثانوي من المرض
Primary Identification,تماه أولي
Primary narcissism/ secondary narcissism,نرجسية أولية/ نرجسية ثانوية
Primary process - Secondary process,عملية أولية وعملية ثانوية
Prime Instance,مثال أولي
Principality,إمارة
Principle of constancy,مبدأ الثبات
Principle of neuronic inertia,مبدأ القصور (العصبي)
Principle of reality,مبدأ الواقع
Principles,مبادئ
Private,خاص
pro (PRO),ضم
PRO theorem,نظرية ضم
Problem - solving model,طراز المشكلة وتماس الحل
Procedural,إجرائي
Procedure,إجراء تحليلي
Processing,معالجة
Process-oriented description,وصف ذو توجه عملياتي/ وصف متوجه إلى المنتج
Profile,مظهر
Proform,مضمر
Projection,إسقاط
Projective identification,تماه إسقاطي
Promoters,دعاة
Proper binding condition,شرط ربط مناسب
Proper government,عمل مناسب
Prose version,صيغة نثرية
Prosodic,عروضي، تطريزي
Prosody,عروض، معلم تطريزي
Protective shield,صاد الإثارات
Proto democracies,ديمقراطيات أولى
Proto typology,تنميط أول
Prototype,طراز/ نمط أول
Prototypical Concept,تصور نمطي أول
Provincial estates,ملكيات في المقاطعات يحكمها النبلاء
Proxy,تفويض/ إنابة
Pseudo - Translation,شبه الترجمة (ترجمة في غياب الأصل)
Psychic apparatus,جهاز نفسي
Psychical conflict,صراع نفسي/ مأزم
Psychical reality,واقع نفسي
Psychical representative,ممثل نفسي
Psychical working out (over),إرصان نفسي
Psychoanalysis,تحليل نفسي
Psycholinguistics,لسانيات نفسية
Psycho-neurosis,نفاس
Psychosis,ذهان
Psycho-therapy,علاج نفساني
Public,عام
Public concord,توافق شعبي/ انسجام عام
Public politics,"سياسة عامة ""للدولة"""
Pun,تلاعب لفظي، تورية/ تلاعب بالألفاظ
Puppet state,دولة صنيعة
Pure Language,لغة خالصة
Purposeful Activity,نشاط هادف
Purposive idea,تصور - هدف
QR Quantifier Raising,رفع محدد كمي (رك)
Quadraphonic Site,موقع رباعي الأصوات
Qualitative,نوعي
Quantifiers,محددات كمية
Quasi - Cybernetic Automatic,شبه ﺁلي التحكم
Queer,لواطي
Questionnaire,استبيان/ استمارة
Quid pro quo,تعويض مقابل
Quota of affect,مقدار الانفعال
Race,عرق
Racial category,طبقة عرقية
Radiant Node,عقدة مشعة
Radical,متطرف/ جذري
Raising,رفع
Rampant,متفش
Random variable,متغير عشوائي
Rationalization,تبرير
Reaction - formation,تكوين عكسي
"Reading dominant/ Negotiated and
Oppositional",قراءة سائدة/ موضع مفاوضة وتقابلية
Realistic anxiety,قلق إزاء/ خطر واقعي
Reality - testing,اختبار الواقع
Reality denial,تنكر للواقع
Reality principle,مبدأ الواقع
Reality Testing,اختبار الواقع
Reason,سبب/ عقل
Recall,إقالة/ إلغاء
Receiving Culture,ثقافة مستقبلة
Reception,تلقي
Reciprocal,عنصر تبادلي
Reciprocally Reinforcing,تعزيز متبادل
Recontextualization,إعادة صياغة السياق
Record high,رقم عال قياسي
Redundancy,فيض
Reference,مرجع
Referendum,استفتاء
Referent,مرجع إليه
Referent Function,وظيفة إرجاعية
Referentialist,إشاري، مرجعي
Reflexivity,انعكاسية
Reform and Revolution,إصلاح وثورة
Refracted Text,نص متكسر
Regeneration,انبعاث/ تجديد
Register,لهجة خاصة/ ضرب استعمالي
Regression,نكوص
Regular,مطرد
Regulated transformation,تحويل منضبط
Relation,علاقة
Relational,عقلاني/ علائقي
Relative autonomy,نسبية الحكم الذاتي
Relative pronoun,ضمير الصلة
Relativism,نسبية (نظرية)
Relativization,تنسيب
Relevance Theory,نظرية التعلق
Relexification,تجديد المعجم
Reparation,إصلاح
Repertoire,ذخيرة/ قائمة
Repetition,تكرار
Repetition compulsion,اضطرار التكرار
Replaced language,لغة مستبدلة
Replacement,إحلال
Reporteme,وحدة إخبارية وظيفية
Representation,تمثيل/ ممثلية/ تمثيل نيابي
Representational Function,وظيفة التمثيل
Repression,كبت/ قمع
"Repudiation, foreclosure",انعدام
Reserves,محميات
Residue,بقية/ مخلفات
Resistance,مقاومة
Restricted codes,شيفرات محدودة
Retention hysteria,هستيريا الإمساك
Retrospection,استبطان/ استعادة الأحداث الماضية
Reverberation sounds,ترجيعات الأصوات
Reversal into the opposite,قلب (النزوة) إلى الضد
Rewriting rule,قاعدة إعادة الكتابة
R-Expressions,تعبيارت-ح
Rhyming translation,ترجمة مقفاة
Rights-monitoring organization,منظمة مراقبة حقوق الإنسان
Risk,مجازفة
Ritual,طقوس
Rorsch/ Berlin Foundation,قاعدة رورش/ برلين
Rotation,دوران
Russian formalism,شكلانية روسية
Sadism,سادية
Sado-masochism,سادو - مازوشية
Saga,ملحمة
Sampling,أخذ عينة
Schizophrenia,فصام
Science,علم
Scientistic,ذو قناع علمي
Scientistic Science,نزعة علمية مغالية
Scope,مدى
Scope Ambiguity,لبس مدى
Scopic,حيزي
Scores,نتائج مسجلة
Screen memory,ذكرى ساترة
Screening,حجب
Seamy web,شبكة مهترئة
Second - Hand Translation,ترجمة من الدرجة الثانية
Secondary,ثانوي
Secondary process,عملية ثانوية
Secondary revision,إرصان ثانوي
Seduction (scene of -theory of),غواية (مشهد/ نظرية- )
Segmentation,تجزيء
Segregation,تفرقة/ فصل
Seiende,موجود
Sein,الوجود
Selection Axis,محور انتقاء
Self,ذات
Self - analysis,تحليل ذاتي
Self-referentiality,ذاتية الإحالة
Self-Regulating System,نسق ذاتي التنظيم
Semantic,دلالي
Semantic Distinction,تمييز دلالي
Semantic Equivalence,تكافؤ دلالي
Semantic Reference,مرجعية دلالية
Semantics,علم الدلالة
Semeiosis/ Semiosis,سيرورة معنى
Semeiotic/ Semiotic,سيميائي
Semi - Literary,شبه أدبي
Semi-legal,شبه قانوني
Semiology,سيميولوجيا
Semiosis,إشارة سيميائية
Semiosphere,محيط سيميائي
Semiotic Square,مربع سيميائي
Semiotic Triangle,مثلث سيميائي
Semiotics,سيمياء، علم الرموز
Semiotics (Definition of),سيميائية (تعريف)
Sense,فحوى
Sex,جنس
Sexual instinct,نزوة جنسية
Sexuality,جنسانية/ جنسية
Sham,مخادع/ صوري
Shantytown,مدينة الأكواخ
Shift,تحول/ تغير بديل
Shifters,متغيارت دلالية
Sign,علامة/ إشارة/ رمز
Signal of anxiety,إشارة القلق
Significant,دال
Signification,دلالة
Signified,مدلول
Signifier,دال
Signifying Practices,ممارسات دالة
Silent Non-Entity,لاكيان صامت
Similarity,تماثل
Simile,تشبيه
Simple Sign,إشارة بسيطة
Simulacrum,صور زائفة
Simulations of democracy,أشباه زائفة للديمقارطية
"Single articulation, codes with",تمفصل مفرد، شيفرات مع
Situation management,إدارة موقف
Skillful aiming,استهداف حاذق
Skopos And Commission,غاية وتفويض (نظرية)
Slips of the tongue,عثرات لسان
Social convention,عرف اجتماعي
Socialism,اشتاركية
Socialist regime,نظام حكم اشتاركي
Societal,مجتمعي
Society,مجتمع
Sociolects,لهجات اجتماعية
Socio-Linguistics,لسانيات اجتماعية
Socioprofile,مظهر اجتماعي
Sojourn,إقامة مؤقتة
Solecism,لحن، ركاكة
Somatic compliance,مسايرة جسدية/ تواطؤ
Source - Culture,ثقافة - مصدر
Source Language (SL),لغة المصدر
Source of instinct,مصدر النزوة
Source Text,نص مصدر
Source-Text Oriented,ذات توجه إلى النص - المصدر
Sovereign courts,هيئات محاكم مستقلة
Sovereignty,سيادة
Space,فضاء
Specific action,فعل نوعي
Specific meaning,معنى متعين
Specific pair - bound,ثنائي التحديد
Specified,مخصص
Spectacle,مشهد
Speech,كلام/ خطاب
Speech act,فعل كلامي (نظرية)
Speech community,عشيرة لغوية
Spelling,تهجية/ نطق
Splitting of the ego,انشطار الأنا
Splitting of the object,انشطار الموضوع
Spoonerism,قلب عرضي، تبادل صوتي، زلة لسان تبادلية
Spurts,اندفاعات مفاجئة
Squared translation,ترجمة مربعة
S-Structure surface structure,بنية سطحية (بنية - س)
Stakes,رهانات
Stalemate,ورطة
Standardization,تقييس
Standing sentence,جملة ماثلة (جاهزة)
State,دولة
State capacity,قدرة الدولة
State enterprises,مشاريع الدولة
Static Theory,نظرية سكونية
Stative,سكوني
Stereotyped,مقولب
Stickler,متشدد/ متمسك بالأصول
Stigmatized,موصومون
Stochastic,احتمالي
Strategic essentialism,جوهرية الاستارتيجية
Stratification,تنضيد
Stratification,طبقية
Stratified model,طراز نظري طبقي
Stream of consciousness,تيار الوعي
Structural,تركيبي، بنيوي
Structural grouping,مجموع تركيبي
Structuralism,بنيوية
Structuralism,بنيوية
Structuralism taxonomic,بنيوية تصنيفية
Structuralist,بنيوي
Structure,تركيب، بنية
Structure dependent,يعتمد على البنية
Structure-independent,مستقل عن البنية
Stylistic,أسلوبية
Subaltern consciousness,وعي تابع
Subaltern studies,دراسة ظاهرة التبعية
Subconscious,ما دون الوعي/ ما دون الشعور
Subconscious associations,استدعاء شبه الواعي
Subjacency,تحتية
Subject,شخص، متكلم/ ذات/ فاعل
Subject Agreement Phrase (AgrSP),عبارة تطابق فاعل (ع تطف)
Subject-Control,مارقبة فاعل
Subject-Object Asymmetry,لا تماثل فاعل ومفعول
Sublimation,تسام
Subordination,تبعية
Substantialism,مذهب الجوهر (الجوهرية)
Substitute,بديل
Substitution test,اختبار تعويض
Substitutive formation,تكوين بديل
Substrate language,لغة طبقة دنيا
Subtext,نص فرعي/ خبيء
Subtheory,نظرية فرعية (مشتقة)
Successive cyclic hypothesis,فرضية دورية متتابعة
Sudden insight,استبصار صادم
Suffix,لاصقة
Suffrage,تصويت/ حق الانتخاب
Suggestiveness,إيحائية
Sum of excitation,مجموع الإثارة
Super ego,أنا أعلى
Super-raising,رفع أعظم
Superstrate language,لغة طبقة عليا
Supervised analysis,تحليل نفسي خاضع للإشارف
Suppression,قمع
Surface structure,بنية ظاهرة
Surges,اندفاعات
Surveillance,إشارف/ مارقبة
Susceptibility,تعرض/ تأثر/ حساسية
Sustaining resources,موارد مستدامة
Syllable,مقطع
Symbol,رمز
Symbolic,رمزي
Symbolic realization,تحقيق رمزي
Symbolism,رمزية
Symptom - formation,تكوين العارض
Symptomatic analysis,تحليل تشخيصي
Symptomatic reading,قراءة تشخيصية
Synchronic,تازمني، متزامن/ ﺁني
Synchronic analysis,تحليل تازمني
Synchrony,تواقت/ تازمن
Synecdoche,مجاز مرسل/ مجاز الجزئية/ الكلية
Synergic,دؤوب/ متعاون
Syntactic category,فصيلة نحوية
Syntactic equivalence,تكافؤ نحوي(تركيبي)
Syntagm,تركيب/ سلسلة الوحدات، معلم نحوي، نسق تتابعي
Syntagmatic,نسقي
Syntagmatic analysis,تحليل تركيبي
Syntagmatic aspect,اعتبار نظمي (أفقي/ تتابعي)
Syntax,تركيب/ نحو، علم تشكل الجمل والعبارات
System,نظام/ منظومة
System of systems,نسق الأنساق
Systemic,نسقي/ نظامي
Systemic law,قانون نسقي
Tabulation,جدولة
Tacit knowledge,معرفة ضمنية
Talk-aloud protocol,سجل وقائع الحديث الجهري
Target culture,ثقافة مستهدفة
Target language (TL),لغة الهدف
Target text,نص مستهدف
Target-text oriented,ذات توجه إلى النص المستهدف(نظرية)
Taste,ذوق
Tax codes,قوانين فرض و جباية الضرائب
Taxonomic,تصنيفي
Technical Juxtaposition,تضام تقني
Technology,تكنولوجيا
Telos,مركز/ منتهى
Templates,طبعات
Temporality,زمنية
Tempos,سرعات
Tenants,مستأجرون
Tenderness,حنان
Tense,زمن
Tense Phrase (TP),عبارة زمن (ع ز)
Territoriality,إقليمية
Tertiary Hybridization,تهجين ثلثي
Tertium Comparationis,قسيم ثالث
Test cases,حالات اختبار
Text,نص
Text Linguistics,لسانيات نصية
Text Typology,علم تنميط النص
Texteme,وحدة نصية وظيفية
Textemic,نصي وظيفي
Textual coherence,احتباك نصي
Textual grid,شبكة اتصال نصي
Textual norms,معايير نصية
Textual reference,مرجعية نصية
Thanatos,تاناتوس(نزوة الموت)
The West,الغرب
Thematic,موضوعاتي
Thematic concept,مفهوم موضوعاتي
Theme,محور
Theocracy,طبقة رجال الدين
Theoretical,نظري
Theory,نظرية
Therapy,علاج
Thing presentation - word presentation,تصور الشيء/ وتصور الكلمة
Threshold,عتبة/ مستهل
Thrust,قوة دافعة
Time,زمان
Tolerance,تسامح
Tongue twister,عثورة لسان
Top - Down work,عمل ذو اتجاه نازل
Topicalization,موضعة
Topicalizing,تصنيف موضوعي
"Topography, topographical",موقعي
Total equivalence,تكافؤ تام (كلمة لكلمة)
Tourism,سياحة
Trace,أثر
Training analysis,تحليل تعليمي
Trajectory,مسار يتخذه الحكم
Trancendable,قابلية للتجاوز
Transcendent (al) signified,مدلول تجاوزي
Transcendental fact,حقيقة عليا
Transcendental signified,مدلول متعال
Transcreation,اختراق إبداعي
Transcription,كتابة صوتية
Transfer oriented,ذو توجه إلى التحويل (اتجاه)
Transference,نقلة/ تحويل
Transference neurosis,عصاب النقلة
Transformation (rules),تحويل (قواعده)
Transformational,تحويلي
Transformational rule,قاعدة تحويلية
Transformations,تحويلات
Transgression,انتهاك
Transillumination,اختراق تنويري
Transitional object,موضوع انتقالي
Transitive,متعد
Transitive Expletive Construction (TEC),تركيب حشوي متعدي(تح ع)
Translatability,قابلية للترجمة
Translation,ترجمة
Translation studies,دراسات ترجمية
