%s Channel Copy,Copie du canal %s,%s (Kopie),نسخة القناة %s
%s Channel to Selection,Canal %s vers sélection,Auswahl aus %s-Kanal,القناة %s إلى التحديد
%s Curve,Courbe %s,%s-Kurve,منحنى %s
%s Message,Message %s,%s-Meldung,رسالة %s
%s Preset,Préréglage %s,Voreinstellung %s,محفوظات %s
%s copy,Copie de %s,%s-Kopie,نسخة %s
%s for a straight line,%s pour une ligne droite,%s für eine gerade Linie,‏%s لترسم سطرا مستقيما
%s for constrained angles,%s pour contraindre les angles,%s für eingeschränkte Winkel,%s للزوايا المقيدة
%s for constrained values,%s pour contraindre les valeurs,%s für eingeschränkte Werte,%s للزوايا المقيدة
%s mask,masque %s,%s Maske,قناع %s
%s plug-In could not open image,,,لم تستطع الملحقة %s فتح الصورة
%s plug-in could not save image,Le greffon %s n’a pas pu enregistrer l’image,Das Plugin %s konnte das Bild nicht speichern,لم تستطع الملحقة %s حفظ الصورة
%s plug-in returned SUCCESS but did not return an image,Le greffon %s a rapporté avoir terminé avec succès mais n’a pas renvoyé d’image,"Das Plugin %s meldete einen Erfolg, es wurde jedoch kein Bild zurück geliefert",أرجعة الملحقة %s رسالة نجاح (SUCCESS) لكن لم تُرجع صورة
%s to blur,%s pour rendre flou,%s zum Weichzeichnen,‏%s للتنعيم
%s to burn,%s pour assombrir,%s zum Abdunkeln,‏%s للحرق
%s to dodge,%s pour éclaircir,%s zum Aufhellen,%s للتمويه
%s to move the whole line,%s pour déplacer la ligne entière,%s zum Verschieben der ganzen Linie,‏%s لنقل كل السطر
%s to pick a background color,%s pour prélever une couleur d’arrière-plan,%s zum Wählen der Hintergrundfarbe,‏%s لالتقاط لون الخلفية
%s to pick a color,%s pour prélever une couleur,%s zum Wählen einer Farbe,‏%s لتلتقط لونا
%s to set a new clone source,%s pour donner une nouvelle source au clonage,%s zum Setzen einer neuen Quellen für das Klonen,‏%s لتحدد مصدر استنساخ جديد
%s to set a new heal source,%s pour donner une source à la correction,%s zum Setzen einer neuen Quelle für das Heilen,‏%s لتحدد مصدر إصلاح جديد
%s to sharpen,%s pour accentuer la netteté,%s zum Schärfen,%s للإظهار
%s version %s,%s version %s,%s Version %s,‏%s إصدارة %s
%s-Click: extend selection,%s-clic : étendre la sélection,%s-Klick: Auswahl erweitern,‏%s-نقر: مدّد الاختيار
%s-Drag: move & compress,%s-glisser : déplacer et compresser,%s-Ziehen: Verschieben und Stauchen,‏%s-سحب: انقل واضغط
%s: %.2f,%s : %.2f,%s: %.2f,%s: %.2f
%s: %d,%s : %d,%s: %d,%s: %d
%s: add control point,%s : ajouter un point de contrôle,%s: Kontrollpunkte hinzufügen,%s: أضف نقطة تحكم
%s: add control points to all channels,%s : ajouter des points de contrôle à tous les canaux,%s: Kontrollpunkte zu allen Kanälen hinzufügen,%s: أضف نقاط تحكم إلى كل القنوات
%s: remove this point,%s : supprimer ce point,%s: Diesen Punkt entfernen,%s: احذف هذه النقطة
%s: symmetrical,%s : symétrique,%s: symmetrisch,‏%s: متماثل
Converting to RGB (%s),Convertir en RVB (%s),Wird in RGB umgewandelt (%s),حوّل إلى ح‌خ‌ز (%s)
Converting to grayscale (%s),Conversion de l’image en niveaux de gris (%s),Wird in Graustufen umgewandelt (%s),حوّل إلى تدرج رمادي (%s)
Converting to indexed colors,Conversion en couleurs indexées,Bild wird in indizierte Farben umgewandelt,يحول إلى ألوان مفهرسة
Converting to indexed colors (stage 2),Convertir en couleurs indexées (étape 2),Bild in indizierten Modus umwandeln (Stufe 2),حوّل إلى مفهرسة (المرحلة 2)
Converting to indexed colors (stage 3),Convertir en couleurs indexées (étape 3),Bild in indizierten Modus umwandeln (Stufe 3),حوّل إلى مفهرسة (المرحلة 3)
Convolution Matrix,Matrice de convolution,,مصفوفة التحويل
Convolve,Flou/netteté,Verknüpfen,تجديل
Convolve Type,Type de flou/netteté,Verknüpfungsart,نوع التجديل (%s)
Convolve Type  (%s),Type de convolution (%s),Verknüpfungsart (%s),نوع التجديل (%s)
Copied layer to the clipboard.,Couche copiée dans le presse-papiers.,Ebene in die Zwischenablage kopiert.,انسخ الطبقة إلى الحافظة.
Copied pixels to the clipboard.,Pixels copiés dans le presse-papiers.,Pixel in die Zwischenablage kopiert.,انسخ البكسلات إلى الحافظة.
Copy Brush Location,Copier l’emplacement de la brosse,Speicherort des Pinsels kopieren,انسخ مكان الفرشاة
Copy Bug Information,Copier l’information de bogue,Fehlerinformationen kopieren,انسخ مكان الفرشاة
Copy Dynamics Location,Copier l’emplacement de la dynamique,Speicherort der Zeichendynamik kopieren,انسخ مكان الحركيات
Copy Gradient Location,Copier l’emplacement du dégradé,Speicherort des Farbverlaufs kopieren,انسخ مكان التدرج
Copy Icon to Clipboard,Copier l’icône dans le presse-papiers,Symbol in die Zwischenablage kopieren,انسخ الأيقونة إلى الحافظة
Copy Image Location,Copier l’emplacement de l’image,Speicherort des Bildes kopieren,انسخ مكان الصورة
Copy MyPaint Brush Location,Copier l’emplacement de la brosse MyPaint,Speicherort des MyPaint-Pinsels kopieren,انسخ مكان فرشاة ماي پينت
Copy MyPaint brush file location to clipboard,Copier l’emplacement du fichier de brosse MyPaint dans le presse-papiers,Den Speicherort der MyPaint-Pinseldatei in die Zwischenablage kopieren,انسخ مكان ملف فرشاة ماي پينت إلى الحافظة
Copy Named,Copier (nommé),In Ablage kopieren,انسخ مُسمى
Copy Palette Location,Copier l’emplacement de la palette,Speicherort der Palette kopieren,انسخ مكان لوح الألوان
Copy Pattern Location,Copier l’emplacement du motif,Speicherort des Musters kopieren,انسخ مكان النمط
Copy Tool Preset Location,Copier l’emplacement du préréglage d’outil,Speicherort der Werkzeug-Voreinstellung kopieren,انسخ مكان محفوظة الخيارات
Copy Visible Named,Copier visible (nommé),Sichtbares in Ablage kopieren,انسخ المسمى الظاهر
Copy Image Location,Copier l’emplacement de l’image,Speicherort des Bildes kopieren,انسخ مكان الصورة
Copy Visible,Copier visible,Sichtbares kopieren,انسخ المرئي
Copy Visible Named...,Copier visible (nommé)…,Sichtbares in Ablage kopieren …,انسخ مرئي مُسمى...
Copy brush file location to clipboard,Copier l’emplacement du fichier de brosse dans le presse-papiers,Den Speicherort der Pinseldatei in die Zwischenablage kopieren,انسخ مكان ملف الفرشاة إلى الحافظة
Copy dynamics file location to clipboard,Copier l’emplacement du fichier de dynamique dans le presse-papiers,Den Speicherort der Zeichendynamikdatei in die Zwischenablage kopieren,انسخ مكان ملف الحركيات إلى الحافظة
Copy gradient file location to clipboard,Copie l’emplacement du fichier de dégradé dans le presse-papiers,Den Speicherort der Farbverlaufsdatei in Zwischenablage kopieren,انسخ مكان ملف التدرج إلى الحافظة
Copy image file location to clipboard,Copie l’emplacement de l’image dans le presse-papiers,Den Speicherort der Bilddatei in die Zwischenablage kopieren,انسخ مكان ملف الصورة إلى الحافظة
Copy image location to clipboard,Copier l’emplacement de l’image dans le presse-papiers,Den Speicherort des Bildes in die Zwischenablage kopieren,انسخ النّص المحدد إلى الحافظة
Copy palette file location to clipboard,Copier l’emplacement du fichier de la palette dans le presse-papiers,Speicherort der Palettendatei in Zwischenablage kopieren,انسخ مكان لوح الألوان إلى الحافظة
Copy pattern file location to clipboard,Copier l’emplacement du fichier de motif dans le presse-papiers,Den Speicherort der Musterdatei in Zwischenablage kopieren,انسخ مكان ملف النمط إلى الحافظة
Copy the bug information to the clipboard by clicking:,Copiez l’information de bogue dans le presse-papiers en cliquant sur :,"Kopieren Sie die Fehlerinformationen in die Zwischenablage, indem Sie Folgendes anklicken:",انسخ مكان ملف الفرشاة إلى الحافظة
Copy the selected pixels to a named buffer,Copier les pixels sélectionnés dans un presse-papiers nommé,Ausgewählte Pixel in eine benannte Ablage kopieren,انسخ البكسلات المحددة إلى براح مُسمّى
Copy the selected pixels to the clipboard,Copier les pixels sélectionnés dans le presse-papiers,Ausgewählte Pixel in die Zwischenablage kopieren,انسخ البكسلات المحددة إلى الحافظة
Copy tool preset file location to clipboard,Copier l’emplacement du fichier de préréglage d’outil dans le presse-papiers,Speicherort der Werkzeug-Voreinstellungsdatei in Zwischenablage kopieren,انسخ مكان محفوظة الخيارات إلى الحافظة
Copy what is visible in the selected region,Copier ce qui est visible dans la région sélectionnée,"Kopiert das, was sichtbar und ausgewählt ist, in die Zwischenablage",انسخ ما هو مرئي في المنطقة المحددة
Copy what is visible in the selected region to a named buffer,"Copier ce qui est visible dans la région sélectionnée, dans un presse-papiers nommé",Das Sichtbare im ausgewählten Bereich in Ablage kopieren,انسخ المرئي في المنطقة المحددة إلى براح مُسمّى
Copying file '%s' from '%s'...,Copie du fichier « %s » depuis « %s »…,Datei »%s« wird von »%s« kopiert …,ينسخ الملف '%s' من '%s'...
"Copyright © 1995-%s
Spencer Kimball, Peter Mattis and the GIMP Development Team","Copyright © 1995-%s
Spencer Kimball, Peter Mattis et l’équipe de développement de GIMP.","Copyright © 1995-%s
Spencer Kimball, Peter Mattis und das GIMP-Entwicklerteam","حقوق النشر © 1995-%s
سبنسر كيمبول وبيتر ماتس وفريق تطوير جمب"
Copyright:,Copyright :,Copyright:,حقوق النشر:
Corrupt segment %d.,Segment altéré %d.,Fehlerhaftes Segment %d.,قطعة معطوبة %d.
Could not open '%s' for reading:,Impossible d’ouvrir « %s » en lecture :,»%s« konnte nicht zum Lesen geöffnet werden:,تعذّر فتح '%s' للقراءة:
Could not open '%s' for reading: %s,Impossible d’ouvrir « %s » en lecture : %s,»%s« konnte nicht zum Lesen geöffnet werden: %s,لا يمكن فتح '%s' للقراءة: %s
Could not open '%s' for writing: %s,Impossible d’ouvrir « %s » en écriture : %s,»%s« konnte nicht zum Schreiben geöffnet werden: %s,تعذر فتح '%s' للكتابة: %s
Could not open thumbnail '%s': %s,Impossible d’ouvrir la vignette « %s » : %s,Vorschaudatei »%s« konnte nicht geöffnet werden: %s,تعذر فتح المصغرة '%s'‏: %s
Could not read header from palette file '%s':,Impossible de lire l’en-tête du fichier de palette « %s » :,Dateikopf von Palettendatei »%s« konnte nicht gelesen werden:,تعذّرت قراءة الترويسة من ملف لوح الألوان '%s':
Could not read header:,Impossible de lire l’en-tête :,Dateikopf konnte nicht gelesen werden:,تعذّر قراءة الترويسة:
Could not seek in XCF file:,Impossible de pointer dans le fichier XCF :,Fehler beim Durchlaufen der XCF-Datei:,تعذّر الانتقال في ملف XCF:
Could not start the GIMP help browser plug-in.,Impossible de démarrer le greffon du navigateur d’aide de GIMP.,Der GIMP-Hilfe-Browser konnte nicht gestartet werden.,تعذّر بدء ملحقة مساعدة حمب.
Count:,Compte :,Anzahl:,عد:
Create,Créer,Erstellen,أنشئ
Create Animation,Créer une animation,Animation erstellen,أنشئ صورة متحركة
Create New Template,Créer un nouveau modèle,Eine neue Vorlage erstellen,أنشئ قالب جديد
Create Template...,,,أنشئ قالبا...
Create New Layer,Créer un nouveau calque,Neue Ebene,أنشئ طبقة جديدة
Create a New Channel,Créer un nouveau canal,Einen neuen Kanal erstellen,أنشئ قناة جديدة
Create a New Image,Créer une nouvelle image,Ein neues Bild erstellen,أنشئ صورة جديدة
Create a New Layer,,,أنشئ طبقة جديدة
Create a New Path,Créer un nouveau chemin,Einen neuen Pfad erstellen,أنشئ مسارًا جديدا
Create a New Template,Création d’un nouveau modèle,Eine neue Vorlage erstellen,أنشئ قالبا جديدا
Create a duplicate of the layer and add it to the image,,,أنشئ نسخة مكررة من الطبقة وأضفها إلى الصورة
Create a duplicate of this channel and add it to the image,,,أنشئ نسخة مكررة من هذه القناة وأضفها إلى الصورة
Create a duplicate of this image,Crée une copie de cette image,Ein Duplikat dieses Bildes erzeugen,أنشئ نسخة مكررة من هذه الصورة
Create a floating selection,Créer une sélection flottante,,أنشئ تحديدا طافيا
Create a new MyPaint brush,Créer une nouvelle brosse MyPaint,Einen neuen MyPaint-Pinsel erstellen,أنشئ فرشاة ماي پينت جديدة
Create a new brush,Créer une nouvelle brosse,Einen neuen Pinsel erstellen,أنشئ فرشاة جديدة
Create a new channel,Crée un nouveau canal,Einen neuen Kanal erstellen,أنشئ قناة جديدة
Create a new channel with last used values,Crée un nouveau canal avec les dernières valeurs utilisées,Einen neuen Kanal mit den zuletzt verwendeten Werten erstellen,أنشئ قناة جديدة بآخر القيم المستخدمة
Create a new display for this image,Crée une nouvelle vue pour cette image,Eine neue Ansicht für dieses Bild erzeugen,أنشئ منظورا جديدا لهذه الصورة
Create a new dynamics,Crée une nouvelle dynamique,Eine neue Zeichendynamik erstellen,أنشئ حركيات جديدة
Create a new entry from the background color,Créer une nouvelle couleur depuis la couleur d’arrière-plan,Einen neuen Eintrag aus der Hintergrundfarbe erstellen,أنشئ مُدخلة جديدة من لون الخلفية
Create a new entry from the foreground color,Créer une nouvelle couleur depuis la couleur de premier plan,Einen neuen Eintrag aus der Vordergrundfarbe erstellen,أنشئ مُدخلة جديدة من لون المقدمة
Create a new gradient,Créer un nouveau dégradé,Einen neuen Farbverlauf erstellen,أنشئ تدرجا جديدا
Create a new image,Crée une nouvelle image,Ein neues Bild erstellen,أنشئ صورة جديدة
Create a new image from the content of the clipboard,Créer une nouvelle image à partir du contenu du presse-papiers,Ein neues Bild aus dem Inhalt der Zwischenablage erzeugen,أنشئ صورة جديدة من محتويات الحافظة
Create a new image from the selected template,Créer une nouvelle image à partir du modèle sélectionné,Ein neues Bild aus der gewählten Vorlage erzeugen,أنشئ صورة جديدة من القالب المحدد
Create a new layer and add it to the image,Crée un nouveau calque et l’ajoute à l’image,Eine neue Ebene erstellen und zum Ebenenstapel hinzufügen,أنشئ طبقة جديدة وأضفها إلى الصورة
Create a new layer from the content of the clipboard,Créer un nouveau calque à partir du contenu du presse-papiers,,أنشئ طبقة جديدة من محتويات الحافظة
Create a new layer from the content of the clipboard and place it at its original position,Crée un nouveau calque à partir du contenu du presse-papiers et le met en place à sa position d’origine,,أنشئ طبقة جديدة من محتويات الحافظة و ضعها في موضعها الأصلي
Create a new layer from what is visible in this image,Créer un nouveau calque depuis ce qui est visible dans cette image,"Eine neue Ebene erstellen, aus dem, was in diesem Bild zu sehen ist",أنشئ طبقة جديدة من المرئي في هذه الصورة
Create a new layer group and add it to the image,Créer un nouveau groupe de calques et l’ajouter à l’image,Eine neue Ebenengruppe erstellen und zum Bild hinzufügen,أنشئ مجموعة طبقات جديدة وأضفها إلى الصورة
Create a new layer with last used values,,,أنشئ طبقة جديدة بآخر القيم المستخدمة
Create a new palette,Créer une nouvelle palette,Eine neue Palette erstellen,أنشئ لوح ألوان جديد
Create a new path with last used values,Créer un nouveau chemin avec les dernières valeurs utilisées,Einen neuen Pfad mit den zuletzt verwendeten Werten erstellen,أنشئ طبقة جديدة بآخر القيم المستخدمة
Create a new path...,Créer un nouveau chemin…,Einen neuen Pfad erstellen …,أنشئ قالبا جديدا
Create a new pattern,Créer un nouveau motif,Ein neues Muster erstellen,أنشئ نمطا جديدا
Create a new template,Créer un nouveau modèle,Eine neue Vorlage erstellen,أنشئ قالبا جديدا
Create a new template from this image,Crée un nouveau modèle depuis cette image,Aus diesem Bild eine neue Vorlage erzeugen,أنشئ قالبا جديدا من هذه الصورة
Create a new tool preset,Créer un nouveau préréglage d’outil,Eine neue Werkzeug-Voreinstellung erstellen,أنشئ محفوظة خيارات جديدة
Create a new toolbox,Crée une nouvelle boîte à outils,Einen neuen Werkzeugkasten erstellen,أنشئ صندوق أدوات جديد
Create a path from the outlines of the current text,Créer un chemin suivant les contours du texte actuel,Einen Pfad aus dem Umriss des Texts erzeugen,أنشئ مسارا من الخطوط الخارجية للنص الحالي
Create a path from this text layer,Créer un chemin depuis ce calque de texte,,أنشئ مسارا من هذه الطبقة النصية
Create another view on this image,Créer une nouvelle vue de cette image,Eine neue Ansicht für das Bild erzeugen,أنشئ منظورا آخر على هذه الصورة
Create images and edit photographs,Créer des images et modifier des photographies,Bilder erstellen und Fotografien bearbeiten,أنشئ صورا وحرّر لقطات
Create or adjust the cage,Créer ou ajuster la cage,Käfig erstellen oder anpassen,أنشئ أو اضبط القفص
Creating folder '%s'...,Création du dossier « %s »…,Ordner »%s« wird angelegt …,ينشئ المجلد '%s'...
Creating preview...,Création de l’aperçu…,Vorschau wird erzeugt …,ينشئ معاينة...
Criterion used for determining color similarity,Critère utilisé pour déterminer la similarité des couleurs,Kriterium zur Bestimmung der Farbähnlichkeit,معيار تحديد تشابه اللون
Crop,Découpage,Zuschneiden,قصّر
Crop Image,Découper l’image,Bild zuschneiden,قصّر الصورة
Crop Layer to Content,,,قصّر الطبقة إلى المحتوى
Crop Layer to Selection,,,قصّر الطبقة إلى التحديد
Crop Tool: Remove edge areas from image or layer,Outil de découpage : supprime les régions en bordure d’une image ou d’un calque,Zuschneiden: Bereiche von Bild oder Ebene entfernen,أداة التقصير: احذف مناطق الحافة من صورة أو طبقة
Crop image,Découper l’image,Bild zuschneiden,قصّر الصورة
Crop only currently selected layer,,,قصّر الطبقة المحددة الآن فقط
Crop the image to the extents of its content (remove empty borders from the image),Rogner l’image suivant le contour du contenu (supprime les bordures vides de l’image),Das Bild auf das Abmaß des Inhalts zuschneiden (leere Ränder werden aus dem Bild entfernt),قصّر الصورة إلى حدود محتواها (أزل الحدود الخالية من الصورة)
Crop the image to the extents of the selection,Rogne l’image suivant le contour de la sélection,Schneidet das Bild auf die Auswahlgröße zurecht,قصّر الصورة إلى حدود التحديد
Crop the layer to the extents of its content (remove empty borders from the layer),,,قصّر الصورة إلى الطبقة إلى حدود محتواها (أزل الحدود الخالية من الطبقة)
Crop the layer to the extents of the selection,,,قصّر الطبقة إلى حدود التحديد
Crop to Content,Rogner selon le contenu,Auf Inhalt zuschneiden,قصّر إلى المحتوى
Crop to:,Rogner jusqu’à :,Zuschneiden auf:,قصّر إلى المحتوى
Crosshair only,Seulement une croix,Nur Fadenkreuz,خطين متقاطعين فقط
Ctrl-Click to set a clone source,« Ctrl + clic » pour déterminer une source à cloner,Drücken Sie Strg und klicken Sie zum Setzen einer Quelle für das Klonen,انقر مع ضغط Ctrl لتحدد مصدر الاستنساخ
Cut,Couper,Ausschneiden,قص
Cut Named...,Couper (nommé)…,In Ablage verschieben …,قص مُسمى...
Cubism,Cubisme,,تكعيب
Current,Actuel,Aktuell,الحالي
Current Color Profile,Profil de couleur actuel,Aktuelles Farbprofil,لاحة الألوان الحالية
Current Status,État actuel,Aktueller Status,الحالة الحالية
Current format,Format actuel,Derzeitiges Format,النسق الحالي
Current layer only,,,الطبقة الحالية فقط
Current status,État actuel,Derzeitiger Status,الحالة الحالية
Cursor Down,Curseur bas,Pfeiltaste ↓,المؤشر لأسفل
Cursor Left,Curseur gauche,Pfeiltaste ←,المؤشر يسارا
Cursor Right,Curseur droit,Pfeiltaste →,المؤشر يمينا
Cursor Up,Curseur haut,Pfeiltaste ↑,المؤشر لأعلى
Curve,Courbes,Kurve,المنحنى
Curve type:,Type de courbe :,Kurventyp:,نوع المنحنى:
Curves,Courbes,Kurven,منحنيات
Custom,Personnalisé,Benutzerdefiniert,مخصصة
Custom color,Couleur personnalisée,Benutzerdefinierte Farbe,لون مخصص
Custom fixed height,Hauteur fixée personnalisée,Angepasste feste Höhe,ارتفاع ثابت محدد
Custom fixed width,Largeur fixée personnalisée,Angepasste feste Breite,عرض ثابت محدد
Custom icon size,,,لون مخصص
Custom padding color:,Couleur de remplissage personnalisée :,Benutzerdefinierte Rahmenfarbe:,لون توسيد مخصص:
Cut,Couper,Ausschneiden,قص
Cut Layer,,,طبقة نصية
Cut Named,Couper (nommé),In Ablage verschieben,قص مُسمى
Cut layer to the clipboard.,,,قص الطبقة إلى الحافظة.
Cut pixels to the clipboard.,Couper les pixels dans le presse-papiers.,Pixel in die Zwischenablage ausgeschnitten.,قص البكسلات إلى الحافظة.
Cyan,Cyan,Cyan,سيان
Cyan-Red,Cyan-Rouge,Cyan-Rot,سيان-أحمر
Desaturate,Désaturation,Entsättigen,أزل التشبع
Duplicate Brush,Dupliquer la brosse,Pinsel duplizieren,كرر الفرشاة
Duplicate Channel,,,كرر القناة
Duplicate Dynamics,Dupliquer la dynamique,Zeichendynamik duplizieren,كرّر الحركيات
Duplicate Gradient,Dupliquer le dégradé,Farbverlauf duplizieren,كرر التدرج
Duplicate Layer,Dupliquer le calque,,كرر الطبقة
Duplicate MyPaint Brush,Dupliquer la brosse MyPaint,MyPaint-Pinsel duplizieren,كرر فرشاة ماي پينت
Duplicate Palette,Dupliquer la palette,Palette duplizieren,كرّر لوح الألوان
Duplicate Path,Dupliquer le chemin,,كرّر المسار
Duplicate Pattern,Dupliquer le motif,Muster duplizieren,كرّر النمط
Duplicate Template...,Dupliquer le modèle…,Vorlage duplizieren …,كرّر القالب...
Duplicate Tool Preset,Dupliquer le préréglage d’outil,Werkzeug-Voreinstellung duplizieren,كرّر محفوظة الخيارات
Dark check color,Couleur sombre du damier,Dunkle Schachbrettfarbe,لون الاختيار الغامق
Darken only,Assombrir seulement,Nur Abdunkeln,تغميق فقط
Darken only (l),Assombrir seulement (a),Nur Abdunkeln (v),تغميق فقط
Darken only (legacy),Assombrir seulement (ancien),Nur Abdunkeln (veraltet),تغميق فقط
Dash preset:,Tiret prédéfini :,Vordefinierter Strich:,محفوظة الشرُط:
Dash offset,Décalage du tiret,Strichversatz,شرطة، نقطة
Dash pattern:,Motif du tiret :,Strichmuster:,نمط الشرُط:
"Dash, dot","Tiret, point","Strich, Punkt",شرطة، نقطة
"Dash, dot, dot","Tiret, point, point","Strich, Punkt, Punkt",شرطة، نقطة، نقطة
Dashboard,Tableau de bord,Leistungsüberwachung,لوحة الأدوات
Dashboard Menu,Menu du tableau de bord,Menü der Leistungsüberwachung,قائمة لوحة الأدوات
Date:,Date :,Datum:,التأريخ:
Debug,Débogage,Fehlersuche,التنقيح
Debug events,Déboguer les évènements,Fehlerdiagnose-Ereignisse,التقط الإجراء
Debug in case of a crash (never|query|always),Débogage en cas d’arrêt brutal (never|query|always),Fehlersuche beim Absturz (never|query|always),تتبع الأخطاء في حالة التحطم (never|query|always)
Debugging,Débogage,Fehlerdiagnose,التنقيح
Default,Par défaut,Standard,الشبكة المبدئية
Default Appearance in Fullscreen Mode,Apparence par défaut en mode plein écran,Voreingestellte Darstellung im Vollbildmodus,المظهر المبدئي في طور ملء الشاشة
Default Appearance in Normal Mode,Apparence par défaut en mode normal,Voreingestellte Darstellung im normalen Modus,المظهر المبدئي في الطور العادي
Default Behavior in Fullscreen Mode,Comportement par défaut en mode plein écran,Voreingestelltes Verhalten im Vollbildmodus,السلوك المبدئي في طور ملء الشاشة
Default Behavior in Normal Mode,Comportement par défaut en mode normal,Voreingestelltes Verhalten im normalen Modus,السلوك المبدئي في الطور العادي
Default Edit Action,Action de modification par défaut,Voreingestellte Bearbeitungsaktion,إجراء التحرير المبدئي
Default Grid,Grille par défaut,Standardraster,الشبكة المبدئية
Default Image,Image par défaut,Neues Bild,الصورة المبدئية
Default Image Grid,Grille d’image par défaut,Standardbildraster,شبكة الصورة المبدئية
Default New Channel Color and Opacity,Couleur et opacité du nouveau canal par défaut,Voreingestellte Farbe und Deckkraft für neue Kanäle,حرر اسم القناة ولونها وعتامتها
Default New Image,Nouvelle image par défaut,Eigenschaften eines neuen Bildes,الصورة الجديدة المبدئية
Default interpolation:,Interpolation par défaut :,Voreingestellte Interpolationsart:,الاستيفاء المبدئي:
Default format,Format par défaut,Standardformat,النسق المبدئي
"Deform the cage
to deform the image","Déformer la cage
pour déformer l’image","Käfig verformen,
um das Bild zu verformen","شوّه القفص
لتشويه الصورة"
Deformation mode,Mode de déformation,Verformungsmodus,وضع التشوه
Deinterlace,Désentrelacer,,فك الدمج
"Delete ""%s""?",Supprimer « %s » ?,»%s« löschen?,"أأحذف ""%s""؟"
Delete '%s'?,Supprimer « %s » ?,»%s« löschen?,أأحذف '%s'؟
Delete Anchor,Supprimer une ancre,Anker löschen,احذف المربط
Delete Anchors,Supprimer les ancres,Anker löschen,احذف المرابط
Delete Device Settings,Supprimer les paramètres du périphérique,Geräteeinstellungen löschen,احذف إعدادات الجهاز
Delete Layer Mask,Supprimer le masque de calque,,احذف قناع الطبقة
Delete Layer Mask,Supprimer le masque de calque,,احذف قناع الطبقة
Delete Object,Supprimer l’objet,Objekt löschen,احذف الكائن
Delete Segment,Supprimer un segment,Segment löschen,احذف القطعة
Delete Template,Suppression du modèle,Vorlage löschen,احذف القالب
Delete Tool Preset...,Supprimer le préréglage d’outil…,Werkzeug-Voreinstellung löschen …,احذف محفوظة الخيارات...
Delete channel,Supprimer le canal,Kanal löschen,احذف القناة
Delete layer,Supprimer le calque,Ebene löschen,احذف الطبقة
Delete layer mask,Supprimer le masque de calque,,احذف قناع الطبقة
Delete path,Supprimer le chemin,Pfad löschen,احذف المسار
Delete stop,Supprimer le stop,Stopp löschen,احذف المسار
Delete the selected buffer,Supprime le tampon sélectionné,Die gewählte Ablage löschen,احذف البراح المختار
Delete the selected device,Supprimer le périphérique sélectionné,Das gewählte Gerät löschen,احذف الجهاز المختار
Delete the selected preset,Supprimer le préréglage sélectionné,Die gewählte Einstellung löschen,احذف الإعدادات المختارة
Delete this MyPaint brush,Supprimer cette brosse MyPaint,Diesen MyPaint-Pinsel löschen,احذف فرشاة ماي پينت هذه
Delete this brush,Supprimer cette brosse,Diesen Pinsel löschen,احذف هذه الفرشاة
Delete this channel,,,احذف هذه القناة
Delete this dynamics,Supprime cette dynamique,Diese Zeichendynamik löschen,احذف هذه الحركيات
Delete this entry,Supprimer la couleur choisie,Diesen Eintrag löschen,احذف هذه المُدخلة
Delete this gradient,Supprime ce dégradé,Diesen Farbverlauf löschen,احذف هذا التدرج
Delete this image,Supprime cette image,Dieses Bild löschen,احذف هذه الصورة
Delete this layer,,,احذف هذه الطبقة
Delete this palette,Supprimer la palette,Diese Palette löschen,احذف لوح الألوان هذا
Delete this path,Supprimer le chemin,,احذف هذا المسار
Delete this pattern,Supprimer ce motif,Dieses Muster löschen,احذف هذا النمط
Delete this template,Suppression du modèle,Diese Vorlage löschen,احذف هذه القالب
Delete this tool preset,Supprimer ce préréglage d’outil,Diese Werkzeug-Voreinstellung löschen,احذف محفوظة الخيارات هذه
"Deleting ""%s"" failed: %s",La suppression de « %s » a échoué : %s,Das Öffnen von »%s« ist fehlgeschlagen: %s,"فشل حذف ""%s""‏ : %s"
Dense dots,Points denses,Viele Punkte,نقاط كثيفة
Density,Densité,Dichte,الكثافة
Depth of smoothing,Profondeur de lissage,Tiefe der Glättung,عمق التنعيم
Desaturate,Désaturer,Entsättigen,أزل التشبع
Description,Description,Beschreibung,وصف
Design,Tracer,Entwerfen,تصميم
Destination Range,Intervalle de destination,Zielbereich,المدى الهدف
Detach dialog from canvas,Détacher la boîte de dialogue du canevas,Dialog von Leinwand abdocken,افصل الحوار عن رقعة الرسم
Device Status,État des périphériques,Gerätestatus,حالة الأجهزة
Devices,Périphériques,Eingabegeräte,الأجهزة
Diagonal lines,Lignes diagonales,Diagonale Linien,خطوط قُطرية
Diagonal neighbors,Voisins diagonaux,Diagonale Nachbarn,خطوط قُطرية
Dialog Defaults,Valeurs par défaut des boîtes de dialogue,Dialogvorgaben,قائمة الحوارات
Dialog for foreground select,Boîte de dialogue pour l’extraction du premier plan,Dialog zur Vordergrundauswahl,حوار تحديد المقدمة
Dialogs,Boîtes de dialogue,Dialoge,الحوارات
Dialogs Menu,Menu des boîtes de dialogue,,قائمة الحوارات
Difference,Différence,Unterschied,فرق
Difference (l),Différence (a),Unterschied (v),فرق
Difference (legacy),Différence (ancien),Unterschied (veraltet),فرق
Difference of Gaussians...,,,فرق الغوسيات...
Diffraction Patterns,Motifs de diffraction,,أنماط مقلمة
Diffraction Patterns...,,,أنماط مقلمة...
Dilate,Dilater,,خفِّف
