%s — Private key,%s — Clé privée,%s — Geheimer Schlüssel,‏%s — مفتاح سري
%s — Public key,%s — Clé publique,%s — Öffentlicher Schlüssel,‏%s — مفتاح علني
%u:%u:%u,,,%Iu:%Iu:%Iu
Keyring password,Mot de passe du trousseau,Schlüsselbund-Passwort,كلمة السر حلقة مفاتيح
Keyring properties,Propriétés du trousseau,,خصائص حلقة المفاتيح
Keys used to connect securely to other computers,Clés utilisées pour se connecter de manière sécurisée à d’autres ordinateurs,Schlüssel zur sicheren Verbindung mit anderen Rechnern,يُستخدم للاتصال بالحواسيب الأخرى بأمان
LDAP Key Server,Serveur de clés LDAP,LDAP-Schlüssel-Server,خادوم مفاتيح LDAP
Label:,Étiquette :,,العنوان:
Last key server search pattern,Dernier motif de recherche de serveur de clés,Letztes Suchmuster für Schlüsselserver,آخر نمط بحث في خادوم مفاتيح
Last key servers used,Dernier serveur de clés utilisé,Zuletzt verwendeter Schlüsselserver,آخر خادوم مفاتيح استُخدِم
Lazy mode,,,الطور الكسول
Lazy mode doesn’t normalize entered date and time values,,,الطور الكسول لا يُطبّع قيم التاريخ والوقت المدخلة
Length of Key,Longueur de la clé,,طول المفتاح
Location,Emplacement,Ort,الموضع
Lock,,,أوصد
Login,Identifiant,Anmeldename,الولوج
Lower limit day,,,يوم الحد الأدنى
Lower limit hour,,,ساعة الحد الأدنى
Lower limit minute,,,دقيقة الحد الأدنى
Lower limit month,,,شهر الحد الأدنى
Lower limit second,,,ثانية الحد الأدنى
Lower limit year,,,سنة الحد الأدنى
Make this photo the primary photo,Faire de cette photo la principale,,اجعل هذه الصورة الأوليّة
Manage your passwords and encryption keys,Gérer vos mots de passe et vos clés de chiffrement,Verwalten Sie Ihre Passwörter und Schlüssel,أدِر كلمات سرّك ومفاتيح تعميتك
Marginal,Marginale,Geringfügig,هامشية
Marginally,Marginale,,هامشية
Minute,,,الدقيقة
Minute part of the lower time limit,,,جزء الدقيقة من تاريخ الحد الأدنى
Minute part of the upper time limit,,,جزء الدقيقة من تاريخ الحد الأقصى
Month,,,الشهر
Month part of the lower date limit,,,جزء الشهر من تاريخ الحد الأدنى
Month part of the upper date limit,,,جزء الشهر من تاريخ الحد الأقصى
Multiple Keys,Clés multiples,,مفاتيح متعددة
Must be at least 5 characters long,Doit être long d’au moins 5 caractères,Muss mindestens 5 Zeichen umfassen,يجب أن يكون طوله 5 محارف على الأقل
Name,Nom,Name,الاسم
Name (CN):,Nom (CN) :,,الاسم (CN):
Name must be at least 5 characters long.,Le nom doit comporter au moins 5 caractères.,Der Name muss mindestens 5 Zeichen umfassen.,يجب أن يكون طول الاسم ٥ محارف على الأقل.
Name/Email,,,اسم/بريد إلكتروني
Names and Signatures,,,أسماء وتوقيعات
Never Expires,N’expire jamais,Läuft nie ab,لا تنتهي صلاحيته أبدًا
Network Credentials,Informations d’identification réseau,Netzwerk-Anmeldedaten,مُؤهلات الشبكة
Network Manager secret,Secret du gestionnaire de réseau,Geheimnis der Netzwerkverwaltung,سر مدير الشبكة
Network connection secret,Secret de la connexion réseau,Geheimnis der Netzwerkverbindung,سر اتصال الشبكة
Network password,Mot de passe du réseau,Netzwerk-Passwort,كلمة السر الشبكة
Never,Jamais,Nie,أبدًا
Never Expires,N’expire jamais,Läuft nie ab,لا ينتهي أبدا
New Key Passphrase,Phrase de passe de la nouvelle clé,Neue Passphrase für Schlüssel,عبارة سر مفتاح جديدة
New Keyring Name:,Nom du nouveau trousseau :,Name des neuen Schlüsselbunds:,اسم الحلقة الجديدة:
New PGP key,Nouvelle clé PGP,Neuer PGP-Schlüssel,مفتاح PGP جديد
New Secure Shell Key,Nouvelle clé de shell sécurisé,Neuer SSH-Schlüssel,مفتاح صدفة آمنة جديد
New Passphrase:,Nouvelle phrase de passe :,Neue Passphrase:,عبارة سر جديدة:
New private key,Nouvelle clé privée,,مفتاح سري جديد
No keys usable for signing,Aucune clé utilisable pour la signature,Keine Schlüssel zum Signieren nutzbar,لا توجد مفاتيح قابلة للتوقيع
No longer in use.,Plus utilisé.,Wird nicht mehr verwendet.,لم يعد مًستخدما بعد الآن.
No private key file is available for this key.,Aucun fichier de clé privée n’est disponible pour cette clé.,Für diesen Schlüssel ist kein geheimer Schlüssel verfügbar.,لا ملف مفتاح خاص متوفر لهذا المفتاح.
No public key file is available for this key.,Aucun fichier de clé publique n’est disponible pour cette clé.,Für diesen Schlüssel ist kein öffentlicher Schlüssel verfügbar.,لا ملف مفتاح عام متوفر لهذا المفتاح.
No reason,Aucune raison,Keine Begründung,لا سبب
No reason for revoking key,Aucune raison pour révoquer la clé,Keine Begründung für das Widerrufen des Schlüssels,لا سبب لسحب المفتاح
None: Don’t publish keys,Aucun : ne pas publier les clés,Keiner: Schlüssel nicht veröffentlichen,لا: لا تنشر المفاتيح
Not Used,Plus utilisée,Nicht verwendet,غير مُستخدَم
Not a valid Key Server address.,,,ليس عنوانا سليما لخادوم مفاتيح.
Old Key Passphrase,Phrase de passe de l’ancienne clé,Alte Passphrase des Schlüssels,عبارة سر المفتاح القديمة
OpenSSH keys,Clés OpenSSH,OpenSSH-Schlüssel,مفاتيح OpenSSH
OpenSSH: %s,OpenSSH : %s,OpenSSH: %s,‏OpenSSH: %s
Optional comment describing key,Commentaire optionnel décrivant la clé,"Optionaler Kommentar, der den Schlüssel beschreibt",تعليق اختياري يصف المفتاح
Optional description of revocation,Description optionnelle de la révocation,Optionale Beschreibung des Widerrufs,وصف إختياري للسحب
Optional email address,Adresse électronique optionnelle,Optionale E-Mail-Adresse,عنوان بريد إلكتروني اختياري
Override Owner Trust:,,,تخطّى ثقة المالِك:
Owner,,,المالك
PEM encoded request,Demande PEM codée,PEM-enkodierte Anfrage,طلب بترميز PEM
PGP Keys,Clés PGP,PGP-Schlüssel,مفاتيح PGP
PGP key,Clé PGP,PGP-Schlüssel,مفتاح PGP
PGP keys,Clés PGP,PGP-Schlüssel,مفاتيح PGP
PGP keys are for encrypting email or files,Les clés PGP servent au chiffrement des courriels ou des fichiers,"PGP-Schlüssel werden verwendet, um E-Mails und Dateien zu verschlüsseln",مفاتيح PGP لتعمية البريد والملفات
PM,,,م
Passphrase,Phrase de passe,Passphrase,عبارة السر
Passphrase for New PGP Key,Phrase de passe pour la nouvelle clé PGP,Passphrase des neuen PGP-Schlüssels,عبارة السر لمفتاح PGP الجديد
Passphrase for New Secure Shell Key,Phrase de passe pour la nouvelle clé du shell sécurisé,Passphrase des neuen SSH-Schlüssels,عبارة سر لمفتاح الصدفة الآمنة الجديد
Password,Mot de passe,Passwort,كلمة السر
Password keyring,Trousseau de mots de passe,Passwort-Schlüsselbund,حلقة مفاتيح كلمات السر
Password or secret,,,كلمة سر
Password:,Mot de passe :,Passwort:,كلمة السر:
Passwords,Mots de passe,Passwörter,كلمات السر
Passwords and Keys,Mots de passe et clés,Passwörter und Verschlüsselung,كلمات السرِّ ومفاتيح التعمية
Personal PGP key,Clé PGP personnelle,Eigener PGP-Schlüssel,مفتاح PGP سري
Personal SSH key,Clé SSH personnelle,Eigener SSH-Schlüssel,مفتاح صدفة آمنة سري
Personal certificate,Certificat personnel,Persönliches Zertifikat,شهادة شخصية
Personal certificate and key,Clé et certificat personnel,Persönliches Zertifikat und Schlüssel,شهادة ومفتاح شخصييْن
Please choose a name for the new keyring. You will be prompted for an unlock password.,Veuillez choisir un nom pour le nouveau trousseau. Un mot de passe de déverrouillage vous sera demandé ensuite.,Bitte wählen Sie einen Namen für den neuen Schlüsselbund. Sie werden dann nach einem Entsperrpasswort gefragt.,من فضلك اختر اسما للحلقة الجديدة. ستسأل عن كلمة سر للفتح.
Preferences,Préférences,Einstellungen,التفضيلات
Primary,,,أوّلي
Private key,Clé privée,Geheimer Schlüssel,مفتاح سري
Properties,Propriétés,Eigenschaften,الخصائص
Public SSH keys,Clé SSH publique,Öffentliche SSH-Schlüssel,مفاتيح صدفة آمنة علنية
Publish keys to this key server,Publier les clés vers ce serveur de clés,Schlüssel auf diesem Schlüsselserver veröffentlichen,انشر في خادوم المفاتيح هذا
RSA,RSA,RSA,RSA
RSA (encrypt only),RSA (chiffrement seul),RSA (nur verschlüsseln),‏RSA (تعمية فقط)
RSA (sign only),RSA (signature seule),RSA (nur signieren),‏RSA (توقيع فقط)
Revoke,Révoquer,Widerrufen,أَبْطِل
Reason for revoking the key,Raison pour révoquer la clé,,سبب سحب المفتاح
Remote Access,,Entfernter Zugriff,الوصول عن بعد
Remote Host Password,Mot de passe de l’hôte distant,Netzwerk-Passwort,كلمة سر المستضيف البعيد
Remote keys,Clés distantes,,المفاتيح البعيدة
Remote keys containing “%s”,Clés distantes contenant « %s »,,المفاتيح البعيدة التي تحتوي ”%s“
Remove this photo from this key,Enlever cette photo de cette clé,,ازل هذه الصورة من هذا المفتاح
Request Certificate,,,اطلب شهادة
Resolving server address: %s,Résolution de l’adresse du serveur : %s,,يجري حل عنوان الخادوم: %s
Retrieving data,Récupération de données,Daten werden empfangen,يجلب البيانات
Revoke,Révoquer,Widerrufen,انقض
Revoke key,Révoquer la clé,,انقض المفتاح
Revoke: %s,Révocation : %s,Widerrufen: %s,انقض: %s
Revoked,Révoquée,Widerrufen,منقوض
SSH Key,Clé SSH,SSH-Schlüssel,مفتاح صدفة آمنة
SSH Key Properties,Propriétés de la clé SSH,,خصائص مفتاح الصدفة الآمنة
SSH key,Clé SSH,SSH-Schlüssel,مفتاح صدفة آمنة
Safely store a password or secret,Enregistre de manière sécurisée un mot de passe ou un secret,Ein Passwort oder Geheimnis sicher verwahren,احفظ كلمة سر أو أمر سري بأمان
Save,Enregistrer,,احفظ
Save certificate request,Enregistrer la demande de certificat,Zertifikatanfrage speichern,احفظ طلب الشهادة
Save changes for this item?,Enregistrer les modifications de cet élément ?,,أتريد حفظ التغييرات في هذا العنصر؟
Saved password or login,Mot de passe ou identifiant enregistré,Gespeicherte(s) Passwort oder Benutzerkennung,كلمة سر أو ولوج محفوظ
Seahorse,,,«حصان البحر»
Seahorse Project Homepage,Page d’accueil du projet Seahorse,,صفحة مشروع «حصان البحر»
"Seahorse is a GNOME application for managing encryption keys. It also integrates with nautilus, gedit and other places for encryption operations.",,,«حصان البحر» هو تطبيق جنوم لإدارة مفاتيح التعمية. يتكامل أيضا مع مدير ملفات جنوم و محررها و أماكم أخرى لتوفير خدمات التعمية.
Search for a key or password,Cherche une clé ou un mot de passe,Nach einem Schlüssel oder Passwort suchen,ابحث عن مفتاح أو كلمة سر
Search was not specific enough. Server “%s” found too many keys.,,,لم يكن البحث محددًا بما فيه الكفاية. وجد الخادوم ”%s“ مفاتيح كثيرة.
Second,,,الثانية
Second part of the lower time limit,,,جزء الثانية من تاريخ الحد الأدنى
Second part of the upper time limit,,,جزء الثانية من تاريخ الحد الأدنى
Secret SSH keys,Clé SSH secrète,Geheime SSH-Schlüssel,مفاتيح صدفة آمنة سرية
Secure Shell,Shell sécurisé,Secure Shell,صدفة آمنة
Secure Shell Key,Clé du shell sécurisé,SSH-Schlüssel,مفتاح صدفة آمنة
Secure Shell key,Clé du shell sécurisé,SSH-Schlüssel,مفتاح صدفة آمنة
Select Date,,,اختر تاريخا
Select Time,,,اختر وقتا
Select the date from a calendar,Sélectionnez la date dans un calendrier,Ein Datum aus einem Kalender auswählen,اختر تاريخا من التقويم
Select the time from a list,,,اختر وقتا من القائمة
Sending data,Envoi de données,Daten werden gesendet,يرسل البيانات
Server,Serveur,Server,الخادوم
Set Up,Configurer,,ركِّب
Set Up Computer for SSH Connection,Configurer un ordinateur pour une connexion SSH,,اضبط الحاسوب لاتصال SSH
Set as default,Par défaut,,اجعلها المبدئية
Shared Keys Near Me:,,,المفاتيح المُشاركة القريبة منِّي:
Show trusted,Afficher les données de confiance,Vertrauenswürdige anzeigen,أظهر الموثوقة
Show any,Tout afficher,Alle anzeigen,أظهر الكل
Show expiry column,Afficher la colonne d’expiration,Spalte für Ablaufdatum anzeigen,اظهر عمود انتهاء الصلاحية
Show keyrings sidebar,Afficher la barre latérale des trousseaux,Schlüsselbund-Seitenleiste anzeigen,أظهر شريط حلقات المفاتيح الجانبي
Show keyrings sidebar in Seahorse.,Afficher la barre latérale des trousseaux de clés dans Seahorse.,Schlüsselbund-Seitenleiste in der Seitenleiste von Seahorse anzeigen.,أظهر شريط حلقات المفاتيح الجانبي في «حصان البحر».
Show personal,Afficher les données personnelles,Eigene anzeigen,أظهر الشخصية
Show trust column,Afficher la colonne de confiance,Spalte für Vertrauenswürdigkeit anzeigen,أظهر عمود الثقة
Show type column,Afficher la colonne du type,Spalte für Typ anzeigen,أظهر عمود النوع
Show validity column,Afficher la colonne de validité,Spalte für Gültigkeit anzeigen,اظهر عمود الصلاحية
Show/Hide password,Afficher ou cacher le mot de passe,,أظهر\أخفِ كلمة السر
Sign,Signer,Signieren,وقِّع
Sign Key,Signer la clé,Schlüssel signieren,وقّع المفتاح
Sign key as:,Signer la clé comme :,,وقع المفتاح باسم:
Signature ID,,,معرّف التوقيع
"Specify the column to sort the Seahorse key manager main window by. Columns are: “name”, “id”, “validity”, “expires”, “trust”, and “type”. Put a “-” in front of the column name to sort in descending order.","Indique la colonne de tri de la fenêtre principale du gestionnaire de clés Seahorse. Les colonnes sont : « name », « id », « validity », « expires », « trust » et « type ». Placez un « - » devant le nom de colonne pour trier dans l’ordre inverse.","Legt die Spalte fest, nach der das Hauptfenster sortiert werden soll. Mögliche Spaltennamen sind: »name« (Name), »id« (Kennung), »validity« (Gültigkeit), »expires« (Ablaufdatum), »trust« (Vertrauenswürdigkeit) und »type« (Typ). Setzen Sie einem Spaltennamen ein »-« voran, um die Spalte in absteigender Reihenfolge zu sortieren.",حدد العمود الذي سترتب نافذة مدير مفاتيح «حصان البحر» طبقا له. أسماء الأعمدة هي 'name'، و 'id'، و 'validity'، و 'expires'، و trust' و 'type'. ضع '-' أمام اسم العمود لترتب تنازليا.
Status,,,الحالة
Stored at:,Enregistré dans :,,محفوظ في:
Stored note,Note enregistrée,Gespeicherte Notiz,ملاحظة محفوظة
"Stored personal passwords, credentials and secrets","Mots de passe, informations d’authentification et secrets enregistrés","Gespeicherte persönliche Passwörter, Zugangsdaten und Geheimnisse",كلمات السر الخاصة والأسرار المحفوظة
Strength,,,الشدة
Strength:,,,الشدة:
Subkey %d of %s,Sous-clé %d de %s,Unterschlüssel %d von %s,المفتاح الفرعي %Id من %s
Superseded,Remplacée,Ersetzt,أُلغِي
Sync Keys,Synchroniser les clés,Schlüssel abgleichen,زامِن المفاتيح
Synchronizing keys…,Synchronisation des clés…,Schlüssel werden abgeglichen …,يجري مزامنة المفاتيح…
Technical Details,,,التفاصيل التقنية
Technical Details:,,,التفاصيل التقنية:
Telepathy password,Mot de passe Telepathy,Telepathy-Passwort,كلمة سر تليباثي
The column to sort the Seahorse keys by,Colonne de tri des clés Seahorse,"Die Spalte, nach der Seahorse die Schlüssel durchsuchen soll",العمود الذي سترتب مفاتيح «حصان البحر» طبقا له
The common name (CN) placed in the certificate request.,Le nom commun (CN) placé dans la demande de certificat.,,لم يوضع اسم شائع (CN) في طلب الشهادة.
The default width of the side pane.,La largeur par défaut du panneau latéral.,Die vorgegebene Breite der Seitenleiste.,العرض المبدئي للوح الجانبي.
The expiry date must be in the future,La date d’expiration doit être dans le futur,Das Ablaufdatum muss in der Zukunft liegen,يجب أن يكون تاريخ انتهاء الصلاحية في المستقبل
The file could not be loaded. It may be in an invalid format,,,تعذّر تحميل الملف. قد يكون بتنسيق غير صالح
The host name or address of the server.,Le nom de l’hôte ou l’adresse du serveur.,Rechnername oder Adresse des Servers.,اسم المستضيف أو عنوان الخادوم.
The key server to publish PGP keys to. Or empty to suppress publishing of PGP keys.,Le serveur de clés vers lequel publier les clés PGP. Laisser vide pour empêcher la publication des clés PGP.,"Der zuletzt zur Veröffentlichung von PGP-Schlüsseln verwendete Schlüsselserver. Lassen Sie dies leer, um die Veröffentlichung von PGP-Schlüsseln zu verhindern.",خادوم المفاتيح الذي ستنشر به مفاتيح PGP. أو اجعله خاليا لتثبِّط نشر مفاتيح PGP.
The keyrings chosen,Trousseaux de clés choisis,Gewählte Schlüsselbünde,حلقة المفاتيح المختارة
The last key server a search was performed against or empty for all key servers.,Le dernier serveur de clé utilisé pour effectuer une recherche ; laisser vide pour tous les serveurs de clés.,"Der letzte Schlüsselserver, auf dem eine Suche durchgeführt wurde. Lassen Sie dies leer, um alle Schlüsselserver zu verwenden.",آخر خادوم مفاتيح بُحث به أو فارغا لكل خواديم المفاتيح.
The last search pattern searched for against a key server.,Le dernier motif de recherche utilisé pour interroger un serveur de clés.,Das zuletzt für die Suche auf einem Schlüsselserver verwendete Suchmuster.,آخر نمط بحث بُحِث عنه في خادوم مفاتيح.
The operation was cancelled,L’opération a été annulée,Der Vorgang wurde abgebrochen,أُلغيت العملية
The owner of the key revoked the key. It can no longer be used.,,,لقد نُقِض هذا المفتح من قِبَل مالِكه. لم يعد من الممكن استخدامه.
The port to access the server on.,Le port sur lequel accéder au serveur.,,المنفذ الذي يتم الوصول إلى الخادوم عبره.
The search for keys failed.,La recherche de clés a échoué.,Die Suche nach Schlüsseln ist fehlgeschlagen.,فشل البحث عن المفاتيح.
This collection seems to be empty,Cette collection semble être vide,Diese Sammlung scheint leer zu sein,يبدو أن هذه التجميعة خالية
"This is not a image file, or an unrecognized kind of image file. Try to use a JPEG image.",Ce n’est pas un fichier image ou le format n’est pas reconnu. Essayez d’utiliser une image JPEG.,Dies ist entweder keine Bilddatei oder eine in einem unbekannten Format. Versuchen Sie eine JPEG-Bilddatei zu verwenden.,لليس هذا بملف صورة، أو بنوع معروف من مفات الصور. حاوِل استخدام صورة JPEG.
This key expired on: %s,,,انتهت صلاحية هذا المفتاح في: %s
This key has been revoked,,,نُقِض هذا المفتاح
This key has expired,,,انتهت صلاحية هذا المفتاح
"This key was already signed by
“%s”","Cette clé a déjà été signée par
« %s »","Der Schlüssel wurde bereits signiert von
»%s«","سبق أن وقّع هذا المفتاح
“%s”"
This was the third time you entered a wrong password. Please try again.,C’est la troisième fois que vous saisissez un mauvais mot de passe. Essayez à nouveau.,"Dies war das dritte Mal, dass Sie ein falsches Passwort eingegeben haben. Bitte versuchen Sie es erneut.",هذه المرة الثالثة التي تدخل فيها كلمة سر خطأ. أعد المحاولة من فضلك.
This will find keys for others on the Internet. These keys can then be imported into your local key ring.,Ceci cherchera les clés d’autres personnes sur Internet. Ces clés peuvent être importées dans votre trousseau de clés local.,Hier können Sie über das Internet nach fremden Schlüsseln suchen. Diese können anschließend in Ihren Schlüsselbund importiert werden.,سيُعثر هذا على مفاتيح الآخرين عبى الإنترنت. يُمكن بعد ذلك استيراد هذه المفاتيح إلى حلقة مفاتيحك المحليّة.
This will publish the keys in your key ring so they’re available for others to use. You’ll also get any changes others have made since you received their keys.,Ceci publiera les clés de votre trousseau afin qu’elles soient disponibles pour les autres. Vous obtiendrez également toutes les modifications que d’autres ont faites depuis que vous avez reçu leurs clés.,"Hierdurch werden die Schlüssel in Ihrem Schlüsselbund veröffentlicht, damit andere diese nutzen können. Sie erhalten außerdem alle Veränderungen, die andere vorgenommen haben, seitdem Sie deren Schlüssel erhalten haben.",سيُنشر هذا المفاتيح في حلقة مفاتيحك لتتوفّر للآخرين ليستخدموها. ستحصل أيضا على أي تغييرات أجراها الآخرون منذ تلقيّت مفاتيحهم.
"This will retrieve any changes others have made since you received their keys. No key server has been chosen for publishing, so your keys will not be made available to others.","Ceci récupérera toutes les modifications que d’autres ont faites depuis que vous avez reçu leurs clés. Aucun serveur de clés n’a été choisi pour publier, vos clés ne seront donc pas mises à disposition des autres.","Es werden nun alle Änderungen von fremden Schlüsseln abgerufen. Da Sie keinen Schlüssel-Server für Veröffentlichungen eingestellt haben, werden Ihre eigenen Schlüssel nicht für andere verfügbar gemacht.",سيحصل هذا على أي تغييرات قام با الآخرون منذ تلقّيت مفاتيحهم. لم يُحدد أي خادوم مفاتيح للنشر، لذا لن تتوفّر مفاتيحك للآخرون.
Time,,,الوقت
"To use your Secure Shell key with another computer that uses SSH, you must already have a login account on that computer.","Pour utiliser votre clé de shell sécurisé sur un autre ordinateur utilisant SSH, vous devez disposer d’un compte pour vous connecter sur cet ordinateur.","Um Ihren SSH-Schlüssel für einen anderen Rechner über SSH nutzen zu können, müssen Sie bereits über ein Benutzerkonto auf diesem Rechner verfügen.",لتستخدم مفتاح الصدفة الآمنة خاصتك مع حاسوب آخر يستخدم SSH، يجب أن يكون لك بالفعل حساب ولوج على ذاك الحاسوب.
Trust,Confiance,Vertrauen,الثقة
Type,Type,Typ,النّوع
Type:,,,النّوع:
URL,,Adresse,مسار
Ultimate,Ultime,Absolut,نهائية
Ultimately,Ultime,,نهائية
Unable to change trust,Impossible de modifier la confiance,Die Vertrauenseinstellung konnte nicht geändert werden,تعذّر تغيير الثقة
Unavailable,Non disponible,Nicht verfügbar,غير متوفّر
Unknown,Inconnue,Unbekannt,غير معروف
Unknown date,Date inconnue,Unbekanntes Datum,تاريخ مجهول
Unknown key type!,Type de clé inconnu !,Unbekannter Schlüsseltyp!,نوع مفتاح مجهول
Unknown type,Type inconnu,Unbekannter Typ,نوع مجهول
Unlock,Déverrouiller,Entsperren,افتح
Unlocks a PGP key,Déverrouille une clé PGP,Entsperrt einen PGP-Schlüssel,يفتح مفتاح PGP
Unlocks a Secure Shell key,Déverrouille une clé de shell sécurisé,Entsperrt einen SSH-Schlüssel,يفتح مفتاح صدفة آمنة
Unnamed,Sans nom,,بلا اسم
Unnamed private key,Clé privée sans nom,,مفتاح سري بلا اسم
Upper limit day,,,يوم الحد الأقصى
Upper limit hour,,,ساعة الحد الأقصى
Upper limit minute,,,دقيقة الحد الأقصى
Upper limit month,,,شهر الحد الأقصى
Upper limit second,,,ثانية الحد الأقصى
Upper limit year,,,سنة الحد الأقصى
Usage,,,الاستخدام
Use,Utilité,Verwendung,الاستخدام
Used to access other computers,Utilisée pour accéder à d’autres ordinateurs,"Wird verwendet, um auf andere Rechner zuzugreifen",يُستخدم للاتصال بالحواسيب الأخرى
Used to encrypt email and files,,,يُستُخدم لتعمية البريد و الملفات
Used to request a certificate,Utilisé pour faire une demande de certificat,Für eine Zertifikatanfrage verwendet,يستخدم لطلب الشهادات
Used to store application and network passwords,Utilisé pour enregistrer les mots de passe des applications et du réseau,Wird zur Speicherung von Netzwerk- und Anwendungspasswörtern verwendet,تستخدم لحفظ كلمات سر التطبيقات و الشبكة
Version of this application,Version de cette application,Version dieser Anwendung,إصدارة هذا التطبيق
"When creating a key we need to generate a lot of
random data and we need you to help. It’s a good
idea to perform some other action like typing on
the keyboard, moving the mouse, using applications.
This gives the system the random data that it needs.","Lors de la création d’une clé, il est nécessaire de générer
beaucoup de données aléatoires et pour cela nous avons besoin
de votre aide. Il est bon d’effectuer d’autres activités
comme saisir au clavier, déplacer la souris et utiliser des
applications. Cela fournit au système les données aléatoires
dont il a besoin.","Beim Erstellen eines neuen Schlüssels müssen viele
Zufallszahlen erzeugt werden, wofür Ihre Mithilfe
erforderlich ist. Es ist hilfreich, wenn Sie den Rechner
anderweitig benutzen, z.B. auf der Tastatur tippen, die
Maus bewegen oder andere Anwendungen benutzen.
Dies erzeugt die notwendigen Zufallszahlen.","عند إنشاء مفتاح نحتاج لتوليد الكثير من البيانات
العشوائية و نحتاج لمساعدتك. سيفيد إجراؤك لبعض
الأعمال مثل استخدام لوحة المفاتيح أو تحريك الفأرة
أو استخدام بعض التطبيقات. سيُزوّد هذا النظام بالبيانات
العشوائية التي يحتاجها."
Where to search:,Emplacements de recherche :,,مكان البحث:
Whether or not keys should be automatically retrieved from key servers.,Indique si les clés doivent être automatiquement récupérées depuis les serveurs de clés.,"Legt fest, ob Schlüssel automatisch von den Schlüsselservern abgerufen werden sollen.",ما إذا كان من المتعين الحصول آليا على المفاتيح المعدّلة من خادوم المفاتيح المبدئي أم لا.
Whether or not modified keys should be automatically published.,Indique si les clés modifiées doivent être publiées automatiquement.,"Legt fest, ob geänderte Schlüssel automatisch veröffentlicht werden sollen.",ما إذا كان من المتعين نشر المفاتيح المعدّلة آليا أم لا.
Which items to show,Éléments à afficher,Anzuzeigende Einträge,ما العناصر التي ستعرض
Wi-Fi password,Mot de passe Wi-Fi,WLAN-Passwort,كلمة سر واي فاي
Width (in pixels) of the window.,Largeur (en pixels) de la fenêtre.,Breite des Fensters (in Pixeln).,عرض النّافذة (بالبكسل).
Width of the side pane,Largeur du panneau latéral,Breite der Seitenleiste,عرض اللوح الجانبي
Width of the window,Largeur de la fenêtre,Breite des Fensters,عرض النّافذة
Wrong passphrase.,Phrase de passe incorrecte.,Falsche Passphrase.,عبارة السر خاطئة.
Wrong password,Mauvais mot de passe,Falsches Passwort,كلمة السر خطأ
X.509 certificates and related keys,Certificats X.509 et clés connexes,X.509-Zertifikate und zugehörige Schlüssel,شهادات X.509 والمفاتيح المتعلقة بها
Year,,,السنة
Year part of the lower date limit,,,جزء السنة من تاريخ الحد الأدنى
Year part of the upper date limit,,,جزء السنة من تاريخ الحد الأقصى
You Trust the Owner:,,,تثِق في المالك:
You are about to add %s as a revoker for %s. This operation cannot be undone! Are you sure you want to continue?,,,أنت على وشك إضافة %s كناقض لـ %s. لا يمكن التراجع في هذا! أواثق من رغبتك في المتابعة؟
You could use a hard to forge photo identification (such as a passport) to personally check that the name on the key is correct. You should have also used email to check that the email address belongs to the owner.,Vous pouvez utiliser un moyen d’identification photographique difficile à falsifier (tel qu’un passeport) pour vérifier personnellement que le nom apposé sur la clé est correct. Vous devriez aussi avoir employé le courriel pour vérifier qu’il appartient bien au propriétaire de la clé.,"Sie konnten sich durch einen fälschungssicheren Ausweis (z.B. Reisepass) vergewissern, dass der im Schlüssel angegebene Name richtig ist. Sie sollten außerdem überprüft haben, dass die E-Mail-Adresse dem Schlüsseleigentümer gehört.",يمكنك استخدام هوية صورة يصعب تزويرها (مثل جواز السفر) لتتأكد شخصيا من أن الاسم في المفتاح صحيح. يجب أن تكون قد استخدمت البريد أيضا لتتأكد من أن العناوين تخصّ المالك.
You have no personal PGP keys that can be used to indicate your trust of this key.,Vous ne disposez d’aucune clé PGP personnelle permettant d’indiquer votre confiance dans cette clé.,"Sie besitzen keine PGP-Schlüssel, die dazu genutzt werden könnten, Ihr Vertrauen in diesen Schlüssel anzugeben.",لا تملك مفتاح PGP شخصي يُمكن استخدامه ليبيِّن ثقتك في هذا المفتاح.
You have no personal PGP keys that can be used to sign a document or message.,,,لا توجد مفاتيح PGP شخصية يمكن استخدامها لتوقيع الملف أو الرسالة.
"Your email address, or a reminder of what this key is for.",Votre adresse électronique ou tout autre indice permettant de vous rappeler à quoi sert cette clé.,"Ihre E-Mail-Adresse oder ein Erkennungsmerkmal, wofür dieser Schlüssel bestimmt ist.",عنوان بريدك الإلكتروني، وأي مُذكِّر آخر لماهية هذا المفتاح.
Your trust is manually specified on the Details tab.,,,تحدد ثِقتك يدويا في لِسان التفاصيل.
Your trust of this key,Votre confiance dans cette clé,,ثقتك في هذا المفتاح
[Unknown],,,[مجهول]
About Passwords and Keys,À propos de Mots de passe et clés,Info zu Passwörter und Verschlüsselung,عن كلمات السرِّ والمفاتيح
Add Name,,,أضف اسمًا
Advanced key options,Options avancées de clé,,خيارات المفتاح المتقدّمة
Cancel,Annuler,Abbrechen,ألغِ
Casually,Superficiellement,Mäßig,معتاد
Combine all keyrings,,,ادمج كل حلقات المفاتيح
Comment,Commentaire,Kommentar,التعليق
Create and Set Up,,,أنشيء واضبط
Delete,Supprimer,Löschen,احذف
Description:,Description :,,الوصف:
Don’t Resize,Ne pas redimensionner,Größe nicht anpassen,لا تُغير الحجم
Email Address,Adresse électronique,E-Mail-Adresse,عنوان البريد الإلكتروني
Export,Exporter,Exportieren,صدِّر
