
%(uri)s link to %(file)s,lien %(uri)s vers %(file)s,%(uri)s Link auf %(file)s,%s وصلة لـ %s
%.2f kilobytes,%.2f kilooctets,%.2f Kilobytes,%.2f كيلوبايت
%.2f megabytes,%.2f mégaoctets,%.2f Megabytes,%.2f ميغابايت
%s default voice,voix par défaut %s,%s Standardstimme,%s صوت افتراضي
%s link,lien %s,%s Link,%s وصلة
%s panel,,,%s لوحة
%s screen,,,%s شاشة
Pronunciation Dictionary,Dictionnaire de prononciation,Aussprachewörterbuch,قاموس النطق
Provide chat room specific message histories,Donner les historiques de messages par salon de discussion.,Chatraum-bezogene Nachrichtenverläufe bereitstellen,يوفر تاريخ غرفة المحادثة لرسائل مخصصة
Provide chat room specific message histories.,Donner les historiques de messages par salon de discussion.,Chatraum-bezogene Nachrichtenverläufe bereitstellen.,يوفر تاريخ غرفة المحادثة لرسائل مخصصة.
Punctuation Level,Niveau de ponctuation,Stufe der Sonderzeichenansage,مستوى التنقيط
Punctuation level set to all.,Niveau de ponctuation défini à tous.,Ansage der Sonderzeichen eingestellt auf alle.,مستوى التنقيط
Quits Orca,,,خروج من أوركا
Read,,,اقرأ
Read the latest n messages in the incoming messages text area.,,,إقرأ آخر n رسائل في منطقة الرسائل الواردة النصية.
Reads the attributes associated with the current text character.,,,يقرأ صفات الحرف الحالي.
Replace a currently running Orca,,,النص المستبدل
Replacement String,Chaîne de remplacement,Ersatzausdruck,النص المستبدل
Report bugs to orca-list@gnome.org.,,,تقرير العلل لـ orca-list@gnome.org.
Reports information on current script.,,,يقرر معلومات عن الخط الحالي.
Returns to object with keyboard focus.,,,يرجع للكائن الذي يملك إشارات لوحة المفاتيح.
Review live region announcement.,,,راجع إعلانات المنطقة الحية.
Routes the pointer to the current item.,,,يتكلم بمحتويات السطر.
"Row %(row)d, column %(column)d.","Ligne %(row)d, colonne %(column)d.","Zeile %(row)d, Spalte %(column)d.",صف %d، عمود %d
Row deleted.,Ligne supprimée.,Zeile gelöscht.,إحذف
Row inserted at the end of the table.,Ligne ajoutée à la fin du tableau.,Zeile am Ende der Tabelle eingefügt.,يذهب لنهاية السطر.
Row inserted.,Ligne ajoutée.,Zeile eingefügt.,أدرج
Save bookmarks.,,,احفظ علامات المواقع.
Say All By:,Tout lire par :,Pause beim Vorlesen:,انطق الكل بـ:
Screen Reader,,,رأس العمود
Search backwards,Recherche en arrière,Rückwärts suchen,ابحث بصورة عكسية
Search complete.,Recherche terminée.,Suche abgeschlossen.,تم البحث.
Search direction:,Sens de la recherche :,Suchrichtung:,التوجه
Search for:,,,ابحث عن:
Searches for the next instance of a string.,,,للبحث عن المرة اللاحقة لعبارة.
Searches for the previous instance of a string.,,,للبحث عن المرة السابقة لعبارة.
Searching.,Recherche.,Suche.,البحث.
Select desired keyboard layout.,,,انتق تخطيط لوحة المفاتيح المرغوب فيه.
Select desired speech server.,,,اختر خادوم الصوت.
Select desired speech system:,,,اختيار نظام الكلام المطلوب:
Select desired voice:,,,اختر الصوت المرغوب:
Selection Indicator,Indicateur de sélection,Auswahlindikator,مؤشر الإنتقاء
Sentence,Phrase,Satz,جملة
Set default live region politeness level to off.,,,ضع مستوى التهذيب الافتراضي للمنطقة الحية على معطّل.
Set the column to use as dynamic row headers to use when speaking calc cells.,,,حدد العمود المستعمل كترويسات صفوف ديناميكية عند التكلم بخلايا كالك.
Set the row to use as dynamic column headers when speaking calc cells.,,,حدد الصف المستعمل كترويسات أعمدة ديناميكية عند التكلم بخلايا كالك.
Set up user preferences (text version),Définit les préférences utilisateur (mode texte),Benutzereinstellungen einrichten (Textversion),أعدّ تفضيلات المستخدم (النسخة النصية)
Setup complete.  Press Return to continue.,,,تثبيت كامل. اضغط زر الإدخال للمواصلة.
Shift,Majuscule,Umschalt,Shift
Skip blank cells,Ignorer les lignes vides,Leere Zellen überspringen,تخطى الخلايا الفارغة
Some,Quelques,Einige,بعض
Spanish Grade 1,Espagnol degré 1,Spanisch Grad 1,إسباني بدون اختصارات
Speak object mnemonics,Lire le raccourci des objets,Menükürzelbuchstaben eines Objektes vorlesen,انطق بالكائن تحت الفأرة
Speak,À lire,Vorlesen,نطق
Speak cell,Lire la cellule,Zelle vorlesen,انطق خلية
Speak cell coordinates,Lire les coordonnées des cellules,Zellenkoordinaten vorlesen,انطق باحداثيات الخلية
Speak indentation and justification,Lire l’indentation et la justification,Einrückungen und Ausrichtung vorlesen,الكلام بالتصفيف و التنقيط
Speak multiple cell spans,Lire l’étendue des cellules chevauchant plusieurs lignes/colonnes,Zellenausdehnung vorlesen,انطق بمقدار توسع الخلية
Speak none,,,لا تنطق بشيء
Speak and braille a previous chat room message.,,,إنطق و ببرايل رسالة المحادثة السابقة.
Speak blank lines,Lire les lignes vides,Leerzeilen vorlesen,تكلم بالأسطر الفارغة
Speak cell,Lire la cellule,Zelle vorlesen,انطق خلية
Speak messages from,Lire les messages provenant de,Nachrichten vorlesen aus,انطق بالرسائل من
Speak multicase strings as words,,,انطق بالنتائج عند البحث
Speak object under mouse,Lire l’objet sous la souris,Objekt unter Maus vorlesen,انطق بالكائن تحت الفأرة
Speak results during find,Lire les résultats durant la recherche,Treffer während der Suche vorlesen,انطق بالنتائج عند البحث
Speak row,,,انطق سطر
Speak row,Lire la ligne,Zeile vorlesen,انطق سطر
Speak spread sheet cell coordinates,,,انطق بإحداثيات الخلية
Speak tutorial messages,Lire les messages du tutoriel,Benutzungshinweise vorlesen,انطق بالرسائل من
Speaking of indentation and justification disabled.,Lecture de l’indentation et de la justification désactivée.,Ansage von Einrückung und Ausrichtung ausgeschaltet.,الكلام بالتصفيف و التنقيط
Speaking of indentation and justification enabled.,Lecture de l’indentation et de la justification activée.,Ansage von Einrückung und Ausrichtung eingeschaltet.,الكلام بالتصفيف و التنقيط
Speaks entire document.,,,عرض كامل للمستند
Speaks the current flat review character.,,,يقرأ بحرف المراجعة المسطحة.
Speaks the current flat review item or word.,,,ينطق بعنصر أو كلمة المراجعة المسطحة الحالية.
Speaks the current flat review line.,,,ينطق بخط المراجعة المسطحة الحالي.
Speaks the current flat review object.,,,يقرأ بكائن المراجعة المسطحة الحالي.
Speaks the status bar.,,,ينطق بشريط الحالة.
Speaks the title bar.,,,ينطق بشريط العنوان.
Speaks unicode value of the current flat review character.,,,يقرأ بحرف المراجعة المسطحة.
Speech,Synthèse vocale,Sprache,كلام
Speech Dispatcher,Speech Dispatcher,Speech Dispatcher,نظام النطق
Speech system:,Système de synthèse vocale :,Sprachsystem:,نظام الكلام:
Speech disabled.,Synthèse vocale désactivée.,Sprachausgabe deaktiviert.,تعطيل الكلام.
Speech enabled.,Synthèse vocale activée.,Sprachausgabe aktiviert.,تفعيل الكلام.
Speech is unavailable.,La synthèse vocale n’est pas disponible.,Sprachausgabe steht nicht zur Verfügung.,الكلام غير متوفّر
Speech synthesizer:,Synthétiseur vocal :,Sprachsynthesizer:,مؤلف الكلام:
Speech will not be used.,,,لن يتم استعمال الكلام.
Spell checking is complete.,,,انتهى التحقق الاملائي.
Spells the current flat review item or word.,,,يهجئ عنصر أو كلمة المراجعة المسطحة الحالية.
Spells the current flat review line.,,,يهجأ خط المراجعة المسطحة الحالي.
Start from:,Démarrer depuis :,Beginnen bei:,ابدأ من:
Start-up Profile:,Profil au démarrage :,Profil beim Start:,ابدأ من:
Starting Orca Preferences for %s.,,,بدأ تفضيلات أوركا ل %s.
Starting Orca Preferences.,,,بدء تفضيلات أوركا.
Status,,,الحالة
Stop,,,قف
Structural navigation keys off.,Touches de navigation par structure désactivées.,Navigationstasten ausgeschaltet.,مفاتيح التصفح معطلة.
Structural navigation keys on.,Touches de navigation par structure activées.,Navigationstasten eingeschaltet.,مفاتيح التصفح مفعلة.
Super,Super,Super,ممتاز
Swedish Grade 1,Suédois degré 1,Schwedisch Grad 1,السويدية الدرجة 1
Switches between Gecko native and Orca caret navigation.,,,تحول من تصفح المؤشر لجيكو أو أوركا.
THORN,,,ثورن
TREE LEVEL %d,NIVEAU DE L’ARBORESCENCE %d,BAUMEBENE %d,مستوى الشجرة %d
Table Navigation,Navigation à travers les tableaux,Tabellennavigation,تصفح الجدول
Table Rows,,,جدول
Text Attributes,Attributs de texte,Textattribute,خصائص النص
Text attributes,Attributs de texte,Textattribute,خصائص النص
Text body,Corps de texte,Textkörper,جسم النص
The key entered is already bound to %s,La touche saisie est déjà liée à %s,Die eingegebene Tastenkombination ist bereits %s zugeordnet,المفتاح المدخل مرتبط مسبقا ب %s
The keybinding has been removed.,Le raccourci a été enlevé.,Die Tastenkombination wurde gelöscht.,حُذف ارتباط المفتاح.
The new key is: %s,La nouvelle touche est : %s,Die neue Tastenkombination ist: %s,المفتاح الجديد هو: %s
To activate press return.,,,اضغط مسطرة المسافات للتفعيل
To activate press space.,,,اضغط مسطرة المسافات للتفعيل
"To collapse, press shift plus left.",,,اضغط مفتاح التبديل زائد السهم الأيسر للإخفاء
"To decrease press left arrow, to increase press right arrow. To go to minimum press home, and for maximum press end.",,,اضغط السهم الأيمن لخفض الصوت والسهم الأيسر لرفعه واضغط مفتاح البداية لأدنى درجة ومفتاح النهاية لأعلى درجة
"To enter sub menu, press right arrow.",,,اضغط السهم الأيمن لتفعيل القائمة الفرعية
"To expand, press shift plus right.",,,اضغط مفتاح التبديل زائد السهم الأيمن للإظهار
"To move to items, use either the arrow keys or type ahead searching.",,,للتحرك بين العناصر استخدم الأسهم أو اكتب الأحرف الأولى من العنصر واضغط مفتاح القوائم زائد f1 لتفعيل قائمة النظام
"To navigate, press left or right arrow. To move through items press up or down arrow.",,,استخدم الأسهم الأفقية للتحرك والأسهم الرأسية للاختيار
Toggle mouse review mode.,,,يبدل وضع المراجعة بالفأرة.
Toggle whether we announce when our buddies are typing.,,,تغيير إذا ما علينا الإعلان عندما يكتب أصدقائنا.
Toggle whether we prefix chat room messages with the name of the chat room.,,,تغيير ما إذا يجب بدأ رسالات المحاديثة باسم غرفة المحادثة.
Toggle whether we present new mail if we are not the active script.,,,تبديل ما ان كنت تريد تقديم البريد الجديد ان لم نكن النص البرمجي النشط.
Toggle whether we provide chat room specific message histories.,,,تغيير ما إذا علينا توفير تاريخ غرفة المحادثة لرسائل مخصصة.
Toggles structural navigation keys.,,,فعل و عطل مفاتيح التصفح.
Toggles the silencing of speech.,,,تفعيل/تعطيل اسكات القراءة.
Toggles the speaking of indentation and justification.,,,الكلام بالتصفيف و التنقيط
Toggles whether to read just the current table cell or the whole row.,,,يحدد ما إذا يجب قراءة خلية الجدول الحالي أو كامل الصف.
Top,Haut,Oberste,فوق:
Top Left,En haut à gauche,Oben Links,أعلى اليسار
Top of column.,Haut de la colonne.,Oberer Rand der Spalte.,أعلى العمود.
Top of window,,,قمة النافذة
Type in text.,,,اكتب نص
U ACUTE,,,U حاد
U CIRCUMFLEX,,,U علامة
U GRAVE,,,U شديد
U UMLAUT,,,U نقطتين
U.K. English Grade 1,Anglais britannique degré 1,Britisches Englisch Basisschrift,الإنكليزية م.م الدرجة 1
U.K. English Grade 2,Anglais britannique degré 2,Britisches Englisch Kurzschrift,الإنكليزية م.م الدرجة 2
U.S. English Grade 1,Anglais américain degré 1,US-Englisch Basisschrift,الإنكليزية و.م الدرجة 1
U.S. English Grade 2,Anglais américain degré 2,US-Englisch Kurzschrift,الإنكليزية و.م الدرجة 2
Unable to get calculator display,,,تعذر جلب عارض الحاسبة
Unbound,,,فك التقييد
Uppercase,Majuscule,Großbuchstaben,حروف كبيرة
Use Orca Structural Navigation,,,استعمل التصفح التركيبي لأوركا
Use Orca Caret Navigation,,,استعمل تصفح المؤشر لأوركا
Use alternate directory for user preferences,Utilise un répertoire alternatif pour les préférences des utilisateurs,Anderes Verzeichnis für die Benutzereinstellungen verwenden,استخدم دليلا بديلا لتفضيلات المستخدم
Use arrow keys to change.,,,استخدم الأسهم للتغيير
Use left and right to view other tabs.,,,استخدم الأسهم الأفقية لعرض الصحائف الأخرى
Use up and down to select an item.,,,استخدم الأسهم الرأسية لتحديد أحد العناصر
Use up or down arrow to select value. Or type in the desired numerical value.,,,استخدم الأسهم الرأسية لاختيار أحد القيم أو قم بكتابة القيمة الرقمية التي تفضلها
Verbose,Verbeux,Ausführlich,تفصيلي
Verbosity,Verbosité,Ausführlichkeit,الاسهاب
Volume:,Volume :,Lautstärke:,شدة الصوت :
Voice Type Settings,Paramètres pour le type de voix,Typ der Sprachausgabe,إعدادات الصوت:
Welcome to Orca setup.,,,مرحبا بك في تثبيت أوركا
Welcome to Orca.,,,أهلا بك في أوركا.
Welcome to StarOffice,,,أهلا بك في StarOffice
Welsh Grade 1,Gallois degré 1,Walisisch Grad 1,الويلزية الدرجة 1
Welsh Grade 2,Gallois degré 2,Walisisch Grad 2,الويلزية الدرجة 2
Window,Fenêtre,Fenster,نافذة
Work online / offline,,,اعمل متصل / غير متصل
Workspace,,,مساحة عمل
Wrapping to Bottom,,,اللف للأسفل
Wrapping to Top,,,اللف للأعلى
Wrapping to bottom.,Poursuivre d’en bas.,Nach unten springen.,اللف للأسفل.
Wrapping to top.,Poursuivre d’en haut.,Nach oben springen.,اللف للأعلى.
Y ACUTE,,,Y حاد
Y UMLAUT,,,U نقطتين
"You already have an instance of an Orca preferences dialog open.
Please close it before opening a new one.","Vous avez déjà ouvert une boîte de dialogue des préférences d’Orca.
Veuillez la fermer avant d’en ouvrir une nouvelle.","Eine Instanz des Orca-Eigenschaften-Dialoges ist bereits geöffnet.
Schließen Sie bitte diesen Dialog, bevor Sie einen neuen öffnen.","يوجد حوار تفضيلات أوركا مفتوح مسبقا.

رجاء اغلقة قبل فتح واحد جديد."
You need to log out and log back in for the change to take effect.,,,ستحتاج للخروج من النظام ليأخذ التغيير أثره.
^[Yy1],,,^[ن1Yy]
Abbreviated role names,Descriptions des objets abrégés,Abgekürzte Rollennamen,أسماء وضائف مختصرة
All,Tout,Alle,الكل
Delete,Supprimer,Löschen,إحذف
Desktop,Bureau,Desktop,حاسوب مكتبي
Enable Contracted Braille,Activer le braille abrégé,Blindenkurzschrift aktivieren,فعّل بريل متقلصة
Enable speech,Activer la synthèse vocale,Sprache aktivieren,تفعيل الكلام
Laptop,Ordinateur portable,Laptop,حاسوب محمول
Match case,Respecter la casse,Groß- und Kleinschreibung berücksichtigen,طابِق الحالة
New entry,Nouvelle zone de saisie,Neuer Eintrag,مدخل جديد
None,Aucun,Keine,لا شيء
Person:,Personne :,Person:,شخص:
Position cursor at start of line when navigating vertically,,,ضع المؤشر عند بداية السطر عند التصفح عموديا
Present tooltips,Présentation des infobulles,Minihilfe ausgeben,اعرض التلميحات
Rate:,Débit :,Geschwindigkeit:,معدل:
Reset,,,أعد ضبط
Search for:,Rechercher :,Suchen nach:,ابحث عن:
Speak Chat Room name,Lire le nom du salon de discussion,Chat Room-Name vorlesen,إنطق بإسم غرفة المحادثة
Speak all,,,انطق الكل
Top of window,Haut de la fenêtre,Anfang des Fensters,قمة النافذة
Voice type:,Type de voix :,Stimmtyp:,إعدادات الصوت:
Wrap around,Recherche circulaire,Umbrechen,لف حول النص
"a : alpha, b : bravo, c : charlie, d : delta, e : echo, f : foxtrot, g : golf, h : hotel, i : india, j : juliet, k : kilo, l : lima, m : mike, n : november, o : oscar, p : papa, q : quebec, r : romeo, s : sierra, t : tango, u : uniform, v : victor, w : whiskey, x : xray, y : yankee, z : zulu","a : alpha, b : bravo, c : charlie, d : delta, e : echo, f : foxtrot, g : golf, h : hotel, i : india, j : juliett, k : kilo, l : lima, m : mike, n : november, o : oscar, p : papa, q : quebec, r : romeo, s : sierra, t : tango, u : uniform, v : victor, w : whiskey, x : x-ray, y : yankee, z : zulu","a : Anton, b : Berta, c : Cäsar, d : Dora, e : Emil, f : Friedrich, g : Gustav, h : Heinrich, i : Ida, j : Julius, k : Kaufmann, l : Ludwig, m : Martha, n : Nordpol, o : Otto, p : Paula, q : Quelle, r : Richard, s : Siegfried, t : Theodor, u : Ulrich, v : Viktor, w : Wilhelm, x : Xantippe, y : Ypsilon, z : Zeppelin, ä : Ärger, ö : Ökonom, ü : Übermut, ß : Eszett","a : alpha, b : bravo, c : charlie, d : delta, e : echo, f : foxtrot, g : golf, h : hotel, i : india, j : juliet, k : kilo, l : lima, m : mike, n : november, o : oscar, p : papa, q : quebec, r : romeo, s : sierra, t : tango, u : uniform, v : victor, w : whiskey, x : xray, y : yankee, z : zulu"
a acute,,,a حاد
a circumflex,,,E علامة
a e,,,a e
a grave,,,A شديد
a ring,,,a حلقة
a tilde,,,O تلدة
a umlaut,,,U نقطتين
acute,accent aigu,Akut,a حاد
acute accent,,,حركة كبيرة
almost equal to,presque égal à,beinahe gleich zu,يساوي تقريبا
alrt,alrt,alrt,تنبيه
and,et,und,و
anim,anim,anim,انيم
announce when your buddies are typing.,Annoncer lorsque les contacts saisissent un message.,"Ankündigen, wenn unsere Kontakte etwas eingeben.",أعلن عندما يكتب أصدقائك.
apostrophe,,,حركة
app,app,app,تطق
arw,flch,arw,سهم
at,,,عند
auto,auto,auto,آلي
background color,couleur d’arrière-plan,Hintergrundfarbe,لون الخلفية
background full height,hauteur complète de l’arrière-plan,Hintergrund für die ganze Höhe,العلو الكامل للخلفية
background stipple,arrière-plan grisé,Gepunkteter Hintergrund,تنقيط الخلفية
backslash,,,شَّرطة معكوسة
backspace,retour arrière,Löschen,مسافة للخلف
baseline,sur la ligne de base,Grundlinie,السطر الأساس
begin,début,Begin-Taste,ابدأ
black,noir,schwarz,أسود
black circle,cercle noir,Schwarzer Kreis,دائرة سوداء
black diamond,losange noir,Schwarze Raute,معين أسود
black square,carré noir,Schwarzes Quadrat,مربع أسود
blank,vide,leer,فارغ
blink,clignotant,blinkend,يغمز
bold,gras,fett,سميك
bookmark and current object have same parent,,,الكائن الرئيسي للكائن الحالي هو الكائن الرئيسي للكائن المشار إليه بعلامة مرجعية
bookmark entered,signet repéré,Lesezeichen betreten,تم إدخال علامة مرجعية
bookmark is current object,,,هذا هو الكائن الذي تم الإشارة إليه بعلامة مرجعية من قبل
bookmarks could not be saved,les signets ne peuvent être enregistrés,Lesezeichen können nicht gespeichert werden,لا يمكن حفظ العلامات المرجعية
bookmarks saved,signets enregistrés,Lesezeichen gespeichert,تم حفظ العلامات المرجعية
bottom,en bas,unten,أسفل
broken bar,,,خط عمودي منكسر
bt-lr,bh-gd,unten-oben links-rechts,bt-lr
bt-rl,bh-dg,unten-oben rechts-links,bt-rl
btn,bout,knpf,زر
bullet,,,نقطة غليظة
c cedilla,,,c سيدلا
cal,cal,kal,رزنم
caps lock,verr. maj.,Feststelltaste,تغيير الزر
caret,,,مؤشر
cbo,lstd,cbo,صندوق
cedilla,cédille,Zedilla,فاصلة
center,centre,zentriert,مركز
cents,,,سنت
char,caractère,Zeichen,محرف
check mark,,,علامة موافقة
checked,cochée,ausgewählt,مؤكّد
chk,coch,chk,خيار
circumflex,circonflexe,Zirkumflex,E علامة
cll,cll,cll,خلية
clrchsr,selcoul,clrchsr,حوار اختيار الألوان
cnv,cnv,cnv,سنف
colhdr,têtecol,colhdr,رأس العمود
collapsed,réduit,eingeklappt,مغلق
colon,,,فاصلة
column %(index)d of %(total)d,colonne %(index)d sur %(total)d,Spalte %(index)d von %(total)d,العمود %d من %d
column %d,colonne %d,Spalte %d,عمود %d
comma,,,فاصلة
comparison unknown,,,مقارنة غير معروفة
condensed,condensé,verdichtet,مكثف
copyright,,,حقوق النسخ
cptn,étiq,cptn,تسمية
cube root,racine cubique,Kubikwurzel,جذر ثلاثي
currency sign,,,علامة عملة
dagger,,,علامة الصليب
dash,,,خط فاصل
dat,dat,dat,دأت
degrees,,,درجة
delete,supprimer,Löschen,إحذف
dial,dial,Einwahl,وجّه
different site,site différent,Andere Website,موقع مختلف
dip,vlt,dip,شباك الدلائل
direction,direction,Textrichtung,التوجه
divided by,,,مقسوم على
dlg,dlg,dlg,حوار
do not present new mail if this script is not active.,,,لا تقدم البريد الجديد إن لم يكن هذا البرنامج النصي نشطًا.
document selected from cursor position,,,مستند مختار من مكان المؤشّر.
document selected to cursor position,,,مستند مختار إلى مكان المؤشّر.
document unselected from cursor position,,,مستند ملغى اختياره من مكان المؤشّر
document unselected to cursor position,,,مستند ملغى اختياره إلى مكان المؤشّر
dollar,,,دولار
dot,point,Punkt,نقطة
dot dot dot,points de suspension,Punkt Punkt Punkt,نقطة نقطة نقطة
double,double,doppelt,مزدوج
double click,double-clic,Doppelklick,(نقر مزدوج)
double dagger,,,رمز صليب مزدوج
double low quote,,,علامة إقتباس مزدوجة يسرى
double prime,,,فتحتين
down,bas,runter,تحت
draw,dess,draw,رسم
e acute,,,e حاد
e circumflex,,,e علامة
e grave,,,e شديد
e umlaut,,,e نقطتين
editable,modifiable,editierbar,أيحرر
edtbr,baredt,edtbr,تحرير
emb,emb,emb,مضمّن
emboss,relief,hochgeprägt,منمق
empty,vide,leer,فارغ
en dash,,,خط فاصل
end,fin,Ende,النهاية
engrave,empreinte,eingraviert,نحت
enter,entrée,Eingabe-Taste,إدخال
enter new key,saisissez une nouvelle touche,Neue Tastenkombination eingeben,أدخل المفتاح الجديد
entered bookmark,,,تم ادخالعلامة الموقع
entire document selected,document entier sélectionné,das gesamte Dokument ist ausgewählt,كامل المستند
equals,,,يساوي
escape,échap,Escape,اهرب
eth,,,اث
euro,,,أورو
exclaim,,,تعجب
expanded,étendu,gedehnt,ممطوط
extra condensed,très condensé,stark verdichtet,مكثف زيادة
extra expanded,très étendu,stark gedehnt,ممطوط زيادة
false,faux,falsch,خطئ
family name,famille,Schriftartfamilie,اسم العائلة
faster.,plus rapide.,schneller.,اسرع.
fchsr,selfi,fchsr,حوار الملفات
fill,justifié,Blocksatz,ملئ
florin,,,فلورين
flr,remp,flr,فلر
fnt,pol,font,فنت
font effect,effet de police,Schriftarteffekt,تأثيرات الخط
foreground color,couleur d’avant-plan,Vordergrundfarbe,اللون الأمامي
foreground stipple,avant-plan grisé,Gepunkteter Vordergrund,تنقيط الأمامي
form,form,Formular,جدول
frm,cadr,rmn,إطار
ftr,pdp,ftr,هامش
gpn,panver,gpn,لوح بلوري
grave,accent grave,Gravis,علامة
grayed,grisé,ausgegraut,غير مفعل
greater,,,أعظم
greater than or equal to,supérieur ou égal à,größer oder gleich,أكبر من او يساوي
h%d,h%d,h%d,h%d
has formula,contient une formule,hat Formel,له وظيفة
hdng,tête,hdng,hdng
hdr,tête,kopf,رأسي
heavy check mark,,,علامة صحيح شديدة
help,aide,Hilfe,مساعدة
higher.,plus haut.,höher.,أعلى
home,origine,Pos1,المنزل
horizontal,horizontal,horizontal,أفقي
html,html,html,HTML
hyphen bullet,,,خط
i acute,,,i حاد
i circumflex,,,i علامة
i grave,,,i شديد
i umlaut,,,i نقطتين
icn,icon,icn,أقن
icon,icône,Klangsymbol,أيقونة
ifrm,cadrint,ifrm,إطار
img,img,img,صورة
inaccessible,inaccessible,unzugänglich,مستحيل الوصول
indent,indentation,Einzug,البادئة
infinity,infini,Unendlich,لانهاية
inherit,hérité,vererbt,وارث
insert,insert,Einfügen,أدرج
inverted exclamation point,,,علامة تعجب مقلوبة
inverted question mark,,,علامة استفهام مقلوبة
invisible,invisible,unsichtbar,غير مرئي
italic,italique,kursiv,مائل
justification,justification,Ausrichtung,محاذاة
language,langue,Sprache,اللغة
lbl,étiq,lbl,عنوان
leaving table.,sortie du tableau.,Tabelle wird verlassen.,تركنا الجدول.
left,gauche,links,يسار
left alt,alt gauche,Alt links,زر alt اليساري
left arrow,flèche vers la gauche,Pfeil nach links,قوس مفتوح
left brace,,,قوص أيسر
left bracket,,,قوس أيسر
left control,contrôle gauche,Steuerung links,زر كنترول اليميني
left double angle bracket,,,قوس مزدوج أيسر
left double quote,,,علامة إقتباس مزدوجة يسرى
left margin,marge de gauche,Linker Rand,الهامش اليمين
left meta,méta gauche,Metataste links,ميتا يساري
left paren,,,قوس مفتوح
left shift,maj gauche,Umschalt links,زر التغيير اليساري
left single quote,,,علامة إقتباس يسرى
left super,touche Super gauche,linke Metataste,السوبر اليساري
left tab,tab gauche,Tab links,اللسان الأيسر
less,,,أقل
less than or equal to,inférieur ou égal à,kleiner oder gleich,أصغر من او يساوي
line height,hauteur de ligne,Zeilenhöhe,علو السطر
line selected down from cursor position,,,مستند مختار تحت مكان المؤشّر.
line selected from start to previous cursor position,,,خط المحدد من البداية إلى الموضع السابق للمؤشر
line selected to end from previous cursor position,,,خط المحدد للنهاية من الموضع السابق للمؤشر
line selected up from cursor position,,,مستند مختار فوق مكان المؤشّر
line through,ligne à travers,durchgestrichen,مشطوب
line unselected down from cursor position,,,مستند ملغى اختياره من تحت مكان المؤشّر.
line unselected up from cursor position,,,مستند ملغى اختياره فوق مكان المؤشّر
link,lien,Link,وصلة
live regions politeness levels restored,niveaux de politesse des zones dynamiques restaurés,Höflichkeitseinstellungen für dynamische Bereiche wiederhergestellt,استعيدت مستويات التهذيب لكل المناطق الحية
lnk,lien,lnk,lnk
logical not,,,'لا' منطقي
low,bas,tief,منخفض
lower.,moins haut.,tiefer.,أدنى.
lr,gd,links-rechts,lr
lr-tb,gd-hb,links-rechts oben-unten,lr-tb
lst,lst,lst,قائمة
lstitm,élémlst,lstitm,عنصر قائمة
ltr,gvd,links nach rechts,يساري
lyrdpn,vltcouch,lyrdpn,لوح طبقي
macron,,,خط افقي علوي
menu,menu,Menü,قائمة
middle,au milieu,Mitte,وسط
middle dot,,,نقطة وسطية
minus,moins,Minus,ناقص
misspelled,mal orthographié,falsch geschrieben,كلمة مهجأة خاطئا:
mnu,mnu,mnu,قائمة
mnubr,barmnu,mnubr,شريط القوائم
mnuitm,élémmnu,mnuitm,عنصر قائمة
mode switch,changement de mode,Mode Switch-Taste,تبديل الوضع
mu,,,مو
multi,multi,Multi-Taste,متعدد
multi-select,sélection multiple,Mehrfachauswahl,إنتقاء جماعي
n tilde,,,n تلدة
newline,,,سطر جديد
no break space,,,مسافة للخلف
no justification,sans justification,Keine Ausrichtung,محاذاة
no live message saved,aucun message dynamique enregistré,Keine dynamischen Meldungen gespeichert,لم تحفظ اي رسالة حيّة
none,aucun,keiner,بلا
normal,normal,normal,عادي
not checked,non cochée,nicht ausgewählt,غير مؤكّد
not equal to,pas égal à,ist nicht,غير معادل لـ
not pressed,non pressé,nicht gedrückt,غير مضغوط
not selected,non sélectionnée,nicht ausgewählt,غير منتقى
num lock,verr. num.,Nummernblock,قفل الأرقام
number,,,رقم
o acute,,,o حاد
o circumflex,,,o علامة
o grave,,,o شديد
o stroke,,,o مخطط
o tilde,,,o تلدة
o umlaut,,,o نقطتين
oblique,oblique,abgeschrägt,منحني
off,désactivé,aus,موقف
on,activé,an,مشتغل
one fourth,,,ربع
one half,,,نص
open,,,افتح
optnpn,vltopt,optnpn,لوح الخيارات
ordinal,,,العدد الترتيبي
outline,contour,Umriss,خارج السطر
overline,ligne au-dessus,Linie oberhalb,فوق السطر
page down,page suiv.,Bild ab,صفحة أسفل
page selected from cursor position,,,صفحة مختارة من مكان المؤشّر
page selected to cursor position,,,صفحة مختارة إلى مكان المؤشّر
page unselected from cursor position,,,صفحة ملغى اختيارها من مكان المؤشّر
page unselected to cursor position,,,صفحة ملغى اختيارها إلى مكان المؤشّر
page up,page préc.,Bild auf,صفحة أعلى
para,para,para,فقرة
paragraph marker,,,علامة فقرة
paragraph selected down from cursor position,,,صفحة مختارة من مكان المؤشّر
paragraph selected up from cursor position,,,صفحة مختارة من مكان المؤشّر
paragraph style,Style de paragraphe,Absatzstil,أسلوب الفقرة
paragraph unselected down from cursor position,,,صفحة ملغى اختيارها من مكان المؤشّر
paragraph unselected up from cursor position,,,صفحة ملغى اختيارها من مكان المؤشّر
partially checked,partiellement cochée,teilweise ausgewählt,دُقق جزئيا
per mille,,,في الألف
