
Envelope,Enveloppe,Umschlag,مظروف
Flags,Drapeaux,Flaggen,أعلام
Flattened accent forms,Formes d’accents aplatis,Abgeflachte Akzent-Formen,أشكال مسطحة من الحركات
Folder Name,Nom du dossier,Ordnername,اسم المجلّد
Folder names cannot contain “/”,Les noms de dossiers ne peuvent pas contenir « / »,Ordnernamen dürfen »/« nicht enthalten,لا يُسمح أن يحتوي اسم المجلّد الرمز ”/“.
Folder names should not begin with a space,Les noms de dossiers ne devraient pas commencer par une espace,Ordnernamen sollten nicht mit einem Leerzeichen beginnen,لا يُستحسن أن تبدأ أسماء المجلدات بمسافة
Folder names should not end with a space,Les noms de dossiers ne devraient pas se terminer par une espace,Ordnernamen sollten nicht mit einem Leerzeichen enden,لا يُستحسن أن تنتهي أسماء المجلدات بمسافة
Folder names starting with a “.” are hidden,Les noms de dossiers commençant par « . » sont masqués,"Ordnernamen, die mit ».« beginnen, sind verborgen",المجلدات التي تبدأ بالرمز ”.“ مخفية
Folio,In-folio,Folio,Folio
Folio sp,In-folio sp,Folio sp,Folio sp
Font,Police,Schrift,الخطّ
Font Family,,,عائلة الخطوط
Food & Drink,Nourriture et boissons,Essen und Trinken,طعام و شراب
For portable documents,Pour les documents portables,Für portable Dokumente,للوثائق القابلة للنقل
Forget association,,,انس الارتباط
Forget password immediately,Oublier immédiatement le mot de passe,Passwort sofort vergessen,انس كلمة السر حالاً
Forward,En avant,Vor,أمام
Fractions,Fractions,Brüche,كسور
Frame Count,Nombre d’images,Bildzähler,عدد الإطارات
Frame Rate,Fréquence d’image,Bildrate,معدل الإطارات
Full Volume,Volume maximum,Volle Lautstärke,شدة الصوت القصوى
Full Widths,Pleines largeurs,Vollbreiten,عرض كامل
GDK Backend,Moteur GDK,GDK-Backend,خلفية ج‌دك
GL Version,Version de GL,GL-Version,إصدارة GL
GL support disabled via GDKDEBUG,,,عُطّل دعم GL باستخدام GDKDEBUG
"GNU Affero General Public License, version 3 or later","Licence publique générale GNU Affero, version 3 ou ultérieure","GNU Affero General Public License, Version 3 oder neuer",رخصة جنو أفّيرو العمومية، الإصدارة 3 أو أحدث
"GNU General Public License, version 2 only","Licence publique générale GNU, version 2 uniquement","GNU General Public License, nur Version 2",رخصة جنو العمومية، الإصدارة 2 فقط
"GNU General Public License, version 2 or later","Licence publique générale GNU, version 2 ou ultérieure","GNU General Public License, Version 2 oder neuer",رخصة جنو العمومية، الإصدارة 2 أو أحدث
"GNU General Public License, version 3 only","Licence publique générale GNU, version 3 uniquement","GNU General Public License, nur Version 3",رخصة جنو العمومية، الإصدارة 3 فقط
"GNU General Public License, version 3 or later","Licence publique générale GNU, version 3 ou ultérieure","GNU General Public License, Version 3 oder neuer",رخصة جنو العمومية، الإصدارة 3 أو أحدث
"GNU Lesser General Public License, version 2.1 only","Licence publique générale limitée GNU, version 2.1 uniquement","GNU Lesser General Public License, nur Version 2.1",رخصة جنو العمومية الصغرى، الإصدارة 2.1 فقط
"GNU Lesser General Public License, version 2.1 or later","Licence publique générale limitée GNU, version 2.1 ou ultérieure","GNU Lesser General Public License, Version 2.1 oder neuer",رخصة جنو العمومية الصغرى، الإصدارة 2.1 أو أحدث
"GNU Lesser General Public License, version 3 only","Licence publique générale limitée GNU, version 3 uniquement","GNU Lesser General Public License, nur Version 3",رخصة جنو العمومية الصغرى، الإصدارة 3 فقط
"GNU Lesser General Public License, version 3 or later","Licence publique générale limitée GNU, version 3 ou ultérieure","GNU Lesser General Public License, Version 3 oder neuer",رخصة جنو العمومية الصغرى، الإصدارة 3 أو أحدث
GTK+ Inspector is an interactive debugger that lets you explore and modify the internals of any GTK+ application. Using it may cause the application to break or crash.,,,فاحص جتك+ هو منقّح تفاعلي يتيح لك تعديل داخليات أي تطبيق جتك+. استخدامه قد يسبب تعطّل أو تحطم التطبيق.
GTK+ Theme,,,سِمة ج‌ت‌ك+
GTK+ Version,,,إصدارة ج‌ت‌ك+
General,Général,Allgemein,عامّ
Generating data,Production des données,Daten werden erstellt,يولّد البيانات
Georgian,Géorgien,,جورجي
Getting printer information failed,Impossible d’obtenir des informations sur l’imprimante,Holen der Informationen über Drucker ist gescheitert,فشل جلب معلومات الطابعة
Getting printer information…,Récupération des informations sur l’imprimante…,Informationen über Drucker werden geholt …,يجلب معلومات الطابعة…
GhostScript pre-filtering,Pré-filtrage GhostScript,GhostScript-Vorfilterung,ترشيح مسبق في غوست‌سكربت
Glagolitic,,,گلاگولي
Glyph Composition / Decomposition,Composition et décomposition de glyphe,Zusammensetzung / Zerlegung von Glyphen,تجميع \ تفكيك المحارف
Gothic,,,قوطي
Government Legal,Legal gouvernemental,Government-Legal,قانوني حكومي
Government Letter,Letter gouvernemental,Government-Letter,خطاب حكومي
Grantha,,,گرانتا
Greek,Grec,,يوناني
Gujarati,,,كوجراتي
Gurmukhi,,,جورموخي
Halant Forms,Formes Halant,Halant-Formen,أشكال هالانت
Half Forms,Demi-formes,Halbe Formen,أشكال النصف
Half Widths,Demi-largeurs,Halbbreiten,نصف العرض
Han,,,هان
Hangul,Hangul,Hangul,هانگول
Hanunoo,,,هنونو
Hatran,,,هتران
Hebrew,Hébreu,,عبري
Hibernate,Hibernation,Ruhezustand,إسبات
Hide %s,Masquer %s,%s verbergen,أخفِ %s
Hide Others,Masquer les autres,Andere verbergen,أخفِ الآخرين
High,Haute,Hoch,عال
Hiragana,,,هيراگانا
Historical Forms,Formes historiques,Historische Formen,أشكال تاريخية
Historical Ligatures,Ligatures historiques,Historische Ligaturen,اقترانات تاريخية
Hojo Kanji Forms,Formes Hojo Kanji,Hojo-Kanji-Formen,أشكال هوجو كانجي
Hold the job until it is explicitly released,Suspend la tâche jusqu’à ce qu’elle soit explicitement libérée,"Hält den Druckauftrag an, bis er explizit freigegeben wird",احجز المهمّة حتّى تطلق صراحة
Home,Dossier personnel,Persönlicher Ordner,المنزل
Horizontal Kana Alternates,Kana horizontaux alternatifs,Horizontale Kana-Alternativen,بدائل كانا أفقية
Hue,Teinte,Farbton,التدرج
Hyper,Hyper,Hyper,Hyper
ID,Identifiant,KENNUNG,المعرّف
IPA,,,الأبجدية الصوتية الدولية
Icon,Icône,Symbol,أيقونة
Icon Theme,Thème d’icônes,Symbol-Thema,سِمة الأيقونات
Icon “%s” not present in theme %s,,,الأيقونة ”%s“ غير موجودة في السِمة %s
"If you delete an item, it will be permanently lost.","Si vous supprimez un élément, il sera définitivement perdu.","Sobald Sie ein Objekt löschen, geht es dauerhaft verloren.",إذا حذفت عنصر، سيضيع نهائيا.
Image Quality,Qualité de l’image,Druckqualität,جودة الصورة
Imperial Aramaic,,,آرامي ملكي
Include image data in the cache,Inclure les données d’image dans le cache,Bilddaten in Zwischenspeicher einbinden,تضع بيانات الصور في المخزن
Increase Indent,,,زِد المحاذاة
Increases the volume,,,يرفع الصوت
Index 3×5,Index 3×5,Index 3x5,فهرس 3×5
Index 4×6 (postcard),Index 4×6 (carte postale),Index 4x6 (Postkarte),فهرس 4×6 (بطاقة بريدية)
Index 4×6 ext,Index 4×6 ext,Index 4x6 ext,فهرس 4×6 ممتد
Index 5×8,Index 5×8,Index 5x8,فهرس 5×8
Information,Information,Information,معلومات
Initial Forms,Formes initiales,Initiale Formen,أشكال أولية
Initial state,État initial,Ausgangszustand,الحالة الأولية
Inscriptional Pahlavi,,,بهلوي نحتي
Inscriptional Parthian,,,بارثيان نحتي
Insert,Inser,Einfg,Insert
Insert Emoji,Insérer un émoji,Emoticon einfügen,أدرج إموجي
Insert Emoji,Insérer un émoji,Emoticon einfügen,أدرج إموجي
Inuktitut (Transliterated),,,إنُكتيتوت (بحروف لغة أخرى)
Invalid,Non valide,Ungültig,غير صحيح
Invalid URI,URI non valide,Ungültige Adresse,عنوان غير صحيح
Invalid argument to CreateDC,Paramètre non valide pour CreateDC,Ungültiges Argument für CreateDC,معطى غير صحيح لـ CreateDC
Invalid argument to PrintDlgEx,Paramètre non valide pour PrintDlgEx,Ungültiges Argument für PrintDlgEx,معطى غير صحيح لـ PrintDlgEx
Invalid file name,Nom de fichier non valide,Ungültiger Dateiname,اسم ملف غير صالح
Invalid handle to PrintDlgEx,Identificateur non valide pour PrintDlgEx,Ungültiger Handle für PrintDlgEx,معالج غير صحيح ل PrintDlgEx
Invalid pointer to PrintDlgEx,Pointeur non valide pour PrintDlgEx,Ungültiger Zeiger zu PrintDlgEx,مؤشّر غير صحيح ل PrintDlgEx
Invite Envelope,Enveloppe d’invitation,Invite-Umschlag,مظروف دعوة
Invoice,Facture,Rechnung,فاتورة
Isolated Forms,Formes isolées,Isolierte Formen,أشكال منفصلة
Italian Envelope,Enveloppe italienne,Italien-Umschlag,مظروف إيطالي
Italic,Italique,Kursiv,مائل
Italics,Italiques,Kursiv,مائل
JB0,JB0,JB0,JB0
JB1,JB1,JB1,JB1
JB10,JB10,JB10,JB10
JB2,JB2,JB2,JB2
JB3,JB3,JB3,JB3
JB4,JB4,JB4,JB4
JB5,JB5,JB5,JB5
JB6,JB6,JB6,JB6
JB7,JB7,JB7,JB7
JB8,JB8,JB8,JB8
JB9,JB9,JB9,JB9
JIS2004 Forms,Formes JIS2004,JIS2004-Formen,أشكال JIS2004
JIS78 Forms,Formes JIS78,JIS78-Formen,أشكال JIS78
JIS83 Forms,Formes JIS83,JIS83-Formen,أشكال JIS83
JIS90 Forms,Formes JIS90,JIS90-Formen,أشكال JIS90
Javanese,,,جاوي
Job,Tâche,Auftrag,مَهمّة
Job Details,Détails de la tâche,Druckauftrag,تفاصيل المهمّة
Job Priority,Priorité de la tâche,Priorität,أولوية المهمة
Justification Alternates,Alternatives de justification,Bündige Alternativen,بدائل المساواة
KPBegin,Début (pavé num.),Pos1 (Nmblck),Begin
KPDelete,Suppr (pavé num.),Entf (Nmblck),Delete
KPDown,Bas (pavé num.),Runter (Nmblck),Down
KPEnd,Fin (pavé num.),Ende (Nmblck),End
KPEnter,Entrée (pavé num.),Eingabe (Nmblck),Enter
KPHome,Origine (pavé num.),Pos1 (Nmblck),Home
KPInsert,Inser (pavé num.),Einfg (Nmblck),Insert
KPLeft,Gauche (pavé num.),Links (Nmblck),Left
KPNext,Suivant (pavé num.),Vor (Nmblck),Next
KPPageDown,Page bas (pavé num.),Bild ab (Nmblck),Page Down
KPPageUp,Page haut (pavé num.),Bild auf (Nmblck),Page Up
KPPrior,Précédent (pavé num.),Zurück (Nmblck),Prior
KPRight,Droite (pavé num.),Rechts (Nmblck),Right
KPSpace,Espace (pavé num.),Leertaste (Nmblck),Space
KPTab,Tabulation (pavé num.),Tabulator (Nmblck),Tab
KPUp,Haut (pavé num.),Hoch (Nmblck),Up
Kaithi,,,كياثي
Kannada,,,كنادا
Katakana,,,كتاكنا
Kayah Li,,,كاياه لي
KbdBrightnessDown,Luminosité clavier plus faible,Tastaturhelligkeit senken,خفض سطوع لوحة المفاتيح
KbdBrightnessUp,Luminosité clavier plus forte,Tastaturhelligkeit erhöhen,رفع سطوع لوحة المفاتيح
Kerning,Crénage,Kerning,تأليف الأحرف
Kharoshthi,,,خاروشذي
Khmer,,,خميري
LRE Left-to-right embedding,,,غرس يسار إلى يمين (LRE)
LRM Left-to-right mark,,,علامة يسار إلى يمين (LRM)
LRO Left-to-right override,,,تخطي يسار إلى يمين (LRO)
Label,Étiquette,Bezeichnung,اسم
Landscape,Paysage,Querformat,عرضيّ
Lao,,,لاو
Large Capacity Bin,Bac de grande capacité,Großer Bin,السلة عالية السعة
Large Photo,Grande photo,Großes Foto,صورة كبيرة
Latin,,,لاتيني
Launch1,Lancement1,Starten1,مشغّل 1
Layout,Agencement,Layout,التصميم
Leading Jamo Forms,Formes Jamo initiales,Führende Jamo-Formen,أشكال جامو البادئة
Left,Gauche,Links,Left
Left Bin,Bac de gauche,Linker Bin,السلة اليُسرى
Left Bounds,Limites à gauche,Linke Grenzen,حدود اليسار
Left to right,De gauche à droite,Links nach rechts,من اليسار لليمين
"Left to right, bottom to top","De gauche à droite, du bas vers le haut","Links nach rechts, unten nach oben",من اليسار لليمين، ومن الأسفل للأعلى
"Left to right, top to bottom","De gauche à droite, du haut vers le bas","Links nach rechts, oben nach unten",من اليسار لليمين، ومن الأعلى للأسفل
Left-to-Right,,Links nach rechts,من اليسار لليمين
Left-to-right alternates,Alternatives de gauche à droite,Links-nach-rechts-Alternativen,بدائل من اليسار لليمين
Left-to-right mirrored forms,Formes reflétées de gauche à droite,Gespiegelte links-nach-rechts-Formen,أشكال معكوسة من اليسار لليمين
Lepcha,,,ليبشا
Letter Case,Casse des lettres,Groß-/Kleinschreibung,حالة الحروف
License,Licence,Lizenz,الترخيص
Ligatures,Ligatures,Ligaturen,الاقترانات
Light Aluminum 1,,,ألومنيوم فاتح 1
Light Aluminum 2,,,ألومنيوم فاتح 2
Light Butter,,,زبدي فاتح
Light Chameleon,,,حرباء فاتحة
Light Chocolate,,,شوكولاتة فاتح
Light Gray,,,رمادي فاتح
Light Orange,Orange clair,Helles Orange,برتقالي فاتح
Light Plum,,,برقوقي فاتح
Light Scarlet Red,,,أحمر قرمزي فاتح
Light Sky Blue,,,أزرق سماوي فاتح
Lighter Gray,,,رمادي أفتح
Limbu,,,لمبو
Linear A,,,خطي أ
Linear B,,,خطي ب
Lining Figures,Chiffres modernes,Versalziffern,أرقام متراصفة
Lisu,,,ليسو
Localized Forms,Formes localisées,Lokalisierte Formen,أشكال محلية
Location,Emplacement,Standort,الموقع
Lock,Verrouiller,Sperren,أوصِد
Long Edge (Standard),Bord long (standard),Langer Rand (Vorgabe),حافة طويلة (قياسي)
Low,Basse,Niedrig,منخفض
Lycian,,,ليشياني
Lydian,,,ليديان
Mac OS X Quartz,,,ماك أو إس عشرة كوارتز
Mahajani,,,مهاجاني
Mail,Courriel,Mail,البريد
Mailbox %d,Boîte de messagerie %d,Postfach %d,صندوق البريد %d
Malayalam,,,ملايلام
Manage Custom Sizes,Gérer les tailles personnalisées,Benutzerdefinierte Größen verwalten,أدِر المقاسات المخصّصة
Manage Custom Sizes…,Gérer les tailles personnalisées…,Benutzerdefinierte Größen verwalten …,أدِر المقاسات المخصّصة…
Mandaic,,,مندياني
Manichaean,,,مانوية
Manually enter a location,Saisir manuellement un emplacement,Geben Sie den Ort manuell an,اكتب موقعًا
Margins from Printer…,Marges de l’imprimante…,Ränder des Druckers …,الحواف من الطابعة…
"Margins:
 Left: %s %s
 Right: %s %s
 Top: %s %s
 Bottom: %s %s","Marges :
 Gauche : %s %s
 Droite : %s %s
 Haut : %s %s
 Bas : %s %s","Ränder:
 Links: %s %s
 Rechts: %s %s
 Oben: %s %s
 Unten: %s %s","الحواف:
يسار: %s %s
يمين: %s %s
فوق: %s %s
تحت: %s %s"
Mark Positioning,Positionnement de signe,Diakritika-Positionierung,تموضع الحركات
Mark Positioning via Substitution,Positionnement de signe par substitution,Diakritika-Positionierung durch Ersetzung,تموضع الحركات بالاستبدال
Mark to Mark Positioning,Positionnement signe sur signe,Diakritikum-zu-Diakritikum-Positionierung,تموضع الحركات على الحركات
Math script style alternates,Alternatives de style de script mathématique,Alternativen für mathematische Skripte,بدائل محارف الأس الرياضياتية
Mathematical Greek,Grec mathématique,Mathematisches Griechisch,يوناني رياضياتي
Maximize,Maximiser,Maximieren,كبِّر
Medial Forms,Formes médianes,Mediale Formen,أشكال متوسطة
Medial Forms #2,Formes médianes 2,Mediale Formen #2,أشكال متوسطة ٢
Medium,Moyenne,Mittel,متوسط
Medium Gray,,,رمادي متوسط
Medium Photo,Photo moyenne,Mittelgroßes Fotos,صورة متوسطة
Meetei Mayek,,,ميتي مايك
Menu,Menu,Menü,قائمة
Meroitic Cursive,,,مروية متصلة
Meroitic Hieroglyphs,,,مروية هيروغليفية
Meta,Méta,Meta,Meta
Miao,,,مياو
Middle Bin,Bac intermédiaire,Mittlerer Bin,السلة الوسطى
Minimize,Réduire,Minimieren,صغّر
Miscellaneous,Divers,Erweitert,متفرقات
Modi,,,مودي
Modified,Modifié,Letzte Änderung,معدّل
MonBrightnessDown,Luminosité écran plus faible,Monitorhelligkeit senken,خفض سطوع الشاشة
MonBrightnessUp,Luminosité écran plus forte,Monitorhelligkeit erhöhen,رفع سطوع الشاشة
Monarch Envelope,Enveloppe Monarch,Monarch-Umschlag,ظرف ملكي
Mongolian,,,منغولي
Mount and open “%s”,Monter et ouvrir « %s »,»%s« einhängen und öffnen,أوصل و افتح ”%s“
Move,,,انقل
Multani,,,ملتاني
Multikey,Touche multi,Multifunktionstaste,Multi key
Multipress,,,ضغط متعدد
Muted,Sourdine,Stumm,صامت
My Mailbox,Ma boîte de messagerie,Eigenes Postfach,صندوقي البريدي
Myanmar,,,مينماري
N'Ko,,,نكو
NLC Kanji Forms,Formes Kanji NLC,NLC-Kanji-Formen,أشكال NLC كانجي
Nabataean,,,نبطي
Name,Nom,Name,الاسم
Need user intervention,Nécessite l’intervention de l’utilisateur,Benutzereingriff wird benötigt,بحاجة لتدخّل المستخدم
Network File System,Système de fichiers réseau,Network File System,نظام ملفات الشبكة
Networks,Réseaux,Netzwerke,الشبكات
New Tai Lue,,,تاي لو الجديد
New accelerator…,Nouveau raccourci…,Neue Tastenkombination …,اختصار جديد…
New bookmark,Nouveau signet,Neues Lesezeichen,علامة جديدة
Newa,,,نيوا
No Fonts Found,Aucune police trouvée,Keine Schriftarten gefunden,لم يُعثر على أي خطوط
No GL implementation is available,Aucune implémentation GL disponible,Es ist keine GL-Implementierung verfügbar,لا تتوفر أي تنفيذات لمعيار GL
No Results Found,Aucun résultat trouvé,Keine Ergebnisse gefunden,لا نتائج
No applications found for “%s”,Aucune application trouvée pour « %s »,Keine Anwendung zum Öffnen von »%s« gefunden,لا توجد أي تطبيقات لفتح ”%s“
No applications found for “%s” files,Aucune application trouvée pour les fichiers « %s »,Es wurde keine Anwendung für »%s«-Dateien gefunden,لا توجد أي تطبيقات لفتح ملفات ”%s“
No applications found for “%s”.,,,لا توجد أي تطبيقات لفتح ”%s“.
No applications found.,Aucune application trouvée.,Keine Anwendungen gefunden.,لم يُعثر على أي تطبيقات.
No available configurations for the given RGBA pixel format,,,لا تتوفر أي إعدادات لنسق البكسلات المُعطى
No available configurations for the given pixel format,Pas de configuration disponible pour le format de pixel donné,Es sind keine Einstellungen für das angegebene Pixelformat vorhanden,لا تتوفر أي إعدادات لنسق البكسلات المُعطى
No compatible formats to transfer clipboard contents.,Aucun format compatible pour transférer le contenu du presse-papiers.,Keine kompatiblen Formate zum Übertragen des Inhalts der Zwischenablage.,لا توجد أنساق مدعومة لتحويل محتوى الحافظة.
No compatible transfer format found,Aucun format de transfert compatible n’a été trouvé,Kein kompatibles Übertragungsformat gefunden,لم يعثر على نسق نقل متوافق
No item for URI “%s” found,,,لا يوجد عنصر للعنوان ”%s“
No items found,,,لم يُعثر على أي عنصر
No network locations found,Aucun emplacement réseau trouvé.,Keine Netzwerkorte gefunden,لم يُعثر على أي أماكن شبكة
No pre-filtering,Pas de pré-filtrage,Keine Vorfilterung,لا ترشيح مسبق
No printer found,Aucune imprimante trouvée,Keine Drucker gefunden,لم يُعثر على أي طابعة
No profile available,Aucun profil disponible,Kein Profil verfügbar,لا تتوفر أي لاحات
No recent servers found,Aucun serveur récent,Keine zuletzt verwendeten Server gefunden,لم يُعثر على أي خواديم حديثة
No recently used resource found with URI “%s”,,,لا توجد موارد حديثة الاستخدام بالعنوان ”%s“
No registered application with name “%s” for item with URI “%s” found,Impossible de trouver une application enregistrée sous le nom « %s » pour l’élément dont l’URI est « %s »,Keine registrierte Anwendung namens »%s« für Objektadresse »%s« gefunden,لا يوجد أي تطبيق مسجّل بالاسم ”%s“ لعناصر مسار ”%s“
No results found,Aucun résultat trouvé,Keine Ergebnisse gefunden,لا نتائج
"No theme index file in “%s”.
If you really want to create an icon cache here, use --ignore-theme-index.","Aucun fichier d’index de thème dans « %s ».
Si vous souhaitez vraiment créer un cache d’icônes ici, utilisez --ignore-theme-index.","Keine Themenindex-Datei in »%s«.
Wenn Sie hier wirklich einen Symbol-Cache erstellen möchten, verwenden Sie bitte --ignore-theme-index.","لا يوجد ملف سِمة في  ”%s“.
إذا أردت فعلا بناء مخزن إيقونات هنا، استعمل --ignore-theme-index ."
No theme index file.,Aucun fichier d’index de thème.,Keine Thema-Indexdatei.,لا ملف فهرس للسمة.
None,Aucune,Keine,لا شيء
Not a valid icon cache: %s,Cache d’icônes non valide : %s,Kein gültiger Symbol-Cache: %s,مخزن إيقونات غير سليم: %s
Not a valid page setup file,Fichier de mise en page non valide,Keine gültige Seiteneinstellungs-Datei,ملف تثبيت صفحة غير سليم
Not available,Pas disponible,Nicht verfügbar,غير متوفر
Not enough free memory,Mémoire insuffisante,Nicht genug Speicher,الذاكرة الخالية لا تكفي
Not implemented on OS X,,,غير مطبّق في ماك أو إس عشرة
Nukta Forms,Formes Nukta,Nukta-Formen,أشكال النقطة
NumLock,Verr. num.,Num,Num Lock
Number Case,Casse des nombres,Zahlenschreibweise,حالة الأرقام
Number Formatting,,,تنسيق الأرقام
Number Spacing,Espacement des nombres,Zahlenabstand,تباعد الأرقام
Numerators,Numérateurs,Zähler,بسط
Objects,Objets,Objekte,أشياء
Odd sheets,Pages impaires,Ungerade Seiten,الورقات الفردية
Offline,,,لا تعمل
Oficio,Oficio,Oficio,أوفيسيو
Ogham,,,أوغام
Ol Chiki,,,أُول تشيكي
Old Hungarian,,,نمساوي قديمة
Old Italic,,,إيطالي قديم
Old North Arabian,,,عربي شمالي قديم
Old Permic,,,برمي قديم
Old Persian,,,فارسي قديم
Old South Arabian,,,عربي جنوبي قديم
Old Turkic,,,تركي قديم
Oldstyle Figures,Chiffres médiévaux,Mediävalziffern,أرقام عتيقة الطراز
On This Computer,Sur cet ordinateur,Auf diesem Rechner,على هذا الحاسوب
On hold,En attente,In Warteschleife stellen,قيد الانتظار
One Sided,Recto,Einseitig,أحادي الجانب
Online,,,تعمل
Open %s,Ouvrir %s,%s öffnen,افتح %s
Open in New Tab,Ouvrir dans un nouvel onglet,In neuem Reiter öffnen,افتح في لسان جديد
Open in New Window,Ouvrir dans une nouvelle fenêtre,In neuem Fenster öffnen,افتح في نافذة جديدة
Open the contents of the file system,Ouvre le contenu du système de fichiers,Inhalt des Dateisystems öffnen,افتح محتويات نظام الملفات
Open the contents of your desktop in a folder,Ouvre le contenu de votre bureau dans un dossier,Inhalt Ihres Schreibtisch-Ordners in einem Ordner öffnen,افتح محتويات سطح المكتب في مجلد
Open the trash,Ouvre la corbeille,Den Papierkorb öffnen,افتح المهملات
Open your personal folder,Ouvre votre dossier personnel,Ihren persönlichen Ordner öffnen,افتح مجلدك الشخصي
Open “%s”,,,افتح ”%s“
Opening %s,,,يجري فتح %s
Opening “%s” files.,Ouverture des fichiers « %s ».,»%s«-Dateien werden geöffnet.,يفتح ملفات ”%s“.
Opening “%s”.,Ouverture de « %s ».,»%s« wird geöffnet.,يفتح ”%s“.
Optical Bounds,Alignements optiques,Optische Grenzen,حدود بصرية
Optical Size,Taille optique,Optische Größe,الحجم البصري
Optical size,Taille optique,Optische Größe,الحجم البصري
Orientation:,Orientation :,Ausrichtung:,الاتجاه:
Orange,Orange,Orange,برتقالي
Ordinals,Ordinaux,Ordinalzeichen,أرقام ترتيبية
Oriya,,,أوريا
Ornaments,Ornements,Ornamente,زخارف
Osage,,,أوساج
Osmanya,,,عثمانيا
Other Applications,,,التطبيقات الأخرى
Other Locations,Autres emplacements,Andere Orte,أماكن أخرى
Other application…,,,تطبيق آخر…
Other…,,,أخرى…
Out of paper,Absence de papier,Kein Papier mehr,نَفَذ الورق
Output Tray,Bac de sortie,Ausgabeschacht,لوحة الخرْج
Output a C header file,Sortir un fichier en-tête C,C-Header-Datei ausgeben,اخرج ملف ترويسة C
Output tray:,Bac de sortie :,Ausgabeschacht:,لوحة الخرْج:
"Overwrite an existing cache, even if up to date",Écraser un cache existant même s’il est à jour,"Existierenden Cache überschreiben, auch wenn dieser aktuell ist",اكتب فوق ملف cache (خزن) موجود، حتى إذا كان محدّثا
PDF,PDF,PDF,PDF
PDF Pop directional formatting,,,أوقف تنسيق الاتجاه (PDF)
Pause,,,أُلبِث
Pages:,Pages :,Seiten:,صفحات:
Page %u,Page %u,Seite %u,صفحة %Iu
Page Ordering,Ordre des pages,Reihenfolge,ترتيب الصفحات
Page Setup,Mise en page,Seite einrichten,إعداد الصفحة
Page ordering:,Ordre des pages :,Reihenfolge:,ترتيب الصفحات:
PageDown,Page bas,Bild ab,Page Down
PageUp,Page haut,Bild auf,Page Up
Pages,Pages,,صفحات
Pages Per Sheet,,,صفحات بكل ورقة
Pages per Sheet,Pages par feuille,Seiten pro Blatt,الصفحات في ورقة
Pages per sheet:,Pages par feuille :,Seiten pro Blatt:,الصفحات لكل ورقة :
Pages per side:,Pages par côté :,Seiten pro Blatt:,الصفحات في كل جهة:
Pahawh Hmong,,,باهوه همونج
Palmyrene,,,تدمري
Paper,Papier,Papier,ورق
Paper Margins,Marges du papier,Papierränder,حواف الورق
Paper Size,Taille du papier,Papiergröße,مقاس الورقة
Paper Source,Source du papier,Papiereinzug,مصدر الورق
Paper Type,Type de papier,Papierart,نوع الورق
Paper source:,Source du papier :,Papiereinzug:,مصدر الورق:
Paper type:,Type de papier :,Papiertyp:,نوع الورق:
Parameter Type,Type de paramètre,Parametertyp,نوع المعامل
Password:,Mot de passe :,Passwort:,كلمة السر:
Paste,Coller,,ألصق
Pau Cin Hau,,,باو سين هاو
Pause,Pause,Pause,Pause
Paused,En pause,Pausiert,أُلبِث
Paused; Rejecting Jobs,En pause ; les tâches sont rejetées,Pausiert; Aufträge werden abgewiesen,مُلبَثة؛ ستُرفض المهام
Personal Envelope,Enveloppe personnelle,Personal-Umschlag,مظروف شخصي
Petite Capitals,Petites capitales,Kleine Kapitälchen,حروف كبيرة متوسطة
Petite Capitals From Capitals,Capitales vers très petites capitales,Kleine Kapitälchen von Großbuchstaben,حروف كبيرة متوسطة من الحروف الكبيرة
Phags-pa,,,فاگس-با
Phoenician,,,فينيقي
Photo L,Photo L,Foto L,صورة ل
Pick a Color,Choisissez une couleur,Eine Farbe wählen,انتقِ لونًا
Pick a Font,Choisissez une police,Eine Schrift wählen,اختر خطًا
Plum,,,برقوقي
Popup,,,منبثقة
Portrait,Portrait,Hochformat,طوليّ
Post-base Forms,Formes postposées,Formen nach der Grundlinie,أشكال بعد القاعدة
Post-base Substitutions,Substitutions postposées,Ersetzungen nach der Grundlinie,استبدالات بعد القاعدة
PostScript,PostScript,PostScript,بوستسكربت
Postfix Envelope,Enveloppe Postfix,Postfix-Umschlag,مظروف Postfix
Pre-Base Forms,Formes antéposées,Formen vor der Grundlinie,أشكال قبل القاعدة
Pre-base Substitutions,Substitutions antéposées,Ersetzungen vor der Grundlinie,استبدالات قبل القاعدة
Preview,Aperçu,Vorschau,معاينة
Previous,,,السابق
Preferences,Préférences,Einstellungen,التفضيلات
Prefix,Préfixe,Präfix,البادئة
Preparing,Préparation,Vorbereitung,يحضّر
Preparing %d,Préparation de %d,%d wird vorbereitet,يحضّر %Id
Preparing to print,Préparation de l’impression,Drucken wird vorbereitet,يحضّر للطباعة
Press,,,اضغط
Presses the combobox,,,يضغط المربع المنسدل
Preview text,,,نصّ المعاينة
Priority:,Priorité :,Priorität:,الأولوية:
Print,Imprimer,Drucken,اطبع
Print Document,Impression du document,Druckauftrag ausführen,اطبع المستند
Print Preview,,,معاينة الطباعة
Print at,Imprimer à,Drucken um,اطبع
Print at time,Imprimer à l’heure,Drucken zu Uhrzeit,اطبع في موعد
Print to File,Imprimer dans un fichier,In Datei drucken,اطبع إلى ملف
Print to LPR,,,اطبع إلى LPR
Print to Test Printer,,,اطبع إلى طابعة اختبار
Printer,,,الطابعة
