
%Y-%m-%d,%d/%m/%Y,%Y-%m-%d,%Y-%m-%d
%d of %d,%d sur %d,%d von %d,%d من %d
%s %s %s failed for an unknown reason,%s %s %s a échoué pour une raison inconnue,%s %s %s ist aus unbekanntem Grund fehlgeschlagen,فشل %s %s %s لسبب غير معروف
%s %s %s returned with signal %d,%s %s %s a retourné le signal %d,%s %s %s gab das Signal %d zurück,تم إرجاع %s %s %s مع الإشارة %d
%s of %s - %u minutes left (%s/sec),%s de %s - %u minutes restantes (%s/sec),%s von %s - %u Minuten übrig (%s/s),%s من %s - %u دقائق متبقية (%s/ثانية)
%s of %s - %u seconds left (%s/sec),%s de %s - %u secondes restantes (%s/sec),%s von %s – %u Sekunden übrig (%s/s),%s من %s - %u تواني متبقية (%s/ثانية)
%s of %s - 1 minute left (%s/sec),%s de %s - 1 minute restante (%s/sec),%s von %s - 1 Minute übrig (%s/s),%s من %s - دقيقة واحدة متبقية (%s/ثانية)
%s of %s - 1 second left (%s/sec),%s de %s - 1 seconde restante (%s/sec),%s von %s – 1 Sekunde übrig (%s/s),%s من %s - ثانية واحدة متبقية (%s/ثانية)
Thai - CP874,Thaï - CP874,Thai - CP874,التايلاندية - CP874
The file-roller process did not complete successfully,Le processus file-roller ne s'est pas achevé avec succès.,Der Archivverwaltungsprozess konnte nicht vollständig abgeschlossen werden.,لم تكتمل عملية تدوير الملف بنجاح
"The folder ""%s"" needs the following extra permissions for sharing to work:
%s%s%sDo you want Nemo to add these permissions to the folder automatically?","Le dossier « %s » a besoin des permissions suivantes pour que le partage fonctionne :
%s%s%sVoulez-vous que Nemo ajoute ces permissions ?","Der Ordner »%s« benötigt die folgenden zusätzlichen Zugriffsrechte, damit die Freigabe funktioniert:
%s%s%sMöchten Sie, dass Nemo diese Zugriffsrechte automatisch zum Ordner hinzufügt?","يحتاج المجلد ""%s"" إلى الأذونات الإضافية التالية للمشاركة في العمل:
%s%s%sهل تريد أن يقوم Nemo بإضافة هذه الأذونات إلى المجلد تلقائياً؟"
The share name cannot be empty,Le nom du partage ne peut pas être vide,Der Freigabename kann nicht leer sein,لا يمكن أن يكون اسم المشاركة فارغاً
There was an error while getting the sharing information,Une erreur est survenue lors de la récupération des informations du partage,Beim Erhalt der Freigabeinformationen ist ein Fehler aufgetreten,حدث خطأ أثناء الحصول على معلومات المشاركة
Three-Way Diff,Triple comparaison,Dreiwege-Diff,الفرق ثلاثي الاتجاه
Title,Titre,Titel,العنوان
Title:,Titre :,Titel:,العنوان:
To be,Après renommage,Wie es sein soll,ليكون
Top,En haut,Oben,أعلى
Track,Plage,Titel,المسار
Track #:,Plage no :,Titelnummer:,المسار #:
Turkish - CP1254,Turc - CP1254,Türkisch - CP1254,التركية - CP1254
Type,Type,Typ,النوع
Unknown Signature,La signature est inconnue,Unbekannte Unterschrift,توقيع غير معروف
Unknown error,Erreur inconnue,Unbekannter Fehler,خطأ غير معروف
Untrusted Valid Signature,La signature valide n’est pas fiable,Nicht vertrauenswürdige gültige Unterschrift,توقيع صالح غير موثوق به
Urgent,Urgent,Dringend,طارئ
Username,Nom d’utilisateur,Benutzername,اسم المستخدم
Valid but untrusted signature by  on %s.,Signature valide mais non fiable par  sur %s.,Gültige aber nicht vertrauenswürdige Unterschrift von  auf %s.,صالح ولكن غير موثوق به التوقيع بواسطة  في %s.
Verify signature file,Vérifier le fichier de signature,Unterschriftdatei überprüfen,التحقق من ملف التوقيع
Verifying,Vérification,wird überprüft,التحقق
Videos,Vidéos,Videos,الفيديوهات
Vietnamese - CP1258,Vietnamien - CP1258,Vietnamesisch - CP1258,الفيتنامية - CP1258
Visible by default,Visible par défaut,In der Voreinstellung sichtbar,مرئي بشكل افتراضي
War (.war),War (.war),War (.war),War (.war)
Web,Web,Internet,الوب
Western European latin - CP1252,Latin européen occidental - CP1252,Westeuropäisch - CP1252,اللاتينية أوروبا الغربية - CP1252
Width:,Largeur :,Breite:,العرض:
Wrong passphrase.,La phrase de passe est erronée.,Falsche Passphrase.,عبارة مرور خاطئة.
Year:,Année :,Jahr:,السنة:
Zip (.zip),Zip (.zip),Zip (.zip),Zip (.zip)
Zoo (.zoo),Zoo (.zoo),Zoo (.zoo),Zoo (.zoo)
[FILE|URI...],[FICHIER|URI...],[DATEI|ADRESSE …],[FILE|URI...]
Allow others to create and delete files in this folder,Permettre à d'autres de créer et supprimer des fichiers dans ce dossier,"Anderen erlauben, Dateien in diesem Ordner zu erstellen und zu löschen",السماح للآخرين بإنشاء الملفات وحذفها في هذا المجلد
Encoding name to add:,Nom d'encodage à ajouter :,Kodierungsname zum Hinzufügen:,إضافة ترميز الاسم:
Guest access (for people without a user account),Accès d'évaluation  (pour les personnes sans compte utilisateur),Gastzugriff (für Personen ohne Benutzerkonto),وصول الضيف (للأشخاص الذين ليس لديهم حساب مستخدم)
Replace,Remplacer,Ersetzen,استبدال
Resize,Redimensionner,Größe ändern,تغيير الحجم
Resize Images...,Redimensionner les images...,Bildgrößen ändern …,تغيير حجم الصور...
Retry,Réessayer,Wiederholen,إعادة المحاولة
Rotate,Pivoter,Drehen,تدوير
Skip,Ignorer,Überspringen,تخطي
by,par,durch,بواسطة
degrees clockwise,degrés dans le sens horaire,Grad im Uhrzeigersinn,درجة في اتجاه عقارب الساعة
encrypted-package,paquet-chiffré,verschlüsseltes Paket,الحزمه-المشفره
file...,fichier…,Datei …,ملف...
from,de,von,من
percent,pourcent,Prozent,النسبه المئويه
pixels,pixels,Pixel,بكسل
the output of 'net usershare' is not in valid UTF-8 encoding,la sortie de « net usershare » n'est pas codée en UTF-8 valide,Die Ausgabe von »net usershare« ist kein gültiger UTF-8-Zeichensatz,إخراج 'net usershare' ليس بترميز UTF-8 صالح
to file title,à la fin du fichier,zum Dateinamen anhängen,إلى عنوان الملف
