(Limited connectivity),(Connectivité limitée),(Eingeschränkte Konnektivität),(إتصال محدود)
Connecting to the VPN...,Connexion au VPN…,VPN-Verbindung wird aufgebaut …,جاري الاِتصال بـ VPN...
Connecting to the cellular network...,Connexion au réseau cellulaire…,Mobilfunknetzverbindung wird aufgebaut …,جاري الإتصال بشبكة الجوال...
Connecting to the network...,Connexion au réseau…,Netzwerkverbindung wird aufgebaut …,جاري الاتصال بالشبكة...
Connecting to the wired network...,Connexion au réseau câblé…,Kabelnetzwerkverbindung wird aufgebaut …,جاري الاِتصال بالشبكة السلكية...
Connecting to the wireless network...,Connexion au réseau sans fil,Funknetzwerkverbindung wird aufgebaut …,جاري الاِتصال بالشبكة اللاسلكية...
Connection failed,Échec de la connexion,Verbindung fehlgeschlagen,فشل الإتصال
Consecutive Playing,Répétition désactivée,Fortlaufende Wiedergabe,تشغيل متتالي
Constant,Constante,Konstant,الثابت
Context Menu,Menu contextuel,Kontextmenü,قائمة خيارات سياقية
Continue,Continuer,Fortsetzen,متابعة
"Continue only if you are certain this is what you want, otherwise press cancel.","Continuez seulement si vous êtes sûr, sinon appuyez sur annuler.","Fahren Sie nur fort, wenn Sie sicher sind, dass Sie dies wollen, andernfalls drücken Sie auf Abbrechen.","كمل اذا انت متأكد هذا ماتريد,  خلاف ذلك اظغط الغاء الامر"
Control Center,Centre de contrôle,Steuerzentrale,مركز التحكم
Control Cinnamon visual effects.,Gérez les effets visuels de Cinnamon,Cinnamons visuelle Effekte steuern.,التحكم في مؤثرات سينامُن المرئية.
Control Players,Contrôler les lecteurs multimédia,Abspieler steuern,التحكم في المشغلات
Control mouse and touchpad settings,Paramètres de contrôle de la souris et du pavé tactile,Maus- und Touchpad-Einstellungen verwalten,إعدادات لوحة اللمس والتحكم في الفأرة
Control the pointer using the keypad,Contrôle du pointeur à l'aide du pavé numérique,Mauszeiger mit dem Nummernblock steuern,التحكم في المؤشر باستخدام لوحة المفاتيح
Control the trash from the panel,Contrôler la corbeille à partir du panneau,Den Papierkorb aus der Leiste steuern,التحكم في سلة المهملات من الشريط
Copy,Copier,Kopieren,نسخ
Copy a screenshot of a window to clipboard,Copier une capture d'écran d'une fenêtre dans le presse-papiers,Bildschirmfoto eines Fensters in die Zwischenablage kopieren,نسخ لقطة الشاشة لإحدى النوافذ إلى الحافظة
Copy a screenshot of an area to clipboard,Copier une capture d'écran d'une zone dans le presse-papiers,Bildschirmfoto eines Bereichs in die Zwischenablage kopieren,نسخ لقطة شاشة لمنطقة إلى الحافظة
Copy a screenshot to clipboard,Copier une capture d'écran dans le presse-papiers,Bildschirmfoto in die Zwischenablage kopieren,نسخ لقطة الشاشة إلى الحافظة
"Could not execute '%s'
%s","Échec lors du lancement de '%s'
%s","»%s« kann nicht ausgeführt werden
%s","تعذر تنفيذ '%s'
%s"
Coverflow (3D),Coverflow (3D),Bilderfluss (3D),دفق الغلاف (3D)
Create Shortcut,Créer un raccourci,Verknüpfung erstellen,أنشِئ مختصر
Critically low battery,Le niveau de la batterie est très faible,Kritisch schwache Akkuladung,بطارية منخفضة للغاية
Current background:,Fond d'écran actuel :,Aktueller Hintergrund:,الخلفية الحالية
Current password,Mot de passe actuel,Aktuelles Passwort,كلمة المرور الحالية
Cursor moves with contents,Le curseur se déplace avec le contenu,Mauszeiger bewegt sich mit Inhalten,تحريك المؤشر مع المحتويات
Cursor pushes contents around,Le curseur pousse le contenu autour,Mauszeiger schiebt Inhalt umher,المؤشر يدفع المحتويات حوله
Custom Applet Label,Titre d’applet personnalisé,Angepasste Appletbeschriftung,تسمية بريمج مخصص
Custom Application,Application par défaut,Eigene Anwendung,تطبيق مخصص
Custom Shortcuts,Raccourcis personnalisés,Eigene Tastenkombinationen,اختصارات مخصصة
Custom command,Commande personnalisée,Eigener Befehl,أمر مخصص
Custom tree widget,Arbre personalisé,Angepasstes Baum-Widget,شجرة قطعة مخصصة
Customize,Personnaliser,Anpassen,تخصيص
Cut,Couper,Ausschneiden,قصّ
Cycle apps,Faire défiler les applis,Anwendungen durchlaufen,تطبيقات الدورة
Cycle backwards through open windows,Revenir en arrière parmi les fenêtres ouvertes,Kreislauf rückwärts zwischen den geöffneten Fenstern,تدوير للخلف من خلال النوافذ المفتوحة
Cycle backwards through open windows of the same application,Revenir en arrière parmi les différentes fenêtres de la même application,Kreislauf rückwärts zwischen den geöffneten Fenstern der selben Anwendung,تدوير للخلف من خلال النوافذ المفتوحة لنفس التطبيق
Cycle through open windows,Cycler le passage aux différentes fenêtres,Kreislauf zwischen den geöffneten Fenstern,تدوير من خلال النوافذ المفتوحة
Cycle through open windows of the same application,Cycler le passage aux différentes fenêtres de la même application,Kreislauf zwischen den geöffneten Fenstern der selben Anwendung,تدوير من خلال النوافذ المفتوحة لنفس التطبيق
Cycle windows,Faire défiler les fenêtres,Fenster durchlaufen,نوافذ الدورة
Cycle windows on mouse wheel scroll,Changer de fenêtre avec la molette de la souris,Fenster bei Mausradbewegung durchblättern,أدِر النوافذ على عجلة الفأرة
DVD video,DVD,DVD-Video,مقطع DVD
Date,Date,Datum,التاريخ
Date  Time,Date  Heure,Datum  Zeit,التاريخ والوقت
Date Font,Police de caractères de la date,Schrift für das Datum,خط التاريخ
Date Format:,Format de la date :,Datumsformat:,تنسيق التاريخ:
Date and Time,Date et heure,Datum und Zeit,التاريخ والوقت
Date and Time Settings,Paramètres de date et d’heure,Datums- und Zeiteinstellungen,إعدادات الوقت والتاريخ
Date format,Format de date,Datumsformat,تنسيق التاريخ
Decoration of desklets,Décoration des desklets,Gestaltung der Desklets,زخرفة التطبيقات المكتبية
Decrease keyboard backlight level,Diminuer le rétroéclairage du clavier,Tastaturbeleuchtung verringern,تقليل مستوى الإضاءة الخلفية للوحة المفاتيح
Decrease opacity,Diminuer l'opacité,Deckkraft verringern,تقليل التعتيم
Decrease screen brightness,Diminuer la luminosité de l'écran,Bildschirmhelligkeit verringern,تقليل سطوع الشاشة
Decrease text size,Diminuer la taille du texte,Schrift verkleinern,تقليل حجم النص
Default device behavior,Comportement par défaut du périphérique,Vorgabeverhalten des Gerätes,سلوك الجهاز المبدئي
Default font,Police par défaut,Vorgabeschrift,الخط الافتراضي
Delay,Temporisation,Verzögerung,تأخير
Delay before Peek shows desktop,Délai avant la visualisation du bureau,Verzögerung bevor Vorschau auf Schreibtisch gezeigt wird,التاخير قبل أن تعرض النظرة الخاطفة سطح المكتب
Delay before displaying the alt-tab switcher,Délai avant l'affichage du sélecteur Alt-Tab,Verzögerung vor der Anzeige des Alt-Tab-Umschalters,التأخير قبل عرض محول alt-tab
Delay before locking,Délai avant verrouillage,Verzögerung vor dem Sperren,التأخير قبل القفل
Delay before showing thumbnails,Délai avant d’afficher les vignettes,Verzögerung vor der Anzeige von Vorschaubildern,المُهلة قبل عرض المُصغّرات
Delay before starting the screensaver,Délai avant le démarrage de l’économiseur d’écran,Verzögerung vor dem Start des Bildschirmschoners,التأخير قبل بدء شاشة التوقف
Delay before the menu opens when hovered,Délai avant lequel le menu s'ouvre au survol de la souris,Verzögerung bevor das Menü beim Darüberbewegen geöffnet wird,التأخير قبل فتح القائمة عند التمرير
Delete,Supprimer,Löschen,احذف
Dependencies,Dépendances,Abhängigkeiten,الاعتماديات
Dependencies section,Section des dépendances,Abhängigkeiten,قسم الاعتماديات
Desklets,Desklets,Desklets,التطبيقات المكتبية
Desktop,Bureau,Schreibtisch,سطح المكتب
Desktop Zoom,Zoom du bureau,Schreibtischvergrößerung,تكبير سطح المكتب
Desktop font,Police du bureau,Schreibtischschrift,خط سطح المكتب
Details:  %s,Détails: %s,Details: %s,التفاصيل:  %s
Device,Périphérique,Gerät,الجهاز
Device %s can be removed.,Le périphérique %s peut être retiré.,Gerät %s kann entfernt werden.,يمكن إزالة الجهاز %s.
"Device %s can be turned off, if necessary.","Le périphérique %s peut être éteint, si nécessaire.",Gerät %s kann bei Bedarf ausgeschaltet werden.,يمكن إيقاف تشغيل الجهاز %s ، إذا لزم الأمر.
"Device %s is busy, please wait.","Le périphérique %s est occupé, veuillez patienter.","Gerät %s ist beschäftigt, bitte warten.",الجهاز %s مشغول، الرجاء الانتظار.
Device settings,Paramètres du périphérique,Geräteeinstellungen,إعدادات الجهاز
Devices,Périphériques,Geräte,الأجهزة
Digital photo frame,Cadre de photo numérique,Digitaler Bilderrahmen,إطار الصورة الرقمية
Dim screen after inactive for,Baisser la luminosité après une inactivité de,"Bildschirm abdunkeln, wenn inaktiv für",تعتيم الشاشة عند عدم النشاط لمدة
Direct Navigation,Navigation directe,Direkte Navigation,الإنتقال المباشر
Directory Properties,Propriétés du dossier,Verzeichniseigenschaften,خصائص المجلد
Disable,Désactiver,Deaktivieren,تعطيل
Disable all,Tout désactiver,Alle deaktivieren,تعطيل الكل
Disable automatic screen rotation,Désactiver la rotation automatique d'écran.,Automatische Bildschirmdrehung deaktivieren,تعطيل التدوير التلقائي للشاشة
Disable compositing for full-screen windows,Désactiver la composition pour les fenêtres en plein écran,Komposit für Vollbildfenster deaktivieren,تعطيل التركيب لنوافذ ملء الشاشة
"Disable downloaded applets, desklets and extensions","Désactiver les extensions, applets et desklets et  téléchargés","Heruntergeladene Applets, Desklets und Erweiterungen deaktivieren",تعطيل البريمجات والتطبيقات المكتبية والامتدادات التي تم تنزيلها
Disable if two modifiers are pressed together,Désactiver si deux touches de modification sont pressées ensemble,"Deaktivieren, wenn zwei Hilfstasten gleichzeitig gedrückt werden",تعطيل إذا تم الضغط على اثنين من المبدلات معا
Disable touchpad while typing,Désactiver le pavé tactile lors de la frappe au clavier,Touchpad während des Tippens deaktivieren,تعطيل لوحة اللمس أثناء الكتابة
Disabled,Désactivé,Deaktiviert,معطل
Disabled when a mouse is attached,Désactivé si une souris est branchée,"Deaktiviert, wenn eine Maus angeschlossen ist",معطّل عند إيصال الفأرة
Disks,Disques,Laufwerke,الأقراص
Display,Affichage,Bildschirm,العرض
Display Expo view as a grid,Afficher la vue Expo en tant que grille,Arbeitsflächenübersicht als Raster zeigen,عرض Expo العرض كشبكة
Display a test notification,Afficher une notification de test,Eine Probebenachrichtigung anzeigen,عرض إخطار للأختبار
Display full paths in the list,Afficher les chemins complets dans la liste,Vollständige Pfade in der Liste anzeigen,عرض المسارات الكاملة في القائمة
Display seconds,Afficher les secondes,Sekunden anzeigen,عرض الثواني
Display system information,Afficher les renseignements du système,Systeminformationen anzeigen,عرض معلومات النظام
Display the alt-tab switcher on the primary monitor instead of the active one,Affichage du sélecteur Alt-Tab sur le moniteur principal en lieu et place de celui qui est actif,"Den Alt-Tab-Umschalter auf dem Hauptbildschirm anzeigen, anstatt auf dem aktiven Bildschirm",عرض محول alt-tab على الشاشة الرئيسية بدلاً من شاشة العرض النشطة
Display the date,Afficher la date,Das Datum anzeigen,عرض التاريخ
Display user name on panel,Afficher le nom de l’utilisateur sur le panneau,Kontonamen in der Leiste anzeigen,عرض اسم المستخدم على اللوحة
Do not disconnect or data loss may occur.,"Ne le déconnectez pas, au risque de perdre des données.","Trennen Sie die Verbindung nicht, da es sonst zu Datenverlusten kommen kann.",لا تقطع الاتصال وإلا فقدت البيانات.
Do not remove or data loss may occur.,Ne pas supprimer ou des données pourraient être perdues.,"Nicht entfernen, da es sonst zu Datenverlust kommen kann.",لا تقم بإزالته وإلا فقدت البيانات.
Do nothing,Ne rien faire,Nichts tun,لا تفعل شيئًا
Do you really want to cancel all jobs?,Voulez-vous vraiment annuler toutes les tâches ?,Möchten Sie wirklich alle Aufträge abbrechen?,هل انت متأكد من الغاء جميع المهام ؟
Do you really want to cancel this job?,Voulez-vous vraiment annuler cette tâche ?,Möchten Sie diesen Auftrag wirklich abbrechen?,هل أنت متأكد من رغبتك في إلغاء هذه المهمة؟
Do you want to continue with this operation?,Voulez-vous continuer l'opération ?,Soll dieser Vorgang fortgesetzt werden?,هل تريد متابعة هذه العملية؟
Do you want to restart Cinnamon?,Voulez-vous redémarrer Cinnamon ?,Wollen Sie Cinnamon neu starten?,هل تريد إعادة تشغيل سينامُن؟
Document font,Police des documents,Dokumentenschrift,خط المستند
Don't Press This Button!!!,Ne cliquez pas sur ce bouton !,Diesen Knopf nicht klicken!!!,لا تضغط هذا الزر!!!
Don't show info #1 or #2,N’afficher ni la présentation no 1 ni la no 2,Info 1 oder 2 nicht anzeigen,لا تظهر المعلومة رقم #1 أو رقم #2
Double Click,Double clic,Doppelklick,نقر مزدوج
Double-Click timeout,Délai du double clic,Doppelklickgeschwindigkeit,مهلة النقر المزدوج
Double-click test,Test de double clic,Doppelklicktest,اختبار النقر المزدوج
Download,Télécharger,Herunterladen,تحميل
Downloading images:,Téléchargement des images :,Bilder werden heruntergeladen:,تحميل الصور:
Drag,Glisser,Ziehen,سحب
Drag-and-drop threshold,Seuil de sensibilité du glisser-déplacer,Ziehen-und-ablegen-Grenzwert,حد السحب والإفلات
Draggable border width,Largeur de bordure ajustable,Breite der ziehbaren Ränder,حدود عرض قابلة للسحب
Driver Manager,Gestionnaire de pilotes,Treiberverwaltung,مدير برامج التشغيل
Duration of the apps order display on hotkey press,Durée pendant laquelle l'ordre des applications est montré,Dauer der Anzeige der Anwendungsreihenfolge bei Tastaturkürzelauslösung.,مدة عرض طلب التطبيقات بالضغط على مفتاح الاختصار
Edge scrolling,Défilement en bordure,Kantenrollen,تمرير الحافة
Edit,Modifier,Bearbeiten,حرِّر
Edit Desktop File,Modifier le fichier,Schreibtischdatei bearbeiten,حرّر ملف المكتب
Edit Startup Program,Modifier un programme lancé au démarrage,Startprogramm bearbeiten,تحرير برنامج بدء التشغيل
Edit entry,Modifier l'entrée,Eintrag bearbeiten,حرِّر الإدخال
Edit launcher,Modifier le lanceur,Starter bearbeiten,تحرير منصة الإطلاق
Edit menu,Modifier le menu,Menü bearbeiten,حرِّر القائمة
Edit selected entry,Modifier l'entrée sélectionnée,Ausgewählten Eintrag bearbeiten,حرِّر الإدخال المحدد
Editable list settings,Paramètres de liste modifiable,Bearbeitbare Listeneinstellungen,إعدادات القائمة القابلة للتحرير
Effect type,Type d'effet,Effekttyp,نوع التأثير
Effects,Effets,Effekte,المؤثرات
Effects on dialog boxes,Effets de boîtes de dialogue,Effekte bei Dialogfenstern,المؤثرات في مربعات الحوار
Effects on menus,Effets dans les menus,Effekte bei Menüs,المؤثرات في القوائم
Eject,Éjecter,Auswerfen,إخراج
Empty,Vider,Leer,فارغة
Empty Trash,Vider la corbeille,Papierkorb leeren,إفراغ سلة المهملات
Emulate middle click by clicking both left and right buttons,Émuler le clic milieu par un clic simultané des boutons gauche et droite,Mittelklick emulieren durch gleichzeitiges Anklicken der linken und rechten Taste,محاكاة النقر الأوسط بالنقر على الزرين الأيسر والأيمن
Enable,Activer,Aktivieren,تمكين
Enable Hibernate after suspend,Activer la mise en veille prolongée après la mise en veille,Ruhezustand nach Bereitschaft aktivieren,قم بتمكين الإسبات بعد التعليق
Enable Hybrid Sleep,Activer la mise en veille hybrid,Hybrid-Bereitschaft aktivieren,تمكين السكون المختلط
Enable Super+<number> shortcut to switch/open apps,Activer le raccourci Super+<numéro> pour changer d’applis ou les ouvrir,Zum Wechseln/Öffnen von Anwendungen Verknüpfung von »Super+<Nummer>« aktivieren,تفعيل اختصار Super+<number> لـ تبديل/فتح التطبيقات
Enable Window Tiling and Snapping,Activer la juxtaposition et l'alignement de fenêtre,Kacheln und Einrasten von Fenstern aktivieren,تمكين تباعد والتقاط النافذة
Enable app button dragging,Permettre le glisser-déplacer,Ziehen der Anwendungsknöpfe aktivieren.,تفعيل سحب زر التطبيق
Enable audio alerts,Activer les alertes audio,Akustische Alarmsignale aktivieren,تمكين التنبيهات الصوتية
Enable autoscrolling in application list,Activer le défilement automatique dans la liste des applications,Automatischen Bildlauf in der Anwendungsliste aktivieren,تمكين التمرير التلقائي في قائمة التطبيقات
Enable filesystem path entry in search box,Activer l'entrée du chemin du système de fichier dans la boîte de recherche,Eingabe des Dateisystempfades im Suchfeld erlauben,تمكين إدخال مسار ملفات النظام في مربع البحث
Enable key repeat,Activer la répétition de touche,Tastenwiederholung erlauben,تمكين تكرار المفتاح
Enable mouse-wheel scrolling in the window list,Activer le défilement de la roulette de la souris dans la liste de fenêtres,Mausradrollen in der Fensterliste aktivieren,تمكين تمرير عجلة الفأرة في قائمة النافذة
Enable networking,Activer le réseau,Netzwerk aktivieren,تمكين الشبكات
Enable notifications,Activer les notifications,Benachrichtigungen aktivieren,تمكين الإخطارات
Enable opening the menu when the mouse enters the applet,Permettre l’ouverture du menu quand la souris survole l’applet,"Öffnen des Menüs aktivieren, wenn sich die Maus auf das Applet bewegt",تمكين فتح القائمة عند إدخال الفأرة في البريمج
Enable the on-screen keyboard,Activer le clavier visuel,Bildschirmtastatur einschalten,تمكين لوحة المفاتيح على الشاشة
Enable this corner,Activer ce coin,Diese Ecke aktivieren,تمكين هذا الركن
Enable this option to require a password when the computer wakes up from suspend,Activer cette option pour demander un mot de passe lorsque l'ordinateur sort de veille,"Diese Option aktivieren, um ein Passwort zu verlangen, wenn der Rechner aus der Bereitschaft aufwacht",تمكين هذا الخيار لطلب كلمه مرور عند تنبيه الكمبيوتر من التعليق
"Enable this option to require a password when the screen turns itself off, or when the screensaver activates after a period of inactivity","Activez cette option afin d'exiger un mot de passe lorsque l'écran s'éteint, ou lorsque l'économiseur d'écran se déclenche après une période d'inactivité","Diese Option aktivieren, um ein Passwort zu verlangen, wenn der Bildschirm sich ausschaltet oder wenn sich der Bildschirmschoner nach einiger Zeit der Inaktivität einschaltet",تمكين هذا الخيار لطلب كلمة مرور عند إيقاف تشغيل الشاشة، أو عند تنشيط شاشة التوقف بعد فترة من عدم النشاط
Enable timer when logging out or shutting down,Activer le compteur à retardement lors de la fermeture,Zeitmesser beim Abmelden oder Herunterfahren aktivieren,تمكين المؤقت عند تسجيل الخروج أو إيقاف التشغيل
Enable vertical thumbnails,Afficher en colonne les miniatures,Senkrechte Vorschaubilder aktivieren,تفعيل المُصغرات العمودية
Enable visual alerts,Activer les alertes visuelles,Visuelle Alarmsignale aktivieren,تمكين التنبيهات المرئية
Enable workspace OSD,Activer l’affichage à l’écran de l’espace de travail,Arbeitsflächenname bei Wechsel einblenden,تمكين مساحة عمل العرض على الشاشة
Enable zoom,Activer le zoom,Vergrößerung aktivieren,تمكين التكبير
Enabled,Activé,Aktiviert,مُفعّل
Enter a command,Entrez une commande,Einen Befehl eingeben,أدخِل أمراً
Enter custom text to show in the panel.,Saisissez le texte personnalisé à afficher dans le panneau.,"Einen eigenen Text eingeben, der in der Leiste angezeigt werden soll.",إدخال نص مخصص للعرض في الشريط.
Error,Erreur,Fehler,خطأ
Ethernet,Ethernet,Ethernet,إيثرنت
Event feedback (required for typing assistance alerts),Réponse à l'événement (requis pour la saisie des alertes d'assistance),Ereignisrückmeldung (wird für Eingabeunterstützungalarme benötigt),ملاحظات الحدث (مطلوبة لكتابة تنبيهات المساعدة)
Execution of '%s' failed:,L'exécution de '%s' a échoué :,Ausführung von »%s« ist fehlgeschlagen:,فشل تنفيذ '%s':
Execution time (ms):,Temps d’exécution (ms) :,Laufzeit (ms):,وقت التنفيذ (م ث):
Expo,Expo,Arbeitsflächenübersicht,المعرض
Export to a file,Exporter dans un fichier,In eine Datei exportieren,تصدير إلى ملف
Extension %s is not compatible with your version of Cinnamon.,L'extension %s n'est pas compatible avec votre version de Cinnamon.,Erweiterung »%s« ist nicht mit Ihrer Cinnamon-Version kompatibel.,الملحق %s غير متوافق مع إصدار سينامُن الخاص بك.
Extensions,Extensions,Erweiterungen,الملحقات
Extra options,Options supplémentaires,Zusätzliche Optionen,خيارات إضافية
Fade,Fondu,Ausblenden,التلاشي
Fade delay,Délai d'effet de fondu,Ausblendverzögerung,تأخير التلاشي
Fade effect on Cinnamon scrollboxes (like the Menu application list),Effet de fondu sur les listes de défilement (ex: dans les menus d'applications),Abblendeffekt an den Cinnamon-Rollleisten (wie bei der Anwendungsliste im Menü),تأثير التلاشي في مربعات تمرير سينامُن (مثل قائمة تطبيق القائمة)
Failed to launch '%s',Échec du lancement de '%s',Starten von »%s« ist fehlgeschlagen,فشل تشغيل '%s'
Failed to unmount %s (%s),Échec de démontage de %s (%s),Aushängen von %s (%s) fehlgeschlagen,فشل فصله %s (%s)
Fair,Moyen,Ausreichend,متوسطة
Fast,Rapide,Schnell,سريع
Fast-forward,Avancer,Schnelles Vorspulen,تسريع للأمام
Faster,Plus rapide,Schneller,أسرع
Favorites,Favoris,Favoriten,المفضلة
Favorites icon size,Taille d’icône des favoris,Symbolgröße der Favoriten,حجم أيقونة المفضلة
File Manager,Gestionnaire de fichiers,Dateiverwaltung,مدير الملفات
File Path,Emplacement du fichier,Dateipfad,مسار الملف
File System,Système de fichiers,Dateisystem,ملفات النظام
File choosers,Sélecteurs de fichier,Dateiauswahldialoge,منتقي الملفات
Firewall,Pare-feu,Firewall,جدار الحماية
First Choice,Premier choix,Erste Auswahlmöglichkeit,الاختيار الاول
First day of week,Premier jour de la semaine,Erster Tag der Woche,أول يوم في الأسبوع
First suspend the machine and hibernate it after a certain amount of time.,D'abord mettre la machine en veille puis la passer en veille prolongée après un certain temps.,Zuerst die Maschine in Bereitschaft und nach einer gewissen Zeit in den Ruhezustand versetzen.,قم أولاً بتعليق الجهاز ووضعه في وضع السبات بعد فترة زمنية معينة.
Flash the active window,Faire clignoter la fenêtre active,Das aktive Fenster aufblitzen lassen,وميض النافذة النشطة
Flash the entire monitor,Faire clignoter tout l'écran,Den gesamten Bildschirm aufblitzen lassen,وميض جهاز العرض بأكمله
Folder,Dossier,Ordner,المجلد
Font,Police de caractères,Schrift,الخط
Font Selection,Choix de polices,Schriftauswahl,تحديد الخط
Font Settings,Paramètres des polices,Schrifteinstellungen,إعدادات الخط
Font size,Taille de police,Schriftgröße,حجم الخط
"For compatible players, show playback controls while media is playing","Pour les lecteurs compatibles, afficher les boutons de contrôle multimédia pendant la lecture",Wiedergabesteuerung für kompatible Medienspieler während der Medienwiedergabe anzeigen,بالنسبة للمشغلات المتوافقة، عرض عناصر التحكم في التشغيل أثناء تشغيل الوسائط
Force the panel to be visible when opening the menu,Forcer la visibilité du panneau à l’ouverture du menu,"Erzwingen, dass die Leiste beim Öffnen des Menüs sichtbar ist.",أجبر اللوحة على الظهور عند فتح القائمة
Format,Format,Format,التنسيق
Fourth Choice,Quatrième choix,Vierte Auswahlmöglichkeit,الاختيار الرابع
Front,Avant,Vorne,أمامي
Front Center,Avant centre,Vorne Mitte,أمامي وسط
Front Left,Avant gauche,Vorne links,أمامي يسار
Front Right,Avant droit,Vorne rechts,أمامي يمين
Full,Complète,Stark,كامل
Full Name,Nom complet,Vollständiger Name,الاسم الكامل
Full scale,Complet,Vollauflösung,تحجيم كامل
Full screen,Plein écran,Vollbild,ملء الشاشة
Fully charged,Complètement chargée,Vollständig geladen,مشحونة بالكامل
GB,Go,GB,جيغابايت
General,Général,Allgemein,عام
General Desklets Settings,Paramètres généraux des desklets,Allgemeine Desklet-Einstellungen,الإعدادات العامة للتطبيقات المكتبية
General Panel Options,Options générales des panneaux,Allgemeine Leistenoptionen,خيارات الشريط العامة
General Settings,Paramètres généraux,Allgemeine Einstellungen,إعدادات عامة
Generate a password,Générer un mot de passe,Ein Passwort erzeugen,إنشاء كلمة المرور
GiB,Go,GiB,جيبيبايت
Global hotkey for cycling through thumbnail menus,Raccourci global pour parcourir le menu des vignettes,Globales Tastaturkürzel für das Durchlaufen von Vorschaumenüs.,مفتاح الاختصار العام للتنقل عبر القوائم المصغرة
Global hotkey to show the order of apps,Raccourci global pour afficher l’ordre des applications,Globales Tastaturkürzel zur Anzeige der Reihenfolge der Anwendungen.,مفتاح الاختصار العام لإظهار ترتيب التطبيقات
Gnome,Gnome,GNOME,جنوم
Good,Bon,Gut,جيدة
Graphics Card,Carte graphique,Grafikkarte,بطاقة الرسومات
Graphics Tablet,Tablette graphique,Grafiktablett,لوح التصميمات
Grayscale,Niveaux de gris,Graustufen,تدرج الرمادي
Group Name,Nom du groupe,Gruppenname,اسم المجموعة
Group windows by application,Grouper les fenêtres par application,Fenster nach Anwendung gruppieren,تجميع النوافذ حسب التطبيق
Grouped window list,Liste groupée de fenêtres,Gruppierte Fensterliste,قائمة النوافذ المُجمعة
Groups,Groupes,Gruppen,المجموعات
HD DVD video disc,disque vidéo HD DVD,HD-DVD-Video,قرص فيديو HD DVD
Half of the screen,Une moitié de l'écran,Die Hälfte des Bildschirms,نصف الشاشة
Hard Drive,Disque dur,Festplatte,قرص صلب
Hard Drives,Disques durs,Festplatten,أقراص صلبة
Hardware,Matériel,Geräte,الأجهزة
Height,Hauteur,Höhe,الارتفاع
Here is a demonstration of bidirectional control,Voici un exemple de contrôle bidirectionnel,Dies ist eine Vorführung für wechselseitige Steuerung,هنا هو عرض توضيحي للتحكم ثنائي الاتجاه
Hi there!,Bonjour !,Hallo!,مرحبًا!
Hibernate,Hiberner,Ruhezustand,إسبات
Hide Text,Cacher le texte,Text ausblenden,إخفي النص
Hide delay,Délai avant disparition,Verzögerung verstecken,تأخير الإخفاء
Hide label,Cacher l’étiquette,Beschriftung ausblenden,إخفاء التسمية
Hide system tray icons for compatible players,Cacher les icônes de la zone de notification pour les lecteurs compatibles,Benachrichtigungsfeldsymbole für kompatible Medienspieler ausblenden,اخفي أيقونات صينية النظام للمشغلات المتوافقة
High Contrast,Fort contraste,Hoher Kontrast,تباين عالي
High contrast,Contraste élevé,Hoher Kontrast,التباين العالي
High contrast on or off,Activer ou désactiver le contraste élevé,Hohen Kontrast ein-/ausschalten,تشغيل أو إيقاف التباين العالي
Highlight the thumbnail of the last focused window,Surligner la vignette de la dernière fenêtre ciblée,Das Vorschaubild des zuletzt fokussierten Fensters hervorheben.,تمييز المُصغرة لآخر نافذة مركزة
Hinting,Optimisation,Hinting (Verbesserung der Lesbarkeit),تلميح
"Hinting allows for producing clear, legible text on screen.","L'optimisation permet de produire un texte clair, lisible sur l'écran.",Hinting ermöglicht auf dem Bildschirm einen klaren und gut lesbaren Text,تسمح تقنية التلميح بإنتاج نص واضح ومقروء على الشاشة.
Home,Dossier personnel,Persönlicher Ordner,الرئيسية
Home folder,Dossier personnel,Persönlicher Ordner,المجلد الرئيسي
Horizontal gradient,Dégradé horizontal,horizontaler Farbverlauf,التدرج الأفقي
Horizontal strip,Bande horizontale,Horizontaler Streifen,قطاع أفقي
Hot Corners,Coins intelligents,Aktive Ecken,الزوايا الساخنة
Hot Keys,Raccourcis,Tastenkürzel,مفاتيح الاختصار
Hour,Heure,Stunde,ساعة
Hover Peek,Prévisualistation en survol de souris,Darüberbewegenvorschau,نظرة خاطفة حول
Hover click,Clic de survol,Darüberbewegenklick,نقر التحويم
Hover delay,Délai de survol,Verzögerung beim Darüberbewegen,تأخير التحويم
Icon,Icône,Symbol,الأيقونة
Icon Name,Nom de l’icône,Symbolname,اسم اﻷيقونة
Icon size,Taille des icônes,Symbolgröße,حجم الأيقونة
Icons,Icônes,Symbole,الأيقونات
Icons and thumbnails,Icônes et vignettes,Symbole und Vorschaubilder,الأيقونات والمصغرات
Icons and window preview,Aperçu des fenêtres et des icônes,Symbole und Fenstervorschau,الأيقونات ومعاينة النافذة
Icons only,Icônes seules,Nur Symbole,الأيقونات فقط
Id number,Numéro ID,Kennung,رقم التعريف
"If available, show album art while media is playing","Si elles sont disponibles, afficher les pochettes d’album pendant la lecture","Falls verfügbar, Albumbild während der Medienwiedergabe anzeigen",إذا كان متاحاً، عرض الغلاف الفني للألبوم أثناء تشغيل الوسائط
