
%.2lf Hz,%.2lf Hz,%.2lf Hz,%.2lf هرتز
%d Mb/s,%d Mb/s,%d Mb/s,%d مب/ث
%d of %d,%d sur %d,%d von %d,%d من %d
"%s
Run '%s --help' to see a full list of available command line options.","%s
Set button mappings and adjust stylus sensitivity for graphics tablets,Associer les boutons et ajuster la sensibilité du stylet des tablettes graphiques,Knopfzuordnung einstellen und die Empfindlichkeit des Stiftes für Grafiktabletts einstellen,تعيين مخططات الأزرار وضبط حساسية القلم لأجهزة الرسومات اللوحية
Set for all users,Définir pour tous les utilisateurs,Für alle Benutzer festlegen,تعيين لكل المستخدمين
Set this profile for all users on this computer,Définir ce profil pour tous les utilisateurs de cet ordinateur,Dieses Profil für alle Benutzer dieses Rechners einrichten,تعيين ملف التعريف هذا لكافة المستخدمين على هذا الكمبيوتر
Shared Key,Clé partagée,Gemeinsamer Schlüssel,المفتاح المشترك
Shared connection service failed,Le service de connexion partagée a échoué,Dienst für gemeinsam verwendete Verbindung fehlgeschlagen,فشلت خدمة الاتصال المشتركة
Shared connection service failed to start,Le service de connexion partagée n'a pas réussi à démarrer,Dienst für gemeinsam verwendete Verbindung konnte nicht gestartet werden,فشل بدء تشغيل خدمة الاتصال المشتركة
Shared with other computers,Partagée avec les autres ordinateurs,Für anderen Rechner freigegeben,مشتركة مع أجهزة الكمبيوتر الأخرى
Show key,Afficher la clé,Schlüssel anzeigen,عرض المفتاح
Show password,Afficher le mot de passe,Passwort anzeigen,عرض كلمة المرور
Show Password,Afficher le mot de passe,Passwort anzeigen,عرض كلمةالمرور
Show help options,Afficher les options de l’aide,Hilfeoptionen anzeigen,عرض خيارات المساعدة
Show the layout name instead of the group name when using text to represent a layout,"En mode de représentation texte, afficher le nom de la disposition plutôt que le nom du groupe","Wenn Text verwendet wird den Belegungsnamen anstatt des Gruppennamens anzeigen, um eine Tastaturbelegung darzustellen",عرض اسم التخطيط بدلاً من اسم المجموعة عند استخدام النص لتمثيل تخطيط
Show the overview,Afficher l'aperçu,Übersicht anzeigen,عرض النظرة العامة
Signal Strength,Force du signal,Signalstärke,قوة الإشارة
Socks proxy port,Port du serveur mandataire Socks,SOCKS-Proxy-Port,منفذ وكيل Socks
Soft,Doux,Weich,ناعم
Spain,Espagne,Spanien,إسبانيا
Spanish,Espagnol,Spanisch,الأسبانية
Status unknown,État inconnu,Status unbekannt,الحالة غير معروفة
Status unknown (missing),État inconnu (absent),Status unbekannt (fehlt),الحالة غير معروفة (مفقودة)
Stop hotspot and disconnect any users?,Interrompre le point d'accès et déconnecter tous les utilisateurs ?,Den drahtlosen Zugangspunkt anhalten und Verbundene trennen?,إيقاف النقطة الساخنة وفصل أي مستخدم؟
Stylus,Stylet,Stylus,القلم
Supported ICC profiles,Profils ICC pris en charge,Unterstützte ICC-Profile,ملفات تعريف ICC المدعومة
Switch off to connect to a Wi-Fi network,Éteindre pour se connecter à un réseau Wi-Fi,"Ausschalten, um mit einem WLAN-Netzwerk zu verbinden",التبديل إلى الإتصال بشبكه Wi-Fi
Switching on the wireless hotspot will disconnect you from %s.,Passer au point d’accès sans fil vous déconnectera de %s.,Einschalten des drahtlosen Zugangspunktes führt zur Trennung von %s.,يؤدي التبديل على نقطة الاتصال اللاسلكي الساخنة إلى قطع اتصالك عن %s.
System policy prohibits use as a Hotspot,Les règles du système interdisent son utilisation comme point d'accès,Die Systemrichtlinie verbietet die Verwendung als drahtlosen Zugangspunkt,نهج النظام يحظر الاستخدام كنقطه ساخنه
Tablet (absolute),Tablette (absolu),Tablett (absolut),جهاز لوحي (مطلق)
Test profile:,Profil test :,Testprofil:,اختبار ملف التعريف:
This device does not have a profile suitable for whole-screen color correction.,Ce périphérique ne possède pas de profil approprié pour la correction des couleurs de l'écran complet.,Das Profil des Gerätes ist für eine auf den gesamten Bildschirm bezogene Farbkorrektur ungeeignet.,لا يحتوي هذا الجهاز على ملف تعريف مناسب لتصحيح الألوان على كامل الشاشة.
This device has an old profile that may no longer be accurate.,Ce périphérique possède un ancien profil qui n'est peut-être plus adapté.,Das Gerät verwendet ein altes Profil und ist möglicherweise nicht mehr ausreichend genau.,يحتوي هذا الجهاز على ملف تعريف قديم قد لا يكون دقيقاً بعد الآن.
This device is not color managed.,Ce périphérique n'est pas pris en charge au niveau des couleurs.,Das Gerät steht nicht unter Farbverwaltung.,هذا الجهاز لم يتم إدارته بالألوان.
This device is using manufacturing calibrated data.,Ce périphérique utilise des données calibrées en usine.,Das Gerät verwendet herstellerseitig kalibrierte Daten.,هذا الجهاز يستخدم بيانات التصنيع المعايرة.
This is not recommended for untrusted public networks.,Cela n'est pas recommandé pour des réseaux publics non sûrs.,Das wird für unsichere öffentliche Netzwerke nicht empfohlen.,لا يوصى بذلك للشبكات العامة غير الموثوق بها.
This will remove all existing display configurations and reset the current layout.,Toutes les configurations d'écran existantes seront effacées et la disposition actuelle sera réinitialisée.,Dadurch werden alle bestehenden Bildschirmkonfigurationen entfernt und die aktuelle Anordnung zurückgesetzt.,هذا الخيار سيُزيل جميع إعدادات العرض الموجودة وسيُعيد تعيين المخطط الحالي.
Tip Pressure Feel,Pression ressentie sur la pointe,Druckempfindlichkeit der Stiftspitze,تلميح الشعور بالضغط
Today,Aujourd'hui,Heute,اليوم
Top Button,Bouton supérieur,Oberer Knopf,الزر الأعلى
Touchpad (relative),Pavé tactile (relatif),Touchpad (relativ),لوحة اللمس (نسبي)
Tracking Mode,Mode de suivi,Mausverfolgungsmodus,وضع التتبع
Turn VPN connection off,Fermer la connexion VPN,VPN-Verbindung abschalten,إيقاف تشغيل إتصال VPN
Turn Wi-Fi off,Éteindre le Wi-Fi,WLAN abschalten,إيقاف تشغيل Wi-Fi
Turn device off,Éteindre le périphérique,Gerät abschalten,إيقاف تشغيل الجهاز
Twisted Pair (TP),Paire torsadée (PT),Twisted Pair (TP),الاقتران الملتوي (TP)
Unable to open connection editor,Impossible d'ouvrir l'éditeur de connexions,Verbindungsbearbeitung kann nicht geöffnet werden,تعذّر فتح محرر الاتصالات
Unavailable,Non disponible,Nicht verfügbar,غير متوفره
Uncalibrated,Non calibré,Nicht kalibriert,لم تتم المعايرة
United States,États Unis d'Amérique,Vereinigte Staaten von Amerika,الولايات المتحدة
Unknown,Inconnu,Unbekannt,غير معروف
Unmanaged,Non géré,Nicht verwaltet,لم تتم إدارتها
Unspecified,Indéterminé,Nicht angegeben,غير محدد
"Use a country flag, if available,  to represent keyboard layouts","Utiliser un drapeau de pays, si disponible, pour représenter les dispositions de clavier","Bei Verfügbarkeit eine Landesfahne verwenden, um Tastaturbelegungen darzustellen",استخدم علامة البلد، إذا كانت متوفرة، لتمثيل تخطيطات لوحة المفاتيح
Use the same layout for all windows,Utiliser la même disposition pour toutes les fenêtres,Die gleiche Tastaturbelegung für alle Fenster verwenden,استخدم نفس التخطيط لجميع النوافذ
Use this connection only for resources on its network,N'utiliser cette connexion que pour les ressources sur ce réseau,Diese Verbindung nur für Quellen im eigenen Netzwerk verwenden,استخدم هذا الإتصال فقط للموارد الموجودة على شبكته
Username,Nom d'utilisateur,Benutzername,إسم المستخدم
VPN,VPN,VPN,‏VPN
VPN Type,Type de VPN,VPN-Verbindungstyp,نوع Type
Version 0,Version 0,Version 0,الإصدار 0
Version 1,Version 1,Version 1,الإصدار 1
View and edit keyboard layout options,Visualiser et modifier les options de disposition du clavier,Einstellungen zur Tastaturbelegung anzeigen und bearbeiten,عرض وتعديل خيارات تخطيط لوحة المفاتيح
View details,Afficher les détails,Details anzeigen,عرض التفاصيل
WEP,WEP,WEP,WEP
WEP index,Index WEP,WEP-Index,مؤشر WEP
WPA,WPA,WPA,WPA
WPA  WPA2 Personal,WPA  WPA2 personnel,WPA-  WPA2-Personal,‏WPA و WPA2 شخصي
WPA2,WPA2,WPA2,WPA2
Weak,Faible,Schwach,ضعيفة
Web Proxy Autodiscovery is used when a Configuration URL is not provided.,« Web Proxy Autodiscovery » est utilisé lorsqu'aucun URL de configuration n'est fourni.,"Automatische Erkennung des Vermittlungsservers (Proxy) wird verwendet, wenn keine Konfigurationsadresse angegeben wird.",يتم استخدام الاكتشاف التلقائي لوكيل ويب عندما لا يتم توفير عنوان الموقع الخاص بالتهيئة.
Webcam,Webcam,Netzkamera,كاميرا الويب
Wi-Fi,Wi-Fi,WLAN,Wi-Fi
Wi-Fi Hotspot,Point d'accès Wi-Fi,WLAN-Zugangspunkt,نقطة Wi-Fi الساخنة
Wired,Filaire,Kabelgebunden,سلكي
Wireless device does not support Hotspot mode,Le périphérique sans fil ne prend pas en charge le mode « point d'accès »,Das drahtlose Gerät unterstützt keinen drahtlosen Zugangspunktmodus,لا يدعم الجهاز اللاسلكي وضع النقطة الساخنة
Yesterday,Hier,Gestern,الأمس
Add,Ajouter,Hinzufügen,أضف
Add Profile…,Ajouter un profil…,Profil hinzufügen …,إضافة ملف تعريف...
Addresses,Adresses,Adressen,العناوين
All Settings,Tous les paramètres,Alle Einstellungen,جميع الإعدادات
Apply,Appliquer,Anwenden,تطبيق
BSSID,BSSID,BSSID,BSSID
Cancel,Annuler,Abbrechen,إلغاء
Cloned Address,Adresse clonée,Geklonte Adresse,العنوان المستنسخ
Cloned MAC Address,Adresse MAC clonée,Geklonte MAC-Adresse, عنوان MAC المستنسخ
Close,Fermer,Schließen,إغلاق
Configuration URL,URL de configuration,Konfigurationsadresse,تكوين URL
Connect to Hidden Network…,Connexion à un réseau masqué…,Mit verborgenem Funknetzwerk verbinden …,الإتصال بالشبكة المخفية...
FTP Proxy,Serveur mandataire FTP,FTP-Proxy,وكيل FTP
Forget,Oublier,Vergessen,نسيان
HTTP Proxy,Serveur mandataire HTTP,HTTP-Proxy,وكيل HTTP
History,Historique,Verlauf,المحفوظات
Ignore Hosts,Ignorer les hôtes,Rechner ignorieren,تجاهل المضيفين
Ignore automatically obtained routes,Ignorer les routes obtenues automatiquement,Automatisch erhaltene Routen ignorieren,تجاهل التوجيهات التي تم الحصول عليها تلقائيا
Import,Importer,Importieren,استيراد
Inner authentication,Authentification interne,Innere Legitimierung,المصادقة الداخلية
Key,Clé,Schlüssel,المفتاح
MAC Address,Adresse MAC,MAC-Adresse,عنوان MAC
Method,Méthode,Methode,الأسلوب
Name,Nom,Name,الإسم
Open,Ouvrir,Öffnen,إفتح
Options...,Options…,Optionen …,خيارات...
Password,Mot de passe,Passwort,كلمة المرور
Private key password,Mot de passe de la clé privée,Passwort für privaten Schlüssel,كلمة مرور المفتاح الخاص
Replace,Remplacer,Ersetzen,إستبدِل
Reset,Réinitialiser,Zurückstellen,إعادة تعيين
SSID,SSID,SSID,SSID
Save,Enregistrer,Speichern,إحفظ
Select,Sélectionner,Auswählen,تحديد
Socks Host,Hôte Socks,SOCKS-Rechner,مضيف Socks
Stop Hotspot,Interrompre le point d'accès,Zugangspunkt beenden,إيقاف النقطة الساخنة
Turn On,Allumer,Einschalten,تشغيل
Type,Type,Typ,النوع
Use as Hotspot…,Utiliser comme point d'accès…,Als drahtlosen Zugangspunkt verwenden …,استخدم كنقطة ساخنة...
User certificate,Certificat utilisateur,Benutzerzertifikat,شهادة المستخدم
Username,Nom d'utilisateur,Benutzername,إسم المستخدم
automatic,automatique,automatisch,تلقائي
bytes,octets,Bytes,بايت
details,détails,Details,التفاصيل
hardware,matériel,Geräte,الأجهزة
identity,identité,Kennung,الهوية
ipv4,ipv4,ipv4,ipv4
ipv6,ipv6,ipv6,ipv6
never,jamais,nie,كلا
no file selected,aucun fichier sélectionné,keine Datei ausgewählt,لم يتم تحديد أي ملف
page 1,page 1,Seite 1,صفحة 1
page 2,page 2,Seite 2,صفحة 2
reset,réinitialiser,Zurückstellen,إعادة تعيين
today,aujourd'hui,heute,اليوم
yesterday,hier,gestern,أمس
