English Term,Arabic Term,Description
"Petition for Reconsideration","التماس لإعادة النظر","يُقصد به التماس مقدم من أحد الأطراف ويطلب من الهيئة عكس أو تعديل أو إعادة النظر في قرار سابق."
"Cross Connect","التوصيل المتقاطع (Connect Cross)","يعني أي جهاز أو وسط يخضع لسيطرة حصرية من قبل المرخص له ويستخدم، أو يُقصد استخدامه، داخل غرفة معدات المرخص له لتمكين اتصال نشط بين الكابلات الداخلية في مركز البيانات والبنية التحتية في غرفة معدات المرخص له، وبالتالي توصيل معدات تعاملي مركز البيانات بشبكة الاتصالات العامة."
"Coordinated Universal Time","التوقيت العالمي","يقصد به المعيار الزمني الذي حددته توصية قطاع الراديو التابع للاتحاد الدولي للاتصالات ITU-R TF.460."
"Audience","الجمهور","يقصد به أي شخص بما في ذلك المشترك الذي يستقبل خدمات البث الإذاعية الساتلية بدون بثها إلى شخص آخر."
"Government Entities","الجهات الحكومية","الوزارات الاتحادية والدوائر المحلية والسلطات والهيئات والمؤسسات العامة التابعة لها بما في ذلك القوات المسلحة والشرطة وأجهزة أمن الدولة، ويستثنى من ذلك أية شركة أو مؤسسة تجارية ولو كانت مملوكة من قبل هذه الجهات أو تملك مصالح فيها"
"Monitoring entities","الجهات الرقابية","هي الجهات الحكومية التي يمك للهيئة التعاون معها لتفعيل الدور الرقابي على منافذ بيع شرائح الهاتف المتحرك."
"Short Range Device (s)","الجهاز قصير المدى","يقصد به الأجهزة الثابتة والمحمولة والمتنقلة للعديد من تطبيقات الراديو التي تعمل بالشروط التقنية المحددة في المادة 4 في لوائح النطاق العريض والأجهزة قصيرة المدى."
"First Generation","الجيل الأول (شبكات اتصال)","الجيل الأول من تكنولوجيا الاتصالات اللاسلكية. هي معايير الاتصالات التناظرية التي تم تقديمها في الثمانينيات واستمرت حتى تم استبدالها بشبكة اتصالات الرقمية للجيل الثاني. معلومات إضافية: تشير 1G إلى الجيل الأول من التكنولوجيا الخلوية اللاسلكية ( الاتصالات المتنقلة ). هذه هي معايير الاتصالات التناظرية التي تم تقديمها في الثمانينيات واستمرت حتى تم استبدالها بشبكة اتصالات رقمية 2G . الفرق الرئيسي بين النظامين الخلويين المتنقلين (1G و 2G)، هو أن الإشارات الراديوية المستخدمة من قبل شبكات 1G هي تناظرية، في حين أن شبكات 2G رقمية."
"Second Generation","الجيل الثاني (شبكات اتصال)","الجيل الثاني من تكنولوجيا الاتصالات اللاسلكية. تم إطلاق الجيل الثاني من شبكات الاتصالات الخلوية تجاريًا وفقًا لمعيار النظام العالمي للاتصالات المتنقلة (GSM). معلومات إضافية: الجيل الثاني لشبكات الخليوي اختصاراً 2G من الاتصالات الجوالة أسس على النظام الرقمي عوض النظام التماثلي.ما أكسبه محاسن الأنظمة الرقمية من تحسن جودة الاتصال ونقاوة الصوت، حيث ان النظام الرقمي يقلص أثر الشوشرة على الاتصال وعلى هذا تقل الأخطاء.كما أتاح للمرة الأولى نقل البيانات والذي تجسد في الخدمة ذائعة الصيت التي يستخدمها 2.4 مليار حول العالم وهي خدمة الرسائل القصيرة التي لم تتوفر في الجيل الأول والجيل صفر.ومما أضافه الجيل الثاني كذلك فرصة تعمية الاتصال بين المتصل وبرج المحطة (بالإنجليزية: BTS)‏ عبر الأثير (بالإنجليزية: Air interface)‏.وسنحت كذلك للمرة الأولى فرصة التجوال الدولي بسبب توحيد المقاييس بين مختلف الدول. والمعيار المهيمن على اتصالات الجيل الثاني هو النظام العالمي للاتصالات الجوالة (بالإنجليزية: GSM)‏."
"Fifth Generation","الجيل الخامس (شبكات اتصال)","الجيل الخامس من تكنولوجيا الاتصالات اللاسلكية. يتيح الجيل الخامس نوعاً جديداً من الشبكات المصممة لتوصيل كل شيء معاً بما في ذلك الآلات والأشياء والأجهزة. تهدف تقنية الجيل الخامس اللاسلكية إلى توفير سرعات بيانات أعلى تصل إلى عدة جيجابت في الثانية، وزمن نقل منخفض للغاية، وموثوقية أكبر، وسعة شبكة ضخمة، وتوافر متزايد، وتجربة مستخدم أكثر اتساقاً لمزيد من المستخدمين. معلومات إضافية: شبكة الجيل الخامس والتي تُختصر بـ 5G، وهي معيار تكنولوجيا الجيل الخامس للشبكات الخلوية ذات النطاق العريض في مجال الاتصالات، والتي بدأت شركات الهاتف الخلوي في نشرها في جميع أنحاء العالم في عام 2019، وهي الخلف المخطط له لشبكات الجيل الرابع التي توفر الاتصال بمعظم الهواتف المحمولة الحالية."
"Hard Cap","الحد الأقصى للاستخدام","حد ثابت أو سقف مفروض من قبل المرخص لھم على بیانات الأجھزة المحمولة 1 بحیث لا یمكن للمستھلك بعد تجاوزه مواصلة استھلاك البیانات دون القیام بإجراءات محددة كما ھو مبین في ھذه الأنظمة."
"PAYG Hard Cap","الحد الأقصى للاستخدام الخاص بالبیانات بنظام الدفع حسب الاستخدام","حد ثابت أو سقف مفروض من قبل المرخص لھم على الرسوم التي یتكبدھا المشتركون من خلال استھلاك البیانات بنظام الدفع حسب الاستخدام في أي یوم كما ھو موضح في المادة 10 من أنظمة حماية المستهلك."
"Single Side Band","الحزمة أحادية الجانب","يقصد بها تعديل السعة عندما يتم وقف الحزمة أحادية الجانب للإشارة المعدلة من أجل استخدام أكثر كفاءة لعرض النطاق الترددي."
"Regulatory Accounts (Regulatory Financial Statements)","الحسابات التنظيمية \ البيانات المالية التنظيمية أو (RFS)","يقصد بها الحسابات التي يقوم بإعدادها المرخص له التابع للهيئة وفقاً للاداة التنظيمية ذات العلاقة."
"Statutory Accounts / Statutory Financial Statements","الحسابات القانونية /البيانات المالية القانونية","يقصد بها البيانات المالية التي يحضرها المرخص له التابع للهيئة والتي يتم نشرها و/أو تقديمها لهيئة معترف بها في الدولة (مثال: هيئة أبوظبي للأوراق المالية والسلع). ولتفادي الشك عند إلزام المرخص له التابع للهيئة بإعداد وتقديم مثل هذه البيانات في أكثر من دولة واحدة، إذ تكون الإمارات العربية المتحدة واحدة منها، يتعين أن يتم إعداد وتقديم البيانات المالية القانونية لأغراض هذه التعليمات وفقاً للالتزامات القانونية لدى الدولة."
"Electro Magnetic Field","الحقل الكهرومغناطيسي","هو حقل القوة المرتبط بالشحنة الكهربائية المتحركة، والمؤلفة من مكونات كهربائية و مغناطيسية وتشتمل على قدر محدد من الطاقة الكهرومغناطيسية"
"Ruling","الحكم","قرار رسمي وملزم اتخذته وأصدرته الهيئة بشأن أي مسألة تدخل في نطاق القرار التوجيهي ذي العلاقة وأي مسألة محالة إلى الهيئة للنظر فيها."
"Government","الحكومة","حكومة دولة الإمارات العربية المتحدة."
"Services","الخدمات","يقصد بها تلك الخدمات المجازة بموجب أحكام الرخصة."
"Broadcasting-satellite service","الخدمات الإذاعية الساتلية","هي خدمة اتصالات راديوية تكون فيها الإشارات التي ترسلها أو تعيد إرسالها المحطات الفضائية معدة ليستقبلها عموم الجمهور مباشرة."
"Ancillary Services","الخدمات الإضافية","يقصد بها الخدمات المرافقة والتابعة لتقديم خدمات الاتصالات بما في ذلك على سبيل المثال لا الحصر : خدمات واستفسارات الدليل والطلبات من خدمات الدليل وقاعدة البيانات لخدمات الدليل وخدمات المقاسم."
"Machine to Machine Service","الخدمات التي يتم نقلها من جهاز لآخر (M2M)","تعني الخدمات التي يتم توفيرها من خلال الإرسال المؤتمت للبيانات من جهاز لآخر أو من جهاز لشخص باستخدام أية قناة اتصالات مثل الاتصالات السلكية واللاسلكية والتي يمكن نقلها دون تدخل بشري."
"Mission Critical service","الخدمات الحرجة","تعني أية خدمة من خدمات إنترنت الأشياء يمكن أن تتسبب حال فشلها بإضفاء تأثير سلبي على صحة الأفراد و/ أو على راحة/ سلامة العامة و/ أو على الأمن القومي."
"Alternative Voice Services","الخدمات الصوتية البديلة","أي خدمة اتصالات تتيح للمستخدمين إجراء اتصالات صوتية في الوقت الفعلي، بخلاف خدمات الـاتصال الصوتي عبر بروتوكول الإنترنت"
"Space Services","الخدمات الفضائية","يقصد بها توفير الخدمات الراديوية باستخدام القمر الصناعي."
"Toll Free Services","الخدمات المجانية","الخدمات التي تتحمل فيها الجهة المقدمة لهذه الخدمة (أي الطرف المستقبل للمكالمات) تكلفة المشغل المنفذ للمكالمة وتكون مجانية على العميل المتصل."
"PMSE","الخدمات المساندة في الإنتاج الإذاعي والفعاليات الخاصة","يقصد به استخدام الطيف الترددي للمعدات والأجهزة اللاسلكية التي تدعم إنتاج المحتوى المتعلق بالخدمات الإذاعية وتغطية الأحداث والفعاليات الخاصة."
"Postpaid Services","الخدمات لاحقة الدفع","خدمة اتصالات حيث يقوم المرخص له المعني بتحصيل الرسوم بعد الاستخدام الفعلي لخدمة الاتصالات تلك."
"Prepaid Services","الخدمات مسبقة الدفع","خدمة اتصالات حيث يسمح المرخص له ذي الصلة للمستخدمين بالدفع مقابل الخدمة مقدماً قبل الاستخدام الفعلي لخدمة الاتصالات تلك."
"Broadcasting service","الخدمة الاذاعية","هي خدمة اتصالات راديوية تكون إرسالها معدة ليستقبلها عموم الجمهور مباشرة. ويمكن أن تشمل هذه الخدمة إرسالات صوتية أو تلفزيونية أو أنواع أخرى من الإرسال."
"Additional Service","الخدمة الإضافية","أي خدمة اختيارية من غیر خدمات الاتصالات یقدمھا الشریك أو المرخص له بما في ذلك على سبیل المثال لا الحصر: الألعاب والمحتوى والتطبيقات ونغمات الرنین ومنتجات الطرف الثالث وخدمات الطرف الثالث وما إلى ذلك، حیث یتم تحصیل رسوم ھذه الخدمة (الخدمات) الإضافية من قبل المرخص له المعني عن طریق حساب المشترك"
"Fixed Service","الخدمة الثابتة","يقصد بها خدمة اتصالات راديوية بين نقاط ثابتة معينة"
"Fixed Satellite Service","الخدمة الثابتة الساتلية","يقصد بها خدمة الاتصالات الراديوية بين المحطات الأرضية في مواقع معينة، وذلك عند استخدام واحد أو أكثر من الأقمار الصناعية. ويمكن أن يكون الموقع المعطى نقطةً ثابتةً محددة أو أية نقطة ثابتة ضمن مناطق محددة."
"Universal Service","الخدمة الشمولية","توفير حد أدنى محدد من خدمات الاتصالات لجميع المستهلكين بأسعار معقولة."
"Mobile Service","الخدمة المتنقلة","هي خدمة اتصالات راديوية بين محطات متنقلة ومحطات برية، أو ما بين محطات متنقلة."
"Maritime Mobile Service","الخدمة المتنقلة البحرية","يقصد بها خدمة الاتصالات الراديوية المتنقلة بين محطات ساحلية ومحطات سفن، أو ما بين محطات سفن، أو ما بين محطات اتصالات متصاحبة (associated) على المتن، ويمكن أن تشارك في هذه الخدمة أيضا محطات مركبات الإنقاذ ومحطات المنارات الراديوية لتحديد مواقع الطوارئ"
"Maritime Mobile-Satellite Service","الخدمة المتنقلة البحرية عبر الأقمار الصناعية","يقصد بها خدمة الاتصالات الراديوية المتنقلة عبر الأقمار الصناعية حيث تتواجد المحطات الأرضية المتنقلة على متن السفن."
"Land mobile service","الخدمة المتنقلة البرية","هي خدمة متنقلة بين المحطات القاعدة ومحطات متنقلة برية، أو ما بين محطات متنقلة برية."
"Land mobile-satellite service","الخدمة المتنقلة البرية الساتلية","هي خدمة متنقلة ساتلية تكون فيها المحطات الأرضية المتنقلة واقعة في البر."
"Mobile-Satellite Service","الخدمة المتنقلة الساتلية","يقصد بها خدمة اتصالات راديوية بين المحطات الأرضية المتنقلة وواحدة أو أكثر من المحطات الفضائية، أو بين المحطات الفضائية التي تستخدمها هذه الخدمة، أو بين المحطات الأرضية المتنقلة عن طريق واحدة أو أكثر من المحطات الفضائية."
"Mobile Satellite Service","الخدمة المتنقلة الساتلية","يقصد بها خدمة اتصالات راديوية ما بين المحطات الأرضية المتنقلة وواحدة أو أكثر من المحطات الفضائية، أو بين المحطات الفضائية التي تستخدمها هذه الخدمة؛ أو بين المحطات الأرضية المتنقلة عبر واحدة أو أكثر من المحطات الفضائية."
"Aeronautical Mobile Satellite Service","الخدمة المتنقلة الساتلية للطيران","يقصد بها خدمة متنقلة ساتلية تكون فيها المحطات الأرضية المتنقلة موجودة على متن الطائرة."
"Aeronautical Mobile-Satellite (OR) service","الخدمة المتنقلة الساتلية للطيران (OR)","هي خدمة متنقلة ساتلية للطيران، معدة للاتصالات بما فيها الاتصالات المتعلقة بتنسيق الرحلات الجوية، وفي المقام الأول خارج الطرق الوطنية أو الدولية للطيران المدني."
"Aeronautical Mobile-Satellite (R) service","الخدمة المتنقلة الساتلية للطيران (R)","هي خدمة متنقلة ساتلية للطيران، محجوزة للاتصالات المتعلقة بسلامة الرحلات الجوية وانتظامها، وفي المقام الأول على طول الطرق الوطنية أو الدولية للطيران المدني."
"Aeronautical Mobile Service","الخدمة المتنقلة للطيران","يقصد بها خدمة متنقلة بين محطات للطيران ومحطات طائرات، أو ما بين محطات طائرات، ويمكن أن تشارك فيها أيضاً محطات مركبات الإنقاذ؛ ويمكن أن تشارك في هذه الخدمة أيضا محطات المنارات الراديوية لتحديد مواقع الطوارئ على ترددات الاستغاثة والطوارئ المعينة."
"Aeronautical Mobile (OR) Service","الخدمة المتنقلة للطيران (OR)","يقصد بها خدمة متنقلة للطيران معدة للاتصالات، بما فيها الاتصالات المتعلقة بتنسيق الرحلات الجوية، وفي المقام الأول خارج الطرق الوطنية أو الدولية للطيران المدني."
"Aeronautical Mobile (R) Service","الخدمة المتنقلة للطيران (R)","يقصد بها خدمة متنقلة للطيران محجوزة للاتصالات المتعلقة بسلامة الرحلات الجوية وانتظامها، وفي المقام الأول على طول الطرق الوطنية أو الدولية للطيران المدني."
"National Numbering Plan","الخطة الوطنية للارقام","خطة أرقام الهواتف بدولة الإمارات العربية المتحدة والتي تصدرها الهيئة وفقا لتوصية قطاع تقييس الاتصالات رقم 164.E من الاتحاد الدولي للاتصالات."
"National Frequency Plan","الخطة الوطنية للترددات","يقصد بها خطة توزيع الطيف الترددي المعتمدة في دولة الإمارات العربية المتحدة."
"Plans","الخطط","أداة تنظيمية تقوم الهيئة من خلالها بوضع ارشادات استراتيجية أو إجراءات التشغيل القياسية فيما يتعلق بإدارة قطاع الاتصالات. الخطة ممكن أن يتم من خلالها تخصيص وتوزيع الموارد الوطنية المحدودة (على سبيل المثال الطيف الترددي من خلال الخطة الوطنية للترددات أو الترقيم من خلال الخطة الوطنية للأرقام) أو إدارة قطاع الاتصالات في حالات الطوارئ أو الأزمات (على سبيل المثال الخطة الوطنية لإدارة طوارئ قطاع الاتصالات)."
"Label","الدالة","تعني سلسلة من الأحرف الطباعية وتتكون من حرف هجائي واحد أو أكثر وأرقام أو شرطات (""-"")؛"
"Circuit Switched Fall Back","الدائرة الكهربائية الاحتياطية (CSFB)","التكنولوجيا التي يتم من خلالها توصيل خدمات الصوت والرسائل النصية القصيرة إلى أجهزة الجيل الرابع (LTE) من خلال استخدام شبكة تبديل الدارات الجيل الثاني/الجيل الثالث. هناك حاجة إلى الدائرة الاحتياطية لأن الجيل الرابع هي شبكة بروتوكول الإنترنت القائمة على الرزم ولا يمكنها دعم المكالمات بتبديل الدائرات."
"State","الدولة","يعني دولة الإمارات العربية المتحدة."
"Primary Radar","الرادار الأولي","يقصد به نظام استدلال راديوي قائم على المقارنة بين إشارات مرجعية وإشارات راديوية منعكسة عن الموضع المراد تحديده."
"Secondary Radar","الرادار الثانوي","يقصد به نظام استدلال راديوي قائم على المقارنة بين إشارات مرجعية وإشارات راديوية معاد إرسالها من الموضع المراد تحديده."
"Secondary Surveillance Radar","الرادار الثانوي المستعمل للمراقبة","يقصد به نظام رادار مستخدم في مراقبة الحركة الجوية (ATC)، ولا يعمل فقط على اكتشاف وقياس موقع الطائرة أي النطاق والاتجاه بل يطلب أيضاً معلومات إضافية من الطائرة نفسها مثل هويتها وارتفاعها. هذه الخدمة موضحة في المجلد 4 من الملحق 10 الصادر عن منظمة الطيران المدني الدولي (الإيكاو)."
"Private Mobile Radio","الراديو المتنقل الخاص","يقصد بها أنظمة الاتصالات الراديوية للاستخدام الأرضي، وتتألف من شبكة من أجهزة الراديو التي قد تحتوي على واحدة أو أكثر من محطات القاعدة، ومعيدات البث، والراديو المثبّت على مركبة، والأجهزة المحمولة بما في ذلك أجهزة التخاطب اللاسلكية. وتعتبر محطة القاعدة ومعيدات البث أجهزة ثابتة، بينما يعتبر كلٌّ من الراديو المثبّت على مركبة والأجهزة المحمولة أجهزة متنقلة."
"Private Mobile Radio","الراديو المتنقل الخاص","هي أنظمة اتصالات لاسلكية للاستخدام الأرضي. وهي تتكون من شبكة من أجهزة الراديو، والتي قد تحتوي على محطة قاعدية واحدة أو أكثر، وأجهزة إعادة إرسال، وراديو محمول على السيارة وجهاز محمول باليد بما في ذلك جهاز اتصال لاسلكي. يتم إصلاح المحطة الأساسية وأجهزة إعادة الإرسال بينما يكون الراديو المثبت على السيارة والمحمول باليد متحركين."
"PMR over WLAN","الراديو المتنقل الخاص عبر الشبكة المحلية اللاسلكية (PMR over WLAN)","يعني الراديو المتنقل الأرضي (مثل أجهزة التخاطب اللاسلكية) ومحطات القاعدة (نقاط الوصول) العاملة في مدى التردد 2.4 جيجا هرتز و5 جيجا هرتز وذلك استناداً إلى معيار الراديو IEEE 802.11 a/b/g/n وبخصائص تقنية على النحو المحدد في لائحة الهيئة التنظيمية الخاصة بنطاق الترددات الواسع جداً والأجهزة قصيرة المدى لنطاقات الترددات المعمول بها."
"Interconnection","الربط","ربط شبكات الاتصال بأي وسيلة كانت لتمكين مستخدمي جهة معينة من الاتصال مع مستخدمي ذات الجهة أو أية جهة أخرى أو تمكينهم من الاستفادة من خدمات الاتصالات التي تقوم بتقديمها جهة أخرى."
"Respond To","الرد على","إعطاء المرخص له تاريخاً تقديرياً تتوقع الهيئة بموجبه الانتهاء من معالجة طلب ضبط الأسعار."
"Short Message Service","الرسائل النصية (SMS)","يقصد بها خدمة الرسائل النصية القصيرة التي يوفرها المرخص لهم كخدمة من خدمات الهاتف المتحرك ويتم استخدامها لإرسال واستقبال الرسائل النصية القصيرة إلى ومن الأجهزة المهيأة لذلك."
"Marketing Text Messages","الرسائل النصية التسويقية","هي نوع من الرسائل النصية للهاتف المتحرك وترسل لأي من الأغراض الآتية: 1. توفير السلع أو الخدمات أو الفرص التجارية. 2. الإعلان عن السلع أو الخدمات أو الفرص التجارية. 3. أي غرض آخر تحدده الهيئة."
"SMS Spam","الرسائل النصية التسويقية الاقتحامية","تعني الرسائل النصية التسويقية المرسلة إلى المتلقي دون الحصول على موافقته."
"Licensee’s Own Marketing Text Messages","الرسائل النصية التسويقية الخاصة بالمرخص له","هي الرسائل النصية التسويقية المرسلة من قبل مرخص له إلى مشترك الهاتف المتحرك لغرض الخدمات التسويقية المقدمة من قبل ذلك المرخص له أو أية شركة منتسبة له."
"Mobile Text Messages","الرسائل النصية للهاتف المتحرك","شكل من أشكال الاتصالات الإلكترونية وهي رسائل يتم نقلها بين جهاز الهاتف المتحرك وشبكة الاتصالات العامة بما في ذلك على سبيل المثال لا الحصر الرسائل المرسلة باستخدام خدمة الرسائل النصية القصيرة أو خدمة الرسائل متعددة الوسائط."
"FNP Regulatory Fees","الرسوم التنظيمية لنقل رقم الهاتف الثابت","الرسوم والتكاليف الأخرى التي يفرضها قانون التجارة والتنمية الإدارية من وقت لآخر على المرخص لهم (وإذا كان ذلك مناسباً، على أي مرخص لهم جدد، أو على أي منهم)."
"MNP Regulatory Fees","الرسوم التنظيمية لنقل رقم الهاتف المتحرك","الرسوم والتكاليف الأخرى التي تفرضها الهيئة من وقت لآخر على المرخص لهم (وإذا كان ذلك مناسباً، على أي مرخص لهم جدد، أو على أي منهم)، المشار إليها في الفقرة 4.6."
"Numbering Annual Fee","الرسوم السنوية للترقيم","الرسوم مستحقة الدفع من قبل المرخص لهم والآخرين المخصصة لهم مصادر الترقيم في الأول من يناير من كل عام أو عند تخصيص مصدر الترقيم لهم (إذا كان ذلك بعد الأول من يناير)."
"Number","الرقم","رقم الهاتف المرتبط بمشترك معين لاستخدام خدمة الاتصالات، حيث يتم تخصيص رقم الهاتف لجهة معينة حسب الخطة الوطنية للأرقام."
"Target Number","الرقم المستهدف","يعني أي رقم هاتف ينوي أي شخص الاتصال به لأغراض التسويق عبر الهاتف ؛"
"Prefix","الرقم المفتاحي","مؤشر يتكون من خانة واحد ة أو أكثر وتسمح باختيار أنواع مختلفة من صيغ الارقام أو الشبكات."
"Premium Charge Number","الرقم الممیز","رقم ھاتف ثابت أو متحرك أو رمز قصیر للمكالمات الصوتیة أو الرسائل النصیة حیث یتم من خلالھا احتساب رسوم أعلى من التسعیرة الاعتیادیة على المستھلك أو المشترك لإجراء مكالمة صوتیة محلیة أو إرسال رسالة نصیة"
"Q-Code","الرمزQ","يقصد به مجموعة موحدة من ترميزات رسائل تتكون من ثلاثة أحرف تبدأ بالحرف ""Q"" وجرى تطويره للاتصال الراديوي وهواية اللاسلكي."
"The registry","السجل","هو المستند الذي يتضم لائحة بأسماء ومعلومات منافذ بيع شرائح الهاتف المتحرك."
"Master Register","السجل الرئيسي","يعني السجل الرئيسي الدولي للترددات وهو قاعدة بيانات الاتحاد الذي يتضمن التخصيصات المسجلة للترددات وفقاً للمادة 8 من لوائح الراديو."
"Cloud","السحابة","السحابة هي مصطلح عام يستخدم لوصف شبكة من الخوادم التي تطبق قدرات معالجة وتخزين ضخمة على الأعمال التجارية."
"Withdraw","السحب","التوقف الدائم عن تقديم أي خدمه للمشتركين الحاليين في تلك الخدمة."
"No Bundle Rate","السعر بدون باقة","السعر الموحد لكل میجابایت بالدرھم الإماراتي الذي یحصله المرخص لھم مقابل استھلاك البیانات المتنقلة في الحالات التي لا یكون فیھا المستھلك قد اشترك في باقة بیانات مناسبة."
"Out-of-bundle Rate","السعر خارج الباقة","السعر الموحد لكل میجابایت بالدرھم الإماراتي الذي یحصله المرخص لھم خلال الفترة خارج الباقة مقابل استھلاك البیانات المتنقلة خارج مخصص البیانات في أي باقة من باقات البیانات."
"In-bundle Rate","السعر داخل الباقة","السعر الفعلي لكل میجابایت بالدرھم الإماراتي المطبق من قبل المرخص لھم على استھلاك البیانات المتنقلة في الحالات التي یكون فیھا المستھلك قد اشترك في باقة بیانات ویستھلك البیانات ضمن مخصص البیانات لباقة معینة."
"Financial Year","السنة المالية","يقصد بها فترة كل 12 شهراً يقوم المرخص له التابع للهيئة في نهايتها بإعداد بياناته المالية القانونية امتثالاً لقوانين الدولة. وتشير السنة المالية بشكل طبيعي إلى فترة كل 12 شهراً تنتهي في 31 ديسمبر."
"Relevant Market","السوق ذات الصلة","يقصد بها سوق مجموعة خدمات الاتصالات أو المنتجات ذات الصلة والتي تكون من منظور مستهلكي خدمات الاتصالات أو المنتجات ذات الصلة ومزودي خدمات الاتصالات أو المنتجات ذات الصلة قابلة للاستبدال نظراً لسمات خدمات الاتصالات أو المنتجات ذات الصلة وأسعارها والمراد من استخدامها."
"Control","السيطرة","يقصد بها تملك أكثر من (50%) أو أكثر من حقوق التصويت في الشخص المعني و/أو القدرة على السيطرة في الواقع على أعمال وشؤون الشخص المعني سواء كان ذلك من خلال التملك أو من خلال عقد أو من خلال أي وسيلة أخرى ."
"Mesh Network","الشبكة المتداخلة","هي طريقة لنقل البيانات والصوت والتعليمات بين العُقد. وهي تتيح تواصل الاتصالات وإعادة التشكيل حول المسارات المقطوعة أو المسدودة عن طريق ’القفز’ من عقدة إلى أخرى لحين الوصول للوجهة."
"Person","الشخص","يعني ""الكيان الاعتباري"" إلى جانب ""الشخص الطبيعي""."
"Partner","الشریك","الشخص الذي یتعامل مع المرخص له بحیث یتم تحصیل رسوم عن الخدمات الإضافیة (المنتجات والخدمات والتطبیقات والألعاب والنغمات وغیرھا) المزودة من ذلك الشخص، من قبل المرخص له عن طریق حساب المشترك سواء تم تحصیلھا فوراً من خلال خصم الرصید أو تحصیلھا في مرحلة لاحقة من خلال فاتورة آجلة الدفع."
"Advertising Partner","الشريك الإعلاني","أي شخص یمكن تفسيره بشكل معقول على أنه موزع أو تاجر أو وكیل أو متعاقد من الباطن أو ممثل للمعلن."
"Mobile Telecommunications Apparatus Manufacturer","الصانع","هي الشركة المصنعة لمعدات أجهزة الهواتف المتنقلة وتقوم باستخدام أرقام الهوية الدولية لأجهزة الاتصالات المتنقلة (IMEIs) مخصصة من جهة مخولة مثل اتحاد (GSM)."
"Warranty","الضمان","تعني كل ضمان يقدمه صاحب التسجيل وفقاً لما ورد ذكره في سياسة ضمانات أصحاب التسجيلات المعتمدة في إدارة أسماء نطاق الإنترنت."
"Drone(s)","الطائرات المسيّرة","هي مركبات جوية مسيرة (UAVs) أو أنظمة طائرات بدون طيار (UASes). وفي الأساس، تعد الطائرة بدون طيار روبوتاً طائراً يمكن التحكم فيه عن بُعد أو الطيران به بشكل مستقل من خلال خطط الطيران التي يتحكم فيها البرنامج في أنظمتها المدمجة ، وتعمل جنباً إلى جنب مع أجهزة الاستشعار ونظام تحديد المواقع على متن الطائرة."
"Referring Party","الطرف المُحيل","يُقصد بها الطرف الذي بدأ القضية من خلال تقديم ملف دعوى إلى الهيئة."
"Application","الطلب","يقصد به طلب إصدار ترخيص أو تصريح من الهيئة على النموذج المحدد حسب الإجراءات المعمول بها."
"Wavelength","الطول الموجي","تعني الطول الموجي المركزي و FWHM (العرض الكامل بنصف الحد الأقصى). يجب أن تكون الوحدة بالنانومتر (على سبيل المثال: λ = 849 ± 2 نانومتر). إذا كان هناك إرسال WDM ، فسيتم استخدام النطاق الطيفي."
"Promotion","العرض الترويجي","خدمة ذات سعر محدد تكون متوفرة للمتعاملين لفترة زمنية محددة."
"Qualifying Contract","العقود المؤهلة","هو أي عقد بين المرخص له والمشترك التجاري لتوفير خدمات الاتصالات من ذلك المرخص له إلى المشترك التجاري ."
"Electronic Address","العنوان الإلكتروني","هو رقم أو سلسلة أرقام أو حروف والتي يمكن من خلالها تحديد متلقي الاتصالات الإلكترونية المتواجد في شبكة اتصالات معينة والاتصال به"
"Public Interest Purpose","الغرض من المصلحة العامة","غرض تعليمي أو غرض لصالح البحث أو التعليم في مؤسسة أكاديمية داخل دولة الإمارات العربية المتحدة (المؤسسة الأكاديمية المعترف بها من قبل وزارة التعليم الاتحادية أو وزارة التربية والتعليم لإمارة فردية) ، أو لمنفعة واحدة أو أكثر من الجهات الحكومية الاتحادية أو المحلية في دولة الإمارات العربية المتحدة."
"Out-of-bundle Period","الفترة خارج الباقة","الفترة الزمنیة، سواء تم قیاسھا بالساعات أو الأیام أو الأسابیع أو الأشھر، بدءاً من بعد استخدام المستھلك لكامل مخصص البیانات وتنتھي في الوقت الذي یتم فيها تجدید باقة البیانات تلقائیاً، على سبیل المثال: إذا كانت باقة البیانات الیومیة تجدد تلقائیاً في منتصف اللیل واستخدم المستھلك كامل رصید البیانات في تلك الباقة بحلول الساعة 14:45 ، فستكون مدة الفترة خارج الباقة 9 ساعات و 15 دقیقة."
".aeDA Registry Technical Team","الفريق الفني لسجل الإدارة","تعني القسم الفني التابع للإدارة ويتولى عمليات نظام التسجيل."
"Deactivate","الفصل","يقصد به فصل كافة خدمات الهاتف المتحرك الخاصة بمشترك الهاتف المتحرك بحيث لا يستطيع المشترك الوصول إلى أي من خدمات الهاتف المتحرك، وعلى سبيل المثال لا الحصر: خدمة إجراء المكالمات الصادرة واستقبال المكالمات الواردة أو إرسال الرسائل النصية أو استلامها كما يكون لدى كلمة ""مفصول"" معنی مماثل."
"Adaptive Frequency Agility","القفز الترددي التكيّفي (AFA)","هي تقنية تستخدمها أجهزة الإرسال اللاسلكية لتجنب الإرسال في القنوات المشغولة عن طريق المراقبة الدورية لبيئة الراديو المحلية الخاصة به وتسجيل القنوات المشغولة."
"Satellite","القمر الصناعي أو الساتلي","يقصد به جسم يدور حول جسم آخر ذي كتلة راجحة ويتحرك بشكل يتحدد في المقام الأول وبشكل دائم بواسطة قوة جذب ذلك الجسم الآخر."
"Channel","القناة","يقصد بها مجموعة من البرامج."
