English Term,Arabic Title,Arabic Description
Neuromorphic Computing,حوسبة عصبية,دراسة أداء الخوارزميات وتعقيدها، لتحديد مدى ملاءمتها لتطبيقات محددة.
Analysis of Algorithms,تحليل الخوارزميات,رسم بياني منظم تمثّل العقد الموجودة فيه الحجج، وتشير فيه الحواف إلى التعارضات أو العلاقات بين هذه الحجج.
Argumentation Framework,إطار الحجج,نوع من أنواع الذكاء الاصطناعي يمكنه أداء أي مهمة فكرية يستطيع الإنسان القيام بها، بما في ذلك القدرة على التكيّف وحل المشكلات والإبداع.
Artificial General Intelligence,ذكاء اصطناعي عام,لغة مبنية على لغة الترميز الموسعة (XML) مصممة لإنشاء تطبيقات معالجة اللغات الطبيعية.
Artificial Intelligence Markup Language (AIML),لغة ترميز الذكاء الاصطناعي,طريقة منهجية تزوّد خوارزميات تعلُّم الآلة بإطار منظم لتعريف المشكلة وحلها.
Automated Reasoning,استدلال مؤتمت,قدرة النظام على إدارة موارده بشكل مستقل دون تدخل بشري.
Autonomic Computing,حوسبة ذاتية,أسلوب تفكير منطقي يبدأ من الهدف ويعود إلى تحديد البيانات أو الأدلة الداعمة له.
Backward Chaining,تسلسل عكسي,مجموعات بيانات ضخمة تتميّز بحجمها وتنوعها وسرعتها، مما يستلزم تقنيات قابلة للتوسع من أجل إدارتها وتحليلها بفعالية.
Big Data,بيانات ضخمة,ممارسة تحليل مجموعات البيانات الكبيرة والشاملة للكشف عن الرؤى والأنماط والاتجاهات التي سيتم الاسترشاد بها في عملية صنع القرار.
Big Data Analytics,تحليلات البيانات الضخمة,مجال من مجالات الذكاء الاصطناعي يركز على تمكين الآلات من وضع افتراضات حول المواقف اليومية بطريقة تشبه الحدس البشري.
Commonsense Reasoning,استدلال بديهي,مجال يستمد الإلهام من المبادئ البيولوجية واللغوية لتطوير المنهجيات الحاسوبية، بما في ذلك الشبكات العصبية والأنظمة الضبابية.
Computational Intelligence (CI),ذكاء حوسبي,البيانات التي تجمعها المؤسسات أثناء العمليات العادية، ولكنها لا تُستخدم بشكل نشط في التحليلات أو لأغراض أخرى.
Dark Data,البيانات المظلمة,عملية دمج البيانات من مصادر مختلفة في قاعدة بيانات متماسكة وموحدة.
Data Integration,تكامل البيانات,عملية إنشاء تمثيل مفاهيمي للبيانات، وتحديد علاقاتها، من أجل تخزينها في قواعد البيانات.
Data Modelling,نمذجة البيانات,وسائط اصطناعية يُستبدل فيها الشخص في صورة أو فيديو أو مقطع صوتي بشخص آخر باستخدام خوارزميات متقدمة.
deepfake,تزييف عميق,أسلوب في ذكاء السرب مستوحى من سلوك الديدان المضيئة، يُستخدم لتحسين الدالة متعدّدة الصيغ.
Glowworm Swarm Optimization,تحسين سرب الدودة المضيئة,نموذج تحليلي تُدمج فيه معالجة البيانات بسلاسة داخل قاعدة البيانات نفسها.
